from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
07-Mar-2020 - 00:00,21.82,992.58,96.67,58.12,73.09,191.06,225.16,1.62,1.23,16.95,44.39,9.17,28.84,40.17,0.99,55.97,9.74,08-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Mar-2020 - 00:00,21.83,994.41,122.31,78.48,72.82,234.51,81.96,1.49,0.95,17.07,47.08,22.62,37.01,34.91,1.04,48.28,8.38,09-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Mar-2020 - 00:00,22.35,991.28,112.83,47.88,64.13,245.45,79.17,1.92,0.34,10.55,40.21,13.06,26.99,30.71,0.77,56.36,8.49,10-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Mar-2020 - 00:00,23.01,989.84,164.5,91.36,61.04,241.16,180.05,1.42,0.64,10.85,43.31,8.57,25.21,34.25,0.9,75.05,12.07,11-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Mar-2020 - 00:00,24.45,987.33,131.96,65.75,61.13,226.28,235.9,2.29,1.14,12.31,49.13,4.43,21.66,33.92,0.96,69.73,13.33,12-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-Mar-2020 - 00:00,24.64,989.87,171.4,71.57,61.57,228.29,201.09,1.79,2.64,10.66,51.23,7.71,27.89,40.64,1.0,45.74,11.06,13-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Mar-2020 - 00:00,24.54,992.0,202.38,63.67,54.82,239.03,232.04,1.43,4.04,17.59,48.64,32.94,50.87,45.14,0.97,56.98,14.08,14-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-Mar-2020 - 00:00,22.23,993.49,72.5,39.62,72.12,185.34,165.33,1.61,2.99,14.28,48.1,5.4,21.35,31.84,0.81,50.82,11.12,15-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-Mar-2020 - 00:00,22.12,995.21,115.25,61.42,70.15,239.06,123.06,1.26,2.3,14.98,46.65,15.28,30.9,34.67,0.9,63.11,12.05,16-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-Mar-2020 - 00:00,23.09,994.94,127.88,57.08,67.65,239.96,62.54,1.43,1.48,14.27,46.08,10.69,30.31,40.59,0.86,62.74,11.73,17-Mar-2020 - 00:00,"Sonia Vihar, Delhi - DPCC"
