from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,RH,BP,WS,WD,to date,station
01-Jan-2020 - 00:00,288.29,464.22,93.36,40.92,82.92,88.42,8.01,2.12,13.36,5.25,57.02,14.81,69.5,740.0,2.37,227.49,02-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-Jan-2020 - 00:00,234.75,476.38,97.5,42.79,86.65,80.36,10.56,1.97,10.25,4.73,63.07,17.98,64.22,740.45,1.9,216.45,03-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-Jan-2020 - 00:00,218.36,383.21,93.93,43.45,85.29,70.34,9.59,1.49,6.05,5.19,70.23,19.18,67.45,740.34,1.88,199.6,04-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-Jan-2020 - 00:00,236.71,409.06,100.23,43.58,88.74,77.89,6.83,1.93,13.53,5.56,71.3,18.28,70.26,740.28,1.46,158.41,05-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-Jan-2020 - 00:00,167.56,296.16,56.7,9.04,37.51,69.84,6.32,1.37,12.49,2.93,58.78,17.86,62.55,740.2,2.67,135.21,06-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-Jan-2020 - 00:00,152.93,295.16,61.51,14.79,44.74,68.14,5.65,1.57,6.54,3.21,61.26,17.58,66.36,740.23,2.65,162.04,07-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
07-Jan-2020 - 00:00,128.97,200.48,53.63,13.7,39.66,67.53,9.37,0.96,4.57,2.64,56.57,17.23,83.99,740.09,2.35,255.98,08-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
08-Jan-2020 - 00:00,144.76,196.07,51.68,14.86,39.57,70.15,11.21,1.47,3.15,2.77,56.93,16.41,91.34,739.96,2.14,199.81,09-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-Jan-2020 - 00:00,105.76,173.95,43.17,5.52,27.46,57.92,5.76,0.78,10.01,2.48,50.17,13.92,81.34,740.05,3.35,139.97,10-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-Jan-2020 - 00:00,137.02,241.96,45.26,5.34,28.42,61.31,7.62,1.53,16.62,3.3,57.9,14.7,73.46,740.05,2.9,126.8,11-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-Jan-2020 - 00:00,153.36,326.91,70.34,19.05,52.91,58.23,7.55,1.34,23.62,3.78,59.66,16.44,58.19,740.3,2.28,127.45,12-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-Jan-2020 - 00:00,257.45,507.3,120.77,60.93,113.81,68.72,5.17,2.39,14.47,5.69,78.41,17.71,63.05,740.1,1.54,159.93,13-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-Jan-2020 - 00:00,231.91,371.92,76.97,27.96,63.72,77.44,4.81,1.62,11.89,4.4,67.58,17.17,76.58,739.62,2.51,253.06,14-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-Jan-2020 - 00:00,164.06,261.76,53.85,12.23,38.64,70.45,4.2,1.29,8.96,3.41,69.59,16.29,83.8,739.75,2.89,169.4,15-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-Jan-2020 - 00:00,107.58,217.44,57.01,10.04,38.54,53.04,5.44,1.16,10.88,2.48,69.07,16.52,76.45,739.84,2.61,164.07,16-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-Jan-2020 - 00:00,133.14,201.29,59.36,16.99,45.44,54.11,6.1,1.23,6.03,3.03,68.12,15.79,84.6,739.76,2.46,172.47,17-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-Jan-2020 - 00:00,96.99,157.76,50.17,13.24,37.51,55.31,7.31,1.37,8.56,2.53,70.87,16.6,87.76,740.14,2.71,160.14,18-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
18-Jan-2020 - 00:00,154.03,333.17,75.38,32.1,66.25,55.41,5.55,1.72,7.89,3.66,71.04,14.92,82.69,740.09,1.87,179.94,19-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-Jan-2020 - 00:00,154.39,262.59,57.89,8.1,37.44,52.24,5.78,1.73,11.86,3.29,66.13,14.2,81.03,740.12,3.76,124.44,20-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-Jan-2020 - 00:00,160.07,292.1,54.75,6.59,34.53,55.1,5.52,1.31,8.32,2.83,65.61,14.64,87.42,740.02,2.36,114.57,21-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-Jan-2020 - 00:00,195.19,339.06,52.95,35.43,57.02,63.62,4.37,1.84,8.16,3.45,59.48,15.24,89.48,740.16,1.76,212.91,22-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-Jan-2020 - 00:00,196.56,346.54,69.3,34.95,65.37,71.77,3.77,1.8,16.17,4.63,66.17,15.72,76.76,740.22,2.71,148.48,23-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-Jan-2020 - 00:00,70.84,233.99,51.94,4.56,31.43,47.5,4.44,0.6,21.97,2.29,60.91,17.37,54.56,740.32,4.22,123.67,24-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-Jan-2020 - 00:00,73.71,232.83,57.02,4.74,34.28,39.39,4.38,0.77,31.55,2.04,58.05,18.09,47.28,740.15,4.51,120.17,25-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-Jan-2020 - 00:00,167.12,355.61,98.39,62.68,103.37,55.83,6.97,1.7,21.86,4.01,64.5,17.51,57.97,740.16,1.83,158.8,26-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
26-Jan-2020 - 00:00,239.79,399.94,78.98,45.99,79.49,71.44,7.47,2.07,27.59,4.31,55.24,18.02,65.61,739.92,2.14,141.45,27-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
27-Jan-2020 - 00:00,237.26,417.61,85.06,65.1,98.25,74.62,7.23,2.39,13.34,5.02,56.19,18.28,70.85,739.64,2.13,191.8,28-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
28-Jan-2020 - 00:00,113.74,181.16,46.77,11.67,34.46,58.22,4.72,1.28,20.19,2.18,45.09,18.4,78.3,739.65,3.43,252.19,29-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
29-Jan-2020 - 00:00,91.17,206.52,61.55,20.15,49.2,47.71,7.5,0.91,14.87,2.33,48.42,18.28,73.71,740.28,2.53,171.22,30-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
30-Jan-2020 - 00:00,75.36,188.88,53.22,5.97,33.26,39.39,5.29,0.74,28.63,2.18,46.46,18.1,66.89,740.31,3.11,136.65,31-Jan-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
31-Jan-2020 - 00:00,85.83,210.6,64.14,18.86,49.54,36.54,5.93,0.96,23.28,2.25,46.06,16.51,64.06,739.95,3.03,134.02,01-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
01-Feb-2020 - 00:00,118.74,246.54,69.82,26.16,58.48,46.01,6.67,0.99,21.6,2.63,47.44,16.55,71.23,740.01,2.41,162.42,02-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-Feb-2020 - 00:00,115.64,224.28,63.0,7.76,39.91,46.98,7.27,1.02,25.13,2.39,45.46,16.9,68.82,740.33,2.67,116.42,03-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-Feb-2020 - 00:00,143.53,322.9,88.3,43.29,82.25,47.11,5.16,1.24,21.7,3.1,49.03,17.7,59.93,740.32,2.36,142.71,04-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-Feb-2020 - 00:00,194.8,399.15,85.17,50.36,86.33,53.92,7.69,1.03,22.25,3.33,48.98,17.56,59.31,740.1,1.71,190.93,05-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-Feb-2020 - 00:00,130.33,269.76,69.61,19.34,52.83,47.54,7.77,0.99,21.06,2.79,51.49,18.28,59.65,740.26,3.01,142.92,06-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-Feb-2020 - 00:00,122.86,277.04,75.6,25.23,60.82,44.3,6.19,1.03,21.9,2.46,52.63,17.21,61.19,740.07,2.41,153.16,07-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
07-Feb-2020 - 00:00,166.27,341.79,75.77,38.95,72.02,45.16,8.09,1.0,24.66,3.16,65.0,17.26,61.15,740.14,2.25,185.76,08-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
08-Feb-2020 - 00:00,140.56,282.65,70.88,13.25,48.56,46.19,5.56,0.88,22.73,2.91,60.59,18.17,61.62,740.52,2.77,126.73,09-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-Feb-2020 - 00:00,146.15,300.41,69.29,16.89,50.68,44.98,6.83,0.92,22.53,2.71,60.61,18.75,58.52,740.65,2.38,133.88,10-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-Feb-2020 - 00:00,168.72,372.11,80.49,39.72,75.19,46.76,5.72,1.14,18.89,3.1,60.29,18.67,58.81,740.35,2.11,142.73,11-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-Feb-2020 - 00:00,178.96,405.76,86.76,71.19,104.09,48.44,5.47,1.42,20.32,3.8,58.73,19.0,57.48,740.38,1.8,143.19,12-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-Feb-2020 - 00:00,169.85,375.22,73.4,16.39,52.46,56.77,6.49,1.01,12.51,3.33,58.82,20.59,60.07,740.54,3.83,110.79,13-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-Feb-2020 - 00:00,79.25,249.02,48.96,3.98,29.37,48.21,6.72,1.13,18.45,2.26,51.87,23.19,51.34,740.43,5.32,115.88,14-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-Feb-2020 - 00:00,64.18,329.61,39.13,2.6,23.01,42.18,7.09,0.85,31.26,1.57,48.32,22.46,48.99,740.31,5.09,127.03,15-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-Feb-2020 - 00:00,71.67,227.62,47.99,3.96,28.85,42.37,6.15,1.56,27.25,2.04,52.4,21.94,42.67,740.14,4.4,109.81,16-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-Feb-2020 - 00:00,114.74,268.02,68.52,15.18,48.87,42.63,12.13,1.89,48.16,2.72,50.75,22.4,48.74,740.61,2.67,119.53,17-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-Feb-2020 - 00:00,150.9,335.69,84.12,48.2,84.02,46.41,13.52,2.38,38.66,3.9,47.58,22.61,49.26,740.78,3.36,117.18,18-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
