from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,RH,BP,WS,WD,to date,station
18-Feb-2020 - 00:00,119.85,327.08,78.0,22.69,60.02,39.19,12.29,1.96,49.02,2.86,45.01,22.8,40.43,740.35,3.55,111.03,19-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-Feb-2020 - 00:00,152.73,352.95,71.92,56.78,84.45,53.08,11.18,1.57,29.17,3.48,51.23,21.49,55.27,740.12,2.86,248.43,20-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-Feb-2020 - 00:00,111.69,251.4,42.79,4.77,26.72,50.54,6.75,1.15,52.89,2.27,34.91,22.46,62.98,740.34,4.38,278.39,21-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-Feb-2020 - 00:00,46.62,97.3,34.42,7.04,24.14,46.49,6.31,0.82,36.55,1.33,36.52,19.09,81.78,740.15,5.1,233.27,22-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-Feb-2020 - 00:00,66.08,195.76,57.34,48.48,70.01,43.77,8.73,1.16,15.35,1.69,39.75,21.18,73.85,740.85,2.38,222.03,23-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-Feb-2020 - 00:00,95.41,255.04,57.65,34.02,58.41,52.71,8.52,1.08,28.1,2.42,43.57,22.88,67.02,740.79,2.19,186.04,24-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-Feb-2020 - 00:00,58.68,184.72,54.26,15.84,41.82,38.41,10.76,1.08,32.47,1.56,42.08,22.75,61.74,740.4,2.51,158.84,25-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-Feb-2020 - 00:00,131.45,279.16,78.42,22.14,59.8,51.86,11.42,1.77,28.97,2.75,44.58,23.21,67.1,740.35,2.42,139.78,26-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
26-Feb-2020 - 00:00,146.45,312.88,67.63,34.3,63.95,58.09,9.63,2.32,27.14,3.1,46.15,22.74,70.5,740.39,1.93,179.58,27-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
27-Feb-2020 - 00:00,109.24,233.5,50.13,20.81,43.66,64.64,6.73,1.7,25.56,2.53,37.67,22.24,77.64,740.43,2.06,233.12,28-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
28-Feb-2020 - 00:00,93.02,180.83,40.96,6.55,27.22,53.0,7.15,0.68,29.72,1.98,31.65,22.63,75.91,740.35,3.8,294.73,29-Feb-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
29-Feb-2020 - 00:00,67.83,161.07,37.52,6.09,25.0,41.26,6.86,1.26,33.9,1.85,31.76,22.07,76.68,740.29,4.18,271.32,01-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
01-Mar-2020 - 00:00,38.14,106.5,45.51,15.77,37.2,36.94,9.68,1.64,36.92,1.28,40.32,22.24,75.28,740.41,1.97,218.72,02-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-Mar-2020 - 00:00,119.67,340.79,89.1,64.93,98.82,56.0,11.61,2.18,31.12,2.68,43.48,24.69,69.6,740.44,1.3,187.69,03-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-Mar-2020 - 00:00,94.24,301.48,76.55,49.74,81.26,46.7,5.69,1.62,29.02,2.82,52.17,24.76,59.65,740.38,2.08,163.09,04-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-Mar-2020 - 00:00,92.33,258.59,53.26,30.58,53.27,43.6,10.07,1.91,35.31,2.39,39.57,23.72,61.46,740.23,2.83,237.95,05-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-Mar-2020 - 00:00,34.82,102.66,32.47,7.33,23.32,33.24,6.83,0.73,37.44,1.09,26.88,22.05,70.41,740.07,4.28,239.03,06-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-Mar-2020 - 00:00,13.71,38.61,23.33,4.88,16.47,28.43,13.95,1.36,43.9,0.54,24.89,18.94,84.41,739.48,4.66,249.14,07-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
07-Mar-2020 - 00:00,33.9,87.66,30.81,10.47,25.0,28.05,4.54,1.14,32.89,0.84,27.62,19.51,82.06,740.01,2.46,224.33,08-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
08-Mar-2020 - 00:00,88.42,207.25,51.63,31.14,52.86,37.03,9.72,1.16,31.18,2.17,37.18,20.9,75.22,740.4,2.04,159.76,09-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-Mar-2020 - 00:00,47.39,151.71,34.76,2.72,20.8,27.25,11.4,0.81,44.28,1.19,32.99,22.47,54.5,740.35,3.29,122.8,10-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-Mar-2020 - 00:00,77.97,158.08,34.61,2.1,20.17,31.52,9.22,1.19,51.45,1.56,34.06,22.46,55.75,740.22,2.31,157.89,11-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-Mar-2020 - 00:00,57.74,117.07,25.4,2.89,15.95,36.36,9.72,1.92,46.95,1.17,26.89,23.33,67.83,740.21,4.41,275.81,12-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-Mar-2020 - 00:00,63.92,214.39,39.28,17.61,34.98,34.39,3.57,1.07,29.25,1.19,27.01,24.46,65.66,740.39,2.78,210.3,13-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-Mar-2020 - 00:00,53.49,182.13,40.48,11.84,31.04,26.72,7.37,0.88,36.79,1.32,34.29,24.06,54.75,740.52,2.58,190.41,14-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-Mar-2020 - 00:00,38.71,114.28,38.09,10.9,29.12,31.22,5.44,1.01,24.25,1.17,29.01,20.66,79.86,740.23,2.97,235.93,15-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-Mar-2020 - 00:00,58.33,164.82,42.77,18.6,37.95,29.75,6.33,1.41,33.69,1.71,36.08,21.17,69.4,740.61,2.08,200.51,16-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-Mar-2020 - 00:00,60.19,189.14,46.53,4.23,28.29,29.47,12.25,0.93,53.98,1.62,37.88,23.45,61.85,740.73,2.61,126.89,17-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-Mar-2020 - 00:00,62.76,217.08,46.81,6.53,30.31,29.44,12.27,0.93,54.48,1.75,39.81,24.99,56.48,740.89,2.65,132.95,18-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
18-Mar-2020 - 00:00,59.12,228.39,44.64,6.54,29.16,28.27,12.19,0.93,57.54,1.55,37.31,26.43,53.14,740.83,2.9,135.16,19-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-Mar-2020 - 00:00,90.99,277.93,64.02,19.21,49.77,41.17,13.16,0.82,37.63,2.07,40.06,26.45,61.79,740.42,2.37,152.11,20-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-Mar-2020 - 00:00,103.78,323.21,62.04,18.91,48.47,42.14,15.9,1.1,31.32,2.22,35.99,27.19,60.45,740.44,2.24,221.15,21-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-Mar-2020 - 00:00,88.67,313.33,55.93,18.88,45.2,39.2,11.9,1.15,42.81,2.05,38.56,27.63,53.35,740.6,1.9,161.29,22-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-Mar-2020 - 00:00,77.07,181.91,31.51,4.98,20.72,36.89,11.37,0.98,49.59,1.96,36.16,27.25,54.78,740.91,2.44,174.45,23-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-Mar-2020 - 00:00,53.8,134.81,28.17,2.18,16.77,31.99,13.66,0.77,47.3,1.46,33.4,28.0,50.9,740.86,1.79,174.51,24-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-Mar-2020 - 00:00,71.55,145.12,24.47,2.35,14.98,37.94,10.98,0.68,35.95,1.95,30.19,27.2,54.99,740.4,2.5,161.95,25-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-Mar-2020 - 00:00,29.76,73.33,17.43,1.6,10.66,34.71,9.37,0.54,36.19,1.05,32.41,28.38,55.51,740.92,2.54,142.6,26-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
26-Mar-2020 - 00:00,33.84,97.39,15.06,1.35,9.21,33.08,8.13,0.65,29.87,0.88,30.27,27.84,57.56,740.72,4.04,121.69,27-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
27-Mar-2020 - 00:00,18.67,45.74,11.98,1.48,7.54,32.3,12.8,0.33,25.69,0.72,28.81,25.02,69.54,740.66,3.36,183.11,28-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
28-Mar-2020 - 00:00,15.05,39.04,13.3,1.5,8.35,31.04,7.51,0.54,31.46,0.79,30.7,25.13,67.35,740.72,3.03,170.3,29-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
29-Mar-2020 - 00:00,14.62,60.45,11.42,0.98,6.92,22.78,8.38,0.69,46.64,0.53,29.2,27.29,50.94,740.72,3.95,138.16,30-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
30-Mar-2020 - 00:00,22.78,67.36,13.23,1.06,7.92,21.31,7.66,0.56,55.37,0.64,29.58,27.27,47.39,740.67,3.74,128.73,31-Mar-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
31-Mar-2020 - 00:00,23.0,73.09,13.46,1.09,8.01,22.21,12.5,0.77,55.69,0.73,30.14,28.24,46.12,740.74,3.67,146.27,01-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
01-Apr-2020 - 00:00,25.52,66.97,13.19,1.39,8.09,25.37,10.92,0.48,52.01,0.87,30.34,28.84,48.18,740.89,3.23,159.68,02-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
02-Apr-2020 - 00:00,17.48,64.23,10.51,1.04,6.41,21.7,8.14,0.54,54.9,0.56,29.0,28.47,44.91,740.71,4.07,141.52,03-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
03-Apr-2020 - 00:00,20.84,65.47,13.76,1.05,8.16,17.09,10.7,0.66,71.81,0.67,29.01,27.72,35.34,740.71,3.39,131.07,04-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
04-Apr-2020 - 00:00,25.84,73.61,15.31,1.21,9.05,20.84,12.45,0.47,81.91,0.8,29.79,29.03,35.8,740.94,2.93,144.06,05-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
05-Apr-2020 - 00:00,48.78,109.51,17.41,1.15,10.21,29.03,13.62,0.64,67.8,1.33,31.05,29.39,41.6,741.06,2.56,177.08,06-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
06-Apr-2020 - 00:00,53.72,123.1,16.56,1.18,9.78,30.44,9.71,0.48,65.43,1.51,31.06,31.74,36.81,741.16,3.12,148.46,07-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
07-Apr-2020 - 00:00,21.92,125.51,11.96,1.07,7.29,26.1,13.46,0.5,68.35,0.75,27.15,30.28,39.76,740.83,4.49,149.02,08-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
08-Apr-2020 - 00:00,22.25,96.92,14.05,1.06,8.34,21.54,9.43,0.46,67.45,0.72,28.29,30.01,34.7,740.89,3.56,150.12,09-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
09-Apr-2020 - 00:00,32.43,90.85,14.94,1.05,8.82,24.08,10.1,0.73,71.32,0.9,28.7,29.84,35.9,740.83,3.1,126.29,10-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
10-Apr-2020 - 00:00,53.54,127.47,21.01,1.23,12.21,29.08,9.94,0.86,66.64,1.39,31.17,31.98,32.45,741.16,2.08,148.0,11-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
11-Apr-2020 - 00:00,58.43,145.97,18.8,1.52,11.26,35.11,11.92,0.72,63.11,2.14,30.79,33.69,32.65,741.46,2.17,183.32,12-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
12-Apr-2020 - 00:00,26.52,102.0,15.16,1.05,8.91,28.15,11.96,0.57,69.52,0.85,27.92,33.1,34.0,741.23,3.17,124.71,13-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
13-Apr-2020 - 00:00,44.95,134.77,20.55,1.22,11.93,32.68,13.95,0.82,68.94,1.23,29.21,34.72,32.0,741.12,2.69,115.02,14-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
14-Apr-2020 - 00:00,56.55,181.24,21.48,1.15,12.39,35.73,12.88,1.27,54.92,1.99,28.94,35.55,32.24,741.36,1.57,178.31,15-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
15-Apr-2020 - 00:00,65.77,260.14,23.34,2.26,14.2,34.34,10.83,1.76,48.16,1.96,27.75,35.08,31.52,741.34,1.96,189.55,16-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
16-Apr-2020 - 00:00,87.79,273.64,23.64,1.68,13.96,37.78,14.79,0.95,62.8,2.67,29.57,35.52,29.11,741.11,2.63,148.56,17-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
17-Apr-2020 - 00:00,22.33,118.65,13.61,0.99,8.02,28.81,9.9,,66.63,0.91,24.57,33.96,31.36,741.01,3.78,195.85,18-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
18-Apr-2020 - 00:00,21.68,134.17,14.14,1.39,8.64,34.03,9.3,,52.12,0.9,26.12,31.11,44.73,740.79,3.8,236.04,19-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
19-Apr-2020 - 00:00,30.02,74.94,19.62,1.46,11.68,37.47,8.94,,58.64,1.07,28.0,30.77,45.18,740.76,3.09,153.14,20-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
20-Apr-2020 - 00:00,,138.21,24.29,2.07,14.69,40.16,10.59,,41.95,1.69,27.54,29.57,44.23,740.5,2.26,171.08,21-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
21-Apr-2020 - 00:00,,92.23,18.99,1.15,11.08,33.66,9.27,,65.82,0.0,,30.45,43.66,740.84,2.24,140.97,22-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
22-Apr-2020 - 00:00,53.35,122.81,25.25,2.28,15.24,32.15,13.89,,65.16,0.01,0.0,31.95,35.24,740.9,1.76,173.91,23-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
23-Apr-2020 - 00:00,63.9,157.91,20.87,1.15,12.06,36.83,11.1,,59.36,0.0,,31.6,40.72,740.61,2.38,146.88,24-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
24-Apr-2020 - 00:00,69.28,129.79,21.04,1.34,12.29,38.45,12.62,,64.72,0.0,,32.31,41.49,740.71,1.84,221.7,25-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
25-Apr-2020 - 00:00,52.97,149.4,18.24,1.04,10.5,32.35,10.58,1.19,68.18,0.0,,33.16,36.7,740.75,2.32,222.42,26-Apr-2020 - 00:00,"Knowledge Park - V, Greater Noida - UPPCB"
