from date,PM2.5,PM10,WD,WS,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
01-Jan-2020 - 00:00,44.22,52.38,198.25,1.75,66.01,12.47,25.13,11.1,36.24,11.58,0.24,14.16,02-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
02-Jan-2020 - 00:00,44.0,62.68,209.68,1.4,69.7,13.21,26.28,25.67,51.96,11.1,0.47,9.0,03-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
03-Jan-2020 - 00:00,35.27,79.65,152.18,0.78,82.86,14.86,24.93,28.37,53.3,11.56,0.33,3.07,04-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
06-Jan-2020 - 00:00,43.71,229.27,213.02,1.82,58.29,14.39,26.77,6.23,33.0,11.02,0.37,19.09,07-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
07-Jan-2020 - 00:00,42.79,322.99,203.15,1.68,68.43,18.2,20.44,21.96,42.4,20.41,0.29,11.22,08-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
08-Jan-2020 - 00:00,58.94,587.73,226.34,1.61,72.74,20.39,24.01,62.4,86.42,24.25,0.38,4.21,09-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
09-Jan-2020 - 00:00,57.3,88.89,178.64,1.29,65.03,17.88,29.87,15.81,45.68,11.2,0.47,6.23,10-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
10-Jan-2020 - 00:00,80.05,119.09,165.88,1.4,63.24,17.41,36.37,15.35,51.72,10.92,0.48,7.42,11-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
11-Jan-2020 - 00:00,86.64,134.66,165.05,1.22,57.83,18.18,35.77,26.69,62.47,11.39,0.69,9.58,12-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
12-Jan-2020 - 00:00,73.45,112.46,182.54,1.08,50.7,18.05,36.58,17.34,53.92,10.05,0.51,10.44,13-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
13-Jan-2020 - 00:00,65.56,127.97,191.35,0.96,42.81,18.71,44.26,12.48,56.74,8.75,0.55,7.88,14-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
14-Jan-2020 - 00:00,57.44,100.75,208.23,1.23,39.45,18.67,31.1,10.45,41.55,9.47,0.41,10.74,15-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
15-Jan-2020 - 00:00,44.08,71.63,207.65,1.66,44.85,17.71,27.97,11.15,39.12,10.06,0.15,11.26,16-Jan-2020 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
