from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
16-Mar-2020 - 00:00,,1.15,,20.79,49.04,42.98,19.78,73.88,1.14,2.79,0.76,22.23,79.94,0.3,40.83,61.06,756.8,-0.05,17-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Mar-2020 - 00:00,,1.63,,33.59,88.26,71.15,17.94,79.54,0.76,1.75,0.21,22.36,80.45,0.32,40.85,31.46,755.54,-0.05,18-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Mar-2020 - 00:00,,1.75,,39.1,146.47,108.63,15.93,82.34,1.19,2.37,0.45,24.94,82.81,0.44,116.12,108.75,750.9,-0.51,19-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Mar-2020 - 00:00,,1.75,,31.58,160.55,111.08,15.38,78.5,0.78,1.49,0.19,30.43,86.24,0.3,209.73,162.39,745.3,-1.57,20-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-Mar-2020 - 00:00,,2.26,,59.19,142.64,120.28,17.09,72.22,1.58,4.25,1.76,30.13,85.38,0.3,320.07,53.36,758.69,-1.52,21-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Mar-2020 - 00:00,,2.28,,91.38,158.03,153.09,15.72,121.39,1.61,4.45,1.95,30.44,86.2,0.3,281.09,32.65,761.3,-1.59,22-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
22-Mar-2020 - 00:00,,1.87,,29.42,137.5,97.06,14.54,93.74,1.11,1.74,0.02,30.29,85.75,0.3,282.25,50.46,761.47,-1.42,23-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Mar-2020 - 00:00,,1.95,,16.97,139.28,87.75,20.19,63.73,0.64,1.06,0.0,30.14,85.38,0.3,292.03,52.83,762.53,-1.52,24-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Mar-2020 - 00:00,,1.8,,22.31,139.12,92.13,14.96,88.44,1.1,1.7,0.52,29.6,83.75,0.3,300.62,50.43,760.71,-1.63,25-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Mar-2020 - 00:00,,1.84,,19.59,136.06,88.3,15.73,92.86,0.7,1.01,0.0,29.19,82.68,0.3,277.61,48.98,760.17,-1.53,26-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Mar-2020 - 00:00,,1.78,,17.11,133.26,84.79,15.51,75.25,0.81,0.95,0.0,29.01,82.04,0.3,344.86,56.05,757.54,-1.73,27-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Mar-2020 - 00:00,,1.51,,17.02,131.64,83.86,15.49,70.52,0.61,0.79,0.0,28.8,81.45,0.3,,53.15,756.65,-1.85,28-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Mar-2020 - 00:00,,1.46,,13.8,126.2,78.36,15.6,43.34,0.44,0.41,0.0,29.42,83.27,0.3,,56.17,759.2,-1.91,29-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
29-Mar-2020 - 00:00,,1.67,,11.14,128.94,77.64,15.41,36.84,0.46,0.18,0.0,29.33,83.01,0.3,,58.92,754.71,-1.92,30-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
30-Mar-2020 - 00:00,,1.49,,13.78,140.09,85.72,15.21,48.61,0.73,0.35,0.0,29.31,82.99,0.3,358.0,58.33,752.11,-1.87,31-Mar-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
31-Mar-2020 - 00:00,,1.81,,17.3,129.31,82.74,16.06,72.17,0.62,0.61,0.0,29.25,82.77,0.3,328.44,58.33,754.24,-1.65,01-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-Apr-2020 - 00:00,,1.77,,20.78,135.03,88.68,14.71,88.06,0.92,1.05,0.0,28.65,81.01,0.3,274.73,55.81,753.73,-1.6,02-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Apr-2020 - 00:00,,1.67,,16.43,121.31,77.37,15.8,65.49,0.62,0.79,0.0,28.21,79.75,0.3,281.33,54.25,753.26,-1.73,03-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Apr-2020 - 00:00,,1.76,,11.3,136.05,81.55,14.87,50.09,0.41,0.43,0.0,28.53,80.77,0.3,355.0,59.96,750.2,-1.98,04-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Apr-2020 - 00:00,,1.81,,13.91,138.43,84.94,15.38,63.83,1.12,0.63,0.0,29.02,82.08,0.3,339.0,59.95,750.26,-1.6,05-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Apr-2020 - 00:00,,1.52,,17.6,146.38,92.18,14.92,70.31,0.81,0.71,0.0,28.67,81.12,0.3,231.3,58.21,750.03,-1.64,06-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Apr-2020 - 00:00,,1.69,,15.14,146.5,89.97,15.76,59.44,0.66,0.64,0.0,28.38,80.24,0.3,351.12,56.2,750.32,-1.68,07-Apr-2020 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
