from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,SR,WS,WD,to date,station
11-Jan-2020 - 00:00,195.26,386.35,78.22,22.56,62.97,39.96,14.64,1.91,5.4,5.73,1.54,6.84,15.7,13.56,,59.51,319.18,7.58,262.15,12-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Jan-2020 - 00:00,295.06,447.97,83.89,49.27,92.09,54.67,10.19,2.88,5.61,19.43,1.71,13.63,30.51,26.44,,66.02,356.31,3.52,214.88,13-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Jan-2020 - 00:00,185.63,313.9,29.16,18.15,33.01,30.15,2.09,1.66,6.47,13.78,0.66,7.99,17.32,13.52,,78.23,200.89,8.99,130.03,14-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Jan-2020 - 00:00,106.67,261.16,17.2,11.88,20.62,8.21,8.62,1.36,3.99,9.31,0.76,4.67,10.15,7.46,,80.05,247.46,6.96,283.4,15-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Jan-2020 - 00:00,107.11,237.66,20.87,15.15,25.74,10.03,6.75,1.56,5.14,10.56,0.81,6.3,13.47,10.82,,73.75,290.38,6.69,180.36,16-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Jan-2020 - 00:00,110.71,245.85,26.34,19.63,32.99,15.54,6.2,1.85,1.79,12.59,0.97,8.4,16.89,14.24,,87.31,81.57,6.1,165.95,17-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Jan-2020 - 00:00,79.86,165.99,20.4,16.35,26.68,11.92,6.49,1.51,3.97,7.77,0.67,5.47,12.57,10.16,,87.64,208.08,6.71,231.38,18-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Jan-2020 - 00:00,142.41,271.93,45.77,35.28,58.47,38.53,4.67,2.02,1.18,14.93,1.32,9.32,19.71,17.92,,98.99,116.18,7.66,163.92,19-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Jan-2020 - 00:00,125.22,293.32,235.69,171.22,188.69,167.31,10.82,0.28,13.97,5.58,0.18,2.62,2.57,2.1,,55.19,687.82,10.34,279.87,20-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Jan-2020 - 00:00,227.85,306.25,48.06,13.34,38.12,26.35,6.95,0.28,5.67,8.99,0.78,4.93,10.07,8.46,,84.71,272.6,6.85,204.39,21-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Jan-2020 - 00:00,191.86,282.03,31.69,14.71,30.96,15.21,3.52,1.56,4.65,10.71,1.15,4.47,10.32,8.59,,88.55,291.35,7.88,126.23,22-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Jan-2020 - 00:00,216.91,399.57,38.89,27.51,47.26,10.44,6.16,2.35,3.06,15.89,1.45,9.37,20.61,20.27,,81.82,309.12,10.12,258.06,23-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Jan-2020 - 00:00,129.73,249.25,11.2,10.06,15.71,4.63,6.71,1.35,4.91,4.58,0.28,3.05,7.85,6.28,,54.74,440.02,12.98,297.46,24-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Jan-2020 - 00:00,113.12,246.64,14.63,15.39,22.7,3.47,9.15,1.72,5.35,5.9,0.51,4.44,11.11,9.56,,46.43,410.1,12.01,264.29,25-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Jan-2020 - 00:00,162.59,368.18,28.51,29.43,43.71,5.44,11.17,2.47,4.69,12.25,0.99,8.96,20.96,20.1,,58.13,355.43,10.16,207.38,26-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Jan-2020 - 00:00,121.69,314.86,30.11,32.61,47.66,6.75,6.51,2.58,4.69,15.07,1.4,11.45,25.81,26.05,,60.77,377.33,6.14,222.65,27-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Jan-2020 - 00:00,110.86,235.84,18.03,20.1,29.57,5.59,5.07,2.02,5.56,10.91,0.68,6.13,14.3,10.84,,66.16,303.32,10.21,116.58,28-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Jan-2020 - 00:00,53.61,140.89,6.37,5.73,10.85,2.1,3.3,1.33,7.61,5.78,0.15,1.71,4.7,3.31,,75.6,213.44,13.46,87.08,29-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Jan-2020 - 00:00,74.12,155.61,10.08,7.65,14.66,7.9,4.13,1.33,6.23,5.49,0.53,4.16,9.56,6.88,,63.45,400.08,10.75,168.27,30-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Jan-2020 - 00:00,150.79,233.16,12.77,9.35,17.74,18.84,14.44,1.29,5.04,8.19,0.82,4.85,11.39,8.78,,65.03,425.27,8.04,295.05,31-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Jan-2020 - 00:00,110.87,194.69,9.74,8.01,14.85,12.37,9.69,1.59,3.41,7.21,0.55,4.68,11.15,9.83,,61.64,406.22,18.83,249.86,01-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Feb-2020 - 00:00,111.06,256.21,12.14,9.66,17.71,12.93,7.98,1.78,3.56,8.87,0.89,5.6,12.53,10.92,,65.13,377.45,23.91,233.59,02-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Feb-2020 - 00:00,104.13,261.12,12.24,10.36,18.44,12.23,6.52,1.67,3.66,8.73,0.52,4.88,11.36,8.6,,63.81,429.94,7.18,270.51,03-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Feb-2020 - 00:00,120.6,273.72,11.96,10.68,18.62,12.12,9.11,1.76,4.13,8.51,0.44,4.98,12.0,8.47,,60.54,385.86,4.26,215.2,04-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Feb-2020 - 00:00,119.86,283.31,20.33,20.11,32.23,16.34,3.87,2.18,4.35,11.29,0.9,6.39,14.38,9.9,,58.18,387.0,31.51,139.77,05-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Feb-2020 - 00:00,159.08,407.4,18.76,19.96,31.26,15.46,12.13,2.22,3.33,14.26,1.51,9.19,20.27,17.77,,58.36,366.63,26.22,277.62,06-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Feb-2020 - 00:00,73.72,219.72,9.29,9.92,16.48,7.97,10.23,1.64,4.16,8.11,0.7,4.66,11.2,9.96,,60.26,421.8,26.27,210.47,07-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Feb-2020 - 00:00,118.14,340.23,16.02,16.51,26.45,11.24,10.95,2.19,4.03,13.89,2.28,8.69,19.13,17.56,,61.3,305.33,22.67,192.33,08-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Feb-2020 - 00:00,115.85,338.29,13.59,8.64,17.47,9.16,12.89,1.97,3.45,10.71,0.97,6.54,14.89,13.54,,59.78,378.85,23.22,289.54,09-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Feb-2020 - 00:00,93.75,302.88,11.88,8.25,16.18,8.34,9.05,1.88,4.61,10.32,0.84,5.82,13.84,11.81,,60.42,397.26,27.05,217.51,10-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Feb-2020 - 00:00,144.24,340.48,15.32,8.62,18.36,10.82,10.02,2.36,3.24,12.48,1.19,8.24,18.22,13.65,,59.47,399.28,20.29,228.62,11-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Feb-2020 - 00:00,237.56,410.23,21.75,10.69,23.74,19.36,10.99,2.5,3.3,15.73,1.52,11.64,26.67,23.82,,55.68,388.0,9.32,243.43,12-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Feb-2020 - 00:00,172.32,418.1,12.4,6.75,15.0,12.06,12.34,2.09,3.48,13.83,1.46,8.86,19.38,17.35,,58.14,391.69,8.2,267.81,13-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Feb-2020 - 00:00,92.31,271.34,7.76,5.68,11.54,7.88,9.16,1.52,4.27,5.24,0.32,3.83,9.63,7.46,,45.29,442.09,9.0,293.8,14-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Feb-2020 - 00:00,75.34,281.02,6.43,5.62,10.77,7.04,5.81,1.35,4.71,4.39,0.24,2.28,5.86,3.89,,46.14,444.68,8.77,301.78,15-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Feb-2020 - 00:00,71.52,247.96,8.3,5.9,12.03,7.79,11.83,1.55,3.4,6.22,0.35,4.69,11.65,9.9,,38.91,464.82,12.03,275.15,16-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Feb-2020 - 00:00,107.21,304.26,10.76,6.35,13.75,10.33,17.06,1.93,3.14,9.53,0.84,6.74,16.08,13.8,,43.75,445.48,12.67,276.81,17-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Feb-2020 - 00:00,117.31,322.56,12.66,7.23,15.61,12.86,13.48,2.02,3.36,12.22,1.07,7.97,17.95,15.78,,46.4,438.45,9.03,263.33,18-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Feb-2020 - 00:00,86.4,253.13,7.31,5.67,11.28,7.38,15.04,1.55,4.27,7.32,0.31,3.97,9.65,8.39,,36.01,471.09,19.01,279.18,19-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Feb-2020 - 00:00,71.07,209.54,12.88,6.69,15.19,26.13,8.37,2.44,9.83,5.54,0.23,1.39,3.45,1.77,,49.69,419.45,17.35,94.68,20-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Feb-2020 - 00:00,63.75,167.7,7.08,5.4,10.49,15.6,3.29,1.23,11.29,5.13,0.1,0.78,2.17,1.02,,56.2,424.89,16.49,97.01,21-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Feb-2020 - 00:00,21.95,135.61,3.17,5.57,7.05,3.71,8.75,1.18,9.16,7.93,1.27,11.25,6.28,13.57,22.53,53.23,138.08,19.94,293.21,25-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Feb-2020 - 00:00,31.03,165.74,3.1,5.77,7.23,5.35,13.04,1.26,7.63,9.53,0.89,13.38,6.34,14.51,20.47,62.84,368.13,21.15,266.12,26-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Feb-2020 - 00:00,39.55,162.77,2.75,5.74,7.01,6.99,7.63,1.35,10.97,9.94,1.32,11.62,5.87,12.91,20.83,65.08,403.16,13.2,185.9,27-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Feb-2020 - 00:00,30.32,89.27,1.55,5.41,6.01,4.41,3.81,0.86,12.14,6.15,0.12,1.61,1.22,3.27,20.1,73.57,352.33,6.55,108.92,28-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Feb-2020 - 00:00,30.28,90.07,1.41,5.27,5.77,3.76,2.36,0.8,13.44,5.36,0.1,1.14,0.87,2.43,20.18,72.96,372.36,7.61,110.19,29-Feb-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Feb-2020 - 00:00,32.1,76.77,1.26,5.38,5.77,3.47,2.16,0.71,12.12,4.14,0.08,1.01,0.8,2.14,19.66,75.98,250.35,7.24,110.6,01-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Mar-2020 - 00:00,43.89,91.02,3.13,5.66,7.17,6.86,2.29,1.9,12.4,6.58,0.43,4.74,3.8,8.81,21.88,66.58,526.82,9.29,155.68,02-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Mar-2020 - 00:00,123.72,217.44,3.67,6.22,7.94,10.41,5.77,1.72,10.35,12.86,1.28,19.33,10.65,22.83,21.28,76.08,367.51,11.85,189.11,03-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Mar-2020 - 00:00,110.01,207.32,2.99,5.93,7.2,9.47,8.35,1.65,8.89,11.99,1.47,19.2,10.44,18.53,22.51,59.54,444.57,15.2,220.63,04-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Mar-2020 - 00:00,50.67,108.18,1.22,5.34,5.71,3.91,5.32,0.93,9.41,6.07,0.39,2.79,2.0,1.14,19.85,66.84,268.62,7.83,129.84,05-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Mar-2020 - 00:00,19.96,33.14,8.31,5.21,8.15,5.86,6.72,0.55,11.9,1.64,0.16,0.67,0.44,0.29,18.72,71.38,370.29,6.37,99.59,06-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Mar-2020 - 00:00,12.41,29.22,18.82,5.14,14.86,13.48,1.2,0.41,10.42,1.67,0.09,1.0,0.73,0.45,16.28,86.75,241.44,7.47,122.26,07-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Mar-2020 - 00:00,23.58,53.9,22.14,5.03,16.49,15.33,2.21,0.75,7.7,3.43,0.29,2.51,1.97,1.1,17.18,78.78,311.6,8.58,135.86,08-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Mar-2020 - 00:00,23.98,112.57,25.82,5.19,18.57,17.72,6.71,1.05,5.91,5.67,0.5,7.94,4.2,2.08,19.54,60.53,567.64,22.66,263.24,09-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Mar-2020 - 00:00,29.27,161.43,26.71,5.24,19.09,18.43,5.77,0.99,5.67,5.35,0.31,4.67,3.59,1.84,19.83,54.54,552.69,28.62,293.8,10-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Mar-2020 - 00:00,28.32,99.49,19.11,4.99,14.87,13.6,4.77,0.88,8.07,4.35,0.21,2.88,2.15,1.11,15.38,71.73,458.69,13.45,218.51,11-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Mar-2020 - 00:00,25.48,66.49,15.41,5.08,13.03,11.56,2.74,0.69,10.26,3.6,5.02,1.17,1.25,1.77,22.4,63.35,456.81,7.93,111.23,12-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Mar-2020 - 00:00,46.92,109.25,19.8,5.19,15.44,14.64,3.23,0.72,7.19,3.72,17.25,4.17,2.89,7.18,21.72,61.08,463.93,9.82,163.57,13-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Mar-2020 - 00:00,70.82,135.53,25.33,5.24,18.36,17.97,4.77,0.78,7.64,4.74,24.34,5.61,3.45,7.55,,,,12.52,187.53,14-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Mar-2020 - 00:00,29.13,61.49,21.25,5.1,16.1,15.73,3.59,0.74,7.4,3.37,24.28,5.52,3.23,6.84,19.44,64.49,358.51,9.31,167.71,15-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Mar-2020 - 00:00,31.6,88.72,25.79,5.3,18.67,18.94,7.92,0.65,6.94,4.23,26.99,6.54,3.69,7.87,18.97,62.73,492.57,13.42,210.62,16-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Mar-2020 - 00:00,30.3,141.59,27.14,5.2,19.27,19.7,8.05,0.95,7.17,5.35,32.37,7.27,5.23,10.38,21.14,56.4,387.9,24.78,300.53,17-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Mar-2020 - 00:00,29.43,169.69,27.14,5.21,19.29,19.6,13.83,1.01,6.91,6.01,43.01,8.36,5.36,11.52,22.76,51.36,523.7,25.46,305.42,18-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Mar-2020 - 00:00,44.54,180.62,31.54,5.37,21.74,22.6,13.46,1.21,6.55,8.37,52.06,16.21,9.21,18.05,23.33,52.21,502.92,23.32,280.38,19-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Mar-2020 - 00:00,49.5,139.21,43.96,5.28,28.13,29.77,11.78,1.44,10.54,5.71,41.4,8.84,3.25,6.92,24.41,55.44,487.94,15.76,213.39,20-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Mar-2020 - 00:00,41.7,85.42,22.47,5.2,16.83,16.95,7.72,1.03,11.49,7.54,44.3,11.09,6.0,12.47,24.56,59.17,404.4,8.21,134.8,21-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Mar-2020 - 00:00,26.26,46.41,23.47,5.14,17.29,17.48,8.76,0.99,11.17,6.13,41.36,14.09,8.26,14.75,25.16,46.31,415.55,13.13,221.26,22-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Mar-2020 - 00:00,30.46,44.92,18.55,5.16,14.74,14.3,5.69,0.66,11.55,5.52,31.37,5.49,3.62,6.79,25.63,48.26,493.32,17.39,228.77,23-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Mar-2020 - 00:00,24.81,51.12,18.17,5.25,14.63,14.39,5.53,0.77,10.51,4.27,24.48,3.13,2.71,5.6,25.38,50.73,465.47,13.08,201.22,24-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Mar-2020 - 00:00,31.31,57.64,16.95,5.17,13.92,13.55,6.02,0.77,10.16,5.47,20.07,1.55,1.54,3.69,24.55,53.52,305.83,9.4,156.4,25-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Mar-2020 - 00:00,22.16,50.62,32.75,5.2,22.21,22.95,3.07,0.56,10.64,2.87,21.4,2.34,1.75,3.78,25.96,51.09,521.25,16.03,210.8,26-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,28-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Apr-2020 - 00:00,8.01,48.88,96.85,6.16,56.63,73.92,3.12,0.6,17.01,1.63,14.11,0.94,0.65,1.52,26.27,45.77,,31.29,314.19,02-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Apr-2020 - 00:00,48.83,73.57,26.32,5.44,19.08,31.95,3.87,0.54,13.48,1.21,10.68,0.53,0.51,1.26,25.93,41.78,485.04,28.16,309.15,03-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Apr-2020 - 00:00,45.86,63.14,17.92,5.16,14.41,23.33,4.07,0.74,12.43,1.74,12.23,0.75,0.69,1.66,25.11,33.67,495.72,27.74,297.25,04-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Apr-2020 - 00:00,41.38,55.0,14.86,5.18,12.83,21.41,3.93,0.93,11.03,2.09,14.49,1.48,1.25,3.04,26.4,32.79,478.69,27.11,308.16,05-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Apr-2020 - 00:00,42.1,54.98,14.76,5.33,12.94,21.93,5.16,1.07,15.84,3.84,20.55,2.86,1.96,4.32,27.15,38.0,521.74,13.91,198.63,06-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Apr-2020 - 00:00,43.19,62.77,14.81,5.25,12.88,21.98,4.97,1.03,13.81,4.12,17.9,1.6,1.26,2.9,29.6,31.72,527.75,20.68,264.78,07-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Apr-2020 - 00:00,37.66,61.7,14.74,5.16,12.76,21.1,5.23,0.88,11.94,1.71,13.1,0.74,0.7,1.63,28.17,35.35,506.31,22.92,306.73,08-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Apr-2020 - 00:00,34.31,60.52,13.72,5.26,12.32,19.7,3.94,0.84,10.12,1.54,12.29,0.71,0.7,1.66,27.65,31.24,501.44,28.21,309.99,09-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Apr-2020 - 00:00,33.58,57.93,13.15,5.26,12.02,19.3,4.34,0.91,10.14,2.23,14.98,1.07,0.92,2.08,26.9,32.0,497.4,27.81,295.06,10-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Apr-2020 - 00:00,39.17,65.5,14.89,5.3,12.97,20.42,4.76,1.07,11.16,3.44,20.33,2.27,1.67,3.52,29.48,28.53,507.34,18.82,259.68,11-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Apr-2020 - 00:00,48.54,68.55,17.16,5.27,14.13,22.4,6.09,1.14,13.97,5.46,27.55,4.24,3.09,5.82,30.89,30.0,498.77,19.05,241.98,12-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Apr-2020 - 00:00,36.66,61.12,14.31,5.3,12.66,19.7,4.89,0.95,11.03,2.62,14.09,1.22,0.92,2.04,30.31,30.31,472.71,27.81,294.57,13-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Apr-2020 - 00:00,51.48,64.18,15.79,5.41,13.54,20.92,6.7,1.14,13.38,4.62,19.19,2.88,1.97,3.97,31.73,30.05,514.44,24.9,275.82,14-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Apr-2020 - 00:00,52.96,70.94,17.92,5.32,14.57,22.41,6.88,1.21,13.67,4.95,28.81,3.11,2.28,4.65,33.2,28.34,428.23,12.91,196.66,15-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Apr-2020 - 00:00,80.12,108.59,23.82,5.26,17.6,23.03,12.01,2.04,10.22,9.23,20.69,2.39,1.92,4.11,30.18,30.36,153.82,11.65,189.58,16-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Apr-2020 - 00:00,63.81,88.2,17.34,5.19,14.14,14.05,7.72,0.81,17.54,4.99,14.89,2.22,1.01,2.06,32.79,22.76,442.9,24.03,287.17,17-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Apr-2020 - 00:00,39.73,68.27,12.71,5.11,11.64,10.89,4.92,0.85,13.17,0.01,0.01,0.02,0.0,0.0,32.23,24.46,394.24,14.41,227.93,18-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Apr-2020 - 00:00,39.19,72.21,13.7,5.15,12.2,11.75,4.53,0.99,13.6,0.02,0.02,0.01,0.01,0.0,24.97,35.16,,6.29,140.74,19-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Apr-2020 - 00:00,38.0,60.88,11.01,5.13,10.77,10.29,4.03,1.0,13.09,0.01,0.01,0.02,0.01,0.01,29.91,31.55,468.05,20.54,254.08,20-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Apr-2020 - 00:00,42.35,68.72,9.69,5.18,10.14,9.8,6.37,1.15,10.02,0.01,0.02,0.02,0.01,0.01,26.97,38.13,186.64,16.1,227.1,21-Apr-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
