from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,272.99,482.33,100.3,40.65,92.21,61.71,2.97,3.3,4.75,0.82,1.48,15.69,29.64,21.37,,77.76,297.0,10.11,119.06,02-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Jan-2020 - 00:00,207.1,411.7,122.46,47.46,110.47,63.67,6.68,3.25,4.3,0.84,2.02,22.68,42.12,36.06,,69.33,300.32,10.11,153.26,03-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Jan-2020 - 00:00,160.31,316.62,115.74,49.03,108.49,83.6,7.21,2.56,3.93,0.66,1.89,16.72,34.11,27.1,,69.86,331.46,6.2,125.32,04-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Jan-2020 - 00:00,196.5,419.67,111.32,43.48,100.74,81.33,7.42,2.26,4.25,0.52,1.72,13.1,24.78,25.37,,81.24,303.32,8.5,187.07,05-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Jan-2020 - 00:00,141.53,287.76,61.64,10.41,42.4,39.2,8.34,0.02,10.34,0.14,0.44,5.44,11.15,7.22,,51.02,343.62,8.57,257.8,06-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Jan-2020 - 00:00,178.49,287.57,66.82,18.09,52.63,48.04,6.35,1.24,4.51,0.19,0.44,5.93,13.74,10.28,,64.83,158.25,10.6,142.21,07-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Jan-2020 - 00:00,107.97,174.33,32.76,7.26,24.22,30.58,2.58,0.93,5.15,0.1,0.23,1.82,4.49,2.14,,80.09,144.04,12.21,76.84,08-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Jan-2020 - 00:00,143.03,185.79,46.41,14.11,38.07,39.91,3.16,1.42,2.72,0.12,0.41,3.41,8.47,6.18,,93.9,29.61,13.35,162.25,09-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Jan-2020 - 00:00,95.2,193.14,51.55,11.71,38.4,28.58,6.13,1.26,5.03,0.1,0.51,3.52,8.16,5.37,,79.69,320.54,11.19,306.99,10-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Jan-2020 - 00:00,129.85,326.9,71.84,17.99,55.15,33.65,8.67,1.8,4.7,0.18,0.59,6.62,14.52,11.46,,74.04,356.07,8.88,284.87,11-Jan-2020 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
