from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WD,RH,BP,to date,station
05-May-2020 - 00:00,9.07,12.06,13.38,6.89,0.68,0.66,63.56,30.68,72.92,0.99,1.97,23.71,128.05,49.62,719.34,06-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-May-2020 - 00:00,8.19,12.13,13.38,7.18,0.99,0.6,53.3,23.22,49.81,0.97,6.66,24.25,123.1,58.59,719.04,07-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-May-2020 - 00:00,4.43,15.34,14.22,9.43,1.57,0.76,46.16,30.23,64.34,1.25,1.67,23.88,140.85,59.7,718.99,08-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-May-2020 - 00:00,9.24,12.16,13.57,7.23,0.98,0.54,50.45,23.38,48.91,1.21,4.62,24.02,115.01,61.77,719.26,09-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-May-2020 - 00:00,8.79,14.78,12.94,8.93,1.32,0.48,46.32,23.78,50.23,0.99,0.82,23.35,242.21,52.57,719.31,10-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-May-2020 - 00:00,11.09,10.77,12.66,6.46,0.95,0.44,50.15,20.4,45.17,0.76,5.51,23.13,221.85,49.26,719.09,11-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-May-2020 - 00:00,11.25,13.19,11.86,8.51,1.85,0.52,48.62,21.33,46.52,0.74,6.3,23.18,255.31,48.68,719.15,12-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-May-2020 - 00:00,6.55,14.96,12.01,10.62,3.27,0.78,35.63,14.49,43.0,0.82,5.93,23.47,244.21,52.28,718.51,13-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-May-2020 - 00:00,9.66,11.37,13.15,6.84,1.0,0.32,39.48,15.14,35.3,0.72,7.97,23.57,155.33,54.89,718.0,14-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-May-2020 - 00:00,8.27,15.54,12.44,10.11,2.31,0.63,44.5,24.65,52.47,1.02,5.44,23.33,176.69,54.05,717.18,15-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-May-2020 - 00:00,10.76,16.89,11.91,12.39,4.19,0.88,32.55,16.53,44.9,1.02,2.0,23.13,171.02,51.11,716.47,16-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-May-2020 - 00:00,11.09,19.72,13.68,13.21,3.42,0.76,39.46,30.2,75.32,1.44,0.72,23.53,114.93,56.2,716.11,17-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-May-2020 - 00:00,7.87,12.05,13.74,7.63,1.62,0.51,51.63,20.56,47.56,0.86,2.81,23.62,116.08,59.03,715.29,18-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-May-2020 - 00:00,9.57,13.11,12.96,8.5,2.01,0.62,48.04,17.42,41.66,0.61,8.11,24.94,92.2,71.91,713.55,19-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-May-2020 - 00:00,7.68,13.16,11.29,9.12,2.68,0.68,33.2,19.97,72.09,0.61,10.46,24.11,91.11,65.4,715.22,20-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-May-2020 - 00:00,10.36,13.73,10.27,9.67,2.92,0.57,29.09,15.21,54.68,0.53,8.41,23.98,86.34,61.97,716.5,21-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-May-2020 - 00:00,6.59,14.02,10.4,9.46,2.46,0.52,33.47,15.71,53.14,0.54,9.1,24.33,90.7,61.34,718.16,22-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-May-2020 - 00:00,5.75,14.59,10.67,10.04,2.99,0.6,46.29,15.55,50.9,0.59,8.14,24.05,97.27,61.43,718.8,23-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-May-2020 - 00:00,7.94,14.86,10.72,9.27,1.76,0.54,52.87,21.25,55.07,0.75,4.95,23.75,95.69,57.97,719.01,24-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-May-2020 - 00:00,7.21,9.0,12.06,5.13,0.47,0.41,39.57,17.25,42.19,0.44,5.52,24.67,113.02,73.41,719.59,25-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-May-2020 - 00:00,6.5,15.57,12.15,9.38,1.39,0.53,42.92,19.79,46.7,0.5,5.86,24.39,104.31,69.21,720.41,26-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-May-2020 - 00:00,5.91,14.28,12.42,8.99,1.85,0.5,44.48,15.86,37.76,0.23,6.02,25.27,102.1,70.68,720.17,27-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-May-2020 - 00:00,7.82,18.66,11.74,12.68,3.39,0.57,33.05,17.17,41.51,0.26,5.67,25.14,105.67,75.29,719.38,28-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-May-2020 - 00:00,6.73,17.25,11.05,11.38,2.71,0.37,34.41,17.57,46.42,0.25,6.16,25.23,93.25,72.25,718.67,29-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-May-2020 - 00:00,7.43,14.97,11.52,11.06,3.81,0.59,42.14,16.63,42.1,0.43,3.38,26.86,110.25,74.71,720.1,30-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-May-2020 - 00:00,8.62,0.1,3.51,0.07,0.15,0.28,32.23,20.92,67.47,0.54,0.62,25.5,162.52,70.14,721.9,31-May-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-May-2020 - 00:00,10.9,0.12,3.5,0.08,0.13,0.42,38.65,24.38,50.0,0.23,3.12,24.47,118.41,68.42,719.66,01-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Jun-2020 - 00:00,9.23,4.64,2.11,2.36,0.15,0.4,27.47,6.88,21.25,0.12,9.13,23.22,98.94,71.01,720.39,02-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jun-2020 - 00:00,8.72,5.63,1.4,2.99,0.13,0.16,22.34,5.24,19.04,0.11,8.48,21.51,84.04,73.31,719.94,03-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jun-2020 - 00:00,11.46,5.64,1.39,2.99,0.16,0.55,23.98,5.13,17.67,0.1,7.83,21.7,77.56,73.39,719.39,04-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jun-2020 - 00:00,11.36,5.65,1.4,2.99,0.12,0.46,21.42,5.91,25.41,0.12,8.73,21.46,78.42,72.42,719.69,05-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jun-2020 - 00:00,8.74,78.71,6.69,59.95,3.07,0.47,20.62,69.47,113.7,1.61,0.66,21.9,79.14,68.39,719.72,06-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jun-2020 - 00:00,10.11,51.9,,30.57,3.63,0.23,22.24,13.05,34.65,0.1,6.75,21.36,91.59,74.82,718.66,07-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jun-2020 - 00:00,9.05,30.33,0.42,18.29,2.65,0.47,20.28,10.97,30.43,0.54,7.43,21.58,81.09,74.07,718.99,08-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jun-2020 - 00:00,7.9,37.44,2.9,26.85,8.53,0.64,20.79,12.48,44.25,0.68,7.12,21.03,88.32,65.62,718.55,09-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Jun-2020 - 00:00,14.54,35.48,5.0,23.52,5.72,0.63,19.9,16.38,44.83,0.71,7.3,21.13,81.28,68.74,718.39,10-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jun-2020 - 00:00,9.95,34.75,6.85,28.2,11.96,0.61,15.12,47.71,83.56,2.9,1.38,21.56,86.86,73.51,717.39,11-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jun-2020 - 00:00,9.84,30.28,7.05,25.18,11.16,0.68,16.77,20.1,40.42,2.05,5.99,21.83,90.81,74.62,716.14,12-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jun-2020 - 00:00,8.51,28.49,7.66,20.99,7.18,0.47,21.04,11.07,28.7,0.97,8.45,21.97,80.15,70.61,716.15,13-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jun-2020 - 00:00,12.45,28.43,8.32,20.11,6.14,0.58,17.91,19.22,39.64,1.29,7.33,22.4,76.5,77.65,716.53,14-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jun-2020 - 00:00,8.96,20.43,8.17,14.17,4.05,0.45,18.95,16.09,30.99,1.04,6.08,21.82,79.52,74.5,717.9,15-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jun-2020 - 00:00,13.47,20.65,7.99,15.59,5.66,0.51,19.8,11.83,32.76,0.57,7.07,21.28,79.05,70.81,718.0,16-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jun-2020 - 00:00,9.89,22.35,8.09,15.96,5.01,0.53,18.13,13.11,36.36,0.53,6.94,21.42,75.9,74.91,717.26,17-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jun-2020 - 00:00,11.3,21.5,8.21,15.88,5.46,0.48,16.5,11.54,37.3,0.43,6.82,21.16,74.94,76.83,717.98,18-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jun-2020 - 00:00,9.11,18.96,9.24,15.51,6.66,1.07,11.34,79.11,124.11,4.36,0.11,18.92,76.8,77.89,719.41,19-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jun-2020 - 00:00,8.9,16.14,8.15,12.27,4.52,0.64,11.47,29.0,60.0,1.77,,18.92,78.52,74.2,720.02,20-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jun-2020 - 00:00,11.42,17.01,7.96,13.91,5.99,0.68,15.03,13.53,42.62,0.85,4.42,18.4,84.8,68.42,719.82,21-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jun-2020 - 00:00,10.43,9.95,7.87,7.21,2.36,0.44,15.61,11.47,30.79,0.66,4.87,18.62,80.49,74.89,719.05,22-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jun-2020 - 00:00,9.15,14.1,7.95,13.49,7.37,0.74,15.04,16.26,37.03,1.04,4.3,18.88,86.9,74.12,717.94,23-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jun-2020 - 00:00,6.72,14.38,7.98,11.4,4.63,0.71,19.05,18.11,49.72,0.84,5.19,18.48,87.73,69.05,718.77,24-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Jun-2020 - 00:00,8.32,12.98,7.86,10.16,3.99,0.72,18.6,14.86,40.43,0.56,3.88,18.53,99.73,74.47,717.99,25-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jun-2020 - 00:00,13.59,18.76,7.87,16.52,8.04,0.9,18.09,17.38,32.52,0.67,2.54,18.84,117.06,79.46,716.72,26-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jun-2020 - 00:00,11.78,13.14,7.71,9.33,2.88,0.46,19.91,14.19,22.42,0.42,4.37,18.59,86.71,80.0,716.34,27-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jun-2020 - 00:00,10.97,15.64,8.22,11.19,3.54,0.76,17.56,11.31,27.09,0.54,3.66,18.55,79.1,75.33,717.81,28-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jun-2020 - 00:00,6.51,9.68,7.81,6.93,2.19,0.53,19.35,8.18,17.84,0.31,3.98,18.34,86.79,73.82,717.65,29-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jun-2020 - 00:00,7.19,11.06,7.86,8.62,3.36,0.54,17.66,9.63,24.66,0.39,3.52,18.42,85.62,75.12,717.3,30-Jun-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jun-2020 - 00:00,9.05,11.53,7.68,9.22,3.79,0.72,16.92,11.21,20.4,0.38,2.85,18.69,84.58,73.54,716.9,01-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Jul-2020 - 00:00,9.65,11.7,7.73,8.7,3.05,0.47,17.15,8.86,25.45,0.36,4.62,18.41,75.78,71.61,717.52,02-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jul-2020 - 00:00,11.2,12.96,7.75,11.92,6.18,0.78,11.2,7.66,18.52,0.51,4.12,19.06,76.92,81.86,716.67,03-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jul-2020 - 00:00,12.04,12.9,7.85,10.73,4.76,0.46,14.71,7.06,18.83,0.49,5.29,19.3,81.28,81.34,716.07,04-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jul-2020 - 00:00,12.19,10.54,8.07,8.52,3.58,0.54,15.97,7.51,21.28,0.42,5.56,18.98,77.85,77.62,716.12,05-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jul-2020 - 00:00,10.91,5.23,7.83,3.2,0.54,0.47,16.94,5.8,20.26,0.24,5.26,19.06,74.11,79.76,716.1,06-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jul-2020 - 00:00,14.07,10.64,7.92,8.36,3.32,0.64,14.33,9.87,28.24,0.4,4.82,19.24,75.45,77.41,716.39,07-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jul-2020 - 00:00,13.31,10.5,7.94,8.19,3.21,0.37,15.38,7.76,22.05,0.44,5.2,18.99,77.86,76.43,718.16,08-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jul-2020 - 00:00,10.71,10.21,8.03,8.05,3.22,0.48,14.08,5.44,17.83,0.35,4.8,18.89,81.54,78.89,718.66,09-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Jul-2020 - 00:00,9.54,10.84,7.96,9.51,4.61,0.48,14.01,6.35,19.22,0.46,4.65,19.03,88.86,77.77,717.22,10-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jul-2020 - 00:00,11.21,12.72,8.04,10.19,4.22,0.6,13.42,9.12,22.27,0.51,4.97,19.19,78.64,80.34,717.54,11-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jul-2020 - 00:00,9.86,11.81,8.11,8.76,3.04,0.39,16.48,6.88,23.51,0.47,4.32,19.01,81.17,70.3,718.48,12-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jul-2020 - 00:00,9.97,5.64,8.16,3.55,0.69,0.42,22.39,10.28,16.51,0.38,5.42,18.79,82.84,68.16,718.04,13-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jul-2020 - 00:00,11.93,13.22,8.46,10.9,4.76,0.69,20.3,25.43,51.09,1.15,2.91,19.02,94.47,70.86,717.09,14-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jul-2020 - 00:00,10.27,13.01,8.17,11.77,5.96,0.94,12.63,21.74,46.94,1.18,1.62,18.85,87.26,73.6,716.98,15-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jul-2020 - 00:00,13.14,6.54,7.99,4.19,0.87,0.45,14.54,18.6,33.65,0.5,3.01,19.33,75.1,81.83,715.93,16-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jul-2020 - 00:00,12.0,6.66,7.97,4.62,1.32,0.51,12.44,13.7,32.42,0.31,0.56,19.76,76.27,85.77,714.7,17-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jul-2020 - 00:00,10.28,5.92,7.81,4.01,1.07,0.4,15.53,9.06,28.81,0.26,0.48,19.61,75.79,81.29,716.4,18-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jul-2020 - 00:00,9.66,6.23,7.81,4.21,1.14,0.46,15.53,8.61,32.99,0.27,0.49,19.12,80.2,78.89,717.23,19-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jul-2020 - 00:00,11.34,7.21,7.76,4.86,1.33,0.45,16.49,10.51,30.04,0.32,0.56,18.78,145.09,75.85,717.92,20-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jul-2020 - 00:00,10.84,6.97,7.78,4.74,1.3,0.51,18.55,9.28,29.03,0.32,0.55,19.06,109.44,78.19,715.8,21-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jul-2020 - 00:00,8.22,6.97,7.71,4.41,0.92,0.45,21.43,9.28,23.42,0.24,0.4,18.81,105.74,69.26,717.16,22-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jul-2020 - 00:00,11.59,12.04,8.37,7.43,1.39,0.52,29.97,27.7,47.39,0.33,0.57,18.78,147.21,65.49,718.2,23-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jul-2020 - 00:00,11.7,11.62,8.27,7.6,1.82,0.48,25.04,29.62,46.62,0.42,0.75,18.83,111.22,70.43,717.89,24-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Jul-2020 - 00:00,10.23,9.01,8.24,6.3,1.92,0.47,15.89,32.93,54.45,0.45,0.76,19.04,83.69,76.43,718.44,25-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jul-2020 - 00:00,12.57,9.94,7.91,7.94,3.28,0.42,15.56,22.36,42.22,0.71,1.28,18.95,82.43,73.92,719.42,26-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jul-2020 - 00:00,8.0,5.76,8.45,3.64,0.71,0.37,18.61,16.53,28.98,0.19,0.35,20.57,83.07,74.3,720.66,27-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jul-2020 - 00:00,10.31,10.89,8.28,9.76,4.89,0.66,16.22,24.4,48.11,1.05,1.87,18.89,93.52,72.07,719.78,28-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jul-2020 - 00:00,8.26,12.04,8.08,12.27,7.21,0.83,13.95,23.02,52.74,1.53,2.73,18.94,108.83,72.03,718.09,29-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jul-2020 - 00:00,5.7,11.78,7.84,11.78,6.79,0.85,11.44,19.48,44.34,1.44,2.58,19.03,94.09,83.1,716.19,30-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jul-2020 - 00:00,7.92,9.54,7.62,8.01,3.61,0.59,12.87,15.54,31.52,0.79,1.4,18.98,80.68,78.11,717.14,31-Jul-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Jul-2020 - 00:00,5.94,9.0,8.03,7.11,2.86,0.81,14.0,28.83,47.18,0.63,1.13,18.99,83.33,76.69,716.28,01-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Aug-2020 - 00:00,6.72,8.86,7.84,7.16,3.01,0.63,13.1,18.88,33.78,0.66,1.18,19.09,80.59,80.62,717.08,02-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Aug-2020 - 00:00,5.76,5.99,7.99,4.16,1.2,0.46,16.55,17.02,29.36,0.28,0.52,20.35,77.86,77.5,717.78,03-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Aug-2020 - 00:00,5.48,8.65,7.89,7.41,3.46,0.7,13.92,25.7,43.68,0.77,1.35,19.18,78.9,79.0,716.61,04-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Aug-2020 - 00:00,6.86,7.66,7.73,6.45,2.93,0.52,14.34,18.91,32.81,0.64,1.16,19.29,82.39,79.35,715.16,05-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Aug-2020 - 00:00,7.23,9.84,7.94,8.21,3.65,0.69,14.58,27.72,47.03,0.79,1.42,19.31,78.0,80.32,713.32,06-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Aug-2020 - 00:00,6.94,9.26,7.64,7.84,3.59,0.59,12.59,21.7,43.57,0.78,1.39,19.2,79.2,77.41,714.58,07-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Aug-2020 - 00:00,8.29,9.5,7.6,7.91,3.51,0.52,12.77,16.47,36.15,0.76,1.37,19.11,76.42,77.23,717.58,08-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Aug-2020 - 00:00,6.86,9.79,7.62,8.39,3.92,0.55,12.95,18.14,34.76,0.84,1.51,19.13,81.53,79.51,718.27,09-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Aug-2020 - 00:00,7.54,7.22,7.62,5.34,1.84,0.36,15.44,16.38,28.38,0.41,0.76,19.01,79.05,83.83,717.09,10-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Aug-2020 - 00:00,10.2,13.09,7.79,9.98,3.72,0.53,16.62,19.5,35.0,0.83,1.44,19.14,77.32,80.73,717.52,11-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Aug-2020 - 00:00,9.83,15.18,8.73,13.07,6.14,0.78,14.82,58.28,87.38,1.31,2.34,19.22,80.58,78.93,719.21,12-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Aug-2020 - 00:00,7.67,11.44,7.79,9.38,4.05,0.58,16.57,24.9,54.42,0.88,1.57,19.14,79.41,75.46,720.19,13-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Aug-2020 - 00:00,8.33,12.43,7.75,10.26,4.49,0.5,16.44,23.25,59.99,0.96,1.73,19.22,82.05,72.74,718.33,14-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Aug-2020 - 00:00,13.11,14.62,8.66,12.12,5.34,0.76,14.97,35.98,69.57,1.14,2.04,19.49,79.15,75.82,716.99,15-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Aug-2020 - 00:00,9.23,9.22,8.07,6.9,2.46,0.51,15.55,25.95,55.28,0.55,0.98,19.69,79.9,75.44,717.2,16-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Aug-2020 - 00:00,7.6,10.01,8.05,7.32,2.45,0.41,13.81,25.43,51.64,0.54,0.98,19.77,76.23,80.62,717.92,17-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Aug-2020 - 00:00,10.24,11.74,7.93,10.57,5.32,0.62,11.47,22.07,39.22,1.14,2.04,19.71,74.69,84.22,717.53,18-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Aug-2020 - 00:00,9.41,11.88,7.83,10.17,4.74,0.52,12.13,21.88,44.05,1.01,1.82,19.31,78.7,79.04,717.85,19-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Aug-2020 - 00:00,9.17,12.56,7.75,11.41,5.81,0.56,11.89,19.88,45.54,1.24,2.21,19.62,79.19,77.05,717.29,20-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Aug-2020 - 00:00,13.42,13.07,8.19,12.29,6.57,0.72,11.88,33.85,62.77,1.4,2.5,19.34,78.46,77.9,717.21,21-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Aug-2020 - 00:00,8.22,12.73,7.83,11.25,5.5,0.44,11.45,22.64,50.07,1.17,2.1,19.76,76.32,76.19,718.96,22-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Aug-2020 - 00:00,8.09,9.32,7.71,7.28,2.86,0.5,13.82,19.43,37.91,0.63,1.13,19.27,85.06,75.32,718.93,23-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Aug-2020 - 00:00,8.81,7.98,7.56,6.59,2.89,0.45,12.31,14.76,27.47,0.63,1.14,19.13,77.86,74.94,719.38,24-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Aug-2020 - 00:00,7.36,12.87,7.86,10.97,5.07,0.58,13.74,21.4,44.36,1.09,1.94,19.22,81.6,73.65,719.64,25-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Aug-2020 - 00:00,9.24,16.7,7.96,20.95,14.85,0.91,14.43,27.03,68.66,3.12,5.53,19.14,102.03,63.15,720.44,26-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Aug-2020 - 00:00,10.45,15.11,8.23,16.38,10.26,0.77,12.14,34.95,73.53,2.16,3.85,18.95,108.8,65.67,720.25,27-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Aug-2020 - 00:00,9.66,15.01,8.2,16.78,10.83,0.77,11.92,27.53,66.62,2.29,4.06,20.36,104.58,65.3,719.11,28-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Aug-2020 - 00:00,10.21,16.51,8.23,15.86,8.7,0.67,13.6,33.22,71.76,1.84,3.27,19.17,89.99,62.1,718.39,29-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Aug-2020 - 00:00,11.59,13.46,8.71,10.14,3.67,0.48,18.06,38.33,70.67,0.8,1.42,19.28,91.83,63.09,718.49,30-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Aug-2020 - 00:00,9.74,9.66,7.71,7.96,3.47,0.51,16.23,16.14,38.0,0.75,1.35,19.22,96.95,64.9,719.06,31-Aug-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Aug-2020 - 00:00,7.63,16.81,7.8,18.27,11.48,0.87,16.61,27.93,51.06,2.41,4.29,20.71,119.92,71.9,717.09,01-Sep-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Sep-2020 - 00:00,9.99,17.27,8.25,22.11,15.9,1.19,13.4,18.96,55.72,3.34,5.92,19.53,134.66,75.04,718.39,02-Sep-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Sep-2020 - 00:00,8.21,18.57,8.14,18.61,10.75,0.98,13.97,29.06,52.46,2.26,4.02,19.81,121.45,83.09,717.12,03-Sep-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Sep-2020 - 00:00,7.95,20.01,8.13,17.25,8.14,0.94,17.5,27.81,48.27,1.72,3.07,19.82,144.71,76.98,716.27,04-Sep-2020 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
