from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
27-Jan-2020 - 00:00,18.55,745.1,429.67,276.07,0.0,73.48,56.88,28.48,194.19,0.92,1.12,5.33,4.6,2.97,70.65,9.62,103.0,62.6,,23.11,28-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Jan-2020 - 00:00,18.01,743.98,227.95,176.82,0.01,78.85,68.17,29.3,229.52,1.65,0.58,3.31,2.52,1.58,50.93,19.8,61.17,47.1,,18.11,29-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Jan-2020 - 00:00,17.61,750.17,204.68,97.5,0.0,75.08,95.7,31.32,165.88,1.3,0.74,4.25,3.66,2.15,36.43,26.17,90.34,57.78,,14.26,30-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-Jan-2020 - 00:00,18.36,748.61,136.4,53.17,0.0,59.39,100.95,30.21,86.68,2.55,0.4,2.22,1.88,1.76,27.29,3.04,57.91,32.39,,14.94,31-Jan-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
31-Jan-2020 - 00:00,13.75,747.11,113.26,64.26,0.0,80.47,60.83,29.33,78.19,2.21,0.31,1.0,0.57,0.61,29.35,13.22,56.81,37.8,,10.31,01-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Feb-2020 - 00:00,16.8,751.62,183.19,109.28,0.0,67.92,110.05,31.32,92.53,1.9,0.54,2.76,2.3,1.27,35.64,4.84,67.51,39.71,,11.6,02-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Feb-2020 - 00:00,17.43,750.66,261.47,175.28,0.0,70.95,116.92,29.81,123.32,1.45,0.68,3.81,2.88,1.51,49.58,4.63,70.59,40.91,,16.4,04-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Feb-2020 - 00:00,20.17,748.57,123.0,68.5,0.0,51.21,116.21,30.67,121.0,1.26,0.36,1.63,1.19,1.96,37.86,2.1,73.64,38.72,,13.79,05-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Feb-2020 - 00:00,19.28,749.55,199.12,124.65,0.0,55.0,174.18,31.84,90.23,2.57,0.53,2.34,1.83,1.66,39.49,4.05,64.67,37.15,,25.54,06-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Feb-2020 - 00:00,17.68,749.37,349.46,191.38,0.0,54.55,86.68,33.98,90.13,1.13,1.09,4.89,3.63,2.48,49.55,27.09,129.42,82.72,,11.92,07-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Feb-2020 - 00:00,14.98,750.56,272.87,172.53,0.0,65.84,70.53,38.47,101.56,0.99,0.95,3.39,2.29,1.39,54.3,22.36,116.88,80.33,,14.44,08-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Feb-2020 - 00:00,18.9,753.5,268.71,142.29,0.0,56.82,80.79,29.06,87.57,1.44,0.83,3.84,3.27,1.72,33.9,17.66,102.35,67.74,,17.68,09-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Feb-2020 - 00:00,13.49,752.7,222.55,153.25,0.0,81.55,8.0,28.69,90.3,0.96,0.53,1.49,0.84,0.96,36.2,28.33,97.22,74.75,,11.56,10-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Feb-2020 - 00:00,18.17,752.25,390.29,212.82,0.0,61.29,70.93,29.15,68.54,1.16,1.04,4.94,4.16,2.3,45.1,14.4,123.3,77.27,,24.46,11-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Feb-2020 - 00:00,18.16,751.87,237.83,148.42,0.0,61.07,102.07,28.38,98.8,1.38,0.62,2.11,1.55,1.74,37.64,1.56,64.04,34.35,,19.42,12-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Feb-2020 - 00:00,21.33,749.85,273.42,142.58,0.0,57.26,92.29,28.69,66.06,2.17,0.65,2.8,2.0,1.67,40.78,2.84,77.49,43.52,,25.6,13-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Feb-2020 - 00:00,18.51,747.74,154.69,88.35,0.0,71.94,80.15,29.24,88.32,2.48,0.4,1.29,0.71,0.79,35.37,17.42,59.33,40.96,,12.45,14-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Feb-2020 - 00:00,24.52,743.56,210.83,58.72,0.0,45.61,162.94,29.07,88.56,3.58,0.37,1.71,1.74,1.23,30.56,1.26,43.11,23.96,,18.66,15-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Feb-2020 - 00:00,24.32,744.81,175.0,84.0,0.0,52.44,133.56,29.59,143.38,1.78,0.47,2.92,2.41,1.35,36.74,1.59,59.17,32.79,,20.69,16-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Feb-2020 - 00:00,23.44,749.0,203.94,100.03,0.0,48.0,104.75,30.02,79.42,2.44,0.48,2.28,1.79,1.74,35.92,1.26,67.27,36.73,,20.47,18-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Feb-2020 - 00:00,19.85,747.33,226.08,115.42,0.0,61.12,120.92,30.24,85.25,2.5,0.47,1.48,0.96,0.93,36.11,23.5,83.46,63.51,,32.77,19-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Feb-2020 - 00:00,24.0,747.81,231.57,135.57,0.0,54.62,159.56,31.82,267.38,1.93,0.57,2.89,1.84,1.81,50.96,1.92,54.26,30.42,,24.2,20-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Feb-2020 - 00:00,24.57,746.41,227.5,119.0,0.0,61.03,102.68,31.23,267.97,2.64,0.51,2.76,1.99,1.0,44.35,1.26,43.08,22.04,,10.76,21-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Feb-2020 - 00:00,17.96,750.0,29.29,19.29,0.0,78.25,43.5,31.93,165.62,2.43,0.34,3.92,2.07,0.55,25.86,1.48,34.57,18.95,,10.89,22-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Feb-2020 - 00:00,23.21,752.45,215.67,117.0,0.0,62.95,97.9,29.54,174.95,0.74,0.81,5.25,4.51,2.4,30.59,13.87,112.08,70.87,,30.51,23-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Feb-2020 - 00:00,26.51,746.91,92.7,66.9,0.0,47.14,201.32,31.69,124.82,1.34,0.39,2.26,2.08,1.44,31.94,2.86,46.34,26.99,,19.74,25-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-Feb-2020 - 00:00,23.69,746.14,74.21,54.14,0.0,63.43,158.71,27.98,260.29,1.76,0.26,1.54,0.93,0.83,30.72,30.58,41.66,32.73,,12.77,26-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Feb-2020 - 00:00,21.24,748.0,109.86,61.57,0.0,71.44,88.0,28.45,278.12,1.51,0.41,3.01,2.16,1.28,26.03,1.72,42.24,23.64,,12.49,27-Feb-2020 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
