from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
01-Jan-2020 - 00:00,85.62,43.94,92.98,10.27,4.31,27.67,458.44,399.66,11.44,02-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
02-Jan-2020 - 00:00,90.48,50.56,100.45,11.5,4.46,33.98,492.06,453.82,12.02,03-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
03-Jan-2020 - 00:00,94.55,64.72,111.29,10.7,3.19,20.03,220.53,199.48,7.21,04-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
04-Jan-2020 - 00:00,82.9,65.8,102.4,16.01,2.92,18.42,255.95,224.25,5.87,05-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
05-Jan-2020 - 00:00,37.06,45.11,54.12,20.33,1.32,10.15,172.66,149.41,5.38,06-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
06-Jan-2020 - 00:00,40.17,48.59,58.5,10.1,1.44,11.15,173.71,140.26,5.99,07-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
07-Jan-2020 - 00:00,55.42,51.15,72.27,7.38,1.75,13.31,151.52,121.71,6.16,08-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
08-Jan-2020 - 00:00,42.75,40.95,56.54,7.42,1.37,11.23,128.16,114.65,3.37,09-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
09-Jan-2020 - 00:00,28.62,33.96,41.33,14.32,0.92,8.44,102.18,83.89,4.68,10-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
10-Jan-2020 - 00:00,34.61,28.53,43.31,21.81,1.42,20.69,150.28,116.69,11.64,11-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
11-Jan-2020 - 00:00,54.02,21.14,55.16,21.5,2.01,40.71,183.82,138.03,18.9,12-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
12-Jan-2020 - 00:00,85.97,19.03,79.98,20.79,2.99,56.76,274.21,208.81,17.95,13-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
13-Jan-2020 - 00:00,88.87,22.21,83.72,7.19,2.86,55.95,298.42,232.03,14.94,14-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
14-Jan-2020 - 00:00,41.27,17.74,42.91,9.25,1.22,29.43,172.19,142.44,11.43,15-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
15-Jan-2020 - 00:00,42.06,21.54,45.59,10.49,1.21,30.54,158.59,123.21,14.31,16-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
16-Jan-2020 - 00:00,47.41,19.22,48.65,4.2,1.34,32.27,160.05,132.7,13.09,17-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
17-Jan-2020 - 00:00,46.7,16.83,46.86,7.38,1.39,30.83,123.81,97.86,9.75,18-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
18-Jan-2020 - 00:00,52.39,19.49,52.84,10.92,1.57,34.51,172.62,128.3,10.72,19-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
19-Jan-2020 - 00:00,31.14,16.01,33.8,17.6,1.06,23.32,152.58,119.79,7.47,20-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
20-Jan-2020 - 00:00,48.33,15.9,47.64,13.15,1.81,30.42,198.69,146.69,9.16,21-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
21-Jan-2020 - 00:00,83.05,17.82,76.49,7.33,2.64,49.01,267.96,192.91,14.16,22-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
22-Jan-2020 - 00:00,58.55,20.39,58.33,8.83,2.18,40.02,282.35,212.34,12.03,23-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
23-Jan-2020 - 00:00,33.93,18.48,37.4,22.68,0.85,25.39,108.86,72.69,10.29,24-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
24-Jan-2020 - 00:00,41.93,20.37,44.9,24.7,1.13,29.13,132.9,93.92,14.57,25-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
25-Jan-2020 - 00:00,69.08,23.8,68.79,17.54,1.98,42.98,197.34,138.84,16.03,26-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
26-Jan-2020 - 00:00,95.07,17.24,86.38,17.41,2.7,54.26,228.17,162.05,17.27,27-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
27-Jan-2020 - 00:00,100.64,27.1,96.1,7.27,2.99,60.54,260.19,172.16,23.92,28-Jan-2020 - 00:00,"ITO, Delhi - CPCB"
