from date,PM2.5,NO2,NO,NOx,SO2,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
18-Aug-2020 - 00:00,27.74,6.6,1.54,4.76,7.07,31.29,71.14,0.53,-0.78,213.84,750.0,200.72,0.0,,,40.03,19-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Aug-2020 - 00:00,18.36,12.67,2.08,8.29,6.37,28.89,77.95,0.4,-0.43,217.18,750.0,89.31,0.03,,,40.0,20-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Aug-2020 - 00:00,15.48,8.12,1.94,5.9,6.32,30.46,71.2,1.46,-0.96,211.97,750.0,202.63,0.0,,,33.39,21-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Aug-2020 - 00:00,15.48,3.23,4.64,3.01,5.56,29.22,72.83,3.44,-1.61,194.68,750.0,134.39,0.0,,,37.04,22-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Aug-2020 - 00:00,19.59,2.29,1.4,2.29,6.54,28.43,79.83,3.32,-1.73,193.91,750.0,101.33,0.02,,,38.73,23-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Aug-2020 - 00:00,18.9,2.38,1.35,2.15,6.86,28.67,76.92,1.16,-1.03,168.22,750.0,148.25,0.0,,,38.4,24-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Aug-2020 - 00:00,20.06,6.86,2.01,5.26,6.94,29.32,75.44,0.42,-0.64,135.7,750.0,153.73,0.05,,,28.77,25-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Aug-2020 - 00:00,16.33,12.09,3.15,8.99,7.94,30.68,68.51,0.24,-0.05,161.78,749.49,181.86,0.0,,,33.94,26-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Aug-2020 - 00:00,18.88,17.14,6.98,14.78,8.43,30.28,71.13,0.37,-0.21,216.63,749.0,167.33,0.12,,,34.63,27-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Aug-2020 - 00:00,14.06,10.13,2.36,7.28,7.76,29.43,75.36,0.22,-0.29,226.95,749.0,115.41,0.0,,,34.89,28-Aug-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
