from date,PM2.5,NO2,NO,NOx,SO2,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
14-Nov-2020 - 00:00,100.07,44.77,8.34,30.38,20.38,26.33,50.66,0.31,-0.21,121.96,750.0,106.43,0.0,,,17.76,15-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
15-Nov-2020 - 00:00,169.31,33.59,2.73,20.08,17.82,26.76,49.8,0.42,-0.3,168.42,749.03,103.96,0.0,,,24.01,16-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
16-Nov-2020 - 00:00,23.84,26.41,13.05,24.6,12.68,23.34,76.41,1.37,-0.51,181.34,749.33,110.91,0.13,,,10.21,17-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
17-Nov-2020 - 00:00,43.76,36.12,12.03,28.98,13.37,24.74,72.46,0.47,-0.18,151.42,749.74,125.73,0.0,,,6.16,18-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
18-Nov-2020 - 00:00,49.32,27.61,3.86,17.82,11.87,24.7,69.38,0.23,-0.21,180.67,749.0,117.51,0.0,,,14.08,19-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
19-Nov-2020 - 00:00,56.17,39.56,8.34,27.08,13.49,24.71,62.4,0.2,-0.24,127.77,749.0,82.55,0.0,,,3.0,20-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
20-Nov-2020 - 00:00,58.38,47.34,16.27,38.33,12.9,24.07,55.6,0.46,-0.14,136.37,749.0,129.49,0.0,,,6.1,21-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
21-Nov-2020 - 00:00,56.39,42.41,11.05,30.75,13.81,22.6,52.35,1.13,-0.09,149.33,749.0,123.61,0.0,,,8.3,22-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
22-Nov-2020 - 00:00,53.07,46.25,19.35,40.35,15.59,22.3,49.04,0.52,-0.15,153.4,749.0,150.82,0.0,,,5.66,23-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
23-Nov-2020 - 00:00,127.14,83.04,50.41,85.07,20.3,22.69,53.61,0.21,-0.23,192.57,749.0,131.89,0.0,,,32.7,24-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
24-Nov-2020 - 00:00,143.41,82.48,50.28,84.74,16.61,22.8,52.38,0.25,-0.28,161.53,749.0,117.22,0.0,,,40.9,25-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
25-Nov-2020 - 00:00,152.96,55.06,9.22,36.78,10.91,16.56,52.76,0.42,-0.38,166.35,749.0,179.13,0.0,,,49.75,26-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
26-Nov-2020 - 00:00,141.82,42.79,3.65,25.7,14.13,19.23,47.89,0.2,-0.22,127.86,750.0,237.86,0.0,,,59.86,27-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
27-Nov-2020 - 00:00,63.52,66.34,33.73,62.72,10.29,20.0,50.33,0.24,-0.2,147.83,749.12,153.87,0.0,,,25.56,28-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
28-Nov-2020 - 00:00,59.22,58.31,39.51,62.81,7.55,18.49,54.38,0.33,-0.19,152.78,749.0,137.93,0.0,,,20.85,29-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
29-Nov-2020 - 00:00,73.68,63.65,40.56,65.89,7.79,18.11,52.35,0.24,-0.21,150.41,749.0,100.21,0.0,,,27.12,30-Nov-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
30-Nov-2020 - 00:00,85.33,44.28,6.96,29.17,7.53,18.12,51.6,0.22,-0.2,144.25,749.0,177.63,0.0,,,41.01,01-Dec-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
01-Dec-2020 - 00:00,,,,,,,,,,,,,,,,,02-Dec-2020 - 00:00,"Gomti Nagar, Lucknow - UPPCB"
