from date,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NO,NOx,NO2,SO2,Ozone,to date,station
01-Jan-2020 - 00:00,737.41,43.48,68.93,220.24,10.35,2.31,119.85,2.18,2.68,0.92,0.87,0.91,3.96,0.27,11.09,20.8,21.98,21.21,28.09,02-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Jan-2020 - 00:00,736.2,31.42,64.65,139.13,13.04,2.43,137.58,1.92,2.67,0.92,0.86,0.91,3.98,1.0,11.45,21.84,23.4,17.24,31.88,03-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Jan-2020 - 00:00,736.27,40.51,72.71,123.25,12.54,2.53,144.91,1.72,2.68,0.92,0.85,0.9,3.97,2.53,11.66,22.0,23.38,19.46,25.31,04-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Jan-2020 - 00:00,736.44,76.37,79.98,111.19,11.16,2.52,144.75,1.47,2.67,0.92,0.86,0.9,3.99,0.35,11.58,22.01,22.51,16.34,28.66,05-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Jan-2020 - 00:00,736.28,62.0,72.03,124.8,11.41,2.62,166.38,1.17,2.67,0.92,0.86,0.91,3.98,0.16,11.17,21.18,22.58,15.06,30.67,06-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Jan-2020 - 00:00,736.68,43.3,85.32,97.71,10.89,2.23,118.85,1.37,2.67,0.92,0.86,0.91,3.96,0.07,10.94,20.59,21.84,7.93,11.15,07-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Jan-2020 - 00:00,737.1,27.61,95.0,94.65,10.57,1.86,120.06,1.72,2.68,0.92,0.86,0.91,3.98,0.13,8.06,15.08,15.87,5.69,10.32,08-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Jan-2020 - 00:00,737.05,20.17,95.0,93.15,9.49,1.86,121.96,1.57,2.69,0.92,0.86,0.91,3.98,0.19,8.0,15.11,16.01,5.2,18.42,09-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Jan-2020 - 00:00,737.17,37.76,92.62,106.63,8.53,2.17,106.44,1.35,2.69,0.92,0.86,0.92,3.98,0.11,8.0,15.1,16.0,9.75,15.98,10-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Jan-2020 - 00:00,736.81,40.86,83.89,112.71,9.41,2.15,129.41,1.18,2.7,0.93,0.85,0.91,4.01,0.03,8.0,15.1,16.0,12.49,19.01,11-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Jan-2020 - 00:00,736.93,52.36,85.56,121.02,9.58,2.13,186.58,1.31,2.67,0.92,0.86,0.91,3.99,0.52,8.97,19.32,21.3,24.9,12.67,12-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Jan-2020 - 00:00,738.43,104.23,88.81,205.71,11.64,2.02,171.34,1.36,2.68,0.92,0.85,0.91,3.99,1.04,10.68,27.8,31.96,20.1,13.45,13-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Jan-2020 - 00:00,737.23,68.14,89.9,122.87,11.14,1.98,155.8,1.7,2.69,0.92,0.86,0.91,3.98,0.41,10.67,27.87,32.07,11.4,11.23,14-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Jan-2020 - 00:00,737.92,78.68,95.0,148.13,9.63,2.4,117.9,1.2,2.68,0.92,0.87,0.91,3.98,0.6,10.67,27.49,32.33,11.23,5.26,15-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Jan-2020 - 00:00,739.98,56.46,95.0,292.9,10.29,2.02,128.39,1.46,2.68,0.92,0.86,0.9,3.97,0.16,10.64,27.55,32.1,13.52,10.58,16-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Jan-2020 - 00:00,738.2,64.32,94.78,174.32,10.2,2.04,168.15,1.22,2.68,0.92,0.86,0.91,4.0,0.04,10.64,27.46,32.16,16.84,6.45,17-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
17-Jan-2020 - 00:00,738.32,49.93,93.9,184.94,10.89,2.06,158.71,1.4,2.67,0.92,0.86,0.91,3.97,0.0,10.63,27.73,32.07,8.73,9.46,18-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
18-Jan-2020 - 00:00,738.18,66.69,91.33,187.79,11.01,2.04,145.89,1.54,2.67,0.92,0.86,0.91,3.97,0.0,10.65,27.7,31.89,14.29,16.37,19-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
19-Jan-2020 - 00:00,738.28,47.51,91.77,194.63,9.83,2.1,155.7,1.4,2.68,0.92,0.86,0.91,3.98,0.0,10.67,27.46,32.28,11.43,12.76,20-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
20-Jan-2020 - 00:00,738.53,79.58,93.82,206.26,9.8,2.11,142.42,1.47,2.76,0.92,0.86,0.91,3.97,0.54,10.65,27.53,32.14,14.49,4.83,21-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
21-Jan-2020 - 00:00,737.96,64.24,85.29,192.65,11.76,2.06,141.78,1.57,2.67,0.92,0.86,0.9,3.98,0.38,10.68,27.75,32.19,14.73,19.26,22-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
22-Jan-2020 - 00:00,738.16,34.71,80.42,202.55,11.91,2.17,179.7,1.06,2.69,0.92,0.86,0.9,3.98,0.12,10.67,27.54,32.0,11.82,22.53,23-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
23-Jan-2020 - 00:00,738.15,38.16,77.3,231.57,10.74,2.41,141.02,0.85,2.68,0.92,0.86,0.91,3.99,0.58,10.64,27.58,32.3,11.97,83.4,24-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
24-Jan-2020 - 00:00,737.18,48.37,78.36,160.36,11.55,2.58,125.47,1.04,2.69,0.92,0.86,0.91,4.0,1.22,10.62,27.47,32.39,11.78,86.53,25-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
25-Jan-2020 - 00:00,737.36,83.53,93.33,121.78,9.9,2.5,151.87,1.73,2.68,0.92,0.86,0.91,3.98,1.54,10.71,27.35,32.19,13.35,19.11,26-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
26-Jan-2020 - 00:00,738.54,48.58,85.4,224.99,11.47,2.4,139.21,1.3,2.68,0.92,0.86,0.91,3.98,0.39,10.65,27.63,32.27,10.79,22.35,27-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
27-Jan-2020 - 00:00,737.62,64.85,90.5,150.96,11.07,2.4,132.23,1.41,2.7,0.92,0.86,0.9,3.99,0.09,11.28,25.66,28.52,14.4,18.18,28-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
28-Jan-2020 - 00:00,737.28,16.13,89.19,132.32,12.15,2.31,144.88,1.56,2.67,0.92,0.86,0.91,3.97,0.06,11.39,21.4,22.67,7.24,28.35,29-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
29-Jan-2020 - 00:00,738.22,17.56,86.81,207.49,11.62,2.09,138.24,1.69,2.68,0.92,0.86,0.91,3.97,0.08,11.49,21.79,23.25,12.36,32.35,30-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
30-Jan-2020 - 00:00,737.04,19.54,82.46,135.57,11.09,2.18,189.99,1.08,2.67,0.92,0.86,0.91,3.99,0.57,11.01,20.85,22.23,9.96,29.8,31-Jan-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
31-Jan-2020 - 00:00,737.35,23.91,92.44,127.01,9.89,2.17,153.87,1.53,2.69,0.92,0.86,0.9,3.96,1.32,10.86,20.58,21.92,8.29,19.91,01-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
01-Feb-2020 - 00:00,737.26,27.15,89.9,123.73,10.32,2.23,142.35,1.45,2.69,0.92,0.86,0.91,3.97,0.56,11.05,20.93,22.3,11.8,22.05,02-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Feb-2020 - 00:00,737.22,19.78,84.27,143.17,10.28,2.43,171.34,1.17,2.68,0.92,0.86,0.92,3.99,0.4,10.4,19.63,20.86,12.94,25.8,03-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Feb-2020 - 00:00,737.03,47.79,81.87,140.33,10.81,2.56,148.09,1.53,2.69,0.92,0.86,0.91,3.99,0.09,10.71,20.45,21.93,15.75,28.28,04-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Feb-2020 - 00:00,736.79,47.32,78.21,138.21,11.52,2.62,128.0,1.79,2.67,0.92,0.85,0.91,3.98,0.03,11.0,20.94,22.39,14.3,44.65,05-Feb-2020 - 00:00,"Sector-6, Panchkula - HSPCB "
