from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,VWS,BP,SR,to date,station
14-Jul-2020 - 00:00,9.63,20.43,11.67,3.54,15.21,4.86,8.6,0.47,24.33,,,,,,29.47,83.63,0.63,100.16,-0.03,997.69,156.52,15-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
15-Jul-2020 - 00:00,9.13,23.45,11.7,4.1,15.79,4.19,5.87,0.48,20.18,,,,,,28.52,86.99,0.66,103.46,-0.02,998.59,103.35,16-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
16-Jul-2020 - 00:00,7.63,20.84,9.45,4.69,14.15,5.83,6.08,0.44,19.8,,,,,,29.69,80.16,0.81,103.53,-0.04,998.25,180.54,17-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
17-Jul-2020 - 00:00,5.7,20.41,7.94,4.5,12.45,6.22,5.98,0.46,20.62,,,,,,29.84,79.84,0.91,102.2,-0.05,998.64,166.19,18-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
18-Jul-2020 - 00:00,11.17,27.13,6.32,4.34,10.66,5.54,9.6,0.46,29.91,,,,,,30.45,79.32,0.75,109.41,-0.04,999.27,160.11,19-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
19-Jul-2020 - 00:00,12.79,28.47,6.24,4.47,10.71,5.25,10.85,0.46,24.88,,,,,,29.95,80.86,0.69,118.83,-0.03,999.1,153.98,20-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
20-Jul-2020 - 00:00,10.71,32.91,9.47,6.95,16.47,5.54,7.94,0.49,19.72,,,,,,29.26,85.97,0.59,120.89,-0.02,998.9,123.88,21-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
21-Jul-2020 - 00:00,15.44,35.42,8.38,4.65,13.02,6.52,6.77,0.49,19.96,,,,,,28.18,91.42,0.52,138.74,-0.0,999.4,60.65,22-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
22-Jul-2020 - 00:00,18.43,33.72,10.31,5.45,15.75,6.03,8.12,0.53,21.07,,,,,,28.06,91.84,0.43,161.76,0.01,998.89,73.84,23-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
23-Jul-2020 - 00:00,10.91,26.93,6.97,4.61,11.56,5.43,6.76,0.51,23.99,,,,,,26.51,94.38,0.4,125.71,0.0,999.11,56.09,24-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
24-Jul-2020 - 00:00,17.82,38.25,14.38,6.07,20.45,4.09,8.36,0.54,20.39,,,,,,27.81,92.47,0.55,98.68,-0.01,,85.02,25-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
25-Jul-2020 - 00:00,14.8,31.82,9.3,5.84,15.14,4.78,12.49,0.45,26.61,,,,,,29.38,83.76,0.42,114.47,-0.01,,153.42,26-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
26-Jul-2020 - 00:00,15.11,32.67,6.91,4.64,11.54,5.02,8.45,0.44,33.72,,,,,,30.69,81.88,0.36,130.04,0.0,999.73,143.82,27-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
27-Jul-2020 - 00:00,26.71,50.1,19.58,8.2,27.78,3.39,6.65,0.61,26.31,,,,,,29.39,88.83,0.36,133.4,0.0,998.52,103.75,28-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
28-Jul-2020 - 00:00,27.06,54.82,15.41,5.79,21.45,3.19,7.84,0.51,31.18,,,,,,29.79,84.88,0.53,110.54,-0.01,999.16,108.35,29-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
29-Jul-2020 - 00:00,15.75,27.99,6.27,4.59,10.86,4.19,6.74,0.44,19.46,,,,,,28.49,89.33,0.55,116.18,-0.01,997.74,113.37,30-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
30-Jul-2020 - 00:00,6.03,16.55,8.34,6.04,14.39,5.68,7.17,0.4,15.69,,,,,,30.24,80.75,0.59,107.61,-0.02,999.66,153.58,31-Jul-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
31-Jul-2020 - 00:00,6.83,17.79,8.72,5.9,14.62,4.48,5.47,0.44,12.54,,,,,,30.23,81.33,0.58,104.39,-0.01,998.57,150.07,01-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
01-Aug-2020 - 00:00,7.37,19.24,9.53,7.04,16.58,4.57,5.96,0.48,15.62,,,,,,30.32,83.58,0.35,136.17,0.01,998.47,116.57,02-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
02-Aug-2020 - 00:00,18.86,32.29,12.79,6.36,19.14,4.28,5.91,0.51,25.47,,,,,,30.64,84.94,0.22,169.39,0.0,995.91,116.23,03-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
03-Aug-2020 - 00:00,32.93,65.12,13.61,4.67,18.29,4.23,5.56,0.62,42.3,,,,,,31.14,82.06,0.33,247.31,0.01,991.79,142.42,04-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
04-Aug-2020 - 00:00,25.28,45.72,24.14,9.07,33.71,4.47,5.59,0.73,9.13,,,,,,26.77,98.01,0.44,237.39,0.02,988.46,32.42,05-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
05-Aug-2020 - 00:00,6.82,14.74,5.52,4.01,9.53,8.71,5.65,0.4,22.66,,,,,,27.15,97.62,0.48,82.46,-0.02,989.84,61.69,06-Aug-2020 - 00:00,"Jadavpur, Kolkata - WBPCB"
