from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
15-Apr-2020 - 00:00,32.65,981.02,37.01,209.51,213.93,1.06,194.76,39.27,2.41,9.52,29.42,2.08,10.25,16.08,16.82,78.58,0.57,16-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Apr-2020 - 00:00,32.48,979.85,36.04,209.43,284.3,1.57,184.31,26.85,2.26,12.97,32.77,2.09,11.24,17.91,23.38,86.78,0.55,17-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Apr-2020 - 00:00,32.23,979.39,38.42,200.98,209.65,1.47,79.72,21.67,0.82,3.68,30.65,1.78,5.46,7.52,14.26,104.57,0.32,18-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Apr-2020 - 00:00,31.85,981.32,42.82,266.6,96.33,1.39,94.77,22.34,0.9,2.8,32.22,1.73,4.94,6.63,10.68,98.25,0.32,19-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Apr-2020 - 00:00,31.56,980.2,39.72,78.08,244.29,1.01,61.39,24.61,1.11,8.26,33.06,1.84,10.22,16.38,11.75,90.4,0.47,20-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Apr-2020 - 00:00,30.39,981.66,47.12,125.75,180.38,1.07,80.72,24.74,1.55,10.12,32.98,2.17,9.3,14.15,13.61,67.28,0.45,21-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Apr-2020 - 00:00,30.82,981.95,47.27,224.71,253.48,1.1,70.77,28.34,1.25,5.09,30.69,1.82,7.0,10.38,12.54,98.78,0.43,22-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Apr-2020 - 00:00,31.41,980.57,41.59,245.95,253.03,0.95,99.15,32.16,1.59,12.67,29.98,2.22,12.9,20.85,13.93,91.48,0.52,23-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Apr-2020 - 00:00,31.52,979.68,41.01,171.38,193.92,1.06,103.72,21.31,1.94,10.44,31.35,1.78,7.01,10.44,17.3,93.65,0.52,24-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Apr-2020 - 00:00,31.67,978.19,44.55,221.6,132.64,1.09,119.66,37.0,2.49,5.62,34.46,1.76,7.77,11.91,19.92,114.25,0.61,25-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Apr-2020 - 00:00,31.97,978.42,41.05,187.58,152.84,1.13,76.07,20.27,0.85,3.21,28.81,1.54,4.35,5.8,11.28,116.48,0.4,26-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Apr-2020 - 00:00,29.62,981.13,60.91,86.85,120.34,1.55,111.38,29.25,1.89,3.38,34.44,1.89,6.43,9.2,13.58,78.73,0.56,27-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Apr-2020 - 00:00,30.16,984.02,60.43,242.07,104.42,1.9,44.75,24.96,1.2,2.08,36.4,1.91,4.42,5.39,8.96,98.26,0.46,28-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Apr-2020 - 00:00,30.99,983.94,54.74,203.44,105.82,1.17,65.32,31.89,1.28,3.87,35.75,1.79,5.94,8.41,8.67,102.75,0.55,29-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Apr-2020 - 00:00,31.92,981.3,51.03,217.85,163.08,1.11,106.76,42.58,1.78,6.87,37.41,1.74,5.61,7.88,12.63,119.36,0.6,30-Apr-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Apr-2020 - 00:00,32.22,980.61,48.89,223.5,145.44,1.05,113.52,45.17,1.78,3.69,37.09,1.76,5.52,7.67,13.88,115.51,0.57,01-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-May-2020 - 00:00,32.29,978.86,51.43,226.37,134.62,1.22,126.62,45.81,1.65,7.05,38.56,1.74,5.81,8.28,12.26,112.85,0.6,02-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-May-2020 - 00:00,31.82,978.7,53.23,222.17,108.78,2.2,101.72,29.56,1.07,1.83,37.77,1.71,3.15,3.31,11.4,111.22,0.5,03-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-May-2020 - 00:00,30.72,979.86,61.72,143.09,133.4,1.65,71.26,30.54,1.16,2.71,36.01,1.85,4.58,5.77,10.42,78.61,0.57,04-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-May-2020 - 00:00,30.87,981.2,57.4,251.16,159.57,0.88,45.62,21.6,1.04,5.66,35.86,2.17,7.55,10.85,8.7,95.56,0.53,05-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-May-2020 - 00:00,32.0,979.79,48.72,245.82,241.83,1.04,93.84,39.58,2.08,13.26,35.15,2.2,10.08,15.57,16.76,105.57,0.6,06-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-May-2020 - 00:00,31.61,979.24,46.01,163.83,150.87,1.19,155.06,44.69,1.79,10.45,32.9,1.99,10.22,16.17,13.14,103.79,0.51,07-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-May-2020 - 00:00,31.77,979.82,43.26,263.29,152.2,1.23,80.4,22.74,1.14,10.66,28.34,1.7,6.7,9.98,13.51,127.49,0.39,08-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-May-2020 - 00:00,32.55,978.14,45.8,247.52,178.0,1.22,129.92,37.39,1.43,10.94,32.45,1.77,5.58,7.77,12.93,133.86,0.51,09-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-May-2020 - 00:00,32.93,978.73,46.58,218.79,126.35,1.43,124.28,49.13,1.81,4.34,39.54,1.73,5.23,7.19,14.89,136.25,0.59,10-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-May-2020 - 00:00,30.79,980.09,54.85,118.37,117.49,1.75,105.97,34.41,1.27,3.24,38.3,1.83,5.58,7.67,11.41,101.64,0.44,11-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-May-2020 - 00:00,30.97,980.97,56.36,190.3,112.58,1.41,83.38,37.33,1.45,4.36,37.5,1.98,6.49,9.17,8.65,113.4,0.48,12-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-May-2020 - 00:00,31.94,980.41,50.46,205.47,82.89,1.13,84.92,36.47,1.32,5.97,39.51,1.83,6.14,8.73,13.43,118.83,0.48,13-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-May-2020 - 00:00,31.61,979.4,53.43,127.18,205.37,1.0,132.95,43.5,1.5,8.59,44.57,1.83,6.64,9.69,18.49,113.16,0.58,14-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-May-2020 - 00:00,32.06,978.53,48.91,220.28,178.3,1.1,105.44,37.29,1.02,6.89,37.89,2.46,7.54,10.41,14.07,100.79,0.45,15-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-May-2020 - 00:00,32.62,978.05,41.18,245.54,310.46,1.97,97.98,31.85,0.94,7.33,32.21,2.19,8.36,12.35,13.0,112.14,0.45,16-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-May-2020 - 00:00,32.86,977.01,38.38,258.46,296.34,1.94,132.33,36.87,1.3,9.5,32.29,2.07,10.84,17.21,18.57,123.54,0.58,17-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-May-2020 - 00:00,33.02,975.64,36.76,203.81,276.88,1.26,154.71,41.18,1.63,12.14,34.01,2.15,12.24,19.71,22.77,105.93,0.64,18-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-May-2020 - 00:00,33.02,974.75,35.05,240.52,287.99,1.67,164.98,39.0,2.47,15.68,34.1,2.38,15.34,25.19,37.0,96.98,0.74,19-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-May-2020 - 00:00,33.07,974.07,32.84,225.75,246.74,1.05,163.24,36.24,2.32,28.48,33.9,2.8,18.49,30.47,26.89,109.88,0.78,20-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-May-2020 - 00:00,32.41,973.89,32.54,251.63,307.9,1.84,138.32,36.62,1.67,17.36,34.88,2.66,15.66,25.31,24.92,102.09,0.67,21-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-May-2020 - 00:00,32.53,973.67,31.76,258.96,293.19,2.16,151.16,35.74,1.58,11.2,32.96,2.55,12.81,20.17,22.68,120.24,0.66,22-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-May-2020 - 00:00,35.2,973.78,31.44,245.43,242.89,1.43,162.11,41.88,2.39,15.68,35.65,2.54,14.63,23.61,28.7,111.7,0.77,23-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-May-2020 - 00:00,35.94,974.96,31.67,226.75,247.65,1.79,184.15,35.65,2.17,13.47,33.91,2.63,9.38,13.62,24.09,106.45,0.64,24-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-May-2020 - 00:00,34.8,975.56,31.66,236.93,299.92,1.83,154.85,35.34,1.32,11.31,32.34,2.58,11.78,18.18,14.47,93.15,0.6,25-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-May-2020 - 00:00,33.46,975.07,33.01,247.36,281.5,1.99,140.67,34.96,1.68,14.03,35.85,2.61,13.26,20.91,24.25,100.46,0.73,26-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-May-2020 - 00:00,35.02,973.55,31.58,236.87,247.62,1.91,181.82,35.01,1.81,19.11,32.3,3.8,15.2,22.75,15.5,76.11,0.69,27-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-May-2020 - 00:00,34.2,971.98,34.09,235.24,177.0,1.65,156.67,30.91,1.14,6.81,34.36,2.15,6.49,8.89,14.13,122.9,0.58,28-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-May-2020 - 00:00,26.6,973.94,47.15,201.71,110.66,2.75,257.67,31.75,0.81,2.47,40.73,1.78,3.35,3.57,13.21,102.71,0.57,29-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-May-2020 - 00:00,17.98,976.92,61.13,183.18,116.54,2.2,53.42,21.92,0.64,2.96,42.25,2.01,5.49,7.24,9.48,87.44,0.56,30-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-May-2020 - 00:00,18.0,978.87,61.33,232.17,140.62,1.73,42.17,21.79,0.64,3.65,48.58,1.92,3.83,4.24,7.81,98.08,0.53,31-May-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-May-2020 - 00:00,17.45,980.62,69.46,204.94,163.12,1.6,30.38,17.59,0.63,2.84,49.26,1.99,4.74,5.89,3.32,80.78,0.52,01-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Jun-2020 - 00:00,23.87,980.85,64.44,229.61,119.07,0.58,77.27,35.62,1.67,20.89,51.03,2.91,12.02,18.16,10.22,91.5,0.96,02-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Jun-2020 - 00:00,28.65,979.01,55.03,239.67,198.76,1.14,88.73,28.46,1.32,11.42,34.72,2.17,7.46,10.68,9.73,107.46,1.11,03-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Jun-2020 - 00:00,28.94,977.1,53.06,219.19,219.34,0.88,112.33,42.43,1.72,21.78,29.2,2.95,13.86,21.56,14.28,88.91,0.86,04-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Jun-2020 - 00:00,25.68,976.25,58.61,116.16,169.52,1.17,125.3,45.19,2.35,21.65,29.17,4.67,15.41,21.8,14.31,75.59,0.78,05-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Jun-2020 - 00:00,24.61,976.35,62.65,185.98,152.01,1.05,79.12,38.03,1.7,12.93,31.5,4.16,10.68,13.7,13.28,71.15,0.69,06-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Jun-2020 - 00:00,26.84,975.77,59.49,226.54,126.24,1.18,65.2,28.08,1.13,6.05,27.43,2.0,4.73,5.8,9.16,82.03,0.55,07-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Jun-2020 - 00:00,27.38,975.27,59.73,213.76,188.18,0.99,80.63,36.91,1.51,13.13,26.44,2.52,10.11,15.14,9.7,83.75,0.71,08-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Jun-2020 - 00:00,29.91,975.0,55.7,215.23,197.99,0.97,93.17,40.94,1.89,18.33,26.34,3.11,14.6,22.67,11.27,82.6,0.76,09-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Jun-2020 - 00:00,33.89,974.85,52.76,219.68,186.62,0.85,143.46,48.04,2.09,25.28,28.91,3.44,17.43,27.48,14.65,90.36,0.85,10-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Jun-2020 - 00:00,34.21,974.27,53.59,213.63,208.95,0.87,136.48,45.54,1.64,19.04,25.58,3.39,12.76,18.78,11.54,79.66,0.69,11-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Jun-2020 - 00:00,34.27,973.18,53.93,202.53,194.76,0.69,123.52,44.65,1.91,26.38,25.47,6.55,22.46,32.19,9.84,59.01,0.85,12-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Jun-2020 - 00:00,35.75,972.06,52.63,199.51,133.2,1.08,131.57,50.64,1.89,11.44,28.49,2.73,10.27,15.12,10.08,89.89,0.76,13-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Jun-2020 - 00:00,31.05,972.72,56.96,137.28,164.04,1.28,139.44,45.38,1.94,13.93,25.06,3.0,11.97,17.89,9.4,60.75,0.75,14-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Jun-2020 - 00:00,34.25,974.08,55.26,184.35,162.22,0.85,149.6,49.51,2.29,21.19,26.65,4.26,15.1,21.86,8.89,67.38,0.87,15-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Jun-2020 - 00:00,36.61,972.22,48.7,181.76,212.18,1.05,109.31,40.22,1.67,10.27,28.94,2.65,11.08,16.77,11.61,98.2,0.71,16-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Jun-2020 - 00:00,36.8,970.01,48.31,211.27,152.45,1.34,97.09,34.33,1.73,11.85,22.94,2.82,12.21,19.08,10.53,90.37,0.78,17-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Jun-2020 - 00:00,35.34,969.75,52.8,219.08,111.94,1.73,76.56,26.94,0.72,4.16,20.91,1.82,5.64,7.85,8.57,84.06,0.67,18-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Jun-2020 - 00:00,37.12,970.22,51.14,218.28,144.99,1.24,95.34,35.57,0.03,0.85,23.42,2.16,10.03,15.53,8.83,86.28,0.76,19-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Jun-2020 - 00:00,36.93,972.04,52.9,183.62,138.33,1.5,199.79,41.87,0.0,0.0,20.59,2.19,9.89,15.23,8.47,74.24,0.83,20-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Jun-2020 - 00:00,30.46,973.78,56.13,137.88,157.2,1.44,106.76,32.68,0.35,4.63,20.65,3.5,13.32,19.67,5.31,79.94,0.65,21-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Jun-2020 - 00:00,32.7,973.12,57.01,131.46,101.27,1.16,87.87,39.81,1.24,6.43,21.25,1.8,10.38,16.75,6.12,105.41,0.71,22-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Jun-2020 - 00:00,30.46,973.41,60.11,205.52,197.28,1.01,69.79,35.77,1.56,13.82,24.31,2.64,15.79,25.63,6.45,90.65,0.83,23-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Jun-2020 - 00:00,31.1,975.33,60.64,214.16,104.53,1.68,48.05,22.8,0.84,4.63,20.04,2.01,7.12,10.3,5.59,59.97,0.64,24-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Jun-2020 - 00:00,27.56,976.41,67.81,137.3,115.28,1.3,45.14,25.4,0.92,6.44,21.64,2.44,10.09,15.24,4.33,47.85,0.78,25-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Jun-2020 - 00:00,29.29,974.03,67.69,206.65,226.85,0.75,65.5,32.04,1.77,23.26,20.56,6.11,22.49,32.91,3.11,50.97,1.1,26-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Jun-2020 - 00:00,30.46,972.94,64.38,173.61,223.13,1.45,94.55,40.88,1.79,22.08,22.71,4.15,16.33,24.35,3.83,46.0,0.8,27-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Jun-2020 - 00:00,33.57,971.8,55.22,199.2,258.0,2.05,148.38,38.28,0.9,9.13,22.81,3.9,13.56,19.5,9.67,39.5,0.57,28-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Jun-2020 - 00:00,36.56,971.05,52.43,207.68,255.16,1.88,282.86,50.78,1.18,10.14,20.37,4.68,15.41,21.8,4.93,32.81,0.67,29-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Jun-2020 - 00:00,33.44,973.08,56.31,183.49,216.05,1.52,133.8,36.22,1.01,10.43,18.27,3.54,14.32,21.49,7.23,56.59,0.68,30-Jun-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Jun-2020 - 00:00,30.23,974.6,63.82,195.35,122.03,1.26,75.5,32.6,1.01,7.09,17.95,2.13,10.38,16.26,5.58,68.62,0.72,01-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Jul-2020 - 00:00,33.08,973.25,60.24,175.37,142.93,1.1,116.55,46.24,1.36,10.69,21.83,2.22,11.73,18.65,5.41,76.03,0.83,02-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Jul-2020 - 00:00,35.56,970.93,57.52,191.12,154.89,0.9,125.39,46.32,1.56,11.28,23.31,2.41,12.98,20.72,3.76,95.78,0.87,03-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Jul-2020 - 00:00,35.03,970.43,58.38,177.1,134.38,1.21,131.18,44.42,1.73,12.19,24.29,2.9,11.99,18.1,7.1,91.78,0.85,04-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Jul-2020 - 00:00,31.8,970.99,62.21,189.35,122.54,1.82,77.7,34.42,0.97,5.34,23.97,1.79,7.33,11.03,5.95,75.19,0.67,05-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Jul-2020 - 00:00,26.19,971.83,67.22,173.51,125.77,1.24,44.32,22.68,0.86,8.88,22.01,2.58,12.72,19.95,5.33,92.33,0.64,06-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Jul-2020 - 00:00,28.41,971.15,68.47,160.96,117.09,1.14,61.97,29.78,1.02,7.68,19.84,2.48,11.98,18.72,5.28,54.41,0.7,07-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Jul-2020 - 00:00,25.35,973.99,70.37,149.82,95.86,1.67,27.37,14.06,0.58,6.94,19.73,2.25,7.71,11.04,3.98,34.74,0.49,08-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Jul-2020 - 00:00,25.83,975.17,74.7,132.7,133.69,1.32,29.39,16.62,0.66,7.02,14.9,3.89,10.92,14.57,6.04,32.14,0.87,09-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Jul-2020 - 00:00,30.77,971.9,66.87,176.74,234.59,0.84,45.54,23.22,0.73,9.32,18.45,3.98,13.3,18.92,3.9,68.64,1.23,10-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Jul-2020 - 00:00,32.76,969.69,60.08,209.18,239.99,1.8,73.76,21.81,0.58,5.67,20.73,3.45,11.76,16.83,5.05,72.48,0.73,11-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Jul-2020 - 00:00,29.26,970.94,64.6,174.61,232.93,1.26,46.29,16.25,0.7,9.48,17.91,2.93,11.85,17.8,3.19,84.51,0.68,12-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Jul-2020 - 00:00,28.08,972.26,62.63,153.69,258.33,1.29,41.53,16.82,0.72,12.32,18.7,3.26,13.82,21.0,4.57,87.36,0.6,13-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Jul-2020 - 00:00,30.89,972.05,59.64,230.71,247.0,1.03,96.81,26.53,1.02,14.78,19.05,4.57,17.62,26.13,4.37,79.26,0.68,14-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Jul-2020 - 00:00,34.16,972.9,57.45,206.73,171.79,0.92,134.53,38.23,0.96,17.32,18.89,3.15,14.82,23.04,5.31,79.97,0.71,15-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Jul-2020 - 00:00,31.05,973.57,63.65,195.86,101.77,1.51,80.4,31.88,0.64,5.98,19.58,2.12,7.21,10.32,5.43,87.16,0.67,16-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Jul-2020 - 00:00,29.94,972.68,65.04,149.43,94.7,1.31,50.99,22.28,0.76,9.71,21.95,2.73,10.65,15.83,5.04,58.28,0.65,17-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Jul-2020 - 00:00,30.96,973.31,65.05,140.27,106.1,1.43,62.6,30.76,0.66,5.87,22.37,2.01,7.71,11.41,2.13,68.25,0.63,18-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Jul-2020 - 00:00,30.49,974.41,66.56,140.87,104.35,1.24,64.41,27.81,0.53,9.01,21.7,2.21,9.62,14.69,1.83,59.8,0.63,19-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Jul-2020 - 00:00,27.54,973.08,70.99,139.15,223.04,1.08,43.36,16.43,0.79,12.54,21.29,5.32,17.76,25.25,2.85,47.84,0.79,20-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Jul-2020 - 00:00,24.6,971.56,70.5,131.89,242.61,1.28,36.96,13.91,0.9,13.73,23.48,3.27,14.24,21.76,2.91,92.84,0.63,21-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Jul-2020 - 00:00,21.25,974.41,77.04,144.92,175.03,1.12,28.33,14.18,0.88,22.88,18.9,3.53,14.0,20.89,1.08,64.64,0.56,22-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Jul-2020 - 00:00,20.51,975.29,78.87,83.95,232.09,1.06,24.79,10.5,1.13,18.11,17.61,5.96,17.75,24.22,2.27,37.22,0.68,23-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Jul-2020 - 00:00,26.23,974.59,68.51,213.88,230.03,0.91,58.99,25.35,1.51,23.7,17.2,7.56,23.2,32.03,3.33,66.55,0.88,24-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Jul-2020 - 00:00,26.87,977.22,70.14,206.24,118.09,1.16,65.1,29.56,1.14,19.25,16.35,4.63,15.12,21.33,1.21,61.19,0.73,25-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Jul-2020 - 00:00,27.83,978.79,70.49,183.11,97.03,1.22,44.03,19.53,0.52,7.14,20.03,2.17,7.31,10.39,4.27,56.78,0.56,26-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Jul-2020 - 00:00,33.63,977.96,60.18,302.68,161.67,0.74,74.73,29.0,0.79,13.19,28.81,5.04,17.28,24.77,4.08,87.06,0.86,27-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Jul-2020 - 00:00,32.04,975.8,61.79,232.92,261.07,1.78,67.8,24.75,0.69,8.04,25.32,3.82,11.91,16.54,5.54,70.77,0.66,28-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Jul-2020 - 00:00,32.29,973.69,61.33,212.47,255.53,1.73,67.91,21.98,0.67,9.28,20.93,4.33,13.91,19.53,4.29,58.62,0.68,29-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Jul-2020 - 00:00,25.7,974.3,71.05,123.64,151.12,1.11,51.62,18.11,0.59,9.88,21.12,3.57,12.36,17.74,3.5,54.85,0.62,30-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Jul-2020 - 00:00,25.17,976.1,70.81,170.58,206.08,1.11,36.77,13.48,1.01,15.86,19.13,3.98,16.0,23.97,4.66,59.87,0.68,31-Jul-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-Jul-2020 - 00:00,26.6,975.36,74.36,140.84,129.37,0.67,58.7,26.62,0.56,16.14,16.51,5.16,16.31,22.74,5.08,40.98,0.77,01-Aug-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Aug-2020 - 00:00,25.58,974.93,75.56,140.89,161.69,0.86,47.95,20.99,0.5,10.31,19.79,4.33,13.64,18.99,4.46,44.92,0.71,02-Aug-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Aug-2020 - 00:00,29.18,972.85,68.18,203.8,264.65,1.19,44.42,16.94,0.68,9.96,22.24,4.6,13.84,18.96,3.1,49.15,0.7,03-Aug-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
