from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
25-Jan-2020 - 00:00,8.73,989.37,59.03,88.18,283.65,1.23,224.5,126.04,5.12,23.17,20.31,35.82,64.83,67.06,12.92,3.67,1.66,26-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Jan-2020 - 00:00,8.97,987.63,63.3,88.1,274.09,1.1,284.88,185.04,7.8,42.22,26.16,48.34,72.2,61.59,13.88,2.19,1.9,27-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Jan-2020 - 00:00,9.54,985.05,62.46,64.38,123.3,0.96,257.54,176.38,5.24,22.02,25.28,23.5,51.77,60.73,20.34,1.61,1.33,28-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Jan-2020 - 00:00,9.34,983.83,72.58,70.98,120.29,1.31,152.74,123.11,3.19,10.68,20.94,6.38,22.26,32.05,12.41,1.9,0.9,29-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Jan-2020 - 00:00,9.06,989.62,68.68,96.7,261.79,1.27,132.11,78.67,3.49,16.7,18.75,33.48,51.85,46.04,11.03,1.91,1.22,30-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Jan-2020 - 00:00,8.87,990.47,67.88,98.39,302.12,1.74,165.49,91.44,4.51,19.52,18.21,27.64,48.06,48.04,9.2,1.48,1.16,31-Jan-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-Jan-2020 - 00:00,8.41,988.34,65.68,107.45,284.06,1.62,147.54,80.12,3.44,15.13,16.85,33.34,52.94,48.41,10.18,1.51,1.12,01-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Feb-2020 - 00:00,8.37,990.54,69.54,138.92,241.6,1.16,176.87,102.9,4.29,16.66,17.0,40.69,56.77,44.3,9.8,2.44,1.07,02-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Feb-2020 - 00:00,8.45,992.59,66.72,109.11,291.77,1.65,195.15,118.14,3.83,14.8,18.37,20.75,43.59,50.2,11.52,33.07,1.11,03-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Feb-2020 - 00:00,8.88,991.33,59.71,114.32,239.96,1.31,199.05,119.65,3.79,15.08,18.57,22.75,49.1,57.43,11.23,39.36,1.24,04-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Feb-2020 - 00:00,8.81,989.71,60.14,100.29,133.15,0.83,283.39,167.51,5.22,28.0,20.64,43.54,66.42,57.89,23.48,60.02,1.69,05-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Feb-2020 - 00:00,8.99,989.96,62.23,108.36,297.86,1.44,229.77,139.54,5.12,22.99,20.17,24.42,50.37,57.26,12.62,38.22,1.23,06-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Feb-2020 - 00:00,8.61,989.3,63.23,112.39,228.55,1.22,194.29,118.2,3.81,18.03,19.29,21.7,42.17,46.0,11.74,47.92,1.12,07-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Feb-2020 - 00:00,8.59,991.61,63.88,92.22,233.37,0.99,257.03,160.21,5.27,29.39,20.33,52.47,75.52,62.63,17.44,46.41,1.6,08-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Feb-2020 - 00:00,8.97,993.55,62.41,103.39,296.51,1.67,231.02,148.86,4.66,17.03,21.22,19.41,41.06,47.54,16.2,51.14,1.24,09-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Feb-2020 - 00:00,9.1,994.06,62.07,107.79,282.8,1.23,253.38,149.95,4.84,19.05,21.63,31.35,54.27,54.0,13.21,53.95,1.53,10-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Feb-2020 - 00:00,8.99,992.09,63.06,104.8,287.38,1.25,309.01,188.1,5.63,24.37,25.07,37.86,61.31,57.21,14.55,51.49,1.82,11-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Feb-2020 - 00:00,9.32,992.31,60.03,113.67,285.44,1.06,288.33,167.29,7.98,44.01,23.03,53.47,76.07,61.08,15.51,47.39,2.08,12-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Feb-2020 - 00:00,9.94,991.73,60.34,108.07,278.23,2.38,285.68,176.5,4.85,22.12,23.49,10.96,30.21,40.02,19.32,64.74,1.2,13-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Feb-2020 - 00:00,10.87,988.73,54.66,116.71,287.12,3.17,173.93,91.55,2.32,6.34,18.77,4.73,16.57,23.9,19.23,65.44,0.74,14-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Feb-2020 - 00:00,10.65,985.93,53.13,118.63,298.88,3.24,165.78,67.16,2.06,7.51,15.19,5.09,15.82,21.91,13.25,73.5,0.72,15-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Feb-2020 - 00:00,10.43,986.23,48.35,121.62,287.28,3.03,180.31,77.14,2.48,8.15,14.38,7.93,22.92,30.94,18.95,67.32,0.85,16-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Feb-2020 - 00:00,10.55,989.3,52.01,120.79,285.2,1.71,227.07,117.45,3.64,14.5,17.33,14.36,35.32,44.4,17.53,66.48,1.35,17-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Feb-2020 - 00:00,10.81,990.3,51.82,127.41,281.58,2.01,243.12,124.17,4.16,18.49,19.48,14.46,35.55,44.66,17.63,63.73,1.29,18-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Feb-2020 - 00:00,10.7,987.66,47.15,123.15,278.22,2.16,203.43,100.38,2.69,7.96,16.34,6.58,23.54,34.19,22.54,81.57,0.83,19-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Feb-2020 - 00:00,10.59,986.52,53.11,102.88,125.36,1.72,188.47,104.02,2.94,11.25,16.0,6.69,16.68,21.09,27.13,105.66,0.79,20-Feb-2020 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
