from date,CO,RH,NO,NO2,NOx,NH3,Ozone,PM10,PM2.5,RF,SO2,SR,Temp,WD,WS,Benzene,Toluene,O Xylene,MP-Xylene,Eth-Benzene,to date,station
10-Aug-2020 - 00:00,1.0,82.96,10.56,4.27,13.25,7.1,34.52,31.98,7.14,0.6,2.12,199.13,29.71,142.6,0.87,0.71,0.39,0.0,0.41,0.2,11-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
11-Aug-2020 - 00:00,1.16,83.27,9.67,4.19,12.98,6.99,49.09,37.86,12.51,0.2,4.67,199.75,29.95,194.22,0.84,0.71,0.39,0.0,0.41,0.2,12-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
12-Aug-2020 - 00:00,1.18,82.89,7.06,12.27,19.07,8.22,49.13,44.84,17.41,,3.45,118.92,29.86,176.96,0.7,0.64,0.35,0.0,0.37,0.18,13-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
13-Aug-2020 - 00:00,1.08,81.0,3.5,12.3,15.8,11.21,38.21,33.67,7.89,0.27,2.09,214.42,29.79,120.5,1.12,0.71,0.39,0.0,0.41,0.2,14-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
14-Aug-2020 - 00:00,1.04,87.63,3.2,15.95,19.08,10.86,31.06,36.72,6.64,0.86,2.14,202.89,28.98,71.86,0.49,0.71,0.39,0.0,0.41,0.2,15-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
15-Aug-2020 - 00:00,1.28,92.11,2.91,13.42,16.32,12.37,36.3,21.06,9.83,0.4,1.86,138.43,28.23,97.22,0.7,0.71,0.39,0.0,0.41,0.2,16-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
16-Aug-2020 - 00:00,1.08,88.86,3.4,14.64,18.04,12.34,36.4,25.61,12.93,0.35,4.49,172.57,28.62,163.81,0.94,0.71,0.39,0.0,0.41,0.2,17-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
17-Aug-2020 - 00:00,1.17,92.83,4.62,23.38,28.0,10.64,25.72,29.74,10.33,0.39,2.36,91.37,27.55,163.53,0.63,0.71,0.39,0.0,0.41,0.2,18-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
18-Aug-2020 - 00:00,1.29,93.42,4.45,26.0,30.45,7.93,27.46,22.5,14.58,1.93,3.31,107.43,27.51,168.47,0.54,0.71,0.39,0.0,0.41,0.2,19-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
19-Aug-2020 - 00:00,1.26,94.0,3.63,14.66,18.28,11.52,31.45,15.49,10.6,1.36,2.22,145.51,27.17,80.21,0.6,0.71,0.39,0.0,0.41,0.2,20-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
20-Aug-2020 - 00:00,1.07,97.79,2.59,6.61,9.2,14.19,38.73,8.51,4.81,,1.94,85.19,26.51,113.43,0.98,0.7,0.38,0.0,0.4,0.2,21-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
21-Aug-2020 - 00:00,1.04,98.42,2.58,7.68,10.26,13.23,33.36,16.09,7.33,,1.81,69.8,26.22,144.97,0.94,0.71,0.39,0.0,0.41,0.2,22-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
22-Aug-2020 - 00:00,1.37,94.1,7.44,30.49,37.92,8.84,27.1,32.07,17.32,0.2,3.03,122.89,27.38,167.54,0.48,0.71,0.39,0.0,0.41,0.2,23-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
23-Aug-2020 - 00:00,1.16,92.65,4.88,24.84,29.75,10.64,29.26,38.96,22.75,0.3,3.58,128.53,27.82,210.27,0.46,0.71,0.39,0.0,0.41,0.2,24-Aug-2020 - 00:00,"Victoria, Kolkata - WBPCB"
