from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WD,RH,BP,Toluene,to date,station
22-Aug-2020 - 00:00,12.62,23.6,6.34,11.55,11.1,0.69,13.74,20.77,51.04,0.11,25.34,128.03,60.03,712.32,2.14,23-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Aug-2020 - 00:00,11.74,23.93,6.3,11.04,9.38,0.68,12.08,15.33,39.19,0.1,25.41,126.31,61.53,712.18,2.13,24-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Aug-2020 - 00:00,15.59,22.96,6.39,13.17,14.36,0.69,10.67,23.89,51.93,0.14,24.88,139.18,63.51,712.46,2.49,25-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Aug-2020 - 00:00,14.4,23.1,6.39,12.52,15.02,0.69,13.81,26.76,67.85,0.12,24.85,142.39,54.58,713.31,2.31,26-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Aug-2020 - 00:00,13.57,23.42,6.32,12.03,14.23,0.68,15.46,23.02,58.15,0.12,25.66,149.64,53.66,713.14,2.49,27-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Aug-2020 - 00:00,16.49,22.5,6.42,13.65,17.8,0.69,12.18,27.4,74.31,0.14,24.2,141.2,55.91,712.06,2.18,28-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Aug-2020 - 00:00,13.65,23.27,6.45,12.17,16.78,0.7,14.83,25.64,68.58,0.13,24.53,135.04,48.14,711.22,2.14,29-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Aug-2020 - 00:00,13.91,23.28,6.36,12.25,16.06,0.69,17.86,24.25,66.38,0.12,24.53,130.05,49.39,711.1,2.1,30-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Aug-2020 - 00:00,12.49,23.73,6.39,11.51,14.99,0.69,16.19,21.57,54.22,0.11,24.75,138.39,54.78,711.72,1.83,31-Aug-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Aug-2020 - 00:00,13.27,23.63,6.38,11.91,13.71,0.69,13.78,21.16,41.85,0.12,25.55,169.56,57.65,712.49,2.35,01-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Sep-2020 - 00:00,15.22,22.97,6.45,13.02,17.87,0.7,12.95,29.27,58.68,0.17,27.35,175.17,63.29,712.36,3.24,02-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Sep-2020 - 00:00,13.12,23.81,6.38,11.85,20.7,0.69,16.95,26.09,42.58,0.15,26.18,169.25,65.02,711.61,2.66,03-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Sep-2020 - 00:00,,,,,,,,,,,,,,,,04-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Sep-2020 - 00:00,10.1,24.76,6.33,10.2,17.03,0.69,20.18,25.16,39.5,0.1,25.92,254.21,56.81,710.72,2.07,05-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Sep-2020 - 00:00,12.32,23.88,6.4,11.44,15.46,0.69,18.35,31.93,47.23,0.13,24.78,232.34,61.23,710.53,1.6,06-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Sep-2020 - 00:00,11.71,24.11,6.39,11.1,15.66,0.69,22.91,31.52,45.02,0.11,24.92,238.04,59.24,710.15,1.76,07-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Sep-2020 - 00:00,13.77,23.38,6.45,12.25,12.84,0.7,17.65,18.92,44.74,0.12,25.04,148.19,59.4,711.09,1.96,08-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Sep-2020 - 00:00,14.92,23.16,6.38,12.8,14.89,0.69,14.55,17.41,38.99,0.12,24.6,172.23,63.54,711.33,2.16,09-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Sep-2020 - 00:00,13.22,23.81,6.38,11.9,14.03,0.69,17.07,14.44,28.14,0.24,24.04,166.76,66.21,710.6,2.27,10-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Sep-2020 - 00:00,12.27,23.79,6.36,11.37,17.04,0.69,17.86,13.84,34.59,0.1,24.09,118.89,60.76,709.23,2.23,11-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Sep-2020 - 00:00,12.12,23.75,6.34,11.28,14.01,0.69,14.38,17.97,40.36,0.1,25.15,119.94,62.19,709.73,2.21,12-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Sep-2020 - 00:00,11.96,23.78,6.34,11.19,14.31,0.69,14.39,16.28,36.93,0.1,25.44,124.91,66.17,711.58,1.89,13-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Sep-2020 - 00:00,11.29,23.82,6.39,10.87,15.03,0.69,14.69,16.36,26.2,0.1,25.26,134.72,69.82,711.8,1.79,14-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Sep-2020 - 00:00,11.61,24.02,6.39,11.05,14.44,0.69,11.71,18.74,30.34,0.1,25.75,136.58,69.85,710.99,1.24,15-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Sep-2020 - 00:00,12.07,23.64,6.35,11.25,16.82,0.69,13.34,20.38,62.69,0.12,24.93,130.25,63.09,710.48,1.7,16-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Sep-2020 - 00:00,12.47,23.7,6.35,11.47,16.31,0.69,13.67,19.69,58.93,0.11,25.01,128.89,63.52,710.9,1.91,17-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Sep-2020 - 00:00,11.46,23.97,6.41,10.99,15.12,0.69,14.93,21.59,52.79,0.11,25.24,136.76,62.08,711.3,1.83,18-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Sep-2020 - 00:00,11.65,23.76,6.4,11.08,15.24,0.69,13.36,16.36,42.22,0.13,25.9,134.15,60.16,710.06,1.81,19-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Sep-2020 - 00:00,12.62,23.64,6.35,11.55,17.58,0.69,13.42,20.04,40.91,0.12,25.32,125.85,67.4,708.12,1.78,20-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Sep-2020 - 00:00,9.54,24.36,6.45,9.99,14.89,0.7,14.97,14.69,20.4,0.1,25.48,126.95,70.58,707.81,1.36,21-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Sep-2020 - 00:00,9.59,24.65,6.33,9.92,15.3,0.69,15.6,15.69,45.93,0.1,24.14,126.58,60.34,707.71,1.46,22-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Sep-2020 - 00:00,11.81,23.99,6.32,11.09,18.66,0.69,18.07,18.79,48.92,0.1,23.93,119.34,61.03,708.76,1.89,23-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Sep-2020 - 00:00,12.25,23.7,6.31,11.31,19.6,0.69,18.88,23.22,71.02,0.11,23.21,120.23,55.64,711.01,1.43,24-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Sep-2020 - 00:00,14.0,23.34,6.36,12.29,18.3,0.69,16.57,24.05,64.86,0.11,23.89,119.27,57.97,712.88,1.76,25-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Sep-2020 - 00:00,13.12,23.49,6.4,11.86,13.89,0.69,15.73,22.8,48.82,0.11,24.97,127.07,60.35,712.29,1.85,26-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Sep-2020 - 00:00,14.24,23.11,6.32,12.38,15.39,0.69,10.49,22.6,49.03,0.11,24.94,135.94,67.54,712.51,1.84,27-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Sep-2020 - 00:00,14.6,22.99,6.29,12.55,15.64,0.68,11.64,23.1,53.91,0.12,25.12,150.84,62.67,712.97,1.83,28-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Sep-2020 - 00:00,13.6,23.42,6.35,12.09,12.29,0.69,18.51,27.16,60.77,0.11,25.63,171.69,58.84,712.31,1.91,29-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Sep-2020 - 00:00,15.74,22.81,6.38,13.24,12.43,0.69,20.83,30.9,68.02,0.11,25.85,172.82,65.24,711.62,2.28,30-Sep-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Sep-2020 - 00:00,14.51,22.96,6.34,12.56,14.93,0.69,17.74,23.93,43.04,0.14,25.17,156.64,71.5,711.12,1.73,01-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Oct-2020 - 00:00,15.77,22.56,6.41,13.27,13.72,0.69,15.26,25.39,55.85,0.18,25.41,168.81,64.26,711.39,2.53,02-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Oct-2020 - 00:00,14.42,23.39,6.39,12.54,16.04,0.69,27.13,35.55,76.66,0.12,23.55,153.38,59.06,711.38,1.79,03-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Oct-2020 - 00:00,13.49,23.47,6.39,12.05,17.4,0.69,25.82,30.12,68.99,0.12,24.92,137.84,58.51,711.91,4.19,04-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Oct-2020 - 00:00,12.37,23.56,6.4,11.46,16.1,0.69,17.44,21.26,51.03,0.11,24.96,136.84,59.09,713.02,5.75,05-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Oct-2020 - 00:00,13.77,23.33,6.35,12.16,14.93,0.69,22.9,28.34,60.98,0.12,24.69,143.71,56.76,712.33,6.16,06-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Oct-2020 - 00:00,16.49,22.66,6.47,13.7,13.95,0.7,27.54,37.76,85.03,0.15,23.87,171.71,54.71,711.79,7.88,07-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Oct-2020 - 00:00,16.43,22.98,6.42,13.63,15.51,0.69,31.19,43.67,92.14,0.14,23.72,165.73,56.47,712.4,7.22,08-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Oct-2020 - 00:00,17.01,22.96,6.36,13.9,13.41,0.69,42.66,57.76,113.77,0.17,24.32,181.91,53.43,712.01,8.12,09-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Oct-2020 - 00:00,16.54,23.02,6.4,13.68,14.34,0.69,33.91,59.52,95.6,0.14,24.47,186.96,60.53,711.91,6.53,10-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Oct-2020 - 00:00,13.58,23.89,6.36,12.07,16.81,0.69,31.76,28.28,43.77,0.12,22.71,144.83,63.41,711.49,6.33,11-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Oct-2020 - 00:00,13.09,23.82,6.45,11.87,16.23,0.7,31.68,31.38,41.29,9.15,23.5,134.71,70.4,709.86,3.64,12-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Oct-2020 - 00:00,14.26,23.41,6.32,12.41,15.26,0.68,31.72,28.8,46.53,0.15,25.7,122.91,65.7,707.67,9.19,13-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Oct-2020 - 00:00,13.08,23.61,6.35,11.8,18.36,0.69,33.92,23.84,38.52,0.15,26.14,130.53,66.6,706.99,8.38,14-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Oct-2020 - 00:00,12.3,23.98,6.38,11.41,19.56,0.69,30.69,21.39,39.3,0.12,24.54,120.96,65.07,707.84,7.59,15-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Oct-2020 - 00:00,12.95,23.35,6.41,11.77,16.16,0.69,21.57,22.03,49.39,0.12,25.67,114.98,63.01,709.22,7.39,16-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Oct-2020 - 00:00,14.51,23.22,6.37,12.57,15.75,0.69,34.91,43.14,101.33,0.19,26.68,129.81,56.69,709.55,9.63,17-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Oct-2020 - 00:00,13.8,23.53,6.37,12.2,15.41,0.69,29.9,39.24,78.15,0.19,25.43,181.11,60.36,710.71,11.53,18-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Oct-2020 - 00:00,18.19,22.1,6.4,14.56,16.68,0.69,22.67,40.01,91.33,0.31,24.87,176.3,61.98,711.46,10.45,19-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Oct-2020 - 00:00,16.84,22.42,6.41,13.85,15.29,0.69,19.82,40.58,88.9,0.26,25.18,172.52,61.35,711.13,11.65,20-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Oct-2020 - 00:00,18.54,21.91,6.48,14.81,15.02,0.7,20.23,31.07,46.36,0.21,25.11,174.71,72.24,710.69,9.04,21-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Oct-2020 - 00:00,13.64,23.42,6.29,12.04,12.87,0.68,19.06,18.61,30.12,0.15,25.5,154.19,70.85,711.41,6.99,22-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Oct-2020 - 00:00,13.99,23.17,6.41,12.33,15.39,0.69,20.74,23.27,47.52,0.16,25.19,145.27,65.81,710.95,7.67,23-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Oct-2020 - 00:00,14.37,23.08,6.38,12.51,16.94,0.69,23.55,31.15,52.98,0.19,25.5,128.98,64.98,711.32,8.52,24-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Oct-2020 - 00:00,16.13,22.51,6.37,13.44,21.57,0.69,21.35,26.99,62.77,0.18,24.83,170.53,56.89,712.95,10.89,25-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Oct-2020 - 00:00,15.93,22.73,6.29,13.26,23.32,0.68,25.56,44.67,76.09,0.2,23.79,200.27,55.48,713.94,11.08,26-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Oct-2020 - 00:00,16.92,22.41,6.32,13.82,15.72,0.69,28.26,57.2,96.29,0.22,25.4,185.86,54.75,714.66,11.32,27-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Oct-2020 - 00:00,16.25,22.59,6.38,13.51,16.53,0.69,33.65,62.04,102.72,0.22,26.17,189.51,55.14,714.15,11.46,28-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Oct-2020 - 00:00,16.03,22.68,6.3,13.32,16.72,0.68,37.36,59.05,97.15,0.21,25.5,184.23,53.8,714.66,11.77,29-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Oct-2020 - 00:00,16.78,22.7,6.46,13.85,15.02,0.7,42.53,58.8,105.68,0.23,24.86,181.8,55.62,714.95,9.51,30-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Oct-2020 - 00:00,18.66,22.1,6.37,14.77,14.38,0.69,43.48,59.4,100.81,0.22,25.71,186.36,50.2,714.33,10.84,31-Oct-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Oct-2020 - 00:00,16.55,22.9,6.48,13.75,17.85,0.7,41.47,76.48,130.36,0.24,24.33,179.01,53.36,714.48,11.59,01-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Nov-2020 - 00:00,16.53,23.42,6.32,13.61,17.3,0.69,48.94,84.43,129.08,0.26,24.57,173.6,52.25,715.06,13.7,02-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Nov-2020 - 00:00,15.12,23.28,6.46,12.97,15.89,0.7,41.57,79.46,118.05,0.23,25.48,198.43,55.48,715.59,10.9,03-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Nov-2020 - 00:00,13.59,41.09,5.73,11.45,17.77,0.62,35.9,67.72,102.45,0.22,25.96,170.99,57.12,715.75,13.06,04-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Nov-2020 - 00:00,8.05,37.26,6.45,9.21,14.93,0.7,29.76,60.34,87.38,0.26,24.57,179.79,61.38,715.41,12.58,05-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Nov-2020 - 00:00,4.44,33.5,6.35,7.2,13.76,0.69,35.07,52.25,79.4,0.14,24.87,148.48,59.3,715.51,9.7,06-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Nov-2020 - 00:00,3.37,31.99,6.46,6.74,16.58,0.7,18.82,52.6,74.31,0.29,25.09,222.25,60.11,716.78,9.57,07-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Nov-2020 - 00:00,11.5,28.88,6.5,10.61,15.71,0.7,11.04,20.71,31.75,0.1,25.72,198.27,59.58,717.27,9.43,08-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Nov-2020 - 00:00,21.73,25.46,6.33,16.38,15.31,0.69,29.49,49.56,72.31,0.19,26.9,169.05,62.34,717.57,9.06,09-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Nov-2020 - 00:00,26.14,25.32,6.41,18.79,15.86,0.69,44.38,74.39,116.53,0.23,24.98,184.14,55.27,716.51,8.84,10-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Nov-2020 - 00:00,29.31,23.45,6.43,20.5,19.46,0.7,42.88,61.94,94.33,0.22,23.51,197.82,47.47,714.4,8.27,11-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Nov-2020 - 00:00,23.01,25.11,6.47,17.17,18.64,0.7,39.63,52.5,81.98,0.21,24.58,166.85,56.66,714.68,15.39,12-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Nov-2020 - 00:00,21.82,23.68,6.5,16.56,15.21,0.73,25.08,29.33,49.12,0.15,24.2,158.84,63.05,713.72,12.08,13-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Nov-2020 - 00:00,21.21,21.12,6.3,16.09,14.67,0.74,13.15,18.21,26.76,0.12,22.5,145.82,73.5,710.48,2.72,14-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Nov-2020 - 00:00,19.99,21.23,6.44,15.55,14.59,0.7,22.16,23.75,36.16,0.1,23.44,192.4,62.8,709.51,3.51,15-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Nov-2020 - 00:00,20.28,21.13,6.42,15.68,17.07,0.7,24.85,26.17,38.27,0.1,21.5,147.62,72.03,709.04,2.03,16-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Nov-2020 - 00:00,21.68,40.84,6.67,16.64,3.09,0.72,14.84,8.0,18.35,0.1,24.52,243.93,72.61,710.05,2.14,17-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Nov-2020 - 00:00,22.17,22.45,6.33,16.62,1.27,0.69,15.53,18.32,36.24,0.1,23.07,222.52,68.47,709.25,2.26,18-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Nov-2020 - 00:00,23.0,20.96,6.52,17.22,1.44,0.7,16.18,26.5,45.66,0.13,21.2,257.26,63.27,709.62,2.44,19-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Nov-2020 - 00:00,22.64,21.86,6.45,16.97,1.55,0.7,21.03,26.98,45.93,0.1,22.97,257.78,59.7,709.95,3.19,20-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Nov-2020 - 00:00,24.13,21.62,6.39,17.7,1.53,0.69,19.98,33.45,54.82,0.14,24.48,246.05,55.47,710.46,2.75,21-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Nov-2020 - 00:00,28.06,22.06,6.51,19.89,0.92,0.7,21.52,33.18,71.58,0.17,24.39,189.64,48.02,710.77,3.98,22-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Nov-2020 - 00:00,29.41,22.91,6.51,20.59,1.25,0.7,26.74,46.11,81.9,0.38,22.56,205.51,50.0,711.35,4.16,23-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Nov-2020 - 00:00,25.08,23.8,6.44,18.25,1.21,0.7,24.95,40.97,72.96,0.16,22.75,176.56,59.48,711.03,3.45,24-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Nov-2020 - 00:00,24.78,24.74,6.4,18.07,0.79,0.69,31.77,55.71,85.67,0.15,26.49,169.51,64.95,710.04,4.31,25-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Nov-2020 - 00:00,25.76,24.45,6.49,18.65,1.19,0.7,32.42,55.59,92.42,0.16,24.44,184.89,68.93,708.33,4.5,26-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Nov-2020 - 00:00,25.97,21.86,6.36,18.67,1.36,0.69,24.16,25.18,37.69,0.14,24.67,177.32,77.22,706.98,4.08,27-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Nov-2020 - 00:00,27.17,22.27,6.45,19.37,1.07,0.7,23.38,22.77,38.48,0.19,26.32,170.81,72.77,709.31,4.37,28-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Nov-2020 - 00:00,22.76,22.53,6.52,17.08,1.21,0.7,24.38,22.03,39.6,0.12,26.86,226.44,68.43,710.79,3.45,29-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Nov-2020 - 00:00,22.07,22.31,6.4,16.62,1.21,0.69,17.44,23.34,40.42,0.1,25.7,192.71,69.9,711.73,1.03,30-Nov-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Nov-2020 - 00:00,21.95,20.88,6.42,16.57,0.95,0.69,24.4,29.1,49.04,0.1,24.32,158.6,63.15,711.71,0.93,01-Dec-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Dec-2020 - 00:00,27.6,23.3,6.75,19.9,0.8,0.73,14.8,37.0,57.0,0.1,24.85,140.5,77.0,713.0,0.85,02-Dec-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
