from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WD,RH,BP,Toluene,to date,station
29-May-2020 - 00:00,13.79,22.01,6.35,12.16,13.46,0.69,44.36,7.7,38.01,0.11,25.01,151.39,48.29,711.32,5.32,30-May-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-May-2020 - 00:00,15.37,21.63,6.39,13.05,13.67,0.69,44.34,9.38,24.86,0.12,24.77,179.76,51.49,712.08,4.68,31-May-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-May-2020 - 00:00,15.47,21.64,6.32,13.04,13.19,0.69,46.01,14.96,44.99,0.12,25.14,203.08,52.98,712.3,5.91,01-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Jun-2020 - 00:00,13.06,22.22,6.39,11.82,14.14,0.69,32.53,5.71,26.5,0.1,24.77,147.41,53.77,712.96,4.55,02-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Jun-2020 - 00:00,13.46,22.04,6.31,11.97,13.0,0.69,28.51,10.27,26.58,0.1,25.06,136.0,55.48,712.36,5.01,03-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Jun-2020 - 00:00,12.44,22.4,6.37,11.47,12.62,0.69,27.26,9.19,28.32,0.1,23.52,117.66,54.55,711.76,3.99,04-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Jun-2020 - 00:00,13.71,22.0,6.36,12.14,11.63,0.69,26.86,8.58,31.08,0.11,24.99,113.75,53.31,711.97,4.13,05-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Jun-2020 - 00:00,14.7,21.66,6.39,12.69,16.6,0.69,27.23,12.99,30.27,0.11,24.87,135.62,51.96,712.12,4.5,06-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Jun-2020 - 00:00,13.34,22.16,6.41,11.99,15.29,0.7,25.58,16.3,42.25,0.12,23.43,137.29,54.51,711.64,3.9,07-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Jun-2020 - 00:00,13.17,22.12,6.41,11.89,13.65,0.69,22.37,15.94,34.29,0.11,24.48,138.35,57.21,711.38,3.4,08-Jun-2020 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
