from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,159.2,269.71,48.8,89.27,40.63,27.14,5.76,3.57,7.65,9.54,1.52,5.14,8.88,5.24,15.21,83.56,0.35,203.85,757.29,78.99,0.0,02-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
02-Jan-2020 - 00:00,172.76,302.52,44.65,85.86,43.53,37.41,6.02,4.71,9.85,13.67,1.74,6.01,10.17,5.76,15.83,87.34,0.23,107.1,757.51,59.67,0.0,03-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
03-Jan-2020 - 00:00,119.98,184.67,40.09,80.73,40.89,45.48,6.11,2.87,6.57,12.55,1.6,5.11,8.66,5.28,16.61,87.93,0.27,113.23,755.04,65.81,0.0,04-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
04-Jan-2020 - 00:00,57.51,108.14,31.33,83.3,51.93,42.97,5.51,3.26,5.5,3.57,1.26,3.47,7.49,4.22,14.58,94.46,0.39,259.08,753.98,44.12,0.0,05-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
05-Jan-2020 - 00:00,55.0,109.4,24.43,38.02,13.57,40.53,5.28,2.81,10.59,3.7,0.83,2.53,5.52,2.86,14.44,90.1,0.89,272.8,754.65,63.17,0.0,06-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
06-Jan-2020 - 00:00,80.21,148.09,30.77,44.01,13.21,56.29,5.32,3.26,13.88,4.13,0.72,1.63,4.0,2.32,13.6,90.25,0.49,216.91,756.35,83.06,0.0,07-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
07-Jan-2020 - 00:00,115.77,212.82,35.9,71.57,35.63,51.21,5.35,3.49,8.56,0.0,0.0,0.0,0.0,0.0,14.03,91.48,0.28,171.69,754.84,86.22,0.0,08-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
08-Jan-2020 - 00:00,123.79,222.75,41.84,94.2,53.13,40.41,5.52,3.28,12.55,1.55,0.32,0.75,1.75,1.02,15.28,89.33,0.31,105.96,753.55,69.38,0.0,09-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
09-Jan-2020 - 00:00,71.19,119.04,31.36,59.85,28.44,36.73,5.81,1.56,14.38,4.56,1.02,3.09,5.85,3.34,16.16,92.05,0.6,142.91,753.69,55.64,0.0,10-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
10-Jan-2020 - 00:00,59.56,115.08,33.38,61.01,27.62,49.11,5.7,1.35,5.8,0.04,1.23,2.2,6.42,4.25,14.48,88.73,0.82,277.78,755.47,44.8,0.0,11-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
11-Jan-2020 - 00:00,61.56,116.78,37.78,61.28,23.48,38.0,5.7,1.42,7.83,1.5,1.05,2.54,5.78,3.81,13.46,78.45,0.79,291.15,756.28,139.73,0.0,12-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
12-Jan-2020 - 00:00,83.04,151.32,31.14,57.75,26.56,26.9,5.57,1.67,6.66,2.46,0.8,2.56,4.68,3.08,11.1,94.59,0.64,262.97,754.39,76.06,0.0,13-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
13-Jan-2020 - 00:00,60.45,128.45,24.32,50.61,28.99,15.38,5.23,1.73,5.65,5.34,0.75,2.65,4.34,2.81,9.3,98.88,0.55,304.83,752.72,41.63,0.0,14-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
15-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
16-Jan-2020 - 00:00,71.34,165.05,38.33,59.83,22.06,23.58,6.4,1.88,13.14,0.0,0.0,0.0,0.0,0.0,18.58,81.36,0.25,103.14,755.45,47.86,,17-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
17-Jan-2020 - 00:00,89.49,226.39,30.71,52.57,22.62,22.79,6.84,1.76,24.64,0.31,0.02,0.06,0.12,0.11,18.91,79.32,0.48,73.3,755.91,148.83,,18-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
18-Jan-2020 - 00:00,54.73,117.31,19.97,43.1,23.11,28.36,5.53,1.39,8.9,11.81,2.1,1.71,5.03,3.1,17.74,92.38,0.54,275.65,757.29,118.4,,19-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
20-Jan-2020 - 00:00,22.12,96.27,30.55,30.83,7.06,21.98,5.72,0.52,6.24,1.2,0.04,0.58,1.11,0.64,16.78,65.81,1.17,301.67,759.13,352.99,,21-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
21-Jan-2020 - 00:00,106.98,171.83,52.72,81.81,29.12,20.5,5.84,1.33,7.28,2.68,0.04,1.33,2.04,1.26,15.24,79.36,0.3,133.26,759.28,115.34,,22-Jan-2020 - 00:00,"Muradpur, Patna - BSPCB"
