from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,to date,station
01-Jan-2020 - 00:00,393.35,411.06,90.71,110.56,138.13,86.99,8.89,2.81,47.0,2.63,25.95,1.79,157.58,17.67,67.09,741.08,02-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
02-Jan-2020 - 00:00,442.49,441.22,96.92,177.66,195.99,86.5,14.52,3.16,63.02,3.54,36.04,1.33,148.0,20.04,64.46,741.21,03-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
03-Jan-2020 - 00:00,315.01,373.34,79.28,113.28,134.27,65.83,17.1,2.53,32.56,2.43,28.93,1.64,192.08,21.12,65.55,741.04,04-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
04-Jan-2020 - 00:00,276.06,349.61,97.89,113.09,144.01,72.77,11.91,1.54,23.45,1.88,23.77,1.35,134.74,20.64,66.29,741.0,05-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
05-Jan-2020 - 00:00,204.67,268.7,73.2,26.25,60.26,59.72,11.7,0.89,28.66,0.76,8.71,2.15,169.12,19.96,60.96,741.0,06-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
06-Jan-2020 - 00:00,188.26,260.57,79.96,52.15,84.93,60.7,15.0,1.14,24.59,0.92,10.09,2.24,183.05,19.57,65.66,741.0,07-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
07-Jan-2020 - 00:00,153.55,187.32,55.58,11.45,38.88,53.01,18.57,0.29,14.77,0.72,9.43,2.7,185.82,19.83,75.71,741.0,08-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
08-Jan-2020 - 00:00,168.21,175.54,55.77,25.67,49.72,57.56,9.14,1.05,30.87,0.78,8.93,2.01,169.1,18.53,88.84,740.71,09-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
09-Jan-2020 - 00:00,132.72,172.24,62.91,18.22,48.28,49.89,7.65,1.01,21.16,0.79,9.45,2.64,115.77,16.43,73.83,741.0,10-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
10-Jan-2020 - 00:00,161.19,225.66,73.03,33.93,66.43,43.69,8.18,1.16,24.86,1.07,11.12,2.04,159.01,16.34,73.79,741.0,11-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
11-Jan-2020 - 00:00,171.27,249.95,95.03,37.64,95.73,48.69,10.18,1.31,29.57,1.16,12.65,1.7,156.19,18.19,59.29,741.04,12-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
12-Jan-2020 - 00:00,279.86,388.23,104.24,,158.24,61.4,,2.33,33.22,2.12,26.62,1.4,202.59,20.12,59.91,741.0,13-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
13-Jan-2020 - 00:00,272.96,344.58,58.94,,36.17,58.03,,1.72,28.81,1.52,17.18,2.32,197.7,20.21,70.39,740.32,14-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
14-Jan-2020 - 00:00,167.62,208.54,55.57,,35.81,54.52,,1.06,20.81,0.99,10.01,2.42,92.27,18.43,80.01,740.9,15-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
15-Jan-2020 - 00:00,130.81,188.56,61.95,4.23,41.16,50.95,13.34,0.82,32.95,1.01,10.2,2.24,100.96,18.61,74.58,741.0,16-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
16-Jan-2020 - 00:00,178.27,222.73,67.7,17.89,50.56,51.41,11.51,1.22,15.68,1.28,11.91,2.09,111.94,17.74,80.14,740.92,17-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
17-Jan-2020 - 00:00,116.17,150.58,56.31,26.58,51.1,43.25,5.88,1.46,21.85,0.88,11.38,2.26,128.19,18.45,86.3,741.0,18-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
18-Jan-2020 - 00:00,170.28,238.59,82.88,34.29,71.96,49.78,11.52,1.73,23.76,1.18,14.21,1.66,137.08,17.41,85.05,741.0,19-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
19-Jan-2020 - 00:00,165.56,212.09,52.36,9.14,35.27,46.97,6.28,0.79,26.88,0.68,5.87,2.38,171.61,15.88,79.2,741.0,20-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
20-Jan-2020 - 00:00,180.89,246.35,66.09,12.58,44.93,58.13,3.46,0.95,15.73,0.82,7.66,1.73,192.63,16.78,83.06,741.0,21-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
21-Jan-2020 - 00:00,253.07,334.5,55.69,3.19,32.21,48.01,11.05,1.15,18.52,1.13,12.95,1.64,200.01,18.23,82.81,741.0,22-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
22-Jan-2020 - 00:00,259.49,,85.95,46.98,83.92,77.32,8.42,1.16,24.75,1.54,17.16,1.99,166.54,18.11,81.06,741.14,23-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
23-Jan-2020 - 00:00,82.07,,56.99,7.8,36.66,47.64,6.9,0.26,37.18,0.51,5.24,3.23,149.08,19.0,55.33,741.0,24-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
24-Jan-2020 - 00:00,89.56,321.57,70.92,19.54,53.33,45.9,9.45,1.78,42.15,0.66,7.08,2.8,187.82,19.36,49.79,741.0,25-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
25-Jan-2020 - 00:00,165.69,248.56,99.8,72.35,111.91,67.86,10.95,4.28,33.12,1.34,12.74,1.6,178.74,19.54,55.74,741.0,26-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
26-Jan-2020 - 00:00,239.36,316.89,86.97,86.05,116.21,90.28,10.84,2.99,36.34,1.36,13.04,1.73,195.19,20.49,62.77,740.88,27-Jan-2020 - 00:00,"Sector-1, Noida - UPPCB"
