from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM10,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
01-Jan-2020 - 00:00,,151.08,752.2,73.24,442.45,66.87,115.36,100.43,1.57,0.09,,314.68,76.17,1.28,884.66,10.66,84.8,93.67,02-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Jan-2020 - 00:00,,147.13,751.33,74.39,512.9,66.17,121.55,108.64,1.73,0.1,,267.93,74.82,0.79,966.08,13.18,105.48,81.51,03-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Jan-2020 - 00:00,0.0,178.09,750.31,83.57,94.05,60.2,82.35,63.62,1.74,0.1,,216.94,71.33,1.1,77.25,14.73,70.7,60.47,04-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Jan-2020 - 00:00,0.48,294.48,750.12,63.25,86.14,80.11,97.19,69.05,1.63,0.11,,189.44,68.68,1.56,31.98,14.71,71.87,44.29,05-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Jan-2020 - 00:00,0.0,242.72,750.2,72.84,140.95,62.33,40.69,10.11,0.67,0.12,,139.19,56.87,2.44,0.0,14.77,34.58,2.89,06-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Jan-2020 - 00:00,46.68,171.85,750.72,33.09,251.43,67.61,52.41,21.27,0.75,0.1,,111.71,65.99,2.72,216.19,14.18,43.98,6.81,07-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Jan-2020 - 00:00,200.68,90.4,750.37,39.38,380.95,55.85,39.14,12.37,0.89,0.1,,91.78,78.59,2.8,522.26,14.46,32.31,5.11,08-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Jan-2020 - 00:00,69.3,188.21,749.65,16.54,242.6,46.48,33.75,11.78,0.83,0.14,,99.73,94.94,1.58,197.89,13.34,30.25,13.15,09-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Jan-2020 - 00:00,65.28,312.18,751.82,69.09,175.98,37.81,24.15,5.45,0.63,0.2,,65.12,82.24,2.42,202.2,10.8,20.87,8.31,10-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Jan-2020 - 00:00,60.61,300.61,751.35,91.11,175.08,60.12,41.34,12.33,0.74,0.16,,105.0,74.21,2.14,173.62,11.51,30.75,9.74,11-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Jan-2020 - 00:00,79.56,282.48,751.13,86.93,172.94,67.88,47.16,14.53,1.25,0.03,,103.36,57.7,1.69,238.75,12.84,40.55,13.18,12-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Jan-2020 - 00:00,0.0,229.46,749.86,86.85,51.8,82.34,77.92,43.52,1.99,0.1,,159.65,63.14,0.88,0.0,13.97,62.42,8.01,13-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Jan-2020 - 00:00,49.61,144.98,747.77,50.89,159.19,69.68,61.38,31.12,1.87,0.13,,202.79,72.02,1.65,175.21,14.56,55.6,9.48,14-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Jan-2020 - 00:00,102.32,321.21,748.96,64.62,291.28,41.28,26.79,6.48,1.25,0.17,,118.1,82.74,1.95,527.25,13.22,26.78,7.54,15-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Jan-2020 - 00:00,51.26,301.7,749.48,82.05,247.96,49.33,31.94,7.64,0.79,0.15,,92.68,77.11,2.03,382.72,13.27,28.87,5.29,16-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Jan-2020 - 00:00,44.97,235.43,749.22,42.85,146.42,50.72,37.78,14.04,0.99,0.14,,125.47,84.23,1.7,284.33,12.37,30.94,3.94,17-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Jan-2020 - 00:00,0.0,264.36,750.24,68.94,195.62,45.73,34.33,12.98,0.95,0.15,,81.62,90.73,1.98,260.42,13.26,27.91,16.65,18-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Jan-2020 - 00:00,,260.68,750.8,61.79,375.85,45.75,35.93,14.97,0.88,0.13,,112.78,89.15,2.18,974.4,11.94,27.14,17.23,19-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Jan-2020 - 00:00,,291.51,751.21,88.33,266.58,42.55,27.35,6.34,0.67,0.2,,114.4,82.16,3.01,987.15,11.02,23.47,19.74,20-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Jan-2020 - 00:00,,265.4,750.71,56.4,399.82,52.23,41.89,18.18,1.2,0.14,,133.34,87.24,1.91,,11.77,35.1,23.97,21-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Jan-2020 - 00:00,,133.24,750.55,73.04,535.2,62.81,76.69,54.76,1.48,0.11,,192.02,85.0,1.39,,13.21,61.0,32.39,22-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Jan-2020 - 00:00,,263.06,751.62,84.06,475.08,59.28,56.23,31.5,1.2,0.16,,162.17,86.22,2.35,,12.39,61.01,18.58,23-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Jan-2020 - 00:00,411.53,297.27,750.48,105.84,231.47,41.84,25.22,4.14,0.48,0.23,,54.08,49.64,2.99,815.5,14.13,33.63,8.63,24-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Jan-2020 - 00:00,427.15,281.96,749.1,104.68,305.11,56.8,35.68,7.37,0.66,0.21,,66.6,41.23,3.01,784.75,14.51,38.48,5.89,25-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Jan-2020 - 00:00,471.84,256.0,748.52,93.12,424.12,72.43,53.44,19.4,0.89,0.1,,112.04,55.61,1.69,788.23,13.89,47.49,12.31,26-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Jan-2020 - 00:00,484.1,224.02,747.72,91.72,441.72,53.72,46.85,23.42,1.38,0.12,,158.0,68.47,1.65,804.41,14.17,48.82,13.24,27-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Jan-2020 - 00:00,,120.86,746.6,48.58,476.49,97.79,112.5,76.63,1.68,0.1,,180.25,67.75,1.56,886.66,14.89,84.8,15.51,28-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Jan-2020 - 00:00,471.55,126.19,746.34,67.14,251.23,46.49,30.74,8.09,1.27,0.11,,76.89,75.48,1.79,801.27,15.31,37.08,11.96,29-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Jan-2020 - 00:00,440.6,231.65,749.62,102.39,297.8,49.39,33.64,9.88,0.7,0.13,,64.9,67.19,1.9,715.32,15.05,37.59,11.3,30-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Jan-2020 - 00:00,448.95,313.99,751.03,104.13,284.47,49.35,31.68,7.33,0.59,0.17,,65.72,65.82,3.13,749.39,14.64,33.33,10.57,31-Jan-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Jan-2020 - 00:00,495.7,254.91,749.11,106.0,286.49,55.81,36.0,8.48,0.61,0.15,,74.4,63.17,2.32,869.07,13.23,36.03,12.26,01-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Feb-2020 - 00:00,,211.13,749.65,93.92,328.14,44.32,37.33,17.67,0.94,0.14,,114.8,71.02,1.46,821.51,13.2,36.9,11.17,02-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Feb-2020 - 00:00,,296.62,750.26,106.73,304.53,52.97,34.02,7.86,0.96,0.16,,78.83,68.17,2.02,855.04,13.69,33.94,15.98,03-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Feb-2020 - 00:00,,264.39,749.39,106.05,415.84,61.78,46.99,18.32,1.09,0.13,,113.72,57.81,1.57,807.06,14.18,40.69,14.4,04-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Feb-2020 - 00:00,,153.56,748.34,90.95,511.95,69.16,73.6,46.75,1.18,0.13,,166.36,60.77,1.05,951.52,13.85,57.46,16.39,05-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Feb-2020 - 00:00,473.16,276.66,748.23,96.66,323.05,52.65,39.04,14.34,0.82,0.18,,119.89,56.21,1.63,742.29,14.82,35.99,17.24,06-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
