from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM10,PM2.5,RH,WS,THC,Temp,NH3,SO2,to date,station
06-Feb-2020 - 00:00,,228.6,747.9,103.72,304.82,54.24,40.6,15.29,0.83,0.13,,100.77,56.76,1.45,803.82,13.96,39.23,12.33,07-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Feb-2020 - 00:00,488.77,239.6,748.97,95.15,357.83,55.59,37.81,10.88,0.83,0.16,,154.98,60.65,1.45,768.87,13.65,36.37,14.55,08-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Feb-2020 - 00:00,,302.65,749.81,103.99,324.27,56.19,38.16,10.99,0.86,0.17,,125.11,56.12,2.21,809.17,15.1,39.27,16.62,09-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Feb-2020 - 00:00,492.77,303.1,750.05,105.04,336.03,53.83,37.27,11.35,0.85,0.14,,118.26,53.36,2.1,822.14,15.49,37.46,16.37,10-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Feb-2020 - 00:00,,275.45,748.75,106.5,400.66,57.75,41.42,13.97,1.0,0.15,,135.6,56.11,1.39,869.67,15.02,38.52,20.38,11-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Feb-2020 - 00:00,,281.18,749.44,106.69,430.4,57.21,45.11,18.95,0.98,0.13,,126.29,58.8,1.01,809.01,15.46,44.65,15.84,12-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Feb-2020 - 00:00,,297.67,749.11,107.23,378.53,47.87,30.26,6.48,0.98,0.22,,141.68,58.86,3.17,964.58,16.73,42.13,18.76,13-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Feb-2020 - 00:00,,293.45,747.74,117.97,289.96,44.03,28.45,6.75,1.33,0.29,,73.39,52.73,4.6,865.26,18.06,40.59,18.01,14-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Feb-2020 - 00:00,473.07,312.84,746.82,122.43,264.57,37.24,23.53,5.03,0.6,0.24,,63.81,50.92,2.67,835.75,17.5,39.5,13.14,15-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Feb-2020 - 00:00,,294.42,746.77,123.04,303.24,54.97,33.37,5.73,0.52,0.14,,64.75,40.25,0.99,893.73,17.85,44.51,18.82,16-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Feb-2020 - 00:00,,298.33,747.45,119.87,424.58,67.64,44.77,11.7,1.16,0.06,,113.78,51.69,0.56,878.1,17.56,50.1,18.47,17-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Feb-2020 - 00:00,,289.52,747.81,119.85,489.35,73.12,59.1,26.03,1.13,0.05,,135.79,52.58,0.65,957.3,17.98,56.97,18.51,18-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Feb-2020 - 00:00,,292.79,747.73,121.93,368.96,70.52,51.8,18.59,0.96,0.03,,90.13,41.94,0.8,873.23,18.17,48.59,18.31,19-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Feb-2020 - 00:00,,132.36,746.31,89.25,315.49,88.08,154.97,136.06,1.93,-0.04,,142.5,55.84,1.21,949.94,17.41,103.56,39.8,20-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Feb-2020 - 00:00,196.18,131.82,745.6,107.65,234.26,40.75,24.72,4.28,0.84,-0.03,,105.05,52.97,1.18,798.6,19.62,36.37,26.44,21-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Feb-2020 - 00:00,406.72,78.0,748.58,38.6,187.38,25.33,17.04,4.72,1.14,0.01,,46.88,75.98,0.98,658.09,15.32,30.25,11.96,22-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Feb-2020 - 00:00,464.0,76.22,749.93,97.93,250.72,41.42,35.37,17.24,1.0,-0.02,,47.51,71.43,0.67,761.06,16.86,30.99,11.15,23-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Feb-2020 - 00:00,434.87,196.34,749.01,97.23,288.5,42.89,28.68,7.78,0.59,0.01,,120.37,66.5,0.76,735.17,18.7,29.98,17.86,24-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Feb-2020 - 00:00,423.34,236.13,747.46,119.24,282.31,48.44,32.7,9.17,0.47,0.01,,57.47,61.14,0.8,719.71,18.62,29.9,17.34,25-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Feb-2020 - 00:00,,303.31,746.53,107.61,315.88,51.01,32.01,6.63,0.84,0.01,,119.54,63.38,0.63,824.16,19.38,29.19,14.29,26-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Feb-2020 - 00:00,,207.49,746.52,108.84,441.81,64.86,66.18,40.27,1.27,0.0,,140.32,66.64,0.54,869.32,19.3,33.46,13.15,27-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Feb-2020 - 00:00,,143.79,746.67,95.46,308.31,60.46,43.04,14.23,1.1,-0.03,,107.38,69.61,0.53,932.3,19.31,30.44,12.51,28-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Feb-2020 - 00:00,488.4,139.41,745.89,95.59,215.31,39.46,24.27,4.52,0.78,-0.02,,81.34,67.61,1.12,824.6,19.69,27.03,13.54,29-Feb-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Feb-2020 - 00:00,481.85,125.36,746.27,93.15,197.16,39.33,23.65,3.82,0.57,-0.0,,55.6,70.56,0.89,791.85,18.66,26.61,15.4,01-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Mar-2020 - 00:00,455.41,131.79,746.85,124.49,287.49,53.39,37.63,12.1,0.74,-0.02,,47.76,69.67,0.41,794.56,18.75,25.12,15.14,02-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Mar-2020 - 00:00,,183.58,746.67,103.08,467.41,58.14,50.0,24.46,0.92,-0.02,,118.34,68.87,0.3,963.45,20.04,33.08,18.15,03-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Mar-2020 - 00:00,460.04,167.51,746.09,127.43,288.64,54.87,37.81,11.36,0.71,0.02,,81.58,58.63,0.63,743.1,20.48,33.49,11.28,04-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Mar-2020 - 00:00,473.15,118.32,745.43,113.99,244.91,54.5,35.63,8.87,0.86,-0.01,,86.29,59.35,1.13,769.49,19.84,28.64,25.27,05-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Mar-2020 - 00:00,431.45,149.22,745.84,88.24,193.29,41.92,25.98,5.05,0.73,0.0,,32.87,68.25,1.01,728.02,18.06,22.32,11.0,06-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Mar-2020 - 00:00,326.57,129.54,745.93,84.88,197.99,41.4,23.58,2.8,0.9,-0.01,,21.22,80.25,0.92,805.72,15.15,20.09,11.83,07-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Mar-2020 - 00:00,,148.25,748.0,77.75,278.13,34.56,28.09,13.04,0.88,-0.02,,41.83,77.21,0.69,881.6,15.77,24.99,17.6,08-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Mar-2020 - 00:00,,238.77,748.43,127.37,446.26,30.67,39.29,28.99,1.17,0.04,,138.48,75.79,0.64,980.83,16.75,17.95,28.64,09-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Mar-2020 - 00:00,,318.95,747.07,154.94,256.24,33.67,22.52,6.13,0.84,0.11,,57.61,56.22,0.95,906.48,18.09,14.37,13.06,10-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Mar-2020 - 00:00,,175.4,746.43,128.05,258.99,27.9,17.62,3.79,0.93,0.02,,87.59,52.98,0.55,938.5,18.73,13.26,6.06,11-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Mar-2020 - 00:00,,133.84,745.27,128.13,213.51,23.64,14.97,3.23,1.13,0.04,,52.07,61.63,1.29,903.69,19.98,15.6,6.95,12-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Mar-2020 - 00:00,,139.09,746.11,123.6,280.99,27.77,22.42,9.85,1.2,0.04,,68.46,60.9,0.94,873.63,20.57,17.84,15.77,13-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Mar-2020 - 00:00,,190.09,746.85,139.26,266.56,28.82,21.34,7.81,0.62,0.03,,74.54,48.9,0.64,945.27,20.28,17.23,15.26,14-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Mar-2020 - 00:00,,98.49,747.19,94.35,234.47,21.25,13.02,2.36,1.15,-0.01,,37.67,76.07,0.67,842.63,16.77,11.53,12.97,15-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Mar-2020 - 00:00,,156.14,750.35,118.62,282.41,20.8,16.02,6.41,1.28,-0.02,,62.02,69.12,0.55,970.14,17.03,11.39,16.6,16-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Mar-2020 - 00:00,,317.61,752.02,124.05,326.01,36.04,25.11,7.8,1.16,0.01,,67.39,63.08,0.72,,19.18,14.01,15.56,17-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Mar-2020 - 00:00,,323.78,751.27,153.86,286.39,38.05,23.25,4.16,0.91,0.04,,56.24,57.94,0.95,,20.52,17.08,10.75,18-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Mar-2020 - 00:00,,304.38,748.74,148.74,299.54,35.81,21.38,3.29,0.97,0.04,,69.22,54.81,1.01,,21.96,17.19,11.47,19-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Mar-2020 - 00:00,,230.69,747.16,130.26,319.84,36.41,24.44,6.72,0.86,-0.0,,96.07,61.24,0.6,,22.24,23.05,19.35,20-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Mar-2020 - 00:00,,91.07,746.32,117.8,359.34,46.03,34.1,12.5,0.99,-0.02,,119.62,57.72,0.62,900.15,22.94,23.35,17.64,21-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Mar-2020 - 00:00,,234.89,746.37,113.85,350.81,35.25,26.58,10.15,0.72,0.04,,87.81,54.69,0.69,950.95,23.26,22.55,14.49,22-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
22-Mar-2020 - 00:00,,198.49,746.9,138.82,223.24,22.7,15.65,4.71,0.75,0.06,,71.96,52.31,0.63,920.01,23.11,18.77,14.36,23-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
23-Mar-2020 - 00:00,,157.52,746.44,141.34,250.72,25.41,17.79,5.58,0.78,0.0,,46.81,49.01,0.43,892.44,23.73,15.89,9.17,24-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
24-Mar-2020 - 00:00,0.0,181.53,745.62,116.77,295.6,22.16,16.0,5.5,0.67,0.03,,47.33,56.82,0.81,300.0,23.16,16.51,11.85,25-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
25-Mar-2020 - 00:00,0.0,250.69,747.26,149.92,300.0,17.7,13.78,5.65,0.45,0.09,,32.15,60.55,0.53,300.0,23.67,16.64,11.09,26-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
26-Mar-2020 - 00:00,,288.7,747.72,92.91,,16.9,14.05,6.51,0.59,0.13,,12.89,59.18,0.79,,23.45,11.51,14.15,27-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
27-Mar-2020 - 00:00,,195.83,747.72,80.35,,12.21,10.55,5.2,0.7,0.05,,12.92,69.02,0.94,,20.73,9.35,6.85,28-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
28-Mar-2020 - 00:00,,277.54,746.98,170.1,,14.22,11.56,5.15,0.53,0.12,,11.5,68.33,0.89,,21.1,14.49,10.62,29-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
29-Mar-2020 - 00:00,,323.04,745.88,167.57,,17.25,12.92,4.85,0.67,0.14,,11.79,53.01,1.4,,22.77,19.65,6.5,30-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Mar-2020 - 00:00,,317.13,745.72,167.06,,17.23,13.03,5.01,0.54,0.12,,11.56,48.44,1.19,,22.9,16.13,9.56,31-Mar-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Mar-2020 - 00:00,,280.52,744.95,136.66,,15.46,11.77,4.59,0.42,0.09,,11.46,48.12,1.21,,23.56,15.78,11.98,01-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Apr-2020 - 00:00,,239.61,744.62,151.35,,16.2,12.51,5.03,0.51,0.08,,12.31,47.83,0.98,,24.49,15.44,15.15,02-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Apr-2020 - 00:00,,287.03,744.5,164.12,,13.36,10.53,4.41,0.52,0.16,,11.82,46.4,1.66,,23.75,15.17,9.59,03-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Apr-2020 - 00:00,,319.94,744.95,162.64,,14.43,10.96,4.25,0.49,0.09,,11.3,34.37,0.88,,23.31,13.85,7.15,04-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Apr-2020 - 00:00,,307.94,744.91,163.86,,13.58,10.58,4.34,0.83,0.08,,11.93,37.17,0.65,,24.31,11.94,10.17,05-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Apr-2020 - 00:00,,125.82,745.4,147.21,,9.7,8.44,4.2,0.83,0.05,,12.91,41.18,0.46,,25.42,8.82,18.01,06-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Apr-2020 - 00:00,,287.06,744.21,158.78,,16.31,12.06,4.39,0.84,0.09,,10.91,37.47,0.69,,27.61,16.45,21.32,07-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Apr-2020 - 00:00,,291.11,742.55,155.21,,22.49,15.66,4.85,0.63,0.18,,11.86,39.94,1.15,,26.19,23.9,12.29,08-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
08-Apr-2020 - 00:00,,317.95,742.79,159.45,,21.65,15.0,4.58,0.36,0.17,,11.93,33.64,0.89,,25.93,22.32,10.36,09-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
09-Apr-2020 - 00:00,,307.29,743.03,162.56,,21.65,14.91,4.47,0.51,0.1,,11.1,34.63,0.6,,26.06,21.55,8.86,10-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
10-Apr-2020 - 00:00,,269.69,743.39,156.0,,24.7,16.79,4.82,0.92,0.03,,11.93,32.51,0.38,,27.73,21.31,11.16,11-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
11-Apr-2020 - 00:00,,159.38,743.82,147.37,,23.64,16.21,4.79,0.84,0.04,,11.79,34.28,0.69,,29.16,20.08,18.75,12-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
12-Apr-2020 - 00:00,,312.18,742.91,162.1,,18.9,13.5,4.37,0.72,0.1,,11.01,32.12,0.89,,29.12,17.64,11.11,13-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
13-Apr-2020 - 00:00,,297.97,741.97,154.15,,21.49,15.0,4.69,0.94,0.06,,12.08,30.82,0.56,,30.51,15.89,15.75,14-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
14-Apr-2020 - 00:00,,174.46,742.1,125.03,,20.43,14.57,4.83,0.99,-0.02,,12.0,34.04,0.24,,31.07,16.3,18.73,15-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
15-Apr-2020 - 00:00,,216.24,742.03,137.25,,20.92,14.94,4.98,1.11,-0.01,,14.42,28.38,0.42,,31.35,12.94,16.54,16-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
16-Apr-2020 - 00:00,,259.62,741.44,135.47,,21.06,14.69,4.58,1.06,0.02,,12.82,27.5,0.59,,31.48,13.63,29.3,17-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
17-Apr-2020 - 00:00,,166.01,741.27,131.42,,13.18,10.24,4.18,0.79,0.05,,11.6,26.79,1.02,,30.64,12.75,12.31,18-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
18-Apr-2020 - 00:00,,92.18,742.32,139.41,,13.19,10.37,4.34,0.88,0.01,,11.97,40.81,0.69,,27.93,13.19,11.72,19-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
19-Apr-2020 - 00:00,,229.7,743.51,162.06,,13.28,10.79,4.8,0.53,0.05,,11.17,40.4,0.65,,27.47,10.87,9.51,20-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
20-Apr-2020 - 00:00,,180.28,743.46,88.6,,14.82,11.75,4.99,0.79,-0.0,,12.23,42.46,1.03,,25.79,9.98,15.43,21-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
21-Apr-2020 - 00:00,,222.2,743.52,152.92,,14.17,10.81,4.24,0.97,0.03,,11.69,41.38,0.53,,26.68,10.29,12.97,22-Apr-2020 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
