from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
01-Jan-2020 - 00:00,738.97,270.8,505.62,0.0,81.06,78.31,129.35,0.57,5.09,11.77,6.47,3.6,28.95,2.74,2.42,28.91,35.83,23.8,59.6,21.27,02-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Jan-2020 - 00:00,738.84,265.04,507.65,0.0,75.72,74.15,165.81,0.6,4.44,15.73,9.23,5.32,21.39,9.99,2.62,46.5,68.72,37.48,106.2,38.52,03-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Jan-2020 - 00:00,736.77,170.81,316.04,0.0,74.57,75.87,174.89,0.56,2.25,5.92,4.22,2.6,30.8,4.84,1.73,43.54,48.58,31.02,79.6,23.94,04-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Jan-2020 - 00:00,735.88,173.99,325.64,0.0,74.47,71.53,211.35,0.85,2.74,10.67,6.43,3.58,26.84,8.13,1.55,43.35,37.43,36.07,73.49,31.55,05-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Jan-2020 - 00:00,736.41,132.25,250.89,0.0,65.52,70.32,176.52,0.8,1.19,3.14,2.46,1.11,26.39,2.96,1.07,31.28,24.8,39.0,63.79,31.88,06-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Jan-2020 - 00:00,736.99,125.69,234.91,0.0,61.86,57.61,115.21,0.69,1.43,2.4,2.17,1.21,21.24,2.33,1.03,40.59,18.95,30.13,49.09,32.15,07-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Jan-2020 - 00:00,734.73,85.17,145.91,0.0,75.99,46.65,110.27,0.64,1.0,0.43,0.55,0.4,18.73,0.88,0.96,37.13,11.84,21.69,33.53,31.36,08-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Jan-2020 - 00:00,733.1,95.14,176.77,0.0,87.57,17.47,184.32,1.26,1.16,1.01,1.11,0.58,13.23,4.39,1.08,34.29,32.68,25.96,58.6,30.83,09-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Jan-2020 - 00:00,738.04,86.78,161.32,0.0,90.23,62.2,297.58,1.63,1.31,1.08,1.15,0.43,22.14,4.38,0.77,39.28,45.7,39.05,84.75,31.42,10-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Jan-2020 - 00:00,738.19,99.14,188.91,0.0,72.64,91.46,287.97,1.35,1.13,0.96,1.28,0.52,30.37,3.55,0.94,39.99,54.1,51.6,105.69,39.15,11-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Jan-2020 - 00:00,737.86,127.84,252.21,0.0,54.37,84.43,256.82,0.92,1.51,1.24,1.63,0.81,32.44,3.57,1.08,41.64,36.97,50.16,87.13,57.81,12-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Jan-2020 - 00:00,734.84,151.68,311.4,0.0,54.1,82.44,191.19,0.66,2.11,6.17,4.19,2.17,32.79,2.08,1.25,30.25,32.33,41.66,73.96,36.72,13-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Jan-2020 - 00:00,730.18,122.87,238.93,0.0,65.5,53.89,190.37,1.08,1.35,1.21,1.4,0.7,20.69,1.42,1.06,30.08,17.56,29.01,46.57,51.12,14-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Jan-2020 - 00:00,736.91,98.03,176.44,0.0,84.67,62.84,320.78,1.63,1.17,1.1,1.0,0.41,25.29,4.84,0.81,33.73,26.27,31.48,57.75,79.46,15-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Jan-2020 - 00:00,740.02,113.82,226.71,0.0,82.59,71.69,298.6,1.24,1.32,1.42,1.47,0.63,27.97,9.23,0.94,36.17,44.96,39.64,84.6,95.91,16-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Jan-2020 - 00:00,738.84,105.97,187.6,0.0,89.92,33.92,267.69,1.29,1.26,1.43,1.41,0.58,13.7,5.09,0.94,56.32,37.64,38.26,75.88,63.27,17-Jan-2020 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
