from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
30-Jan-2020 - 00:00,266.33,70.17,989.71,137.85,32.08,58.53,22.06,15.01,599.58,3.32,17.02,5.13,34.57,7.08,31-Jan-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
31-Jan-2020 - 00:00,256.7,66.81,987.65,147.35,30.76,65.02,26.1,13.73,535.0,2.41,15.07,4.23,31.4,7.02,01-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Feb-2020 - 00:00,259.05,70.8,990.4,114.58,30.73,52.21,24.97,14.08,447.92,2.18,15.83,5.03,38.23,7.02,02-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Feb-2020 - 00:00,251.84,71.06,991.87,133.07,30.87,68.01,22.31,14.08,538.33,2.71,17.26,5.17,33.97,7.91,03-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Feb-2020 - 00:00,241.96,59.74,990.64,137.45,30.71,79.96,28.4,15.31,499.17,1.89,19.56,5.77,50.0,7.64,04-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Feb-2020 - 00:00,182.69,57.91,989.05,117.8,40.2,84.23,35.28,15.66,501.76,1.55,33.59,4.73,60.29,9.39,05-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Feb-2020 - 00:00,269.1,60.19,989.23,124.04,30.43,60.05,26.55,15.61,545.0,2.76,25.61,4.93,32.76,8.98,06-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Feb-2020 - 00:00,246.7,61.45,988.58,130.53,30.93,68.71,28.64,14.6,549.58,2.04,19.09,5.33,35.0,6.98,07-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Feb-2020 - 00:00,239.66,60.62,990.94,117.19,29.96,66.02,28.41,14.9,556.25,1.93,34.6,4.42,42.35,7.55,08-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Feb-2020 - 00:00,261.25,62.69,992.79,132.9,29.94,63.48,27.25,15.47,550.83,2.93,21.97,4.66,30.96,8.27,09-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Feb-2020 - 00:00,257.82,60.09,993.29,133.89,29.48,65.15,28.37,16.11,588.75,2.15,21.25,5.38,29.69,9.25,10-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Feb-2020 - 00:00,263.48,55.0,991.22,144.36,29.97,83.46,26.69,17.12,664.21,2.13,27.16,5.44,38.42,10.99,11-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Feb-2020 - 00:00,263.89,57.5,991.54,132.57,29.58,83.8,27.36,16.82,587.5,1.9,23.58,5.55,43.97,9.45,12-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Feb-2020 - 00:00,245.1,60.68,990.83,133.09,30.44,78.86,26.61,18.03,640.0,3.31,24.14,4.66,27.77,10.77,13-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Feb-2020 - 00:00,243.54,55.41,987.8,142.32,31.28,57.48,28.74,19.89,556.67,4.11,20.01,4.86,19.58,8.49,14-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Feb-2020 - 00:00,255.43,53.79,985.07,152.13,29.45,48.27,27.78,19.09,634.58,5.15,18.94,4.78,12.97,9.44,15-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Feb-2020 - 00:00,245.37,44.21,985.32,154.0,29.97,65.5,26.93,19.29,737.08,3.84,21.64,4.11,18.26,9.27,16-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Feb-2020 - 00:00,250.8,51.57,988.44,152.21,30.44,80.76,26.54,19.57,630.83,2.47,25.94,5.84,31.7,11.7,17-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Feb-2020 - 00:00,241.55,51.82,989.48,147.37,30.01,89.52,25.26,20.05,629.58,2.66,26.9,5.33,34.42,12.32,18-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Feb-2020 - 00:00,230.79,43.29,986.82,154.85,30.24,94.32,27.14,20.26,781.88,2.76,24.0,5.6,32.77,11.53,19-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Feb-2020 - 00:00,95.19,51.08,985.73,114.81,32.51,77.12,32.04,20.13,765.38,2.92,23.45,5.07,50.33,11.18,20-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Feb-2020 - 00:00,86.2,55.17,985.16,133.22,27.41,43.01,37.85,20.98,655.65,4.43,16.56,5.04,10.95,10.96,21-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Feb-2020 - 00:00,133.11,77.36,989.09,53.22,28.62,35.6,27.91,16.66,422.5,4.29,16.07,5.27,9.46,9.93,22-Feb-2020 - 00:00,"East Arjun Nagar, Delhi - CPCB"
