from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
18-May-2020 - 00:00,7.47,18.26,10.74,7.59,3.24,2.25,1.29,2.72,1.52,179.48,3.42,0.0,20.9,0.76,17.64,48.82,160.52,19-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-May-2020 - 00:00,7.49,18.28,10.74,7.59,2.82,2.15,1.04,2.22,1.3,179.93,3.51,0.0,21.94,0.78,19.25,44.17,156.75,20-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-May-2020 - 00:00,7.51,18.35,10.81,7.56,2.83,2.19,1.01,2.13,1.22,180.13,3.54,0.0,21.42,0.81,17.92,40.86,127.32,21-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-May-2020 - 00:00,7.51,18.37,10.84,7.55,3.17,2.29,1.05,2.17,1.28,178.85,3.3,0.0,22.76,0.75,16.71,37.06,122.05,22-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-May-2020 - 00:00,7.51,18.4,10.87,7.54,4.03,2.53,1.72,3.56,2.17,177.9,3.11,0.0,21.82,0.91,13.44,54.31,148.76,23-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-May-2020 - 00:00,7.52,18.39,10.86,7.54,4.3,2.25,1.98,4.23,2.28,178.01,3.13,0.0,21.63,0.87,12.85,63.27,235.28,24-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-May-2020 - 00:00,7.52,18.39,10.86,7.54,3.41,2.49,1.12,2.38,1.48,178.62,3.24,0.0,22.32,0.83,16.71,51.42,157.1,25-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-May-2020 - 00:00,7.52,18.39,10.86,7.54,3.5,2.59,1.17,2.52,1.53,178.12,3.14,0.0,21.62,0.81,15.4,42.42,136.51,26-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-May-2020 - 00:00,7.52,18.39,10.86,7.54,3.43,2.71,1.26,2.76,1.68,177.81,3.08,0.0,21.9,0.79,12.95,49.11,169.42,27-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-May-2020 - 00:00,7.53,18.39,10.86,7.54,3.37,2.51,1.12,2.45,1.58,177.76,3.06,0.0,18.98,0.74,17.65,45.72,166.26,28-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-May-2020 - 00:00,7.52,18.39,10.86,7.54,2.36,2.11,0.9,1.98,1.28,178.6,3.23,0.02,19.98,0.67,15.68,76.49,325.67,29-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-May-2020 - 00:00,,,,,,,,,,,,,,,,,,30-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-May-2020 - 00:00,,,,,,,,,,,,,,,,,,31-May-2020 - 00:00,"F-Block, Sirsa - HSPCB"
31-May-2020 - 00:00,,,,,,,,,,,,,,,,,,01-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Jun-2020 - 00:00,7.37,26.66,21.71,5.49,2.07,1.87,1.19,2.72,1.11,182.78,4.06,0.06,29.41,0.56,24.73,33.5,75.83,02-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Jun-2020 - 00:00,7.77,26.21,20.31,4.73,2.31,1.45,2.14,5.69,2.12,183.2,4.13,0.05,18.42,0.65,18.54,13.9,33.93,03-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Jun-2020 - 00:00,8.27,26.02,19.78,4.64,2.81,1.53,2.12,5.44,2.16,181.71,3.84,0.01,19.03,0.71,18.01,17.8,48.86,04-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Jun-2020 - 00:00,8.63,25.91,19.39,4.74,2.98,1.51,1.81,4.53,1.9,182.53,4.0,0.05,19.28,0.72,16.62,25.97,60.69,05-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Jun-2020 - 00:00,7.3,24.93,19.05,5.36,2.81,1.32,1.27,4.55,1.3,181.83,3.6,0.0,18.8,0.69,19.92,27.4,76.67,06-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Jun-2020 - 00:00,7.76,24.77,18.56,5.35,3.11,1.44,1.32,4.09,1.44,181.21,3.35,0.0,18.68,0.72,19.05,23.23,63.01,07-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Jun-2020 - 00:00,8.26,24.88,18.35,4.86,2.69,1.82,1.25,3.02,1.47,181.22,3.4,0.0,19.22,0.71,18.02,27.74,74.72,08-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Jun-2020 - 00:00,8.42,24.71,18.04,4.52,2.93,1.64,1.25,2.97,1.43,179.82,3.17,0.0,18.66,0.7,17.1,82.95,229.16,09-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Jun-2020 - 00:00,8.88,24.79,17.84,4.36,3.23,1.6,1.32,2.97,1.59,178.79,2.93,0.0,18.95,0.75,19.44,49.31,128.33,10-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Jun-2020 - 00:00,9.18,24.88,17.76,4.16,3.1,1.79,1.24,2.76,1.45,180.78,3.35,0.03,18.91,0.74,13.7,41.24,118.62,11-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Jun-2020 - 00:00,9.29,24.92,17.74,3.98,3.21,1.58,1.3,2.92,1.59,179.46,3.15,0.0,18.96,0.7,13.08,53.24,150.88,12-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Jun-2020 - 00:00,9.34,24.77,17.51,3.85,2.9,1.84,1.29,2.77,1.71,178.82,3.02,0.0,18.93,0.66,15.28,66.41,182.97,13-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Jun-2020 - 00:00,9.72,24.99,17.53,3.8,2.69,1.77,1.15,2.46,1.41,180.03,3.25,0.0,19.64,0.68,18.78,44.26,135.84,14-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Jun-2020 - 00:00,9.75,24.98,17.51,3.81,2.96,1.63,1.08,2.38,1.42,179.24,3.1,0.0,18.99,0.7,20.31,33.82,81.05,15-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Jun-2020 - 00:00,9.71,24.86,17.39,3.87,3.12,2.05,1.29,2.77,1.48,178.26,2.9,0.0,16.91,0.68,20.5,43.83,114.24,16-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Jun-2020 - 00:00,10.63,25.39,17.44,3.74,3.63,1.68,1.33,2.88,1.71,178.08,2.9,0.0,13.27,0.78,20.37,41.05,109.86,17-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Jun-2020 - 00:00,11.02,25.5,17.32,3.41,4.03,1.66,1.35,2.83,1.83,178.43,2.99,0.0,12.99,0.79,22.05,40.57,115.93,18-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Jun-2020 - 00:00,11.05,25.51,17.31,3.21,3.68,1.69,1.33,2.77,1.81,178.34,2.97,0.0,13.14,0.75,13.83,104.52,316.59,19-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Jun-2020 - 00:00,10.52,25.31,17.41,3.52,3.15,1.62,1.34,2.86,1.63,178.51,2.96,0.0,13.21,0.68,12.84,105.42,303.25,20-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Jun-2020 - 00:00,11.58,25.38,17.7,6.84,2.16,1.4,1.0,1.55,0.88,180.45,3.34,0.0,13.13,0.68,14.08,90.19,265.09,21-Jun-2020 - 00:00,"F-Block, Sirsa - HSPCB"
