from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
14-Aug-2020 - 00:00,6.85,5.18,1.96,6.28,1.47,1.58,0.74,4.65,1.0,182.03,3.55,0.0,11.26,0.63,50.9,15.69,47.56,15-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Aug-2020 - 00:00,7.8,5.86,2.1,5.93,1.28,0.95,0.69,2.13,0.75,183.92,3.97,0.0,11.39,0.68,47.29,16.1,42.24,16-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Aug-2020 - 00:00,,,,,,,,,,,,,,,,,,17-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Aug-2020 - 00:00,7.72,8.3,6.52,7.51,0.76,0.84,0.57,1.34,0.56,179.37,3.17,0.0,10.42,1.0,58.85,19.4,40.79,18-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Aug-2020 - 00:00,7.53,6.7,3.31,5.78,0.98,1.04,0.9,2.07,0.84,181.73,3.62,0.03,10.18,0.6,58.94,11.4,29.21,19-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Aug-2020 - 00:00,7.15,5.61,2.22,6.11,0.85,0.74,0.85,2.28,0.91,182.63,3.76,0.0,9.78,0.59,49.29,12.71,37.35,20-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Aug-2020 - 00:00,7.98,6.73,3.06,5.81,1.38,0.38,0.95,2.41,1.09,184.27,3.99,0.21,9.85,0.61,41.8,8.31,21.12,21-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-Aug-2020 - 00:00,10.63,10.39,5.82,4.15,1.76,0.74,1.06,2.65,1.22,183.38,3.74,0.0,10.98,0.67,33.89,11.43,24.74,22-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Aug-2020 - 00:00,6.11,4.18,1.15,5.74,0.91,0.94,0.66,1.56,0.85,182.14,3.46,0.0,10.25,0.64,56.15,12.78,27.68,23-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Aug-2020 - 00:00,5.6,3.53,0.74,5.9,0.85,0.97,0.51,1.16,0.62,182.13,3.45,0.0,10.23,0.63,62.04,13.59,26.9,24-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Aug-2020 - 00:00,6.39,4.9,2.68,6.03,1.48,0.89,1.06,1.66,1.11,182.79,3.63,0.0,11.13,0.62,60.41,14.05,36.58,25-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Aug-2020 - 00:00,11.34,8.92,4.86,5.09,1.13,0.86,0.92,2.03,1.1,182.89,3.58,0.04,11.16,0.66,49.99,11.24,23.58,26-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Aug-2020 - 00:00,10.16,7.76,4.18,5.47,0.86,58.04,0.78,1.7,0.87,182.92,3.6,0.0,11.83,0.62,39.46,9.11,16.56,27-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Aug-2020 - 00:00,11.38,8.62,4.43,5.11,1.06,96.57,0.83,1.9,0.94,182.1,3.45,0.0,11.94,0.62,39.33,13.24,21.29,28-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Aug-2020 - 00:00,14.54,11.44,5.83,4.04,0.92,1.07,0.91,2.02,1.01,182.65,3.51,0.06,12.36,0.62,37.98,10.16,16.99,29-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Aug-2020 - 00:00,15.63,12.4,6.59,6.02,1.18,1.29,0.92,1.66,0.89,182.17,3.41,0.0,11.68,0.68,41.52,10.59,21.37,30-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-Aug-2020 - 00:00,15.04,11.89,6.26,3.98,1.29,1.12,0.83,1.86,1.0,182.69,3.45,0.01,11.78,0.65,44.2,17.32,30.43,31-Aug-2020 - 00:00,"F-Block, Sirsa - HSPCB"
31-Aug-2020 - 00:00,14.69,11.49,6.06,4.83,1.02,0.52,0.76,0.95,0.45,183.73,3.67,0.02,11.52,0.65,35.38,8.59,27.4,01-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Sep-2020 - 00:00,13.62,11.08,5.98,4.08,0.73,0.33,0.6,0.85,0.34,183.23,3.58,0.0,12.33,0.61,38.25,9.08,37.86,02-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Sep-2020 - 00:00,12.42,9.75,5.14,4.51,1.02,0.49,0.84,2.01,0.84,182.6,3.45,0.0,12.41,0.61,37.11,10.52,29.33,03-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Sep-2020 - 00:00,11.89,9.08,4.78,4.95,1.66,0.69,1.97,2.75,1.15,183.02,3.6,0.29,12.23,0.69,41.97,16.98,39.37,04-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Sep-2020 - 00:00,11.71,8.92,4.75,5.73,1.87,4.1,84.61,41.56,17.53,183.74,3.71,0.0,12.24,0.67,34.43,11.15,29.27,05-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Sep-2020 - 00:00,14.35,9.95,4.37,5.77,2.23,2.77,118.02,50.14,18.94,183.49,3.63,0.08,11.77,0.79,30.2,11.97,24.39,06-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Sep-2020 - 00:00,16.89,12.35,5.69,3.7,1.57,1.33,35.99,16.36,6.04,182.83,3.56,0.06,12.12,0.69,37.02,8.49,15.01,07-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Sep-2020 - 00:00,13.83,12.0,8.1,4.51,1.6,1.02,14.74,7.23,2.63,181.83,3.43,0.01,11.88,0.71,43.65,12.21,22.63,08-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Sep-2020 - 00:00,11.39,9.85,6.01,5.17,1.89,1.16,60.31,12.42,5.21,181.68,3.33,0.0,11.65,0.7,50.07,24.11,45.48,09-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Sep-2020 - 00:00,8.41,6.72,4.12,6.52,2.9,1.11,40.39,10.9,4.34,181.35,3.23,0.0,11.66,0.78,55.96,29.66,51.15,10-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Sep-2020 - 00:00,12.36,10.16,5.77,5.71,2.67,1.45,16.61,6.59,3.05,180.94,3.22,0.0,12.16,0.79,50.23,34.67,98.75,11-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Sep-2020 - 00:00,10.66,8.9,5.34,6.25,2.16,1.25,9.89,3.85,1.83,180.41,3.09,0.0,11.43,0.69,43.36,34.8,100.26,12-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Sep-2020 - 00:00,13.96,11.04,5.76,5.41,2.24,1.55,9.38,5.0,2.45,180.48,3.16,0.0,11.98,0.73,30.59,33.25,74.78,13-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Sep-2020 - 00:00,15.42,11.93,5.95,4.91,2.48,1.69,9.05,5.04,2.59,180.98,3.2,0.0,12.5,0.79,34.81,34.53,74.33,14-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Sep-2020 - 00:00,14.6,11.11,5.48,5.05,3.11,1.24,7.11,4.35,2.17,181.17,3.24,0.0,12.31,0.81,70.97,45.58,84.48,15-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Sep-2020 - 00:00,14.09,10.58,5.23,5.41,3.18,1.11,6.1,3.99,2.08,180.89,3.19,0.0,12.92,0.79,70.88,48.36,89.81,16-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Sep-2020 - 00:00,13.9,10.54,5.14,5.22,3.1,0.98,5.95,3.84,2.05,180.57,3.12,0.0,13.63,0.78,51.22,49.31,77.48,17-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Sep-2020 - 00:00,14.68,10.36,5.84,13.74,2.88,0.9,5.22,2.97,1.59,180.99,3.2,0.0,14.03,0.78,29.11,31.48,102.25,18-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Sep-2020 - 00:00,12.07,10.29,6.04,6.04,2.17,0.87,4.69,3.18,1.7,181.31,3.21,0.0,15.69,0.72,21.5,30.35,103.2,19-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Sep-2020 - 00:00,12.5,10.24,5.69,5.86,2.0,1.27,4.96,3.59,1.89,180.95,3.12,0.0,14.09,0.71,26.24,30.82,62.97,20-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Sep-2020 - 00:00,15.53,12.21,6.16,5.16,2.01,1.79,6.34,4.14,2.19,181.31,3.15,0.0,12.86,0.71,38.96,28.16,50.66,21-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-Sep-2020 - 00:00,14.63,11.36,5.69,5.42,3.15,1.52,5.95,4.29,2.33,181.71,3.23,0.0,12.19,0.8,38.4,38.44,58.84,22-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Sep-2020 - 00:00,14.9,11.62,5.82,5.49,3.26,1.31,5.75,4.41,2.45,182.32,3.31,0.0,18.09,0.82,44.23,46.38,62.63,23-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Sep-2020 - 00:00,16.59,12.59,5.9,5.4,2.8,1.58,6.35,4.39,2.63,182.11,3.29,0.0,24.44,0.79,32.37,28.8,41.16,24-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Sep-2020 - 00:00,14.55,11.37,5.73,5.73,2.66,1.29,5.41,3.95,2.41,181.22,3.09,0.0,26.55,0.76,43.7,26.27,44.91,25-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Sep-2020 - 00:00,16.86,12.77,5.95,5.23,3.22,1.6,6.12,4.65,2.7,181.71,3.2,0.0,25.95,0.84,40.59,37.63,67.25,26-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Sep-2020 - 00:00,14.29,11.05,5.51,5.65,2.14,0.93,4.49,3.35,1.83,182.54,3.39,0.0,28.07,0.68,35.55,35.88,64.3,27-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Sep-2020 - 00:00,17.62,13.15,5.91,4.76,1.63,0.88,5.39,3.59,1.95,182.69,3.38,0.0,27.72,0.65,29.86,23.37,42.05,28-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Sep-2020 - 00:00,19.49,14.54,6.41,4.09,2.64,1.02,6.02,4.26,2.34,182.43,3.33,0.0,29.92,0.75,31.09,41.56,66.17,29-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Sep-2020 - 00:00,15.52,12.1,6.01,5.11,2.72,0.78,4.63,3.48,2.0,182.68,3.33,0.0,36.73,0.75,32.21,39.46,97.56,30-Sep-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-Sep-2020 - 00:00,18.33,11.18,3.03,5.77,2.64,0.51,3.57,2.89,1.74,182.87,3.42,0.0,45.15,0.73,33.66,34.57,120.19,01-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Oct-2020 - 00:00,16.73,10.04,2.68,6.78,3.25,0.72,3.96,3.31,1.92,182.14,3.27,0.0,39.73,0.77,37.94,36.36,129.16,02-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Oct-2020 - 00:00,17.01,10.05,2.53,6.86,3.97,0.63,4.57,2.85,1.65,183.47,3.56,0.0,30.25,0.83,43.98,47.06,158.9,03-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Oct-2020 - 00:00,19.31,11.25,2.48,6.19,4.06,0.97,5.15,4.61,2.59,183.34,3.56,0.0,32.53,0.88,45.17,45.15,137.81,04-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Oct-2020 - 00:00,19.94,11.58,2.47,5.74,3.74,0.74,4.89,3.98,2.23,183.62,3.5,0.0,33.34,0.82,48.51,45.32,145.65,05-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Oct-2020 - 00:00,24.52,14.01,2.5,5.65,4.34,0.56,4.05,3.69,2.2,183.86,3.59,0.0,41.62,0.92,42.61,51.92,177.05,06-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Oct-2020 - 00:00,33.8,17.04,2.65,5.22,4.06,0.81,4.26,4.72,2.89,183.09,3.43,0.0,68.46,0.91,29.51,52.1,157.71,07-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Oct-2020 - 00:00,28.75,18.85,5.99,5.2,4.05,0.91,5.06,4.93,2.8,183.37,3.45,0.0,51.66,0.86,30.15,45.98,139.98,08-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Oct-2020 - 00:00,28.05,17.25,4.45,5.54,4.05,0.91,4.88,5.22,3.05,183.52,3.43,0.0,33.87,0.82,33.05,46.69,150.59,09-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Oct-2020 - 00:00,27.08,16.84,4.46,5.57,3.86,0.76,4.22,4.26,2.31,183.7,3.45,0.0,19.54,0.82,36.12,47.08,152.22,10-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Oct-2020 - 00:00,30.62,18.36,4.2,4.56,4.14,0.87,4.44,4.47,2.46,183.67,3.5,0.0,17.87,0.87,34.72,49.51,161.1,11-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Oct-2020 - 00:00,37.72,21.37,3.93,4.73,5.31,1.16,5.37,4.51,2.56,183.91,3.5,0.0,17.53,1.0,28.54,61.87,172.9,12-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Oct-2020 - 00:00,37.59,21.57,3.82,1.85,5.63,1.17,5.48,6.05,3.32,183.86,3.58,0.0,17.02,0.98,32.49,58.13,168.31,13-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Oct-2020 - 00:00,32.25,19.07,3.99,2.5,4.97,0.9,4.26,4.44,2.48,184.29,3.58,0.0,18.88,1.06,55.37,61.54,173.97,14-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Oct-2020 - 00:00,29.61,17.0,3.11,4.47,4.5,0.56,3.31,3.21,1.79,184.05,3.63,0.0,11.45,1.02,62.05,66.68,189.89,15-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Oct-2020 - 00:00,31.98,18.24,3.12,4.81,5.03,0.64,3.95,4.19,2.31,184.77,3.72,0.0,15.45,1.0,39.13,73.19,185.14,16-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Oct-2020 - 00:00,28.27,18.16,5.44,7.28,4.58,39.61,3.76,4.26,2.26,184.81,3.73,0.0,16.93,0.91,50.19,58.27,158.01,17-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Oct-2020 - 00:00,34.86,21.91,5.82,10.1,5.85,46.43,4.4,5.01,2.96,184.79,3.73,0.0,22.39,1.1,53.71,82.53,215.41,18-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Oct-2020 - 00:00,49.47,29.57,5.86,7.92,6.47,0.82,5.73,6.13,3.46,185.02,3.76,0.0,18.41,1.14,48.88,73.99,176.43,19-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Oct-2020 - 00:00,39.82,24.45,5.76,8.75,4.8,0.67,4.48,4.44,2.35,185.32,3.84,0.0,14.08,0.98,52.03,69.22,176.47,20-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Oct-2020 - 00:00,49.11,29.34,5.81,7.66,7.33,1.32,6.48,7.84,4.61,185.36,3.78,0.0,18.76,1.28,43.55,78.82,195.6,21-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-Oct-2020 - 00:00,45.95,27.64,5.74,7.43,5.4,1.04,5.37,5.31,2.93,185.23,3.75,0.0,17.95,1.16,56.52,77.55,196.08,22-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Oct-2020 - 00:00,46.38,27.94,5.84,6.82,5.52,0.82,5.17,5.12,2.77,185.84,3.91,0.0,18.43,1.2,53.52,78.22,195.25,23-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Oct-2020 - 00:00,45.59,27.51,5.81,7.04,7.81,0.88,5.32,6.8,3.9,186.25,4.07,0.0,19.44,1.45,52.02,117.89,276.62,24-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Oct-2020 - 00:00,44.94,27.16,5.8,7.25,6.58,0.75,4.8,5.35,3.1,186.02,4.03,0.0,42.06,1.35,56.1,107.61,241.07,25-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Oct-2020 - 00:00,45.34,27.36,5.79,7.27,7.79,1.01,5.37,5.83,3.19,185.78,4.02,0.0,51.83,1.71,53.1,110.5,244.05,26-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Oct-2020 - 00:00,38.66,23.91,5.83,8.51,6.65,0.51,4.02,4.17,2.13,186.9,4.15,0.0,41.8,1.47,46.91,110.08,273.83,27-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Oct-2020 - 00:00,40.79,24.37,5.82,49.59,5.63,0.53,3.84,4.07,2.13,186.93,4.13,0.0,33.01,1.15,50.92,90.99,229.55,28-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Oct-2020 - 00:00,44.4,26.95,5.89,106.78,8.61,1.03,5.28,8.32,4.43,186.7,4.1,0.0,38.98,1.29,55.09,118.79,280.21,29-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Oct-2020 - 00:00,43.5,26.41,5.81,87.19,8.59,0.68,4.11,5.39,2.49,187.11,4.2,0.0,39.13,1.54,66.33,165.46,350.63,30-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-Oct-2020 - 00:00,43.52,26.42,5.8,99.71,9.58,0.54,20.77,7.78,3.86,187.75,4.3,0.0,43.64,1.62,52.45,168.01,383.83,31-Oct-2020 - 00:00,"F-Block, Sirsa - HSPCB"
31-Oct-2020 - 00:00,35.05,21.98,5.79,91.7,7.0,0.42,9.87,5.15,2.96,187.43,4.3,0.0,37.26,1.07,53.36,102.75,238.54,01-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Nov-2020 - 00:00,39.32,24.2,5.77,87.29,7.57,0.44,6.55,4.89,2.56,187.81,4.36,0.0,36.03,1.0,47.19,93.99,235.24,02-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
02-Nov-2020 - 00:00,39.53,25.06,5.84,72.56,8.67,22.8,6.81,7.2,4.28,187.79,4.36,0.0,39.42,1.19,39.92,109.8,251.89,03-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
03-Nov-2020 - 00:00,49.48,32.42,10.4,50.55,9.87,42.12,5.1,6.86,3.53,188.39,4.46,0.0,34.16,1.37,38.39,123.0,298.21,04-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
04-Nov-2020 - 00:00,69.54,46.97,18.16,49.66,9.73,0.66,5.38,6.86,3.6,187.71,4.27,0.0,45.47,1.49,27.43,155.56,357.72,05-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
05-Nov-2020 - 00:00,62.91,45.07,20.22,47.92,9.09,0.84,5.67,7.6,3.6,187.22,4.13,0.0,48.44,1.4,44.23,134.42,290.35,06-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
06-Nov-2020 - 00:00,58.83,43.64,21.08,46.43,11.73,1.02,5.81,9.46,4.59,187.65,4.22,0.0,45.73,1.77,46.63,182.92,394.97,07-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
07-Nov-2020 - 00:00,66.96,48.64,22.04,51.53,13.19,0.94,6.44,9.85,4.61,189.43,4.52,0.0,52.02,2.07,46.03,198.29,436.59,08-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
08-Nov-2020 - 00:00,,,,,,,,,,,,,,,,,,09-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
09-Nov-2020 - 00:00,84.88,60.51,27.16,64.77,14.81,0.95,5.63,9.42,4.69,186.08,4.11,0.0,53.71,2.11,61.75,222.04,496.17,10-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
10-Nov-2020 - 00:00,58.45,43.98,21.75,55.52,11.24,0.68,4.93,7.63,3.5,188.01,4.61,0.0,62.79,1.74,53.58,178.18,398.07,11-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
11-Nov-2020 - 00:00,51.26,38.72,20.18,59.55,10.79,0.65,4.96,7.4,3.48,188.0,4.6,0.0,58.22,1.62,51.56,159.24,355.4,12-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
12-Nov-2020 - 00:00,43.16,34.48,19.97,53.25,10.68,0.49,4.04,5.75,2.88,188.28,4.62,0.0,60.63,1.62,35.55,180.86,406.56,13-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
13-Nov-2020 - 00:00,50.6,39.22,20.94,60.2,12.34,0.73,5.38,7.97,4.15,189.23,4.79,0.0,64.41,1.77,26.95,176.48,423.78,14-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
14-Nov-2020 - 00:00,51.4,39.72,21.04,61.11,18.95,1.08,6.43,11.34,7.02,188.91,4.64,0.0,59.12,3.1,30.46,306.05,570.46,15-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
15-Nov-2020 - 00:00,45.01,34.25,18.39,52.83,12.72,0.65,4.54,6.5,3.72,189.66,4.72,0.07,61.71,1.76,41.99,160.91,327.01,16-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
16-Nov-2020 - 00:00,65.59,45.7,19.25,69.04,4.54,0.28,4.31,3.75,1.91,190.31,4.84,0.0,64.78,0.63,36.07,35.44,72.83,17-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
17-Nov-2020 - 00:00,65.68,45.58,19.05,69.11,3.72,0.27,4.36,3.64,1.82,190.17,4.81,0.0,59.12,0.52,38.46,26.35,69.94,18-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
18-Nov-2020 - 00:00,69.5,47.67,19.16,72.02,6.33,0.38,5.05,5.0,2.42,190.51,4.85,0.0,54.75,0.86,40.45,56.36,132.48,19-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
19-Nov-2020 - 00:00,67.13,45.85,18.67,70.35,6.72,0.46,5.14,5.69,2.69,189.42,4.64,0.0,48.42,1.14,39.33,82.07,178.87,20-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
20-Nov-2020 - 00:00,64.86,44.22,18.18,66.69,7.78,0.47,5.11,5.14,2.25,191.0,4.91,0.0,47.63,1.18,32.04,94.74,189.27,21-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
21-Nov-2020 - 00:00,56.44,39.15,17.94,59.07,6.82,0.31,4.48,4.21,1.85,190.92,4.98,0.0,49.31,1.01,36.31,77.94,177.56,22-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
22-Nov-2020 - 00:00,53.91,38.52,17.9,58.36,6.66,0.32,4.54,4.58,1.92,190.63,4.94,0.0,48.23,0.96,33.55,74.29,165.05,23-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
23-Nov-2020 - 00:00,75.18,50.9,19.49,76.2,10.15,0.62,5.64,7.31,2.97,190.09,4.83,0.0,49.74,1.56,25.44,100.27,208.45,24-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
24-Nov-2020 - 00:00,64.88,44.98,18.82,67.8,6.62,0.37,5.01,5.49,2.35,190.3,4.88,0.0,50.89,0.95,32.19,71.79,157.1,25-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
25-Nov-2020 - 00:00,70.93,48.64,19.44,73.19,9.34,0.4,4.69,4.88,2.22,191.99,5.25,0.01,52.18,1.32,28.51,97.19,205.11,26-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
26-Nov-2020 - 00:00,64.71,43.86,18.9,66.76,3.46,0.18,3.24,2.27,0.98,190.9,5.02,0.14,45.09,0.61,30.75,28.41,65.32,27-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
27-Nov-2020 - 00:00,75.69,49.97,18.0,75.74,4.47,0.28,4.13,4.03,1.75,190.59,4.94,0.0,50.34,0.67,32.19,36.46,79.92,28-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
28-Nov-2020 - 00:00,73.51,48.57,16.61,73.07,6.65,0.36,4.61,3.71,1.84,192.07,5.2,0.0,29.2,1.24,19.19,60.66,148.53,29-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
29-Nov-2020 - 00:00,64.14,43.28,17.19,65.85,11.06,0.55,5.59,7.45,3.29,190.29,4.88,0.0,46.26,1.3,30.78,88.78,207.19,30-Nov-2020 - 00:00,"F-Block, Sirsa - HSPCB"
30-Nov-2020 - 00:00,50.98,36.03,16.71,55.5,11.08,0.63,5.94,8.14,3.7,189.81,4.81,0.0,46.09,1.45,33.04,98.1,197.16,01-Dec-2020 - 00:00,"F-Block, Sirsa - HSPCB"
01-Dec-2020 - 00:00,60.16,40.98,16.91,63.01,11.45,0.72,6.28,8.99,5.06,192.54,5.28,0.0,27.36,1.73,6.52,155.45,337.35,02-Dec-2020 - 00:00,"F-Block, Sirsa - HSPCB"
