from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT,WS,WD,RH,BP,to date,station
27-Jan-2020 - 00:00,32.57,66.42,22.78,10.86,20.95,13.46,23.61,1.03,37.2,0.06,0.12,25.13,1.13,166.8,40.64,726.91,28-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
28-Jan-2020 - 00:00,46.76,79.43,25.55,10.68,22.26,13.09,25.9,1.02,33.23,0.08,0.23,25.21,0.91,215.05,48.16,727.41,29-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
29-Jan-2020 - 00:00,38.79,83.17,32.33,22.59,35.56,9.96,27.96,1.9,22.95,0.07,0.18,25.34,0.73,195.22,44.59,728.09,30-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
30-Jan-2020 - 00:00,36.75,84.69,30.58,20.87,32.7,12.04,25.56,1.73,19.96,0.06,0.22,25.28,0.83,216.2,43.33,727.23,31-Jan-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
31-Jan-2020 - 00:00,46.55,95.56,32.56,12.5,27.15,12.26,33.97,1.13,16.62,0.07,0.24,24.54,0.79,167.44,46.87,726.1,01-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
01-Feb-2020 - 00:00,42.5,79.74,14.56,1.99,9.33,13.27,29.2,0.37,20.84,0.01,0.05,25.88,1.45,140.61,47.7,726.75,02-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
02-Feb-2020 - 00:00,27.69,53.88,8.91,3.15,7.2,11.58,19.88,0.44,,0.01,0.03,26.54,1.65,127.08,42.49,728.48,03-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
03-Feb-2020 - 00:00,25.2,55.99,11.24,2.42,7.78,10.86,18.35,0.39,31.68,0.01,0.04,26.02,1.43,131.82,42.86,728.49,04-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
04-Feb-2020 - 00:00,18.85,39.46,11.81,3.65,9.02,12.45,19.58,0.46,17.78,0.01,0.05,25.37,1.41,136.22,42.75,727.33,05-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
05-Feb-2020 - 00:00,20.07,44.99,12.83,5.02,10.88,11.31,19.02,0.59,19.65,0.01,0.04,25.89,1.3,135.12,46.29,727.4,06-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
06-Feb-2020 - 00:00,35.36,73.76,18.75,6.83,15.37,12.48,22.15,0.71,17.68,0.06,0.15,25.4,0.91,166.54,46.04,727.45,07-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
07-Feb-2020 - 00:00,38.82,73.36,24.01,5.8,17.48,11.16,23.07,0.65,17.62,0.03,0.1,25.39,0.88,187.12,47.78,727.93,08-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
08-Feb-2020 - 00:00,31.46,66.91,21.38,9.59,19.17,10.98,18.79,0.93,19.62,0.05,0.13,25.83,1.04,206.1,45.92,727.97,09-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
09-Feb-2020 - 00:00,30.93,67.31,13.66,10.08,14.9,9.79,23.09,0.92,,0.04,0.08,25.59,1.32,153.06,47.11,727.88,10-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
10-Feb-2020 - 00:00,20.23,40.42,4.57,0.87,3.04,9.21,18.56,0.31,33.96,0.0,0.0,26.03,2.12,115.31,47.96,727.81,11-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
11-Feb-2020 - 00:00,21.65,51.67,8.18,1.81,5.51,9.66,26.03,0.37,25.13,0.01,0.13,24.85,1.87,109.04,47.9,728.77,12-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
12-Feb-2020 - 00:00,21.92,54.67,9.01,4.23,8.17,9.74,21.5,0.53,23.13,0.01,0.09,25.43,1.69,130.44,49.1,729.74,13-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
13-Feb-2020 - 00:00,29.57,82.64,24.3,4.17,15.91,9.86,21.83,0.53,23.47,0.06,0.19,26.21,1.04,133.67,43.78,729.0,14-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
14-Feb-2020 - 00:00,42.59,97.57,31.79,7.05,22.63,11.94,22.82,0.63,21.56,0.07,0.29,27.83,0.82,155.0,43.0,727.39,15-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
15-Feb-2020 - 00:00,48.8,110.0,35.29,8.03,25.29,13.33,24.11,0.82,28.94,0.09,0.46,26.42,0.87,152.62,34.43,726.95,16-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
16-Feb-2020 - 00:00,35.39,86.6,29.99,9.26,23.47,15.84,23.94,0.91,24.9,0.06,0.2,26.14,1.19,151.81,30.29,728.12,17-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
17-Feb-2020 - 00:00,36.59,91.18,33.4,13.83,29.0,16.16,25.75,1.25,22.86,0.08,0.28,25.49,0.99,145.76,32.26,728.82,18-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
18-Feb-2020 - 00:00,32.66,77.06,21.57,3.72,14.45,14.06,22.15,0.5,28.07,0.04,0.31,25.8,1.11,138.33,36.31,728.47,19-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
19-Feb-2020 - 00:00,33.53,83.82,20.42,5.03,14.42,12.77,21.02,0.55,30.19,0.03,0.2,25.87,1.18,129.26,41.48,727.95,20-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
20-Feb-2020 - 00:00,33.2,79.84,10.83,1.74,7.0,11.73,23.74,0.33,30.16,0.02,0.11,25.94,1.61,115.96,38.69,727.69,21-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
21-Feb-2020 - 00:00,12.3,49.18,13.76,3.15,9.89,17.83,30.08,0.46,23.86,0.0,0.03,27.01,1.59,133.76,33.73,728.65,22-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
22-Feb-2020 - 00:00,21.52,58.45,8.26,0.85,5.04,12.13,19.42,0.28,24.61,0.02,0.14,26.24,1.67,117.93,45.09,729.76,23-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
23-Feb-2020 - 00:00,20.15,53.7,8.15,1.71,5.62,10.57,19.36,0.34,27.66,0.01,0.03,26.25,1.69,117.01,45.52,729.12,24-Feb-2020 - 00:00,"Vijay Nagar, Ramanagara - KSPCB"
