from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
01-Jan-2020 - 00:00,419.59,287.74,57.42,17.48,74.92,2.77,,21.13,02-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
02-Jan-2020 - 00:00,400.84,270.27,74.19,22.23,96.41,3.46,,34.24,03-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
03-Jan-2020 - 00:00,287.87,196.24,68.33,18.19,86.52,2.85,,32.83,04-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
04-Jan-2020 - 00:00,391.05,266.35,56.97,23.7,75.28,2.9,,65.24,05-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
05-Jan-2020 - 00:00,279.36,195.85,11.91,21.52,33.44,1.23,,30.94,06-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
06-Jan-2020 - 00:00,258.44,168.21,22.22,20.36,42.58,1.4,,23.07,07-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
07-Jan-2020 - 00:00,188.26,135.97,8.11,10.83,18.95,1.16,,11.78,08-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
08-Jan-2020 - 00:00,169.32,139.01,16.5,6.75,23.24,1.24,,8.13,09-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
09-Jan-2020 - 00:00,137.42,96.85,8.55,7.2,15.74,1.0,,8.45,10-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
10-Jan-2020 - 00:00,228.09,135.63,10.72,8.73,19.45,1.49,,20.26,11-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
11-Jan-2020 - 00:00,266.37,129.4,15.84,9.5,25.34,1.84,,25.1,12-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
12-Jan-2020 - 00:00,360.88,212.98,37.01,9.41,46.42,2.33,,30.58,13-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
13-Jan-2020 - 00:00,340.36,231.22,17.45,8.61,26.06,2.04,,21.31,14-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
14-Jan-2020 - 00:00,217.54,152.43,12.52,7.06,19.58,1.42,,22.82,15-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
15-Jan-2020 - 00:00,204.91,131.19,10.62,7.65,18.27,1.19,,30.73,16-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
16-Jan-2020 - 00:00,209.07,147.77,14.48,7.59,22.07,1.31,,22.49,17-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
17-Jan-2020 - 00:00,128.35,86.1,14.04,6.63,20.66,1.22,,16.18,18-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
18-Jan-2020 - 00:00,249.22,143.72,17.09,13.27,30.36,1.73,,22.69,19-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
19-Jan-2020 - 00:00,212.68,132.5,11.16,13.99,25.15,1.4,,18.46,20-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
20-Jan-2020 - 00:00,282.59,159.99,24.74,16.74,41.48,2.36,,14.91,21-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
21-Jan-2020 - 00:00,333.26,195.22,26.29,14.19,40.48,2.22,,18.31,22-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
22-Jan-2020 - 00:00,318.62,184.63,25.52,19.33,44.85,2.39,,20.12,23-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
23-Jan-2020 - 00:00,144.19,65.33,5.6,14.16,19.76,1.05,,28.16,24-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
24-Jan-2020 - 00:00,166.76,76.17,7.9,16.59,24.49,1.26,,31.31,25-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
25-Jan-2020 - 00:00,269.62,151.53,25.68,19.45,45.13,1.64,,24.88,26-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
26-Jan-2020 - 00:00,357.18,225.81,28.89,14.6,43.48,2.18,,25.82,27-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
27-Jan-2020 - 00:00,323.37,207.07,52.65,19.36,72.01,3.72,,20.14,28-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
28-Jan-2020 - 00:00,141.87,103.13,7.21,10.47,17.67,1.26,,26.12,29-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
29-Jan-2020 - 00:00,134.73,76.45,13.71,12.76,26.47,1.22,,19.89,30-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
30-Jan-2020 - 00:00,150.86,77.35,10.87,12.56,23.43,1.18,,22.13,31-Jan-2020 - 00:00,"Sector - 62, Noida - IMD"
31-Jan-2020 - 00:00,160.43,82.5,11.1,14.85,25.95,1.27,,22.25,01-Feb-2020 - 00:00,"Sector - 62, Noida - IMD"
01-Feb-2020 - 00:00,187.49,108.3,15.84,12.94,28.78,1.28,,25.89,02-Feb-2020 - 00:00,"Sector - 62, Noida - IMD"
02-Feb-2020 - 00:00,187.19,105.48,12.37,14.34,26.71,1.32,,25.97,03-Feb-2020 - 00:00,"Sector - 62, Noida - IMD"
03-Feb-2020 - 00:00,247.95,130.16,28.66,16.98,45.64,1.75,,26.26,04-Feb-2020 - 00:00,"Sector - 62, Noida - IMD"
04-Feb-2020 - 00:00,302.13,168.18,28.5,16.16,44.66,1.95,,33.69,05-Feb-2020 - 00:00,"Sector - 62, Noida - IMD"
05-Feb-2020 - 00:00,238.7,137.14,13.61,14.04,27.64,1.38,,26.65,06-Feb-2020 - 00:00,"Sector - 62, Noida - IMD"
