from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,SR,Temp,WD,WS,to date,station
30-Sep-2020 - 00:00,6.56,16.66,4.22,0.52,73.43,5.01,1.21,0.37,31.34,71.01,31.58,28.99,0.02,67.03,124.33,31.32,205.2,2.29,01-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Oct-2020 - 00:00,7.68,18.11,4.75,0.54,64.01,3.79,1.46,0.36,36.1,75.99,32.46,29.36,0.0,61.34,111.16,31.23,234.11,1.81,02-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Oct-2020 - 00:00,8.92,18.56,5.41,0.55,54.12,3.27,1.59,0.43,38.34,89.91,36.19,29.85,0.0,58.62,127.9,31.36,212.73,2.0,03-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Oct-2020 - 00:00,10.34,17.61,6.12,0.52,62.14,3.06,1.54,0.53,32.63,86.81,35.07,29.98,0.0,50.92,126.23,30.89,216.1,1.58,04-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Oct-2020 - 00:00,10.82,19.81,6.54,0.53,64.41,3.68,1.74,0.64,33.38,96.97,43.1,29.64,0.0,52.24,120.36,31.11,218.33,1.63,05-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Oct-2020 - 00:00,13.43,18.81,7.91,0.58,77.02,3.55,2.01,1.01,40.82,95.61,41.18,29.64,0.0,49.98,129.12,31.05,184.44,1.96,06-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Oct-2020 - 00:00,16.25,19.82,9.6,0.64,80.98,5.04,2.03,1.72,29.71,124.2,46.26,29.34,0.0,44.17,127.16,31.25,133.83,1.71,07-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Oct-2020 - 00:00,15.93,22.23,9.65,0.66,93.41,5.44,2.09,1.97,28.06,120.83,50.41,30.03,0.0,35.04,124.27,31.36,105.05,1.75,08-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Oct-2020 - 00:00,17.33,22.71,10.33,0.7,89.01,4.52,1.95,2.1,23.03,133.45,53.0,30.08,0.0,33.83,129.98,31.26,73.38,2.07,09-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Oct-2020 - 00:00,15.86,23.67,9.59,0.68,96.25,5.91,1.91,1.81,21.48,143.17,55.66,29.97,0.0,34.46,116.9,31.3,77.78,2.24,10-Oct-2020 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
