from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
31-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
23-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Feb-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
29-Feb-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
23-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
29-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,30-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
30-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,31-Mar-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
31-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,01-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,08-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,26-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,28-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,29-Apr-2020 - 00:00,"New Collectorate, Baghpat - UPPCB"
