from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Ozone,to date,station
28-Jan-2020 - 00:00,,768.6,26.07,136.65,70.77,0.0,0.35,155.26,,0.88,11.59,1.42,2.89,3.78,2.41,1.22,16.81,29-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
29-Jan-2020 - 00:00,,770.8,24.27,146.51,62.17,0.0,0.29,83.55,,0.86,0.06,,1.92,3.3,2.83,0.83,13.98,30-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
30-Jan-2020 - 00:00,,769.92,24.29,165.47,55.81,0.0,0.57,149.66,,0.87,,,2.23,3.35,3.14,0.84,19.69,31-Jan-2020 - 00:00,"Bandra, Mumbai - MPCB"
31-Jan-2020 - 00:00,,768.43,23.96,137.36,62.54,0.0,0.27,99.92,,0.86,,,2.37,3.38,3.33,1.47,21.4,01-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
01-Feb-2020 - 00:00,,768.04,24.55,126.2,66.72,0.0,0.29,72.33,,0.89,0.04,0.46,1.69,3.3,3.41,1.63,25.25,02-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
02-Feb-2020 - 00:00,,769.16,26.69,149.77,67.7,0.0,0.13,125.75,,0.86,0.04,,1.41,3.26,3.63,2.42,20.42,03-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
03-Feb-2020 - 00:00,,769.93,25.79,110.05,77.21,0.0,0.11,140.29,,0.85,0.08,,1.38,3.27,3.79,0.0,22.68,04-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
04-Feb-2020 - 00:00,,769.17,24.21,13.22,84.57,0.0,0.09,89.23,,0.84,0.02,,1.77,3.32,3.92,0.0,21.08,05-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
05-Feb-2020 - 00:00,,768.7,27.51,173.54,51.49,0.0,0.44,110.85,,0.88,,,1.2,3.22,3.7,0.0,29.99,06-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
06-Feb-2020 - 00:00,,768.81,24.72,103.34,58.56,0.0,0.33,111.62,,0.85,,,1.6,3.28,3.79,0.0,23.38,07-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
07-Feb-2020 - 00:00,,769.9,24.12,157.36,52.81,0.0,0.58,92.75,,0.88,,,1.76,3.32,3.84,0.0,22.55,08-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
08-Feb-2020 - 00:00,,769.6,25.13,145.89,63.15,0.0,0.34,98.49,,0.85,,,1.69,3.29,3.88,0.0,25.7,09-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
09-Feb-2020 - 00:00,,769.43,27.32,128.62,55.2,0.0,0.63,127.91,,0.89,0.1,,1.6,3.29,3.86,0.0,17.29,10-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
10-Feb-2020 - 00:00,,768.31,28.6,104.27,54.72,0.0,0.55,117.64,,0.88,0.79,,1.45,3.27,3.89,0.0,17.05,11-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
11-Feb-2020 - 00:00,,768.83,29.78,115.21,58.3,0.0,0.15,173.34,,0.88,0.56,,1.05,3.21,3.76,0.0,29.23,12-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
12-Feb-2020 - 00:00,,770.04,30.24,87.78,57.78,0.0,0.29,155.59,,0.82,6.52,14.73,78.22,76.29,3.07,0.86,53.42,13-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
13-Feb-2020 - 00:00,,769.78,29.87,95.26,57.45,0.0,0.35,128.31,,0.85,8.03,23.02,148.6,125.6,2.45,1.3,111.56,14-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
14-Feb-2020 - 00:00,107.71,768.74,30.01,148.95,51.28,0.0,0.42,111.08,130.92,0.84,9.53,16.57,124.64,108.06,2.2,10.76,118.91,15-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
15-Feb-2020 - 00:00,33.53,768.11,29.36,147.34,40.73,0.0,0.27,151.96,86.63,0.89,9.97,14.82,78.94,64.08,2.09,10.74,67.97,16-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
16-Feb-2020 - 00:00,44.27,768.5,28.25,116.72,58.38,0.0,0.26,165.98,132.06,0.86,10.87,12.27,59.29,47.06,2.16,20.81,79.24,17-Feb-2020 - 00:00,"Bandra, Mumbai - MPCB"
