from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO,NOx,NO2,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
01-Jan-2020 - 00:00,2.5,5.29,10.23,0.87,7.4,1.62,60.11,41.46,59.89,18.43,10.21,141.06,73.65,0.0,80.45,142.05,10.42,207.69,0.43,16.35,02-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
02-Jan-2020 - 00:00,2.5,5.29,10.22,0.87,7.4,1.25,45.61,24.15,43.16,19.02,6.05,113.55,57.6,0.0,82.36,146.33,13.81,295.02,0.43,13.11,03-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
03-Jan-2020 - 00:00,2.5,5.28,10.16,0.89,7.34,1.13,35.55,12.44,29.95,17.52,9.23,144.12,76.79,0.0,84.13,143.24,13.81,265.85,0.38,15.06,04-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
04-Jan-2020 - 00:00,2.48,5.24,10.08,0.91,7.28,1.09,34.07,11.03,27.32,16.53,8.65,142.62,68.96,0.0,81.98,144.51,13.07,230.82,0.4,17.29,05-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
05-Jan-2020 - 00:00,2.5,5.29,10.22,0.87,7.4,1.11,29.06,7.08,21.46,14.39,6.58,116.48,60.64,0.0,81.29,157.67,13.59,270.0,0.51,12.9,06-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
06-Jan-2020 - 00:00,2.5,5.29,10.23,0.87,7.4,0.94,29.06,7.1,21.18,14.08,6.79,68.98,37.17,0.08,91.39,122.2,12.62,236.5,0.46,15.69,07-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
07-Jan-2020 - 00:00,2.5,5.29,10.23,0.87,7.4,0.95,28.51,7.52,20.03,12.51,7.17,39.6,22.29,0.05,95.21,121.19,13.18,110.33,0.58,12.43,08-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
08-Jan-2020 - 00:00,2.5,5.29,10.22,0.87,7.4,0.88,26.52,7.08,16.65,9.56,8.0,41.67,24.23,0.03,95.19,119.92,12.71,174.73,0.54,11.94,09-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
09-Jan-2020 - 00:00,2.54,5.26,10.15,0.88,7.35,0.89,25.82,5.94,15.58,9.65,9.28,68.1,38.45,0.0,94.27,136.37,10.11,262.8,0.7,12.77,10-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
10-Jan-2020 - 00:00,2.5,5.29,10.23,0.87,7.4,0.95,25.85,5.75,15.96,10.21,10.52,87.97,47.23,0.0,84.8,142.42,11.11,264.8,0.64,14.09,11-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
11-Jan-2020 - 00:00,2.5,5.29,10.22,0.87,7.4,0.98,26.33,5.81,16.85,11.04,9.78,96.75,49.27,0.0,81.39,178.85,11.8,261.62,0.57,13.72,12-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
12-Jan-2020 - 00:00,2.5,5.29,10.22,0.87,7.4,1.16,29.43,8.29,21.77,13.48,6.27,115.69,59.37,0.0,91.91,154.7,12.9,228.4,0.46,12.6,13-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
13-Jan-2020 - 00:00,2.5,5.29,10.22,0.87,7.4,1.22,32.15,8.41,23.57,15.16,7.69,142.76,80.09,0.12,95.2,118.64,12.17,145.91,0.8,14.97,14-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
14-Jan-2020 - 00:00,2.53,5.28,10.17,0.89,7.35,0.97,26.89,6.9,16.85,9.95,7.8,77.42,43.02,0.0,94.97,121.33,10.69,274.36,0.51,12.02,15-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
15-Jan-2020 - 00:00,2.5,5.29,10.23,0.87,7.4,0.95,27.15,6.95,17.72,10.66,8.03,88.38,47.52,0.0,95.34,160.64,10.04,246.58,0.43,13.08,16-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
16-Jan-2020 - 00:00,2.5,5.29,10.23,0.87,7.4,0.94,24.57,5.97,14.13,8.17,6.85,73.12,37.65,0.0,95.43,171.22,9.8,265.65,0.45,9.97,17-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
17-Jan-2020 - 00:00,2.5,5.24,10.13,0.88,7.33,0.91,25.57,7.01,14.58,7.57,7.9,95.36,48.24,0.0,95.4,139.24,10.29,232.77,0.46,7.34,18-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
18-Jan-2020 - 00:00,2.5,5.29,10.22,0.87,7.4,0.87,24.92,4.69,12.58,7.9,7.68,112.21,59.35,0.0,91.45,178.72,11.51,197.9,0.51,6.87,19-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
19-Jan-2020 - 00:00,2.5,5.29,10.23,0.87,7.4,0.85,22.84,3.58,10.11,6.53,6.97,77.28,43.32,0.0,94.21,166.65,10.77,262.59,0.72,5.35,20-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
20-Jan-2020 - 00:00,2.56,5.32,10.17,0.9,7.39,0.94,24.31,3.54,11.1,7.58,7.61,122.68,64.9,0.0,94.0,173.03,11.7,218.92,0.55,6.03,21-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
21-Jan-2020 - 00:00,2.48,5.25,10.1,0.92,7.29,0.98,26.16,4.72,14.71,10.13,6.48,118.32,60.96,0.0,87.82,158.36,13.76,189.06,0.37,5.14,22-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
22-Jan-2020 - 00:00,2.52,5.32,10.16,0.91,7.38,0.91,26.33,5.27,15.06,9.79,5.82,75.91,42.69,0.0,87.34,156.65,13.97,257.33,0.63,3.58,23-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
23-Jan-2020 - 00:00,1.99,5.29,10.23,0.87,4.84,0.73,20.58,3.42,10.99,7.56,7.93,66.2,29.75,0.0,82.67,144.24,13.28,264.1,0.84,4.1,24-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
24-Jan-2020 - 00:00,1.48,5.23,10.12,0.86,2.38,0.67,18.58,3.43,11.93,8.61,8.61,83.1,36.95,0.0,81.31,144.75,13.23,256.95,0.92,3.93,25-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
25-Jan-2020 - 00:00,1.5,5.18,10.02,0.88,2.35,0.8,21.6,5.36,16.53,11.4,6.25,137.39,67.24,0.0,92.06,155.34,12.8,168.42,0.42,6.06,26-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
26-Jan-2020 - 00:00,1.5,5.29,10.23,0.87,2.4,0.84,21.15,5.52,16.29,10.77,4.41,110.16,61.6,0.0,89.81,158.76,13.41,259.01,0.57,2.58,27-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
27-Jan-2020 - 00:00,1.5,5.29,10.23,0.87,2.4,0.79,25.19,8.25,21.02,12.77,3.44,114.47,60.01,0.02,95.36,123.22,12.14,211.86,0.34,4.99,28-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
28-Jan-2020 - 00:00,1.5,5.26,10.16,0.88,2.39,0.68,18.52,4.1,10.93,6.83,7.53,60.78,34.45,0.06,93.3,147.37,14.74,124.61,1.18,3.93,29-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
29-Jan-2020 - 00:00,1.54,5.25,10.15,0.89,2.4,0.64,18.18,4.55,11.67,7.12,7.22,55.61,24.71,0.0,89.78,149.82,13.69,202.4,0.52,3.38,30-Jan-2020 - 00:00,"Model Town, Patiala - PPCB"
