from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
28-Jan-2020 - 00:00,12.16,986.4,153.75,115.22,72.83,79.33,42.55,244.89,1.55,1.24,3.54,55.12,15.95,52.16,40.69,38.74,3.53,29-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
29-Jan-2020 - 00:00,11.71,992.3,137.16,94.69,70.4,146.76,33.54,113.69,1.12,0.93,2.56,39.64,27.71,25.94,36.38,41.09,8.01,30-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
30-Jan-2020 - 00:00,10.96,993.2,213.89,138.59,73.15,133.14,36.94,95.6,1.86,1.15,3.76,40.7,17.13,25.63,27.51,40.51,9.55,31-Jan-2020 - 00:00,"Mundka, Delhi - DPCC"
31-Jan-2020 - 00:00,10.12,991.07,268.12,155.57,75.33,119.53,61.44,88.4,1.07,1.49,4.13,47.51,42.15,39.91,56.14,36.35,13.9,01-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
01-Feb-2020 - 00:00,10.76,993.74,235.93,126.71,71.68,138.22,62.9,95.95,0.98,1.35,3.85,40.95,14.86,42.84,34.88,40.12,7.23,02-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
02-Feb-2020 - 00:00,10.32,995.3,255.23,170.52,73.03,125.17,41.33,84.33,1.45,1.14,3.79,43.65,42.8,45.48,59.09,40.0,8.18,03-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
03-Feb-2020 - 00:00,11.12,993.93,337.57,179.75,65.63,154.04,67.22,99.66,0.94,1.58,4.84,51.49,73.63,55.48,89.56,48.05,8.95,04-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
04-Feb-2020 - 00:00,11.61,992.27,468.04,237.81,62.95,137.89,129.1,147.54,0.56,2.23,8.04,57.72,102.32,70.25,120.77,69.38,10.04,05-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
05-Feb-2020 - 00:00,11.35,992.61,363.27,185.21,66.66,138.71,64.9,94.21,1.48,1.4,4.81,57.18,93.99,54.66,105.61,42.64,17.03,06-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
06-Feb-2020 - 00:00,10.91,991.93,292.85,163.9,67.43,143.18,55.29,81.52,1.04,1.17,3.87,46.8,61.34,53.0,78.2,44.9,11.13,07-Feb-2020 - 00:00,"Mundka, Delhi - DPCC"
