from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,WS,WD,RH,BP,SR,RF,to date,station
18-Feb-2020 - 00:00,91.72,196.3,29.43,2.0,17.33,45.93,15.09,1.28,21.24,0.77,0.45,2.71,0.95,0.37,19.21,0.54,154.43,49.67,742.0,109.96,0.0,19-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
19-Feb-2020 - 00:00,149.47,254.84,24.87,2.82,15.56,62.13,12.95,1.73,19.63,1.37,0.59,5.19,1.16,0.34,18.57,0.48,261.95,60.78,742.0,85.67,0.0,20-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
20-Feb-2020 - 00:00,114.96,205.34,10.66,1.18,6.51,52.02,10.42,1.36,24.9,0.88,0.05,1.23,0.13,0.13,20.38,0.61,267.82,65.12,742.04,94.15,0.19,21-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
21-Feb-2020 - 00:00,30.33,47.96,11.56,1.15,6.89,32.14,9.31,0.94,19.2,0.24,0.01,0.55,0.04,0.06,16.72,0.78,163.02,83.31,742.43,34.19,0.01,22-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
22-Feb-2020 - 00:00,42.36,88.77,24.36,8.92,19.53,28.95,8.64,1.31,15.74,0.74,0.82,2.91,1.82,0.65,19.52,0.48,148.45,69.96,742.15,96.24,0.0,23-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
23-Feb-2020 - 00:00,77.67,135.44,24.37,4.44,15.54,42.49,14.75,1.49,16.01,0.7,0.49,2.31,1.05,0.3,20.41,0.54,156.22,68.44,742.0,100.05,0.0,24-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
24-Feb-2020 - 00:00,42.81,94.23,18.66,1.88,11.25,31.8,10.1,1.11,15.48,0.4,0.16,1.19,0.47,0.12,20.21,0.57,139.35,62.79,742.0,118.93,0.0,25-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
25-Feb-2020 - 00:00,126.42,221.99,27.03,2.44,16.26,52.99,10.46,1.37,15.12,0.86,0.4,2.25,0.88,0.42,20.03,0.44,199.67,74.88,742.0,94.18,0.0,26-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
26-Feb-2020 - 00:00,95.15,164.73,23.62,1.51,13.68,52.37,11.65,,17.29,0.77,0.22,1.85,0.48,0.29,19.65,0.49,208.24,75.95,742.0,94.54,0.0,27-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
27-Feb-2020 - 00:00,110.64,181.02,21.24,1.28,12.08,52.43,9.29,1.66,13.6,0.94,0.09,1.58,0.27,0.3,19.58,0.43,253.79,79.88,742.0,84.34,0.0,28-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
28-Feb-2020 - 00:00,92.26,154.97,23.85,0.69,13.14,43.15,7.29,1.32,12.38,0.81,0.05,1.47,0.12,0.21,19.8,0.55,267.24,79.84,742.09,90.1,0.0,29-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
29-Feb-2020 - 00:00,71.19,111.94,23.42,0.65,12.9,37.82,7.6,1.22,12.25,0.72,0.05,1.15,0.13,0.16,19.34,0.61,231.14,80.94,742.07,75.44,0.02,01-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
01-Mar-2020 - 00:00,29.02,62.55,34.42,4.26,20.86,26.61,5.46,1.18,14.19,0.56,0.17,2.14,0.32,0.86,20.48,0.41,135.57,69.27,742.12,121.19,0.0,02-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
02-Mar-2020 - 00:00,75.21,151.93,48.43,5.42,30.16,40.29,13.54,1.68,14.02,0.92,0.5,3.42,0.93,1.13,22.51,0.4,151.77,64.85,742.1,112.05,0.0,03-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
03-Mar-2020 - 00:00,75.65,172.03,36.98,1.3,20.61,37.48,14.93,1.3,14.94,0.62,0.13,1.7,0.29,0.45,22.46,0.5,145.97,58.86,742.3,126.65,0.0,04-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
04-Mar-2020 - 00:00,84.01,187.61,29.6,2.71,17.76,38.75,9.89,1.29,17.05,0.7,0.13,1.67,0.29,0.29,21.76,0.51,199.5,62.27,742.17,112.11,0.04,05-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
05-Mar-2020 - 00:00,26.02,52.67,12.92,0.69,7.21,28.18,4.17,1.01,14.7,0.35,0.05,0.78,0.1,0.1,20.05,0.58,209.06,70.94,742.0,92.2,0.0,06-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
06-Mar-2020 - 00:00,11.9,22.47,7.62,0.26,4.09,21.27,2.26,0.83,17.45,0.12,0.01,0.39,0.02,0.02,16.84,0.72,221.61,85.62,742.09,76.04,0.0,07-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
07-Mar-2020 - 00:00,22.39,46.57,14.86,1.1,8.45,18.75,3.34,1.02,11.62,0.42,0.16,1.09,0.37,0.1,17.6,0.56,237.29,81.42,742.11,92.99,0.0,08-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
08-Mar-2020 - 00:00,46.33,92.75,19.68,6.65,14.89,23.97,6.23,1.11,17.32,0.53,0.19,1.57,0.48,0.16,19.11,0.54,140.41,71.68,742.11,125.96,0.0,09-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
09-Mar-2020 - 00:00,38.44,105.1,17.62,0.64,9.64,19.98,7.2,1.08,15.98,0.3,0.04,0.82,0.16,0.09,19.63,0.75,132.06,59.56,742.1,140.18,0.0,10-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
10-Mar-2020 - 00:00,65.48,135.01,17.9,0.53,9.73,29.65,11.14,1.16,15.9,0.52,0.06,1.23,0.23,0.14,19.91,0.51,166.82,58.27,742.15,127.48,0.0,11-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
11-Mar-2020 - 00:00,56.52,117.26,12.93,0.4,7.07,35.09,9.66,1.17,15.8,0.48,0.04,0.9,0.1,0.1,21.04,0.69,253.38,67.53,742.05,88.95,0.0,12-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
12-Mar-2020 - 00:00,63.89,145.89,15.05,0.92,8.63,40.32,9.11,1.26,13.84,0.5,0.15,1.18,0.32,0.2,22.55,0.56,225.82,68.94,742.17,106.96,0.0,13-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
13-Mar-2020 - 00:00,38.51,88.46,12.17,1.18,7.16,31.16,5.28,1.07,13.75,0.37,0.02,0.86,0.07,0.17,20.9,0.64,227.89,71.38,742.1,107.24,0.0,14-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
14-Mar-2020 - 00:00,15.02,57.52,14.37,1.08,8.18,20.89,5.77,0.95,14.31,0.24,0.06,0.71,0.23,0.34,18.86,0.63,200.95,70.69,742.15,97.89,0.06,15-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
15-Mar-2020 - 00:00,32.98,91.81,22.23,2.74,13.35,21.46,7.68,0.93,15.1,0.45,0.17,1.18,0.36,0.25,19.18,0.51,176.73,65.85,742.0,120.17,0.0,16-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
16-Mar-2020 - 00:00,46.68,117.41,19.62,0.78,10.85,24.15,10.93,1.06,18.09,0.42,0.08,1.11,0.27,0.11,21.15,0.6,132.99,61.53,742.0,121.4,0.0,17-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
17-Mar-2020 - 00:00,52.1,134.29,20.55,0.48,11.2,25.62,13.0,1.45,20.0,0.44,0.11,1.2,0.33,0.1,22.23,0.68,131.15,60.09,742.0,133.46,0.0,18-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
18-Mar-2020 - 00:00,63.06,144.91,20.55,0.57,11.25,28.09,14.03,1.19,20.22,0.48,0.11,1.15,0.31,0.12,23.35,0.67,131.76,58.18,742.0,131.97,0.0,19-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
19-Mar-2020 - 00:00,75.6,169.91,21.29,0.94,11.98,33.67,14.63,1.27,19.02,0.52,0.14,1.22,0.38,0.13,23.99,0.51,134.48,60.58,742.0,123.81,0.0,20-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
20-Mar-2020 - 00:00,101.33,214.3,27.07,1.25,15.29,38.28,19.78,1.68,18.93,0.94,0.33,1.99,0.74,0.25,24.69,0.45,187.78,58.06,742.0,116.21,0.0,21-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
21-Mar-2020 - 00:00,132.71,264.81,23.26,1.06,13.05,54.68,21.64,1.52,18.41,1.04,0.19,2.33,0.45,0.36,24.94,0.48,193.94,60.24,742.0,100.44,0.0,22-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
22-Mar-2020 - 00:00,57.58,115.24,14.13,0.49,7.65,36.31,15.6,1.08,20.43,0.45,0.03,0.76,0.06,0.09,24.23,0.55,166.6,54.49,742.12,127.61,0.0,23-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
23-Mar-2020 - 00:00,64.24,134.04,17.43,0.6,9.53,35.1,16.64,1.24,18.53,0.64,0.07,1.15,0.15,0.2,25.22,0.49,150.99,52.81,742.12,131.46,0.0,24-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
24-Mar-2020 - 00:00,69.7,161.92,17.3,0.57,9.58,38.96,21.27,1.25,15.89,0.7,0.04,1.14,0.13,0.2,25.42,0.48,187.85,55.9,742.0,108.08,0.0,25-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
25-Mar-2020 - 00:00,34.05,81.06,10.47,0.38,5.72,30.4,9.27,1.05,17.0,0.28,0.01,0.62,0.05,0.08,25.92,0.63,150.57,55.52,742.09,134.33,0.0,26-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
26-Mar-2020 - 00:00,50.25,,7.15,0.33,3.93,30.67,10.37,1.02,13.26,0.22,0.0,0.43,0.03,0.04,25.74,0.7,137.09,57.95,742.0,115.77,0.0,27-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
27-Mar-2020 - 00:00,,,6.87,0.5,3.89,33.88,7.27,1.1,9.83,0.23,0.01,0.53,0.03,0.06,22.53,0.59,178.46,75.18,742.03,64.26,0.0,28-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
28-Mar-2020 - 00:00,11.76,29.6,4.89,0.45,2.73,26.81,4.2,0.95,12.47,0.12,0.0,0.28,0.03,0.01,22.69,0.67,146.08,71.31,742.11,143.3,0.0,29-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
29-Mar-2020 - 00:00,15.66,54.78,3.01,0.22,1.57,21.18,5.0,0.88,17.12,0.1,0.0,0.21,0.01,0.0,24.33,0.85,132.51,55.03,742.0,148.25,0.0,30-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
30-Mar-2020 - 00:00,25.96,65.62,5.14,0.26,2.71,22.65,7.16,0.95,17.96,0.18,0.0,0.31,0.03,0.01,24.03,0.72,134.96,53.06,742.0,146.92,0.0,31-Mar-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
31-Mar-2020 - 00:00,31.1,79.38,4.95,0.29,2.69,25.18,7.24,1.04,17.47,0.21,0.0,0.38,0.05,0.0,24.83,0.71,140.88,52.26,742.0,125.96,0.0,01-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
01-Apr-2020 - 00:00,28.41,83.9,5.29,0.49,2.99,22.35,7.75,1.01,18.7,0.31,0.0,0.34,0.03,0.0,26.68,0.66,154.32,46.19,742.0,138.33,0.0,02-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
02-Apr-2020 - 00:00,24.07,74.68,4.19,0.33,2.19,22.62,7.67,0.97,18.29,0.19,0.0,0.3,0.03,0.01,25.23,0.78,135.57,49.55,742.0,147.65,0.0,03-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
03-Apr-2020 - 00:00,21.55,65.9,5.18,0.44,2.76,19.42,9.97,0.96,23.45,0.19,0.01,0.32,0.04,0.0,24.46,0.66,139.79,38.41,742.0,150.53,0.0,04-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
04-Apr-2020 - 00:00,36.0,84.79,7.27,0.36,3.86,24.56,12.42,1.09,22.74,0.3,0.01,0.46,0.09,0.01,25.63,0.63,137.89,40.22,742.0,150.04,0.0,05-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
05-Apr-2020 - 00:00,70.5,136.89,10.7,0.38,5.81,32.01,14.64,1.3,21.23,0.62,0.08,0.97,0.27,0.07,26.41,0.56,154.6,43.75,742.0,136.54,0.0,06-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
06-Apr-2020 - 00:00,57.77,126.03,7.76,0.42,4.23,35.18,12.62,1.11,21.35,0.59,0.03,0.69,0.13,0.04,28.44,0.63,134.0,40.03,742.0,146.85,0.0,07-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
07-Apr-2020 - 00:00,27.34,106.29,4.17,0.62,2.4,25.42,8.21,1.01,20.97,0.23,0.0,0.34,0.03,0.01,26.9,0.82,141.08,43.0,742.0,139.99,0.0,08-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
08-Apr-2020 - 00:00,28.17,101.44,10.36,1.61,5.67,20.56,10.23,1.04,20.74,0.29,0.01,0.45,0.08,0.01,26.87,0.71,139.08,37.06,742.0,145.25,0.0,09-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
09-Apr-2020 - 00:00,47.88,112.07,19.87,1.62,11.89,21.92,13.05,1.11,21.61,0.43,0.03,0.62,0.11,0.03,26.86,0.56,131.54,39.39,742.0,138.38,0.0,10-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
10-Apr-2020 - 00:00,59.64,128.29,22.32,1.68,13.24,28.1,14.78,1.32,19.53,0.65,0.2,1.0,0.28,0.11,29.35,0.52,135.59,35.62,742.0,144.33,0.0,11-Apr-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
