from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Xylene,Toluene,MP-Xylene,Eth-Benzene,AT,WS,WD,RH,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,188.45,359.82,54.76,21.51,46.71,70.58,11.88,1.86,11.18,2.55,1.77,10.86,4.18,1.53,12.99,0.46,197.6,70.62,743.0,75.69,0.0,02-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
02-Jan-2020 - 00:00,132.28,271.96,47.9,11.11,34.41,61.35,14.56,1.87,10.88,2.08,0.94,7.42,2.58,1.05,16.02,0.47,192.17,68.49,743.0,75.01,0.0,03-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
03-Jan-2020 - 00:00,85.25,190.48,40.52,14.51,33.2,55.41,11.09,1.39,11.32,1.56,0.85,6.63,2.04,0.91,17.04,0.38,176.51,69.53,743.0,79.42,0.0,04-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
04-Jan-2020 - 00:00,118.32,260.1,43.56,9.98,31.19,70.43,12.98,1.07,16.09,1.66,1.17,7.62,2.52,0.93,16.07,0.43,152.12,74.26,743.0,70.22,0.0,05-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
05-Jan-2020 - 00:00,111.7,234.97,38.78,1.35,21.68,65.78,12.08,0.93,17.89,0.99,0.21,5.19,0.76,0.31,15.09,0.52,137.54,70.5,743.0,71.27,0.0,06-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
06-Jan-2020 - 00:00,93.07,191.44,44.27,3.57,26.55,65.95,10.3,1.41,5.85,1.04,0.21,5.72,0.81,0.36,14.24,0.55,148.17,82.81,743.0,31.62,0.0,07-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
07-Jan-2020 - 00:00,60.91,115.64,20.98,2.16,12.99,48.06,8.86,0.83,8.88,0.87,0.17,4.08,0.52,0.22,15.21,0.47,238.27,90.02,743.0,50.01,0.0,08-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
08-Jan-2020 - 00:00,61.02,102.73,26.39,2.05,15.79,42.25,7.87,0.75,6.73,0.74,0.14,4.39,0.53,0.07,14.07,0.52,181.54,97.29,743.0,30.35,5.05,09-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
09-Jan-2020 - 00:00,68.57,96.29,39.7,1.63,22.54,38.92,8.42,0.8,6.49,0.54,0.15,5.16,0.6,0.3,11.95,0.66,124.21,88.09,743.0,61.19,0.0,10-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
10-Jan-2020 - 00:00,89.01,134.19,37.88,2.1,21.83,41.13,8.96,0.73,13.14,0.8,0.19,4.89,0.63,0.36,12.27,0.59,121.59,74.83,743.0,83.83,0.0,11-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
11-Jan-2020 - 00:00,139.85,206.14,40.56,2.44,23.56,49.0,13.1,1.07,18.88,1.17,0.39,6.03,1.08,0.52,13.38,0.48,136.79,74.78,743.0,80.44,0.0,12-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
12-Jan-2020 - 00:00,250.57,340.23,39.7,7.96,27.53,75.91,13.64,1.95,15.22,2.45,0.92,8.58,2.31,1.43,13.75,0.39,198.64,73.5,742.96,70.23,0.0,13-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
13-Jan-2020 - 00:00,161.12,254.4,23.49,2.83,14.83,78.49,8.8,1.31,8.25,1.98,0.28,5.54,0.87,0.41,12.57,0.51,240.77,87.7,743.0,51.82,0.0,14-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
14-Jan-2020 - 00:00,111.43,213.02,36.19,4.14,22.71,60.38,7.85,1.22,5.51,1.26,0.27,5.09,0.8,0.42,13.68,0.54,126.77,91.41,743.0,49.56,0.0,15-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
15-Jan-2020 - 00:00,75.97,160.78,44.76,5.23,28.16,47.24,9.82,0.95,5.06,0.95,0.36,5.15,0.95,0.44,13.18,0.61,130.22,85.7,742.6,60.15,0.0,16-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
16-Jan-2020 - 00:00,76.6,148.32,33.75,5.89,22.81,43.87,9.09,0.95,4.32,0.95,0.25,4.87,0.73,0.36,13.22,0.56,153.58,95.39,742.98,44.02,0.0,17-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
17-Jan-2020 - 00:00,32.46,69.12,30.88,2.4,18.29,32.78,7.17,1.04,6.56,0.53,0.15,3.69,0.47,0.22,14.46,0.6,147.75,90.95,742.81,53.08,0.0,18-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
18-Jan-2020 - 00:00,47.42,114.56,33.45,9.06,25.24,34.05,9.87,1.18,3.83,0.95,0.47,5.08,1.07,0.52,12.66,0.46,149.94,92.17,742.89,46.56,0.0,19-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
19-Jan-2020 - 00:00,81.04,172.11,33.34,2.46,19.69,37.88,7.43,0.63,9.14,0.81,0.16,4.05,0.53,0.37,11.59,0.55,125.55,84.4,742.83,67.2,0.0,20-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
20-Jan-2020 - 00:00,98.01,196.8,35.29,4.33,22.39,48.01,7.74,0.9,10.46,1.14,0.48,4.75,1.07,0.49,12.92,0.5,138.5,84.93,742.83,58.82,0.0,21-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
21-Jan-2020 - 00:00,175.08,348.22,28.68,22.38,33.54,54.95,10.74,1.95,7.17,2.22,1.35,10.38,3.11,2.46,12.42,0.4,197.46,93.96,742.76,35.57,0.01,22-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
22-Jan-2020 - 00:00,115.84,165.03,21.6,5.59,15.53,45.6,7.41,1.42,10.44,1.37,0.45,3.34,0.87,0.54,12.47,0.53,132.32,86.64,742.75,63.2,0.0,23-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
23-Jan-2020 - 00:00,49.36,103.8,16.27,1.86,9.96,39.16,10.1,0.62,12.0,0.41,0.04,1.04,0.16,0.13,13.73,0.75,123.83,63.45,742.61,98.54,0.02,24-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
24-Jan-2020 - 00:00,70.1,125.09,24.79,1.88,14.66,48.4,13.84,1.09,12.61,0.54,0.05,1.36,0.11,0.37,14.5,0.63,124.43,56.23,742.77,96.72,0.0,25-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
25-Jan-2020 - 00:00,151.41,249.09,36.67,3.51,22.38,67.45,14.73,1.6,9.91,1.29,0.15,2.58,0.36,0.77,12.77,0.42,166.07,72.09,742.86,76.21,0.0,26-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
26-Jan-2020 - 00:00,130.46,276.44,42.75,4.99,26.79,64.02,13.88,1.79,11.98,1.5,0.21,3.62,0.4,1.27,14.94,0.44,122.23,71.38,742.81,82.21,0.0,27-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
27-Jan-2020 - 00:00,143.28,302.82,41.2,6.62,27.24,70.21,16.81,1.85,6.78,1.72,0.57,4.35,1.3,0.5,15.11,0.46,164.4,78.49,742.57,50.58,0.0,28-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
28-Jan-2020 - 00:00,62.19,116.98,7.41,1.31,4.86,42.48,12.15,1.13,9.5,0.61,0.09,1.36,0.25,0.08,15.83,0.55,212.81,84.06,742.24,58.82,0.28,29-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
29-Jan-2020 - 00:00,37.35,81.55,17.06,2.28,10.17,36.88,11.5,1.19,9.46,0.6,0.38,2.38,0.63,0.2,15.68,0.47,158.11,79.89,742.43,70.26,0.0,30-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
30-Jan-2020 - 00:00,44.99,110.73,18.88,1.99,11.61,34.5,12.98,1.17,13.01,0.55,0.12,1.21,0.32,0.12,15.09,0.7,123.0,70.2,742.57,96.78,0.0,31-Jan-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
31-Jan-2020 - 00:00,76.25,131.69,21.41,2.63,13.38,37.1,9.48,1.21,11.12,0.7,0.2,1.78,0.51,0.19,12.82,0.57,142.0,76.85,742.67,75.55,0.0,01-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
01-Feb-2020 - 00:00,85.16,142.91,30.41,6.93,21.91,41.44,10.87,1.07,11.18,0.77,0.17,1.82,0.4,0.24,12.43,0.53,139.85,80.67,743.0,74.75,0.0,02-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
02-Feb-2020 - 00:00,71.22,155.22,29.9,1.47,17.15,42.79,9.84,1.28,12.58,0.89,0.07,1.9,0.24,0.31,13.45,0.58,133.8,78.09,743.0,82.3,0.0,03-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
03-Feb-2020 - 00:00,73.73,169.68,31.9,2.05,18.61,48.75,12.18,1.33,16.28,1.04,0.15,2.5,0.39,0.67,14.91,0.49,139.06,64.2,742.99,97.47,0.0,04-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
04-Feb-2020 - 00:00,110.93,243.73,34.83,3.95,21.75,53.14,12.08,1.63,11.9,1.36,0.43,3.22,1.0,0.65,14.49,0.42,189.38,65.95,742.68,89.58,0.0,05-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
05-Feb-2020 - 00:00,73.32,181.86,28.74,2.15,17.05,43.21,10.53,1.27,15.94,0.74,0.11,1.8,0.29,0.31,15.47,0.63,132.1,61.94,742.66,97.04,0.0,06-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
06-Feb-2020 - 00:00,70.74,179.53,30.7,2.25,18.03,44.6,12.69,1.33,16.48,0.84,0.24,2.01,0.54,0.46,14.23,0.47,136.83,64.79,742.73,96.0,0.0,07-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
07-Feb-2020 - 00:00,91.6,213.39,33.22,5.37,22.01,48.36,11.64,1.33,15.72,1.07,0.17,2.1,0.47,0.44,14.71,0.49,138.71,62.47,742.89,92.22,0.0,08-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
08-Feb-2020 - 00:00,94.11,196.57,24.65,1.78,14.51,42.21,14.75,1.47,17.04,0.77,0.13,1.56,0.34,0.22,15.28,0.61,129.9,67.3,742.41,93.6,0.0,09-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
09-Feb-2020 - 00:00,118.38,199.69,22.14,1.74,13.21,44.42,14.37,1.31,20.34,0.73,0.18,1.4,0.44,0.2,15.94,0.49,129.43,62.22,742.0,96.01,0.0,10-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
10-Feb-2020 - 00:00,133.47,231.16,27.68,2.81,16.85,48.56,12.77,1.55,18.45,0.81,0.27,1.78,0.67,0.25,15.83,0.48,132.5,64.12,742.0,98.31,0.0,11-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
11-Feb-2020 - 00:00,140.96,241.0,26.75,2.66,16.43,49.76,17.89,1.11,21.07,0.82,0.23,1.64,0.55,0.27,16.51,0.47,136.5,61.18,742.0,97.99,0.0,12-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
12-Feb-2020 - 00:00,122.07,224.82,18.2,1.71,10.59,49.81,15.58,1.47,20.31,0.8,0.13,1.46,0.37,0.19,17.85,0.61,133.4,63.26,742.0,94.4,0.0,13-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
13-Feb-2020 - 00:00,65.1,139.05,10.68,1.64,6.83,43.92,10.89,1.22,17.36,0.44,0.06,0.86,0.18,0.06,19.8,0.7,130.65,62.92,742.02,104.07,0.0,14-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
14-Feb-2020 - 00:00,53.1,154.88,9.05,1.48,5.7,40.19,9.92,1.06,21.64,0.39,0.05,0.91,0.18,0.05,19.06,0.86,131.93,56.77,742.0,107.42,0.0,15-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
15-Feb-2020 - 00:00,61.88,143.74,16.48,1.75,9.98,37.11,13.81,1.11,21.05,0.43,0.09,0.9,0.27,0.06,18.66,0.62,131.14,51.09,742.01,109.44,0.0,16-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
16-Feb-2020 - 00:00,120.04,211.56,27.54,2.27,16.5,53.1,17.81,1.32,18.87,0.76,0.23,2.02,0.56,0.22,18.88,0.5,124.58,61.26,742.0,103.35,0.0,17-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
17-Feb-2020 - 00:00,100.49,191.81,25.18,1.4,14.55,48.33,13.85,1.3,21.06,0.75,0.17,1.54,0.39,0.17,19.57,0.55,132.05,56.7,742.0,108.46,0.0,18-Feb-2020 - 00:00,"Ganga Nagar, Meerut - UPPCB"
