from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
01-Jan-2020 - 00:00,0.63,39.43,3.23,17.86,12.09,12.47,44.24,23.68,26.36,1.97,5.49,0.1,72.05,0.87,150.18,144.82,720.23,0.72,02-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
02-Jan-2020 - 00:00,0.92,23.25,6.24,35.44,23.92,12.79,37.5,24.43,26.12,2.58,9.16,0.21,72.86,0.9,139.36,135.28,722.5,-0.07,03-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
03-Jan-2020 - 00:00,0.78,24.99,4.11,30.33,19.43,13.57,43.23,23.76,26.65,1.75,6.21,0.22,74.74,0.98,174.99,80.3,719.04,0.74,04-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
04-Jan-2020 - 00:00,0.76,42.63,3.14,27.35,17.08,12.25,61.15,23.33,26.67,1.84,8.5,0.13,73.71,1.43,127.05,98.35,717.5,0.77,05-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Jan-2020 - 00:00,0.67,46.17,3.24,22.54,14.59,23.16,61.91,22.48,26.54,0.91,9.99,0.1,67.54,1.77,109.18,172.76,718.88,0.77,06-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Jan-2020 - 00:00,0.93,32.99,6.57,42.95,28.18,15.91,58.53,24.48,28.44,1.25,8.59,0.06,64.54,0.89,138.74,150.04,723.26,0.72,07-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Jan-2020 - 00:00,0.82,30.52,3.95,33.5,21.02,13.18,48.02,23.89,26.29,1.68,6.24,0.03,73.01,0.79,129.4,79.84,720.43,0.76,08-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Jan-2020 - 00:00,0.71,31.36,5.76,28.77,19.99,14.93,32.91,24.58,26.22,1.75,4.53,0.03,69.04,1.01,200.73,104.52,718.12,0.76,09-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Jan-2020 - 00:00,0.76,26.38,8.18,29.95,22.55,14.26,55.31,23.36,26.47,1.98,12.19,0.03,74.51,1.03,132.6,63.95,718.23,0.76,10-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Jan-2020 - 00:00,0.63,42.98,2.27,25.62,15.46,15.59,79.9,22.99,26.27,1.48,14.9,0.05,71.95,1.5,114.01,105.56,720.2,0.78,11-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Jan-2020 - 00:00,0.75,44.61,3.5,37.4,22.74,21.24,78.9,22.93,26.3,2.03,18.08,0.06,62.62,1.08,111.95,157.44,721.99,0.77,12-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Jan-2020 - 00:00,0.58,63.95,4.3,49.4,29.9,22.8,120.0,26.79,25.95,1.96,7.39,0.02,45.33,0.89,149.8,196.17,716.06,0.79,14-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Jan-2020 - 00:00,,49.01,,,,,,23.6,25.77,,,,60.38,0.75,153.72,115.07,716.07,0.77,15-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Jan-2020 - 00:00,,41.51,,,,,,22.97,27.6,,,,64.22,0.89,119.69,129.62,717.26,0.77,16-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Jan-2020 - 00:00,0.7,39.42,,,,18.49,43.7,23.33,26.63,0.97,6.38,0.03,63.12,0.87,146.31,123.81,716.84,0.75,17-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Jan-2020 - 00:00,0.61,29.63,3.1,40.41,23.8,15.02,36.25,23.38,26.32,1.45,10.68,0.04,64.95,0.82,132.72,109.21,717.8,0.76,18-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
18-Jan-2020 - 00:00,0.48,32.39,2.23,24.5,14.69,13.13,34.19,24.33,26.16,0.93,9.58,0.04,66.65,0.93,129.42,160.68,718.09,0.76,19-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
19-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
20-Jan-2020 - 00:00,0.59,40.04,11.03,31.92,25.96,14.59,43.57,26.84,24.88,,,,54.71,1.1,130.59,203.95,721.27,0.8,21-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
21-Jan-2020 - 00:00,0.55,35.59,2.56,31.26,18.55,13.02,40.51,25.18,25.51,,,,59.06,0.88,135.68,179.49,722.08,0.79,22-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
22-Jan-2020 - 00:00,0.7,36.85,2.19,38.98,22.46,15.34,49.03,26.2,25.29,,,,53.0,0.97,134.34,232.24,724.27,0.79,23-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
23-Jan-2020 - 00:00,0.8,29.23,4.24,50.44,30.27,16.89,65.62,24.1,25.59,,,,60.04,0.74,134.45,152.3,721.96,0.78,24-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
24-Jan-2020 - 00:00,0.85,26.33,16.57,59.95,45.34,18.19,81.35,24.62,25.4,,,,55.75,0.77,117.62,154.83,720.99,0.79,25-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
25-Jan-2020 - 00:00,0.71,31.92,14.28,52.58,39.54,19.83,90.33,24.03,25.74,,,,58.93,0.83,116.47,188.7,720.98,0.78,26-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
26-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
27-Jan-2020 - 00:00,0.75,45.94,2.52,45.58,26.25,18.95,56.61,28.56,24.38,,,,43.3,0.88,145.12,226.27,715.54,0.82,28-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
28-Jan-2020 - 00:00,0.72,45.11,2.48,39.0,22.41,17.26,59.69,26.11,25.06,,,,52.43,1.43,246.76,132.44,715.41,0.81,29-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
29-Jan-2020 - 00:00,0.83,31.07,11.71,51.24,36.29,27.25,86.15,25.2,24.71,,,,55.89,0.96,188.68,165.68,719.16,0.8,30-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
30-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
31-Jan-2020 - 00:00,0.57,44.6,1.52,30.61,17.3,11.85,63.26,26.96,25.22,,,,56.25,1.19,132.15,164.15,715.98,0.8,01-Feb-2020 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
