from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,RH,WS,WD,VWS,RF,SR,BP,to date,station
03-Oct-2020 - 00:00,24.21,6.53,30.74,8.65,3.36,0.46,13.81,29.47,60.03,4.94,90.85,0.62,193.23,0.12,0.0,,995.95,04-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
04-Oct-2020 - 00:00,17.81,5.39,23.2,9.14,3.11,0.46,12.67,34.77,66.24,4.57,92.05,0.69,154.95,0.11,0.08,,996.15,05-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
05-Oct-2020 - 00:00,18.3,6.3,24.59,9.27,2.7,0.51,9.3,39.51,72.94,4.33,93.99,0.49,213.73,0.11,0.0,,996.09,06-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
06-Oct-2020 - 00:00,19.01,4.22,23.23,10.91,2.49,0.36,16.81,15.38,26.35,1.31,88.79,0.78,170.42,0.13,0.08,171.44,996.92,07-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
07-Oct-2020 - 00:00,18.35,6.05,24.32,26.13,2.82,0.47,12.43,28.2,49.67,1.96,95.72,0.69,176.96,0.14,0.11,69.96,997.98,08-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
08-Oct-2020 - 00:00,26.68,8.05,34.72,33.93,4.9,0.57,15.0,45.23,81.38,3.28,88.55,0.58,160.52,0.13,0.0,192.82,998.31,09-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
09-Oct-2020 - 00:00,26.49,8.55,35.04,32.58,3.15,0.54,11.86,50.66,93.24,4.6,90.06,0.67,152.83,0.08,0.0,92.6,998.06,10-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
10-Oct-2020 - 00:00,24.83,6.25,31.07,31.57,3.27,0.53,11.83,50.21,90.75,3.48,85.36,0.88,117.94,0.0,0.0,157.48,997.39,11-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
11-Oct-2020 - 00:00,25.47,6.17,31.64,31.8,4.32,0.48,21.09,55.17,104.86,3.63,76.77,0.61,172.35,0.0,0.0,140.63,995.67,12-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
12-Oct-2020 - 00:00,29.83,7.29,37.12,35.18,4.39,0.55,24.47,61.21,120.54,2.98,77.8,0.63,208.15,0.0,0.0,168.89,994.65,13-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
13-Oct-2020 - 00:00,27.95,8.36,36.31,42.14,2.98,0.54,20.71,56.15,112.26,4.06,79.85,0.68,152.34,-0.0,0.0,167.75,995.28,14-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
14-Oct-2020 - 00:00,28.33,6.84,35.13,45.96,2.7,0.59,14.65,52.71,110.3,3.78,87.08,0.65,180.17,0.0,0.0,56.89,995.87,15-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
15-Oct-2020 - 00:00,26.64,6.27,32.91,40.42,4.94,0.49,15.81,45.89,90.84,3.32,79.17,0.66,152.18,-0.0,0.0,160.05,996.37,16-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
16-Oct-2020 - 00:00,27.62,6.33,33.95,41.62,4.94,0.48,17.39,30.61,77.92,13.26,82.29,0.7,178.26,0.0,0.0,140.84,998.39,17-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
17-Oct-2020 - 00:00,27.89,6.28,34.17,39.03,4.29,0.5,19.64,57.88,106.53,7.76,82.9,0.87,126.18,-0.0,0.0,153.7,999.41,18-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
18-Oct-2020 - 00:00,27.53,6.37,33.9,31.95,4.08,0.48,18.76,63.57,118.21,4.03,78.97,0.93,114.4,0.0,0.0,158.41,999.49,19-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
19-Oct-2020 - 00:00,27.42,6.08,33.49,32.13,3.65,0.52,17.72,73.3,133.8,4.0,77.8,0.86,112.5,0.0,0.0,170.54,995.53,20-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
20-Oct-2020 - 00:00,26.76,6.64,33.4,37.91,4.21,0.56,28.97,77.29,151.09,4.13,72.37,1.08,119.92,0.0,0.0,179.96,996.48,21-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
21-Oct-2020 - 00:00,26.33,6.66,32.96,36.6,6.53,0.62,23.02,74.24,142.22,3.56,82.3,0.88,148.93,0.08,0.0,124.28,996.86,22-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
22-Oct-2020 - 00:00,19.37,5.17,24.54,31.53,4.94,0.36,15.46,17.06,35.18,1.74,85.0,0.9,151.84,0.13,0.0,157.79,994.95,23-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
23-Oct-2020 - 00:00,19.91,5.21,25.12,28.38,4.01,0.36,12.69,14.37,31.42,1.75,86.02,1.39,34.53,0.14,0.0,126.28,993.79,24-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
24-Oct-2020 - 00:00,22.82,5.47,28.29,28.97,4.25,0.41,14.64,27.58,55.47,2.15,82.6,1.04,57.67,0.13,0.0,135.54,996.11,25-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
25-Oct-2020 - 00:00,28.65,6.03,34.68,28.4,6.23,0.63,23.92,48.94,103.02,3.65,67.09,0.72,180.45,0.14,0.0,162.07,998.83,26-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
26-Oct-2020 - 00:00,29.9,5.68,35.59,27.27,7.25,0.74,26.28,67.56,130.35,4.84,59.34,0.74,145.2,0.13,0.0,164.06,999.0,27-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
27-Oct-2020 - 00:00,29.55,5.28,34.82,26.59,7.92,0.67,27.03,62.91,127.35,4.88,56.63,0.83,144.24,0.13,0.0,199.92,999.14,28-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
28-Oct-2020 - 00:00,32.75,6.84,39.55,37.94,6.44,0.7,31.51,75.3,144.17,4.65,61.91,0.78,133.96,0.12,0.0,169.23,999.07,29-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
29-Oct-2020 - 00:00,25.17,5.39,30.56,36.21,5.34,0.54,29.21,64.22,129.37,3.81,62.87,1.06,78.06,0.12,0.0,165.05,999.12,30-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
30-Oct-2020 - 00:00,21.52,4.64,26.16,30.6,5.03,0.47,35.21,61.45,126.82,2.85,57.54,1.24,40.37,0.11,0.0,188.47,998.59,31-Oct-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
31-Oct-2020 - 00:00,24.03,4.76,28.79,29.72,5.3,0.48,32.82,55.29,116.23,2.74,57.85,1.16,60.59,0.11,0.0,181.72,999.03,01-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
01-Nov-2020 - 00:00,23.16,4.77,27.93,29.81,4.88,0.47,32.71,50.54,106.0,2.81,65.67,1.16,38.89,0.1,0.0,159.49,999.5,02-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
02-Nov-2020 - 00:00,25.46,4.65,30.1,29.83,5.51,0.56,31.8,70.46,139.87,3.49,63.37,1.03,91.52,0.12,0.0,168.25,1000.0,03-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
03-Nov-2020 - 00:00,30.46,5.11,35.57,30.95,6.83,0.68,32.05,102.79,205.65,4.64,53.29,0.93,120.34,0.12,0.0,162.56,,04-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
04-Nov-2020 - 00:00,34.76,7.0,41.68,37.75,8.81,0.79,22.84,99.93,203.34,5.82,49.7,0.76,162.31,0.13,0.0,167.44,999.69,05-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
05-Nov-2020 - 00:00,35.92,8.77,44.69,45.23,10.03,1.06,20.14,96.01,194.39,11.22,54.49,0.79,194.89,0.13,0.0,153.39,,06-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
06-Nov-2020 - 00:00,43.3,13.71,57.01,47.78,8.14,0.82,17.27,102.06,216.21,6.9,56.09,0.87,144.53,0.13,0.0,149.44,,07-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
07-Nov-2020 - 00:00,31.91,7.08,38.99,45.39,5.97,0.73,28.74,103.76,199.01,4.82,55.79,0.92,95.56,0.13,0.0,141.1,,08-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
08-Nov-2020 - 00:00,26.92,7.58,34.5,46.21,4.99,0.6,17.73,79.44,149.02,3.85,61.37,0.94,111.07,0.14,0.0,179.21,,09-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
09-Nov-2020 - 00:00,29.52,9.61,39.42,45.04,4.65,0.53,16.37,54.62,112.14,5.27,58.66,1.06,95.83,0.14,0.0,207.83,1000.0,10-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
10-Nov-2020 - 00:00,34.31,13.77,48.08,57.33,5.0,0.6,26.33,56.62,114.32,4.77,62.64,1.21,127.07,0.14,0.0,182.53,,11-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
11-Nov-2020 - 00:00,28.51,8.66,37.17,48.28,5.27,0.44,27.21,38.39,91.39,3.43,54.84,1.46,70.69,0.13,0.0,186.13,,12-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
12-Nov-2020 - 00:00,28.23,6.95,35.18,45.3,4.61,0.41,26.71,31.24,82.36,2.78,48.28,1.48,47.53,0.08,0.0,202.29,,13-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
13-Nov-2020 - 00:00,27.29,7.2,34.49,48.58,4.06,0.48,31.25,35.94,98.89,2.81,51.59,1.36,32.46,0.0,0.0,157.18,,14-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
14-Nov-2020 - 00:00,25.97,6.9,32.87,47.82,4.31,0.51,36.33,62.67,122.87,3.47,57.03,1.26,77.07,0.0,0.0,167.31,,15-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
15-Nov-2020 - 00:00,25.38,6.73,32.01,47.47,5.17,0.51,38.04,67.68,132.28,3.2,59.15,1.26,89.72,0.08,0.0,151.19,,16-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
16-Nov-2020 - 00:00,24.06,6.85,30.9,49.77,4.81,0.53,42.18,71.41,127.6,3.42,57.08,1.04,96.63,0.13,0.0,161.03,,17-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
17-Nov-2020 - 00:00,25.62,7.48,33.1,51.81,4.9,0.6,36.13,70.68,140.29,4.0,59.01,1.15,102.41,0.13,0.0,178.87,,18-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
18-Nov-2020 - 00:00,31.47,11.0,42.47,67.04,6.3,0.82,30.72,73.48,151.11,10.68,65.01,1.07,141.95,0.13,0.0,109.84,,19-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
19-Nov-2020 - 00:00,35.19,9.67,44.86,64.98,7.8,0.73,28.02,100.51,190.67,8.87,69.46,1.04,90.89,0.14,0.0,106.68,,20-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
20-Nov-2020 - 00:00,26.57,7.43,34.0,57.73,5.81,0.75,28.43,91.15,158.25,6.11,79.41,1.09,167.72,0.13,0.01,91.69,,21-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
21-Nov-2020 - 00:00,24.14,7.33,31.48,53.56,3.81,0.6,32.47,92.42,150.39,4.82,75.25,1.09,152.43,0.13,0.0,76.78,,22-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
22-Nov-2020 - 00:00,28.71,8.23,36.94,52.77,5.2,0.58,33.53,72.09,137.34,4.46,55.26,1.01,154.03,0.12,0.0,137.85,,23-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
23-Nov-2020 - 00:00,37.99,9.38,47.36,38.04,4.38,0.7,26.66,77.61,149.64,5.07,54.97,1.24,126.5,0.13,0.0,166.06,,24-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
24-Nov-2020 - 00:00,29.11,8.21,37.32,26.14,3.87,0.76,34.1,86.39,157.56,5.27,53.96,1.17,144.56,0.12,0.0,170.83,,25-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
25-Nov-2020 - 00:00,38.07,15.67,53.74,27.45,3.86,0.74,30.48,80.57,145.42,4.83,58.08,1.05,148.68,0.13,0.0,141.67,,26-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
26-Nov-2020 - 00:00,12.54,5.13,17.67,21.85,4.17,0.66,19.33,73.98,137.02,4.56,66.94,1.14,107.18,0.13,0.0,92.71,,27-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
27-Nov-2020 - 00:00,7.78,4.04,11.82,21.1,3.97,0.52,23.67,61.53,117.73,3.69,66.03,1.35,88.68,0.13,0.0,49.69,,28-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
28-Nov-2020 - 00:00,9.06,4.84,13.86,21.1,3.78,0.56,32.51,73.17,133.5,3.8,55.49,1.16,104.67,0.13,0.0,151.49,,29-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
29-Nov-2020 - 00:00,18.92,9.95,28.87,21.0,3.88,0.67,28.35,83.18,170.94,4.37,55.43,1.12,117.04,0.13,0.0,130.99,,30-Nov-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
30-Nov-2020 - 00:00,28.86,11.18,40.05,26.23,4.36,0.71,29.7,78.18,150.53,4.88,56.15,0.77,147.26,0.13,0.0,124.29,,01-Dec-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
01-Dec-2020 - 00:00,34.36,12.54,46.89,30.84,4.58,0.66,13.04,91.44,179.04,5.87,75.37,0.75,190.11,0.14,0.0,7.05,,02-Dec-2020 - 00:00,"Asansol Court Area, Asansol - WBPCB"
