from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,32.12,22.29,6.87,31.49,16.64,2.67,13.98,,,0.57,2.42,12.83,0.3,60.25,52.11,741.62,39.72,,02-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Jan-2020 - 00:00,29.31,20.46,7.01,33.75,18.58,2.22,12.62,,,0.48,2.64,16.67,0.31,58.05,125.45,741.42,35.14,,03-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Jan-2020 - 00:00,28.23,19.96,6.7,30.05,23.89,1.71,13.09,,,0.33,1.51,18.04,0.3,56.64,261.41,741.06,37.84,,04-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Jan-2020 - 00:00,32.44,22.25,6.48,37.72,25.58,2.09,12.49,,,0.44,1.79,15.97,0.3,62.7,286.43,741.0,35.76,,05-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Jan-2020 - 00:00,20.97,16.19,6.67,32.58,18.73,1.56,9.82,,,0.25,1.21,15.3,0.3,59.14,223.51,741.0,36.7,,06-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Jan-2020 - 00:00,22.06,16.78,6.7,33.69,16.17,1.61,13.44,,,0.29,2.11,14.29,0.31,68.16,248.74,741.01,15.23,,07-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Jan-2020 - 00:00,17.39,14.32,6.68,24.4,26.87,1.39,14.65,,,0.21,0.89,15.04,0.3,72.82,111.11,741.0,18.94,,08-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Jan-2020 - 00:00,10.34,10.89,6.63,19.68,12.12,1.08,18.9,,,0.13,0.77,13.83,0.3,78.0,130.07,741.0,6.83,,09-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Jan-2020 - 00:00,36.62,25.24,7.09,42.78,19.94,1.86,14.95,,,0.41,1.82,16.1,0.3,61.07,195.38,741.0,30.12,,12-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Jan-2020 - 00:00,37.04,24.48,6.78,35.81,14.65,2.5,16.1,,,0.51,1.88,13.98,0.3,70.7,154.09,741.0,34.92,,13-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Jan-2020 - 00:00,21.36,16.71,6.53,36.41,16.95,2.19,13.4,,,0.45,1.11,13.32,0.35,73.94,63.35,740.6,27.95,,14-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Jan-2020 - 00:00,16.66,14.05,6.45,29.81,16.78,1.87,13.45,,,0.3,1.41,13.69,0.3,74.41,220.22,741.0,30.66,,15-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Jan-2020 - 00:00,18.39,14.66,6.51,24.61,9.12,1.85,13.42,253.5,158.37,0.29,1.96,13.07,0.3,72.84,262.17,741.0,32.82,,16-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Jan-2020 - 00:00,17.68,14.74,6.58,22.05,17.35,1.69,14.33,161.29,117.65,0.31,1.97,12.68,0.33,75.99,213.76,741.0,22.77,4.38,17-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Jan-2020 - 00:00,13.91,12.68,6.57,20.11,16.68,1.46,14.03,82.73,63.39,0.18,1.68,14.83,0.31,73.62,233.05,741.0,36.14,,18-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Jan-2020 - 00:00,19.31,15.8,6.73,17.37,17.86,1.68,16.74,112.02,78.72,0.21,1.89,12.83,0.3,75.84,248.69,741.0,26.11,,19-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Jan-2020 - 00:00,16.03,13.84,6.51,20.7,20.38,1.63,15.41,155.53,117.21,0.23,1.88,11.13,0.3,75.39,225.45,741.06,34.19,,20-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Jan-2020 - 00:00,15.15,13.42,6.5,23.53,16.46,1.75,10.71,185.19,146.62,0.24,1.7,13.72,0.3,71.05,193.49,741.0,31.7,,21-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Jan-2020 - 00:00,22.92,17.56,6.68,29.1,21.68,2.35,16.34,294.88,233.82,0.35,2.11,12.97,0.3,76.02,72.02,741.03,25.89,,22-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Jan-2020 - 00:00,16.52,14.08,6.52,25.26,17.99,1.81,13.01,144.1,109.99,0.31,2.05,13.69,0.33,71.29,223.59,741.23,43.94,,23-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Jan-2020 - 00:00,125.93,71.2,8.47,128.83,16.16,1.23,10.14,111.69,69.49,0.16,1.34,14.15,0.86,57.33,218.74,741.0,58.32,,24-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Jan-2020 - 00:00,205.22,115.12,8.38,186.75,11.57,1.39,9.56,126.39,89.3,0.2,1.29,14.05,0.54,58.15,212.54,741.0,57.66,,25-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Jan-2020 - 00:00,100.17,57.83,7.34,104.7,11.96,1.82,13.89,235.12,202.78,0.27,1.83,11.67,0.31,70.74,167.62,741.0,32.07,,26-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Jan-2020 - 00:00,24.3,18.14,6.47,32.88,11.72,2.13,18.88,254.18,220.95,0.35,2.23,15.01,0.38,66.55,224.93,741.0,46.1,,27-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Jan-2020 - 00:00,30.07,20.87,6.5,30.64,20.54,2.34,19.3,275.16,238.6,0.37,2.37,14.38,0.31,70.82,190.36,740.91,24.88,,28-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Jan-2020 - 00:00,16.78,13.96,6.42,25.9,12.62,1.52,19.07,121.82,86.62,0.24,1.76,15.85,0.47,71.86,124.21,740.5,23.51,1.67,29-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Jan-2020 - 00:00,16.62,13.93,6.37,20.04,8.78,1.41,19.02,92.67,38.39,0.14,1.32,15.99,0.44,68.35,155.81,741.0,39.02,2.0,30-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Jan-2020 - 00:00,16.33,13.92,6.51,19.19,11.89,1.34,19.03,135.98,47.86,0.17,1.6,15.19,0.66,63.04,231.03,741.0,50.34,,31-Jan-2020 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
