from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,AT,WS,WD,RH,BP,SR,RF,to date,station
28-Jan-2020 - 00:00,50.09,121.71,51.13,6.36,32.37,53.33,13.79,0.71,43.94,22.34,0.69,204.19,61.53,722.8,263.22,0.0,29-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
29-Jan-2020 - 00:00,61.74,168.41,52.66,13.25,38.78,54.13,25.85,0.66,34.66,20.92,0.73,265.54,64.97,727.07,270.32,0.0,30-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
30-Jan-2020 - 00:00,70.59,130.89,42.26,5.62,27.04,52.86,6.37,0.62,47.73,17.83,0.57,211.27,61.82,728.71,293.84,0.0,31-Jan-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
31-Jan-2020 - 00:00,84.88,183.24,58.67,14.72,43.17,43.85,29.32,0.83,46.71,16.76,0.42,188.73,59.29,727.44,297.94,0.0,01-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
01-Feb-2020 - 00:00,73.99,150.16,68.87,11.58,46.05,43.56,8.42,0.94,40.06,17.7,0.54,126.94,56.2,729.11,298.32,0.0,02-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
02-Feb-2020 - 00:00,81.94,164.3,67.03,17.33,49.72,38.14,12.79,0.95,40.27,17.48,0.42,187.31,54.74,731.02,302.34,0.0,03-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
03-Feb-2020 - 00:00,64.2,130.47,60.52,9.07,39.56,38.68,10.61,0.76,47.87,18.08,0.54,110.9,56.38,729.95,294.54,0.0,04-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
04-Feb-2020 - 00:00,75.25,112.79,47.55,4.35,28.82,39.64,14.21,0.67,35.84,16.34,0.55,108.78,72.74,727.67,158.04,0.0,05-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
05-Feb-2020 - 00:00,84.03,140.62,56.49,8.54,36.99,35.37,16.26,0.79,49.28,19.36,0.4,136.31,65.62,727.93,279.66,0.0,06-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
06-Feb-2020 - 00:00,66.28,130.43,57.67,5.48,35.13,36.73,5.38,0.69,52.07,19.08,0.68,111.01,57.56,727.61,273.45,0.0,07-Feb-2020 - 00:00,"Gole Bazar, Katni - MPPCB"
