from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
25-Jan-2020 - 00:00,62.32,9.84,54.91,25.15,,1.53,28.95,39.08,134.71,0.45,207.78,41.96,716.23,2.89,25.65,26-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Jan-2020 - 00:00,64.26,12.1,56.12,19.3,,1.58,35.87,44.51,134.11,0.46,205.58,44.02,715.19,2.74,25.76,27-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Jan-2020 - 00:00,46.84,15.07,32.84,2.95,,1.18,44.4,42.5,100.17,0.38,201.54,48.03,714.92,2.57,25.56,28-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Jan-2020 - 00:00,31.06,14.98,21.28,0.95,,0.99,53.41,48.75,115.58,0.31,177.75,56.64,715.31,1.91,25.6,29-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Jan-2020 - 00:00,40.26,11.78,28.49,5.05,,1.12,49.42,41.08,109.92,0.35,184.14,51.57,716.03,2.67,25.49,30-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Jan-2020 - 00:00,53.9,12.44,47.74,18.5,,1.59,45.13,48.55,141.05,0.49,162.34,46.24,715.14,3.52,26.15,31-Jan-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Jan-2020 - 00:00,44.14,13.34,30.09,2.0,,1.1,46.5,44.33,100.12,0.34,210.39,50.34,714.0,2.61,25.58,01-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Feb-2020 - 00:00,40.83,14.49,30.21,8.9,,1.14,40.25,54.38,115.29,0.33,218.8,59.27,714.81,2.35,25.57,02-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Feb-2020 - 00:00,29.68,11.31,21.38,4.7,,0.94,39.8,35.48,99.76,0.23,221.7,61.43,716.49,1.55,25.81,03-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Feb-2020 - 00:00,44.64,10.97,38.63,16.8,,1.33,31.18,30.0,88.42,0.33,218.96,54.6,716.54,2.11,25.52,04-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Feb-2020 - 00:00,40.38,11.19,34.2,17.6,,1.18,30.03,26.08,81.75,0.32,220.66,55.69,715.45,2.23,25.65,05-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Feb-2020 - 00:00,31.05,13.58,24.77,9.25,,1.02,38.69,25.29,67.18,0.26,216.65,63.75,715.6,1.56,25.63,06-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Feb-2020 - 00:00,55.52,12.91,38.85,,,1.48,39.05,44.04,132.36,0.39,215.0,45.29,714.43,2.96,24.31,07-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Feb-2020 - 00:00,40.68,12.93,26.13,,,1.25,58.28,58.74,147.47,0.35,191.32,47.32,715.39,3.11,24.0,08-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Feb-2020 - 00:00,32.62,11.08,22.97,2.85,,0.99,44.16,43.82,118.23,0.31,212.71,56.57,715.82,2.32,24.38,09-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Feb-2020 - 00:00,31.09,33.02,24.98,6.0,,2.13,23.02,153.56,267.91,0.67,218.31,59.09,715.93,2.61,24.3,10-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Feb-2020 - 00:00,33.83,31.92,30.23,9.9,,1.63,19.18,54.42,115.55,0.56,223.14,59.25,715.98,2.44,24.42,11-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Feb-2020 - 00:00,36.02,15.35,29.51,7.9,,1.12,29.48,32.68,78.56,0.29,217.47,64.41,716.53,1.86,24.45,12-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Feb-2020 - 00:00,36.91,12.71,30.02,8.25,,1.28,31.61,30.42,86.7,0.29,223.39,60.93,717.73,1.89,24.52,13-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Feb-2020 - 00:00,58.9,11.58,56.9,,,1.93,31.35,35.99,98.18,0.48,199.26,50.8,717.17,3.11,24.71,14-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Feb-2020 - 00:00,59.47,12.12,48.55,22.0,,1.68,49.38,51.8,160.97,0.5,189.8,52.11,715.83,3.05,24.57,15-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Feb-2020 - 00:00,70.37,11.4,57.34,21.85,,1.62,50.49,53.93,156.94,0.51,200.04,40.71,715.3,3.14,24.49,16-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Feb-2020 - 00:00,53.62,10.83,40.41,13.2,,1.29,49.98,36.34,101.5,0.36,215.43,35.77,716.37,2.18,24.85,17-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Feb-2020 - 00:00,60.07,11.03,54.1,15.4,,1.67,40.33,32.06,95.22,0.39,211.17,39.93,716.89,2.4,24.77,18-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Feb-2020 - 00:00,54.86,12.94,41.96,7.4,,1.45,45.48,38.42,96.63,0.36,210.06,45.15,716.55,2.39,24.42,19-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Feb-2020 - 00:00,52.28,14.41,38.85,7.9,,1.34,52.39,42.6,105.71,0.34,213.71,52.4,716.06,2.23,24.91,20-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Feb-2020 - 00:00,51.15,12.76,42.31,8.0,,1.31,37.4,44.71,99.04,0.35,215.92,50.94,715.73,2.29,24.77,21-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Feb-2020 - 00:00,38.94,11.05,29.57,6.4,,1.06,40.3,24.69,82.81,0.26,219.26,53.71,717.2,1.68,24.23,22-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Feb-2020 - 00:00,36.39,13.31,27.83,4.5,,1.12,39.87,29.97,88.65,0.25,217.88,55.97,717.86,1.77,24.36,23-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Feb-2020 - 00:00,29.86,12.48,20.64,,,1.11,50.82,35.0,91.36,0.23,219.96,58.95,717.22,1.42,24.41,24-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Feb-2020 - 00:00,39.07,11.29,28.0,,,1.2,49.72,32.97,80.2,0.29,222.3,55.69,715.19,1.76,24.61,25-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Feb-2020 - 00:00,43.92,12.31,35.18,5.8,,1.55,52.62,37.53,93.97,0.4,205.74,55.91,714.06,2.57,24.84,26-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Feb-2020 - 00:00,40.58,12.61,30.35,12.0,,1.2,38.61,26.65,96.73,0.33,219.06,58.37,714.44,2.62,24.54,27-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Feb-2020 - 00:00,43.99,13.45,33.13,7.4,,1.54,47.28,37.06,92.39,0.34,209.08,57.24,714.64,2.07,24.82,28-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Feb-2020 - 00:00,43.46,12.19,32.9,3.4,,1.44,49.15,46.17,96.39,0.33,216.39,54.53,713.74,2.12,24.56,29-Feb-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Feb-2020 - 00:00,47.4,12.1,38.49,,,1.58,50.9,43.68,93.97,0.35,212.25,54.47,713.59,2.27,24.67,01-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Mar-2020 - 00:00,35.92,12.49,25.79,3.05,,1.24,52.36,45.07,102.92,0.27,213.96,56.77,713.78,1.6,24.66,02-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Mar-2020 - 00:00,40.07,14.5,32.41,3.1,,1.65,58.07,60.93,109.56,0.36,182.31,62.23,714.44,2.16,24.69,03-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Mar-2020 - 00:00,50.21,14.64,43.82,4.4,,1.66,68.74,76.49,154.91,0.48,184.2,56.58,714.28,2.89,24.89,04-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Mar-2020 - 00:00,46.33,13.93,37.05,3.5,,1.36,55.83,57.29,102.16,0.41,163.39,55.87,714.03,3.03,24.58,05-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Mar-2020 - 00:00,28.26,13.72,17.4,2.1,,0.9,65.39,52.01,102.76,0.26,208.99,55.32,712.74,1.79,24.87,06-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Mar-2020 - 00:00,29.1,12.63,19.21,1.3,,1.03,53.26,31.93,70.98,0.2,157.97,60.78,713.25,1.23,24.73,07-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Mar-2020 - 00:00,34.04,20.99,22.46,6.4,,1.15,33.74,45.86,81.43,0.26,202.57,65.3,714.64,1.88,24.96,08-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Mar-2020 - 00:00,32.82,16.35,21.08,,,1.02,33.81,42.59,90.38,0.24,215.76,62.62,714.41,1.66,24.7,09-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Mar-2020 - 00:00,30.93,15.19,19.59,,,0.97,41.99,42.63,76.97,0.27,207.42,62.06,713.47,1.93,24.96,10-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Mar-2020 - 00:00,33.48,13.49,21.44,,,1.0,43.28,45.87,80.63,0.26,208.56,56.43,713.5,2.01,24.67,11-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Mar-2020 - 00:00,37.63,10.56,24.77,1.3,,0.98,43.99,39.38,73.35,0.27,210.29,49.23,714.11,1.94,24.82,12-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Mar-2020 - 00:00,38.59,9.85,24.98,,,0.98,46.9,33.42,71.53,0.28,197.0,47.85,715.09,1.82,24.63,13-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Mar-2020 - 00:00,42.19,10.13,28.74,22.1,,1.07,38.48,41.09,73.75,0.28,201.51,44.68,715.41,2.14,24.95,14-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Mar-2020 - 00:00,40.91,10.4,27.91,6.2,,1.07,32.51,34.07,75.3,0.28,210.79,46.82,714.22,2.33,24.89,15-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Mar-2020 - 00:00,31.52,12.07,19.81,2.15,,0.93,43.31,42.81,81.33,0.22,209.86,51.88,713.84,1.48,24.74,16-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Mar-2020 - 00:00,34.31,11.15,25.12,2.85,,1.05,26.97,29.43,65.82,0.26,217.38,53.24,715.28,1.87,24.68,17-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Mar-2020 - 00:00,33.71,10.92,26.22,,,1.02,23.79,24.65,73.84,0.24,221.0,53.4,716.56,1.74,25.64,18-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Mar-2020 - 00:00,50.29,11.36,34.08,11.0,,0.84,31.82,28.5,75.93,0.23,224.17,42.33,715.72,1.96,24.56,19-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Mar-2020 - 00:00,42.87,13.41,27.06,3.1,,0.52,54.4,37.94,99.01,1.6,176.47,45.16,714.63,1.8,23.45,20-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Mar-2020 - 00:00,35.55,19.14,23.22,1.1,,1.33,51.33,38.88,72.52,0.67,197.25,66.44,714.83,2.11,22.81,21-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Mar-2020 - 00:00,47.47,19.2,33.32,6.45,,1.13,63.24,37.24,78.66,0.29,179.41,52.63,714.22,2.13,22.91,22-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Mar-2020 - 00:00,17.8,14.72,10.14,,,0.58,52.94,24.68,47.74,0.2,199.9,51.21,714.43,1.17,22.0,23-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Mar-2020 - 00:00,34.76,15.02,23.25,,,0.78,32.27,42.54,71.41,0.2,197.05,62.24,714.05,1.83,22.16,24-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Mar-2020 - 00:00,19.51,18.16,11.21,0.8,,0.92,35.92,44.04,72.29,0.18,198.21,49.87,712.62,2.27,23.19,25-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Mar-2020 - 00:00,12.24,11.81,7.16,,,0.48,31.35,22.54,43.9,0.14,205.97,51.54,712.77,0.83,22.24,26-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Mar-2020 - 00:00,13.25,10.45,7.7,0.3,,0.44,29.95,23.95,46.11,0.11,212.95,48.11,713.18,0.69,22.49,27-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Mar-2020 - 00:00,18.03,6.88,10.35,,,0.44,33.3,21.76,42.0,0.13,208.95,30.43,714.57,0.68,21.0,28-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Mar-2020 - 00:00,14.21,7.87,8.23,0.4,,0.41,30.86,22.29,40.84,0.13,203.02,39.67,714.23,0.61,21.95,29-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Mar-2020 - 00:00,14.97,7.82,8.41,0.5,,0.49,32.48,20.45,39.26,0.18,200.05,34.36,713.15,0.86,22.52,30-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Mar-2020 - 00:00,14.78,9.34,8.37,,,0.41,34.4,26.03,44.8,0.12,185.43,34.5,713.55,0.59,22.9,31-Mar-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Mar-2020 - 00:00,14.08,8.79,7.97,,,0.4,34.98,22.22,40.79,0.13,198.19,40.68,714.28,0.58,22.29,01-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Apr-2020 - 00:00,15.54,8.57,8.85,1.2,,0.43,34.95,25.59,45.67,0.14,214.75,37.41,714.21,0.67,22.17,02-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Apr-2020 - 00:00,13.13,10.2,7.37,0.8,2.07,0.53,39.36,33.23,54.36,0.12,200.67,41.22,713.05,1.01,22.49,03-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Apr-2020 - 00:00,13.21,10.15,7.49,0.95,,0.42,39.15,37.94,58.84,0.12,205.72,44.82,713.28,0.65,22.41,04-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Apr-2020 - 00:00,12.12,12.02,7.1,0.25,,0.51,29.47,37.19,55.74,0.19,201.61,48.83,713.6,0.91,22.65,05-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Apr-2020 - 00:00,19.4,10.25,10.92,0.86,1.01,0.68,29.25,24.88,41.44,0.12,196.75,40.19,714.42,1.49,24.09,06-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Apr-2020 - 00:00,17.57,11.44,9.88,0.69,1.32,0.57,27.17,23.1,39.26,0.15,174.64,60.89,715.09,1.14,21.85,07-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Apr-2020 - 00:00,15.13,18.53,8.86,1.13,1.24,0.51,39.41,9.95,20.74,0.1,160.58,62.98,714.27,0.91,22.82,08-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Apr-2020 - 00:00,22.47,12.29,12.64,0.8,,0.53,41.77,17.76,28.93,0.13,156.09,58.34,714.53,0.98,21.86,09-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Apr-2020 - 00:00,22.24,14.05,12.65,1.1,,0.53,39.24,22.67,35.96,0.13,174.56,62.43,713.78,0.98,22.28,10-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Apr-2020 - 00:00,,,,,,,,,,,,,,,,12-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Apr-2020 - 00:00,,,,,,,,,,,,,,,,13-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Apr-2020 - 00:00,27.14,11.34,15.28,,,0.49,64.33,35.54,61.88,0.17,211.19,32.85,713.42,1.23,23.46,14-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Apr-2020 - 00:00,26.49,11.35,15.3,2.0,,0.62,50.93,36.76,60.69,0.16,178.91,36.39,713.89,1.65,22.25,15-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Apr-2020 - 00:00,22.78,11.2,13.02,1.25,,0.55,53.17,37.41,52.16,0.84,187.35,42.7,714.76,2.44,21.9,16-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Apr-2020 - 00:00,21.57,10.72,12.26,0.8,,,46.91,27.24,47.39,0.3,195.9,46.17,713.81,2.75,22.04,17-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Apr-2020 - 00:00,19.87,11.72,11.34,0.55,,0.52,45.44,32.84,54.66,0.22,191.14,53.32,713.11,1.89,22.17,18-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Apr-2020 - 00:00,20.64,12.18,11.75,,,0.64,43.77,30.71,52.08,0.15,198.31,51.99,713.54,1.39,22.42,19-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Apr-2020 - 00:00,19.35,10.91,11.3,,,0.39,39.76,23.29,43.75,0.12,206.89,51.75,713.18,0.87,22.42,20-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Apr-2020 - 00:00,22.54,9.9,13.37,,,0.38,32.49,18.44,32.8,0.1,208.73,51.09,713.31,0.84,22.45,21-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Apr-2020 - 00:00,22.84,8.69,13.19,,,0.47,33.65,16.12,32.62,0.15,184.26,48.95,713.41,1.15,22.35,22-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Apr-2020 - 00:00,18.87,9.76,10.94,0.7,,0.38,35.68,21.59,38.46,0.13,185.9,53.12,713.07,0.84,22.88,23-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Apr-2020 - 00:00,19.83,10.45,11.27,,,0.29,40.55,19.78,35.28,0.1,146.39,57.07,712.71,0.55,22.95,24-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Apr-2020 - 00:00,21.13,9.77,11.75,,,0.48,41.75,25.88,41.88,0.1,183.41,60.0,711.98,0.72,21.97,25-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Apr-2020 - 00:00,18.97,14.46,10.93,1.09,2.21,0.58,39.08,23.01,47.25,0.1,152.62,65.69,712.68,0.71,22.55,26-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Apr-2020 - 00:00,17.84,12.51,9.7,0.82,3.85,1.02,43.33,17.61,33.8,0.1,170.5,60.35,713.29,0.71,22.7,27-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Apr-2020 - 00:00,11.73,10.73,6.9,,,0.35,31.87,16.65,27.17,0.1,153.08,73.44,714.6,0.69,22.31,28-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Apr-2020 - 00:00,23.77,13.65,13.81,1.44,3.08,0.61,44.23,20.64,46.5,0.13,195.55,53.95,712.5,1.24,24.75,29-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Apr-2020 - 00:00,16.83,10.85,9.29,0.63,1.9,0.4,36.21,13.72,26.92,0.12,174.47,75.31,713.81,0.61,24.07,30-Apr-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Apr-2020 - 00:00,23.53,10.32,13.63,,,0.48,44.9,18.92,37.33,0.16,156.96,63.34,713.55,0.82,23.43,01-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-May-2020 - 00:00,23.44,11.33,13.24,,,0.59,70.62,22.91,46.41,0.15,151.84,49.11,713.02,1.17,23.79,02-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-May-2020 - 00:00,18.41,11.88,10.37,13.4,47.2,0.45,47.77,20.51,38.57,0.1,158.95,59.45,712.21,0.68,23.59,03-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-May-2020 - 00:00,22.58,12.15,12.7,1.45,,,44.15,25.54,46.29,0.1,158.77,56.7,712.09,0.73,24.01,04-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-May-2020 - 00:00,29.42,11.69,16.5,,,,51.21,31.51,70.0,0.12,150.95,45.03,713.24,0.68,23.64,05-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-May-2020 - 00:00,25.14,12.35,14.77,,,0.67,44.93,36.09,74.38,0.18,159.49,50.47,712.47,0.85,24.12,06-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-May-2020 - 00:00,24.6,12.37,13.99,1.3,,,47.53,26.68,52.15,0.1,177.48,57.27,712.4,0.68,23.82,07-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-May-2020 - 00:00,26.91,12.75,15.63,1.7,,,40.99,32.47,60.57,0.1,175.73,58.93,712.4,0.68,23.63,08-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-May-2020 - 00:00,25.67,12.09,14.78,,,0.6,14.5,19.14,42.59,0.13,154.68,53.05,711.84,1.23,24.95,09-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-May-2020 - 00:00,,,,,,,,,,,,,,,,10-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-May-2020 - 00:00,28.95,12.66,17.44,1.92,1.66,0.79,54.51,21.94,56.27,0.24,204.87,36.1,711.67,1.86,27.1,11-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-May-2020 - 00:00,25.43,12.22,15.65,1.1,,0.75,55.54,24.1,53.41,0.2,201.57,50.97,712.59,1.71,26.55,12-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-May-2020 - 00:00,29.05,10.59,18.8,2.55,,0.71,38.3,15.61,43.84,0.2,197.86,53.75,712.02,1.6,26.35,13-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-May-2020 - 00:00,22.43,11.76,13.53,1.8,,0.71,43.49,16.73,37.03,0.15,190.69,56.32,711.52,1.59,26.46,14-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-May-2020 - 00:00,28.8,11.33,17.27,1.2,,0.74,47.63,28.55,53.71,0.22,190.91,54.88,710.69,1.68,26.52,15-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-May-2020 - 00:00,32.89,10.12,21.67,1.3,,0.86,36.52,18.04,46.29,0.23,169.94,53.12,709.93,2.06,26.47,16-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-May-2020 - 00:00,32.94,11.85,20.65,0.4,,0.83,51.96,27.24,54.47,0.27,118.01,57.0,709.91,1.99,26.39,17-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-May-2020 - 00:00,20.57,12.15,12.01,1.0,,0.67,49.11,23.18,44.15,0.19,128.45,59.14,709.02,1.45,26.51,18-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-May-2020 - 00:00,12.58,12.51,7.19,0.1,,0.44,46.2,18.19,35.62,0.11,110.1,73.02,708.32,0.69,26.49,19-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-May-2020 - 00:00,12.65,13.05,7.63,2.0,,0.45,31.0,25.36,66.32,0.11,107.14,69.2,708.09,0.74,26.52,20-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-May-2020 - 00:00,,,,,,0.4,37.75,24.0,53.0,0.1,115.79,50.21,708.71,0.56,28.35,21-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-May-2020 - 00:00,,,,,,,,,,,,,,,,22-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-May-2020 - 00:00,,,,,,,,,,,,,,,,23-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-May-2020 - 00:00,,,,,,,,,,,,,,,,24-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-May-2020 - 00:00,,,,,,,,,,,,,,,,25-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-May-2020 - 00:00,,,,,,,,,,,,,,,,26-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-May-2020 - 00:00,,,,,,,,,,,,,,,,28-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-May-2020 - 00:00,,,,,,,,,,,,,,,,29-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-May-2020 - 00:00,36.33,10.76,21.04,2.79,3.39,0.97,18.79,11.25,21.33,0.23,139.75,85.29,712.33,2.44,25.67,30-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-May-2020 - 00:00,33.83,14.88,21.57,4.4,2.44,0.9,32.07,18.44,45.81,0.27,150.6,69.89,711.71,2.2,26.76,31-May-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-May-2020 - 00:00,17.75,13.04,10.3,1.15,5.37,0.66,37.19,22.65,46.71,0.17,182.95,67.67,712.04,1.42,26.85,01-Jun-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
