from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,WD,RH,BP,Toluene,Temp,to date,station
08-Oct-2020 - 00:00,14.22,4.09,9.4,2.38,4.33,0.95,33.18,48.51,99.48,0.31,140.14,68.46,711.73,2.36,24.51,09-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Oct-2020 - 00:00,10.76,4.08,6.77,1.31,4.56,0.78,32.07,38.89,67.38,0.24,160.13,76.89,711.64,1.83,26.05,10-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Oct-2020 - 00:00,9.25,2.99,5.92,1.37,5.16,0.7,20.51,17.29,35.85,0.21,136.49,77.58,711.14,1.55,25.77,11-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Oct-2020 - 00:00,5.38,2.44,3.11,0.35,4.46,0.49,24.35,19.13,30.08,0.13,111.04,84.98,709.52,0.87,25.96,12-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
12-Oct-2020 - 00:00,5.97,2.15,3.46,0.39,4.6,0.5,22.46,23.85,38.48,0.14,147.31,84.74,707.7,0.9,25.67,13-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
13-Oct-2020 - 00:00,6.16,2.18,3.58,0.44,4.64,0.52,22.01,19.57,37.12,0.16,129.16,84.73,707.29,0.97,25.64,14-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
14-Oct-2020 - 00:00,4.74,2.1,2.83,0.44,4.58,0.46,24.11,16.77,39.25,0.12,157.32,79.82,708.3,0.77,25.56,15-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
15-Oct-2020 - 00:00,4.64,2.0,2.9,0.61,5.36,0.45,25.66,16.61,39.38,0.13,160.06,75.4,709.11,0.74,25.65,16-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
16-Oct-2020 - 00:00,7.79,3.74,5.76,2.0,7.26,0.83,38.72,37.76,82.22,0.26,158.61,71.75,709.41,1.98,27.41,17-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
17-Oct-2020 - 00:00,12.47,5.42,9.51,3.53,8.79,1.09,41.52,47.3,96.78,0.4,245.55,71.08,710.4,2.77,28.03,18-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
18-Oct-2020 - 00:00,7.97,14.97,4.15,3.18,4.87,0.95,9.88,39.54,79.43,0.33,225.71,77.28,711.37,2.38,27.9,19-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
19-Oct-2020 - 00:00,17.92,18.8,9.68,5.89,5.88,1.51,10.36,40.71,76.11,0.62,237.04,82.86,710.99,4.21,28.16,20-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
20-Oct-2020 - 00:00,12.85,16.65,6.2,5.45,4.03,0.97,21.77,27.32,46.18,0.28,228.98,83.9,710.44,2.46,28.39,21-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
21-Oct-2020 - 00:00,14.79,15.66,9.81,5.81,5.79,0.92,21.87,22.48,41.38,0.3,239.48,82.62,711.2,2.27,27.96,22-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
22-Oct-2020 - 00:00,26.98,2.59,18.44,5.03,11.81,0.63,37.81,14.72,30.08,0.18,231.73,85.21,710.87,1.33,28.26,23-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
23-Oct-2020 - 00:00,,,,,4.65,0.51,32.53,18.51,31.06,0.15,223.55,85.1,711.47,0.91,27.72,24-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
24-Oct-2020 - 00:00,39.17,2.85,25.79,6.06,6.27,0.95,30.43,26.11,50.17,0.43,221.02,75.59,712.72,2.27,27.52,25-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
25-Oct-2020 - 00:00,,,,,2.48,0.87,23.47,34.93,56.96,0.32,218.12,70.98,713.52,2.11,27.91,26-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
26-Oct-2020 - 00:00,,,,,9.23,1.14,26.54,57.96,89.85,0.51,162.27,67.98,714.07,3.88,28.01,27-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
27-Oct-2020 - 00:00,,,,,7.55,0.93,18.97,69.99,111.49,0.26,109.02,64.11,713.64,1.05,28.01,28-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
28-Oct-2020 - 00:00,35.6,4.67,22.98,6.75,7.17,1.25,19.94,62.67,105.95,0.24,98.63,60.83,714.05,1.02,27.93,29-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
29-Oct-2020 - 00:00,22.05,5.05,17.64,6.18,3.92,0.66,16.63,59.38,109.01,0.27,98.23,59.37,714.41,1.3,27.82,30-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
30-Oct-2020 - 00:00,,,,,3.11,0.73,10.48,59.66,104.52,0.36,108.57,55.57,713.88,2.22,27.61,31-Oct-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
31-Oct-2020 - 00:00,16.13,7.07,12.58,4.96,3.29,1.15,22.91,76.89,125.06,0.44,116.26,58.71,713.86,2.89,27.66,01-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
01-Nov-2020 - 00:00,8.36,8.08,6.91,3.01,2.26,0.33,11.76,79.78,125.35,0.3,144.41,61.33,714.66,1.68,27.65,02-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
02-Nov-2020 - 00:00,9.88,8.89,8.56,4.01,3.06,0.7,18.61,95.28,139.63,0.4,142.77,67.21,715.21,2.45,27.91,03-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
03-Nov-2020 - 00:00,13.08,10.39,11.69,6.1,5.1,0.79,27.39,69.73,115.43,0.39,99.13,63.29,715.19,2.63,28.4,04-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
04-Nov-2020 - 00:00,15.34,11.97,13.55,7.68,5.56,0.95,24.33,60.17,102.91,0.44,104.52,69.48,714.78,3.0,28.67,05-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
05-Nov-2020 - 00:00,17.81,14.97,16.69,9.55,5.95,0.62,30.31,42.54,71.63,0.35,120.28,75.54,714.99,2.4,28.4,06-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
06-Nov-2020 - 00:00,17.74,15.0,16.66,9.7,5.83,0.57,38.3,22.37,46.46,0.35,108.44,76.0,716.29,2.13,28.44,07-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
07-Nov-2020 - 00:00,18.36,15.38,17.0,10.76,4.95,0.64,28.85,20.3,48.21,0.38,105.24,73.73,716.7,2.36,28.43,08-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
08-Nov-2020 - 00:00,17.96,15.22,16.81,10.56,6.81,0.55,25.1,43.99,77.98,0.31,100.24,70.83,716.81,2.05,28.32,09-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
09-Nov-2020 - 00:00,21.66,15.33,17.13,7.92,5.3,0.74,19.73,74.05,121.99,0.44,117.86,65.59,715.86,2.61,28.59,10-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
10-Nov-2020 - 00:00,25.88,15.37,17.2,5.36,6.59,0.74,21.18,61.92,109.02,0.41,94.4,57.15,714.0,2.68,28.11,11-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
11-Nov-2020 - 00:00,27.28,15.91,18.62,6.92,6.83,0.76,24.22,53.27,99.36,0.47,99.78,63.55,714.08,2.93,28.24,12-Nov-2020 - 00:00,"Jayanagar 5th Block, Bengaluru - KSPCB"
