from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
23-Jan-2020 - 00:00,49.13,129.18,27.63,80.04,5.19,,157.88,209.64,6.36,0.0,1.36,6.22,27.21,15.6,0.0,140.15,86.3,0.0,198.26,0.35,998.18,24-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Jan-2020 - 00:00,54.8,104.44,28.26,49.65,4.96,2.0,171.25,257.93,6.35,0.0,1.41,6.18,25.6,16.19,0.0,118.16,83.62,0.0,128.15,0.48,998.39,25-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Jan-2020 - 00:00,58.26,149.05,30.89,90.8,4.35,0.95,139.03,216.52,6.19,0.0,1.71,6.74,15.75,15.17,0.01,91.76,85.59,0.0,215.45,0.29,998.45,26-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Jan-2020 - 00:00,37.52,83.26,27.46,45.75,4.73,0.66,108.67,168.77,4.26,0.0,0.89,4.27,30.81,16.93,0.01,154.89,79.78,0.0,194.23,0.38,996.71,27-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Jan-2020 - 00:00,37.95,64.51,29.05,25.25,4.95,0.99,121.37,174.61,4.12,0.0,0.7,3.74,22.29,16.73,0.01,162.5,80.87,0.0,208.37,0.4,995.92,28-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
28-Jan-2020 - 00:00,58.86,132.66,32.46,73.79,5.0,1.26,148.83,260.26,6.01,0.0,2.17,7.84,21.96,17.31,0.01,145.19,79.06,0.0,196.02,0.4,997.22,29-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Jan-2020 - 00:00,55.31,113.89,31.28,58.58,4.94,1.24,145.5,238.29,7.21,0.0,1.92,10.6,24.82,18.57,0.01,158.17,74.76,0.0,173.79,0.43,998.38,30-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
30-Jan-2020 - 00:00,43.06,104.29,31.51,61.23,5.63,0.76,156.42,228.99,5.92,0.0,1.52,6.62,22.71,18.36,0.01,108.51,84.3,0.03,165.9,0.46,997.22,31-Jan-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
31-Jan-2020 - 00:00,36.77,54.21,32.09,17.43,4.41,0.86,134.01,172.84,4.36,0.0,0.86,3.91,17.14,17.42,0.01,89.04,90.8,0.0,179.63,0.44,997.51,01-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
01-Feb-2020 - 00:00,33.0,78.16,29.0,45.35,5.02,0.77,133.27,182.5,4.57,0.0,0.89,4.29,21.5,17.24,0.01,129.44,86.67,0.0,172.64,0.36,998.72,02-Feb-2020 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
