from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,WS,WD,to date,station
01-Jan-2020 - 00:00,117.6,206.2,90.19,123.21,35.72,92.73,12.48,2.18,6.6,3.14,0.41,50.95,02-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
02-Jan-2020 - 00:00,107.81,203.35,59.83,82.28,24.03,61.07,13.2,1.34,0.3,3.27,0.35,128.84,03-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
03-Jan-2020 - 00:00,117.44,248.37,36.64,50.57,14.72,37.89,10.59,1.7,3.04,2.55,0.34,111.4,04-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
04-Jan-2020 - 00:00,123.55,249.82,50.83,69.83,20.4,51.91,11.17,1.26,8.6,2.16,0.33,146.2,05-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
05-Jan-2020 - 00:00,55.49,138.95,61.16,84.35,24.62,62.43,7.26,0.86,9.36,1.19,0.43,76.48,06-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
06-Jan-2020 - 00:00,64.49,165.15,63.33,86.54,25.3,63.02,10.0,0.89,10.53,1.51,0.39,105.96,07-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
07-Jan-2020 - 00:00,82.67,165.21,99.54,135.86,39.93,86.82,30.4,0.84,10.01,1.71,0.43,178.76,08-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
08-Jan-2020 - 00:00,86.02,150.57,,,,,28.42,0.77,4.02,1.09,0.48,306.23,09-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
09-Jan-2020 - 00:00,63.31,132.33,1.34,9.49,8.12,0.5,27.07,0.5,3.09,0.78,0.46,123.54,10-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
10-Jan-2020 - 00:00,55.01,148.67,29.24,39.37,10.23,10.14,11.21,0.84,11.65,0.71,0.54,40.28,11-Jan-2020 - 00:00,"Phase-4 GIDC, Vatva - GPCB"
