from date,PM2.5,PM10,NOx,NH3,NO,NO2,CO,SO2,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,Xylene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,164.19,303.63,156.6,24.23,75.29,81.22,1.51,13.67,34.64,23.23,13.04,13.38,54.03,5.62,17.14,78.89,0.3,237.76,0.0,,70.47,0.0,02-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
02-Jan-2020 - 00:00,143.02,268.08,108.21,24.76,31.33,76.81,1.23,13.12,32.06,24.51,5.48,7.71,46.88,3.59,19.08,76.12,0.36,193.11,0.0,,65.51,0.0,03-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
03-Jan-2020 - 00:00,65.81,103.93,60.66,23.31,11.78,48.84,0.64,5.85,10.08,13.84,3.69,4.97,31.41,2.16,16.82,95.48,0.66,154.85,0.0,,39.56,0.0,04-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
04-Jan-2020 - 00:00,57.78,115.33,110.31,20.09,59.32,50.94,1.18,5.41,13.71,17.41,7.31,8.93,44.69,3.95,16.54,95.86,0.26,200.47,0.0,,41.98,0.0,05-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
05-Jan-2020 - 00:00,95.39,180.67,119.77,19.83,77.08,42.66,1.33,5.21,15.27,18.94,9.51,11.18,43.05,4.83,16.15,94.61,0.33,246.32,-0.0,,53.76,0.0,06-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
06-Jan-2020 - 00:00,110.34,207.72,147.96,18.2,89.18,58.73,1.39,7.76,31.66,21.56,7.07,10.38,43.38,4.82,15.84,80.77,0.45,208.4,-0.01,,80.33,0.0,07-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
07-Jan-2020 - 00:00,128.22,225.83,63.54,21.09,14.19,49.24,1.07,10.05,31.53,12.36,3.73,4.87,34.27,2.03,15.49,84.68,0.38,260.14,-0.0,,75.81,0.06,08-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
08-Jan-2020 - 00:00,145.15,257.59,110.46,21.72,50.15,60.27,1.36,6.92,34.42,26.75,6.93,10.07,55.55,4.58,17.24,80.95,0.4,166.62,-0.0,,77.11,0.0,09-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
09-Jan-2020 - 00:00,107.73,196.07,125.33,23.36,52.06,73.21,1.23,7.43,18.21,30.14,6.12,9.7,45.03,4.66,17.59,88.38,0.32,201.6,-0.0,,54.83,0.0,10-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
10-Jan-2020 - 00:00,104.65,187.24,80.61,20.2,22.66,57.96,0.95,11.49,29.97,13.91,4.72,6.06,32.5,2.65,17.31,77.83,0.58,190.52,-0.0,,73.39,0.0,11-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
