from date,PM2.5,PM10,NOx,NH3,NO,NO2,CO,SO2,Ozone,Benzene,Eth-Benzene,MP-Xylene,Toluene,Xylene,AT,RH,WS,WD,VWS,BP,SR,RF,to date,station
11-Jan-2020 - 00:00,101.59,191.74,71.11,19.41,17.9,53.17,1.06,10.96,42.49,11.69,4.42,5.34,27.9,2.18,15.22,82.2,0.56,178.91,-0.0,,74.16,0.0,12-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
12-Jan-2020 - 00:00,99.68,178.53,68.8,19.92,17.0,51.76,0.82,8.83,16.18,11.01,4.02,4.99,27.38,2.03,15.76,78.23,0.46,228.67,-0.0,,80.04,0.0,13-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
13-Jan-2020 - 00:00,114.38,217.75,119.04,20.75,52.91,75.69,1.22,8.03,28.17,14.41,7.3,8.74,36.88,3.6,15.79,75.27,0.36,276.81,-0.0,,79.24,0.0,14-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
14-Jan-2020 - 00:00,189.82,343.88,219.0,24.18,168.02,107.31,2.36,10.16,36.94,51.47,16.89,20.78,80.82,9.46,16.75,74.8,0.24,234.45,-0.0,,76.31,0.0,15-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
15-Jan-2020 - 00:00,200.17,371.38,258.31,26.36,187.89,118.01,2.48,20.58,45.78,110.79,21.38,28.83,120.91,13.38,18.12,76.4,0.22,241.28,-0.0,,71.96,0.0,16-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
16-Jan-2020 - 00:00,173.17,331.34,224.28,26.52,122.05,108.43,1.87,13.45,45.88,90.41,15.38,23.78,101.98,11.29,19.53,76.43,0.27,214.01,-0.0,,71.61,0.0,17-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
17-Jan-2020 - 00:00,124.99,236.02,202.65,26.75,115.87,93.59,1.58,11.77,37.57,55.64,15.57,19.36,69.14,8.72,20.03,77.3,0.29,196.97,-0.0,,72.55,0.0,18-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
18-Jan-2020 - 00:00,99.69,192.51,171.0,24.71,85.75,85.18,1.04,16.83,36.66,17.71,8.39,11.57,42.96,5.06,19.94,73.12,0.22,243.31,-0.0,,77.12,0.0,19-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
19-Jan-2020 - 00:00,97.89,188.07,84.43,23.85,28.83,55.58,0.79,16.42,42.88,12.7,5.24,6.41,34.32,2.68,19.83,78.61,0.46,201.16,0.0,,72.98,0.0,20-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
20-Jan-2020 - 00:00,87.81,159.16,61.87,20.12,11.62,50.21,0.76,11.67,38.0,9.56,2.87,3.75,24.7,1.59,17.83,78.43,0.58,181.91,-0.0,,73.02,0.0,21-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
21-Jan-2020 - 00:00,99.14,194.01,104.79,20.93,41.45,63.33,1.03,9.6,45.5,24.75,10.52,10.76,48.05,6.49,17.06,75.9,0.38,195.62,0.0,,77.98,0.0,22-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
22-Jan-2020 - 00:00,131.93,248.62,171.14,24.86,81.41,89.74,,8.0,32.2,45.58,15.05,13.37,69.46,7.12,17.75,78.85,0.28,210.1,-0.0,,75.97,0.0,23-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
23-Jan-2020 - 00:00,142.11,255.81,96.82,24.46,19.99,76.76,0.99,11.22,40.27,30.93,8.89,6.9,43.1,4.0,18.67,82.13,0.29,249.18,-0.0,,59.13,0.0,24-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
24-Jan-2020 - 00:00,102.92,200.54,93.69,20.7,24.68,68.95,0.93,11.16,43.23,19.98,8.37,8.2,40.37,3.93,17.52,64.2,0.45,238.92,-0.0,,83.74,0.0,25-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
25-Jan-2020 - 00:00,84.66,168.6,91.89,20.83,20.55,71.29,0.85,10.43,48.3,13.79,6.25,5.44,36.61,2.55,16.21,63.97,0.36,246.42,0.0,,81.49,0.0,26-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
26-Jan-2020 - 00:00,137.52,258.06,166.33,23.45,85.31,81.22,1.36,8.46,50.5,38.73,14.65,13.0,53.13,6.75,16.58,73.2,0.28,203.49,0.0,,79.89,0.0,27-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
27-Jan-2020 - 00:00,141.12,254.23,132.86,24.73,48.66,84.13,1.33,7.62,33.63,16.34,9.28,6.98,36.0,4.06,16.65,75.32,0.32,253.06,0.0,,80.14,0.0,28-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
28-Jan-2020 - 00:00,133.38,236.43,128.83,26.72,44.98,83.77,1.31,10.94,50.69,29.98,11.28,6.72,41.96,5.51,19.04,72.47,0.35,203.32,0.0,,74.42,0.0,29-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
29-Jan-2020 - 00:00,61.92,106.08,44.57,26.39,1.88,42.7,0.62,5.64,49.66,9.68,3.39,2.48,21.26,1.51,20.39,88.55,0.63,132.68,-0.0,,60.67,0.0,30-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
30-Jan-2020 - 00:00,73.63,131.05,80.07,24.36,31.53,48.51,1.0,5.82,29.42,20.21,5.74,4.19,34.13,2.65,19.66,94.68,0.41,171.43,0.0,,51.58,0.0,31-Jan-2020 - 00:00,"Fort William, Kolkata - WBPCB"
31-Jan-2020 - 00:00,100.18,183.56,115.69,23.58,54.98,60.65,1.13,7.38,45.14,20.57,7.79,6.02,39.78,3.44,18.62,78.53,0.53,257.28,-0.0,,93.35,0.0,01-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
01-Feb-2020 - 00:00,76.05,151.01,109.26,24.24,41.5,67.7,0.97,10.74,56.81,17.72,6.66,4.44,37.73,3.09,18.99,64.67,0.44,194.94,0.0,,101.49,0.0,02-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
02-Feb-2020 - 00:00,85.84,169.4,106.95,23.54,37.59,69.32,0.91,9.31,52.07,13.33,6.65,4.93,32.53,2.99,17.4,64.65,0.47,230.34,0.0,,53.51,0.0,03-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
03-Feb-2020 - 00:00,78.14,144.39,116.92,25.14,46.62,70.25,0.88,7.49,43.3,13.46,6.75,4.3,30.27,3.07,16.74,61.23,0.44,244.99,0.0,,57.16,0.0,04-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
04-Feb-2020 - 00:00,86.52,153.13,151.88,24.01,59.77,92.03,1.26,14.78,37.36,22.51,9.27,7.28,45.84,4.25,17.38,65.67,0.37,215.03,-0.0,,56.38,0.0,05-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
05-Feb-2020 - 00:00,101.24,180.6,149.38,24.36,58.22,91.08,1.31,16.48,37.9,23.06,10.94,9.53,42.12,4.82,19.63,70.24,0.28,214.65,-0.0,,52.38,0.0,06-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
06-Feb-2020 - 00:00,56.94,134.23,102.49,24.34,27.09,75.34,1.05,9.17,51.5,14.27,6.06,4.39,32.03,2.75,19.47,70.03,0.38,185.56,-0.0,,54.07,0.0,07-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
07-Feb-2020 - 00:00,33.48,148.56,93.42,25.97,15.75,77.6,1.03,8.99,45.69,21.75,6.6,4.81,35.15,3.0,19.17,62.79,0.48,195.5,-0.0,,39.44,0.0,08-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
08-Feb-2020 - 00:00,60.15,202.77,80.41,28.12,7.44,72.91,1.1,18.21,29.58,15.99,5.76,4.75,28.7,2.5,17.7,75.77,0.37,238.41,-0.0,,34.74,0.0,09-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
09-Feb-2020 - 00:00,51.55,147.86,67.97,25.49,8.14,59.79,0.75,13.83,29.69,10.98,4.07,3.04,22.41,1.84,18.75,69.08,0.55,226.38,0.0,,58.93,0.0,10-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
10-Feb-2020 - 00:00,64.14,151.45,115.18,23.83,37.43,77.69,0.79,11.84,30.87,13.01,7.13,5.64,29.31,3.07,17.52,66.33,0.41,265.08,0.0,,62.95,0.0,11-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
11-Feb-2020 - 00:00,104.54,181.26,182.75,23.61,91.16,91.99,1.15,11.22,44.11,20.83,12.35,12.06,47.18,5.43,17.74,64.82,0.44,218.49,0.0,,63.8,0.0,12-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
12-Feb-2020 - 00:00,94.95,178.68,196.02,23.09,153.68,109.23,1.66,12.33,44.49,28.13,14.37,10.99,61.34,6.67,17.76,66.51,0.43,232.69,0.0,,64.29,0.0,13-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
13-Feb-2020 - 00:00,99.04,189.54,211.21,24.63,106.45,113.48,1.39,9.69,36.74,31.04,12.51,8.36,53.1,5.87,18.85,63.29,0.31,246.72,-0.0,,64.83,0.0,14-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
14-Feb-2020 - 00:00,91.32,174.26,180.97,27.65,94.6,105.07,1.37,14.67,44.26,38.64,13.79,8.39,48.04,6.43,20.57,67.65,0.35,234.13,-0.0,,63.26,0.0,15-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
15-Feb-2020 - 00:00,65.88,126.28,159.34,25.84,74.16,85.08,1.04,8.96,45.12,11.39,6.6,4.81,26.11,2.87,20.66,63.49,0.45,253.55,-0.0,,68.77,0.0,16-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
16-Feb-2020 - 00:00,90.66,171.65,152.56,29.4,69.25,83.24,1.18,9.73,48.38,17.57,10.35,8.56,35.77,4.65,20.7,68.17,0.34,231.57,-0.0,,62.51,0.0,17-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
17-Feb-2020 - 00:00,90.81,163.44,118.68,30.3,37.62,80.99,1.11,9.55,49.96,15.67,7.69,5.34,32.46,3.61,21.1,69.51,0.3,203.65,-0.0,,60.15,0.0,18-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
18-Feb-2020 - 00:00,84.56,154.4,100.29,30.68,30.67,69.57,0.98,10.79,50.16,11.87,7.74,6.68,28.43,3.37,21.52,74.79,0.31,235.99,-0.0,,61.33,0.0,19-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
19-Feb-2020 - 00:00,72.53,122.35,60.1,28.01,7.1,52.96,0.67,32.65,46.1,7.4,4.46,3.51,21.93,1.89,22.25,78.21,0.61,197.96,0.0,,58.25,0.0,20-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
20-Feb-2020 - 00:00,51.87,93.37,54.74,21.74,4.7,50.0,0.53,24.73,44.14,4.73,3.02,2.07,17.05,1.27,22.89,75.61,0.7,203.2,0.0,,54.07,0.0,21-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
21-Feb-2020 - 00:00,75.61,134.47,119.53,24.65,38.93,80.54,0.97,10.95,40.94,19.31,7.71,5.37,42.25,3.62,22.15,72.21,0.32,231.01,0.0,,56.67,0.0,22-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
22-Feb-2020 - 00:00,97.56,177.2,136.12,22.15,51.33,84.7,1.25,12.23,48.76,20.77,11.93,11.58,49.81,5.33,22.54,65.62,0.42,231.54,0.0,,61.59,0.0,23-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
23-Feb-2020 - 00:00,80.45,157.76,90.76,27.62,25.91,64.78,0.9,8.63,38.75,19.79,11.8,14.91,33.16,4.89,23.18,68.26,0.46,189.42,-0.0,,58.12,0.0,24-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
24-Feb-2020 - 00:00,97.85,187.13,152.77,30.28,72.76,79.93,1.26,10.18,26.32,20.14,7.2,6.76,32.72,3.24,21.62,80.19,0.35,208.03,-0.0,,42.45,0.0,25-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
25-Feb-2020 - 00:00,68.57,114.44,86.66,32.61,21.23,65.41,0.94,4.29,13.91,19.11,6.52,5.39,32.64,2.85,19.68,89.19,0.34,208.29,-0.0,,38.25,0.0,26-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
26-Feb-2020 - 00:00,43.96,79.59,82.33,27.13,32.64,49.68,0.59,7.84,37.89,7.08,3.91,3.54,22.45,1.69,21.31,77.92,0.47,214.3,0.0,,81.39,0.0,27-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
27-Feb-2020 - 00:00,42.1,78.98,63.68,22.83,12.58,51.06,0.79,10.19,35.1,8.32,3.58,2.96,25.54,1.61,22.12,73.44,0.41,226.08,0.0,,79.48,0.01,28-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
28-Feb-2020 - 00:00,62.8,114.55,64.47,25.08,8.32,56.13,0.65,8.74,45.5,10.74,3.7,3.08,28.91,1.62,21.93,68.27,0.5,216.78,0.0,,72.09,0.0,29-Feb-2020 - 00:00,"Fort William, Kolkata - WBPCB"
29-Feb-2020 - 00:00,59.62,114.05,85.85,27.0,21.3,64.53,1.03,10.12,47.16,13.29,5.14,4.11,31.8,2.27,22.17,63.85,0.37,250.26,0.0,,84.42,0.0,01-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
01-Mar-2020 - 00:00,79.9,150.05,140.07,25.65,66.77,73.25,1.08,10.1,49.73,19.09,7.59,4.92,34.93,3.46,22.92,71.02,0.32,237.9,0.0,,80.22,0.0,02-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
02-Mar-2020 - 00:00,89.37,166.51,153.53,26.28,75.39,78.07,1.07,10.75,34.32,15.11,8.5,5.66,31.17,3.87,24.13,72.68,0.31,216.59,0.01,,78.15,0.0,03-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
03-Mar-2020 - 00:00,70.89,134.32,82.09,24.49,20.89,61.14,0.73,9.21,37.46,14.07,4.2,3.18,23.75,1.83,23.28,80.06,0.62,161.72,0.01,,71.64,0.0,04-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
04-Mar-2020 - 00:00,43.26,72.1,46.5,23.02,5.52,40.96,0.5,8.96,30.29,6.57,2.68,2.05,17.92,1.17,23.02,81.3,0.65,183.04,0.01,,76.39,0.0,05-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
05-Mar-2020 - 00:00,32.59,60.42,71.81,20.15,21.1,50.71,0.59,6.62,23.41,14.78,4.48,3.25,29.1,2.05,21.78,83.63,0.57,209.4,0.0,,90.19,0.23,06-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
06-Mar-2020 - 00:00,39.11,73.69,84.38,21.78,39.39,44.96,0.59,3.23,8.82,7.21,4.07,3.04,21.38,1.89,23.75,82.41,0.8,185.48,0.0,,71.7,0.05,07-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
07-Mar-2020 - 00:00,32.86,63.14,48.3,20.57,8.87,39.4,0.62,4.08,23.14,14.28,4.87,3.22,23.04,2.49,23.21,89.71,0.58,156.45,0.0,,69.34,0.0,08-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
08-Mar-2020 - 00:00,36.84,65.4,55.99,18.51,15.76,40.19,0.67,5.74,21.61,6.85,4.01,3.02,21.39,1.91,24.06,80.17,0.47,250.61,0.0,,104.45,0.0,09-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
09-Mar-2020 - 00:00,50.55,86.72,52.54,19.62,7.53,44.97,0.59,5.66,43.04,7.42,4.46,3.21,24.41,2.05,23.21,65.89,0.36,190.39,-0.01,,118.52,0.0,10-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
10-Mar-2020 - 00:00,61.86,103.95,52.4,20.81,5.06,47.3,0.72,7.46,48.21,9.73,4.61,3.63,23.99,2.12,23.72,64.11,0.32,205.9,-0.02,,114.98,0.0,11-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
11-Mar-2020 - 00:00,55.65,101.73,49.16,21.48,3.2,42.76,0.56,8.51,46.97,6.84,3.2,2.78,20.35,1.43,25.38,69.04,0.36,207.48,-0.01,,101.35,0.0,12-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
12-Mar-2020 - 00:00,50.85,108.36,49.53,23.66,5.07,44.43,0.62,10.5,34.94,8.15,3.89,3.82,21.63,1.7,25.84,75.44,0.4,201.61,0.0,,101.85,0.0,13-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
13-Mar-2020 - 00:00,60.2,107.43,67.48,19.03,10.87,56.57,0.72,7.89,37.59,12.45,5.4,5.16,28.49,2.47,26.85,73.64,0.36,182.73,0.0,,105.95,0.0,14-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
14-Mar-2020 - 00:00,50.03,96.62,33.33,21.27,1.81,31.5,0.44,7.75,55.01,5.18,2.08,1.92,16.1,0.96,25.5,63.63,1.32,49.73,0.0,,107.49,0.0,15-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
15-Mar-2020 - 00:00,26.39,54.51,40.18,18.01,4.38,35.77,0.45,10.98,43.32,4.49,2.22,2.0,16.35,0.98,23.77,70.67,0.71,148.46,0.0,,119.21,0.0,16-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
16-Mar-2020 - 00:00,59.28,111.0,74.6,19.06,16.86,57.69,0.72,16.69,39.1,12.2,4.55,3.77,26.23,2.07,25.47,72.72,0.42,210.15,0.0,,99.94,0.0,17-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
17-Mar-2020 - 00:00,64.79,124.06,86.34,20.46,21.65,64.64,0.78,8.37,45.98,22.18,6.82,5.96,35.89,2.99,26.29,64.66,0.47,189.93,0.0,,105.51,0.0,18-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
18-Mar-2020 - 00:00,89.17,152.96,85.52,21.96,22.76,62.71,0.83,11.01,51.97,14.75,6.49,6.09,30.04,2.92,25.87,62.13,0.47,184.83,0.0,,101.9,0.0,19-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
19-Mar-2020 - 00:00,104.81,144.31,84.95,22.47,13.94,70.96,0.69,10.76,56.49,14.78,6.46,5.86,32.4,3.13,25.82,59.03,0.45,203.14,0.0,,107.88,0.0,20-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
20-Mar-2020 - 00:00,53.98,81.52,58.73,16.35,13.99,44.71,0.61,11.86,56.3,8.39,3.82,3.9,24.56,1.7,25.67,55.09,0.42,251.3,-0.0,,121.64,0.0,21-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
21-Mar-2020 - 00:00,53.11,78.74,54.36,19.15,14.25,40.08,0.44,12.58,48.71,5.96,3.0,2.59,19.5,1.37,26.0,70.28,0.95,162.79,-0.0,,108.42,0.0,22-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
22-Mar-2020 - 00:00,25.64,35.71,25.83,13.71,2.27,23.55,0.34,7.18,49.94,2.59,1.7,1.72,14.61,0.74,23.71,70.56,0.86,145.85,0.0,,109.95,0.04,23-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
23-Mar-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,,24-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
24-Mar-2020 - 00:00,45.34,54.37,18.67,14.02,1.57,17.08,0.46,9.04,50.09,4.52,2.06,2.0,16.73,0.93,27.11,66.05,0.43,144.56,-0.0,,136.79,0.0,25-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
25-Mar-2020 - 00:00,58.36,71.1,18.09,13.98,1.72,16.35,0.4,11.12,42.98,3.95,2.52,2.57,17.18,1.1,26.73,76.23,0.52,190.96,-0.0,,106.49,0.0,26-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
26-Mar-2020 - 00:00,47.14,57.23,18.0,12.22,1.57,16.41,0.41,5.29,39.44,3.01,1.91,2.05,16.37,0.85,28.24,63.47,0.45,179.06,-0.0,,127.58,0.0,27-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
27-Mar-2020 - 00:00,64.62,82.2,20.79,12.69,1.87,18.91,0.46,8.72,45.26,5.44,2.37,2.3,17.07,1.05,28.7,58.43,0.31,207.62,-0.0,,127.38,0.0,28-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
28-Mar-2020 - 00:00,56.18,74.35,19.93,14.56,1.44,18.47,0.45,8.81,51.67,4.91,2.17,2.17,15.63,0.94,29.64,59.76,0.44,193.99,-0.0,,125.37,0.0,29-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
29-Mar-2020 - 00:00,50.23,67.44,17.35,13.65,1.41,15.93,0.44,7.07,60.36,4.9,2.02,1.95,15.1,0.88,29.04,54.31,0.51,156.89,-0.0,,131.57,0.0,30-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
30-Mar-2020 - 00:00,53.92,69.97,22.42,14.19,1.61,20.79,0.41,6.64,57.54,4.62,2.05,2.26,16.32,0.89,28.41,52.09,0.39,201.52,-0.0,,128.64,0.0,31-Mar-2020 - 00:00,"Fort William, Kolkata - WBPCB"
31-Mar-2020 - 00:00,59.29,78.09,25.02,14.57,1.5,23.5,0.47,6.69,56.74,5.07,2.3,2.46,17.46,1.06,28.46,52.83,0.32,188.73,-0.0,,131.65,0.0,01-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
01-Apr-2020 - 00:00,60.54,78.91,16.23,16.68,1.3,14.92,0.44,11.21,61.45,3.87,1.87,2.02,15.51,0.83,29.18,68.41,0.63,188.32,-0.0,,120.4,0.0,02-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
02-Apr-2020 - 00:00,47.32,59.96,15.2,11.45,1.4,13.79,0.42,6.9,49.55,2.16,1.36,1.69,13.24,0.62,28.66,74.31,0.66,177.5,-0.0,,116.45,0.0,03-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
03-Apr-2020 - 00:00,51.66,70.6,17.57,10.81,1.41,16.15,0.49,6.48,50.27,3.73,2.03,2.18,16.14,0.93,29.61,68.82,0.39,198.78,-0.0,,119.06,0.0,04-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
04-Apr-2020 - 00:00,71.78,99.48,20.21,10.19,1.37,18.83,0.49,7.68,62.61,6.27,2.39,2.53,17.19,1.06,30.14,56.15,0.5,165.56,0.0,,136.65,0.0,05-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
05-Apr-2020 - 00:00,55.98,75.3,13.75,12.04,1.23,12.51,0.46,6.62,58.75,3.62,1.8,2.14,15.47,0.8,30.01,65.58,0.44,203.8,0.0,,126.39,0.0,06-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
06-Apr-2020 - 00:00,40.65,67.41,18.13,10.23,1.32,16.8,0.4,5.48,45.99,3.07,1.7,1.92,14.73,0.77,29.94,58.06,0.47,222.14,0.0,,157.52,0.0,07-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
07-Apr-2020 - 00:00,41.59,69.85,13.43,11.74,1.17,12.25,0.41,9.76,63.34,2.29,1.27,1.49,11.28,0.57,29.96,62.25,1.05,201.66,0.0,,131.87,0.0,08-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
08-Apr-2020 - 00:00,28.67,52.06,16.07,9.68,1.39,14.63,0.37,6.2,61.64,2.61,1.53,1.73,13.36,0.67,28.87,56.27,0.78,210.89,0.0,,93.34,0.0,09-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
09-Apr-2020 - 00:00,23.11,44.23,16.16,9.13,1.19,14.96,0.35,8.98,81.22,2.21,1.3,1.61,12.33,0.58,28.67,50.7,0.65,198.89,0.0,,136.79,0.0,10-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
10-Apr-2020 - 00:00,21.48,40.86,9.71,10.52,1.11,8.6,0.35,5.62,58.25,1.9,1.26,1.44,11.84,0.55,28.87,74.31,1.03,194.82,-0.0,,132.23,0.0,11-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
11-Apr-2020 - 00:00,20.1,42.01,9.21,9.12,1.15,8.05,0.35,5.71,52.41,1.96,1.25,1.52,12.11,0.55,29.37,72.2,0.99,183.74,0.0,,158.77,0.0,12-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
12-Apr-2020 - 00:00,27.84,59.74,9.23,7.53,1.21,8.01,0.35,4.82,49.94,2.28,1.24,1.55,12.45,0.56,28.46,74.06,0.84,152.79,0.0,,152.97,0.0,13-Apr-2020 - 00:00,"Fort William, Kolkata - WBPCB"
