from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
28-Oct-2020 - 00:00,206.44,402.67,154.29,101.68,132.67,64.92,14.02,1.98,40.12,14.25,85.15,0.32,220.66,22.58,50.22,741.55,47.91,,29-Oct-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Oct-2020 - 00:00,221.49,418.65,142.37,95.45,125.45,68.79,48.05,2.36,50.36,15.01,82.65,0.31,137.38,22.85,50.79,741.62,45.77,,30-Oct-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Oct-2020 - 00:00,227.16,387.71,123.18,52.92,106.56,69.04,17.02,2.08,63.37,12.96,90.63,0.36,202.99,23.75,46.41,741.65,49.23,,31-Oct-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
31-Oct-2020 - 00:00,255.68,392.73,82.72,5.84,48.75,64.06,9.68,1.56,62.92,8.52,44.27,0.41,221.31,23.88,41.8,741.57,50.98,,01-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Nov-2020 - 00:00,197.98,354.27,107.5,54.07,98.93,44.95,7.49,2.39,41.48,10.73,59.08,0.37,205.93,23.74,34.2,741.33,19.65,,02-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Nov-2020 - 00:00,212.93,377.56,107.53,106.98,140.4,49.24,14.48,1.9,53.02,13.48,61.82,0.34,222.33,21.71,41.29,741.57,47.52,,03-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Nov-2020 - 00:00,168.71,330.11,119.07,156.92,185.37,47.42,14.19,2.94,52.61,15.66,86.77,0.35,147.07,21.77,44.46,741.59,49.2,,04-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Nov-2020 - 00:00,407.75,521.04,149.13,109.81,166.59,79.62,10.9,3.84,28.75,16.25,79.35,0.34,208.42,20.87,53.69,741.35,37.8,,05-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Nov-2020 - 00:00,339.2,544.96,135.12,119.55,160.42,85.8,7.33,2.93,40.37,14.41,70.43,0.47,199.78,21.98,51.54,741.57,59.55,,06-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Nov-2020 - 00:00,328.76,543.08,139.57,121.41,173.0,82.99,8.79,3.37,31.5,14.65,86.2,0.47,204.07,22.17,49.0,741.95,54.35,,07-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Nov-2020 - 00:00,410.22,623.6,120.06,103.1,123.0,82.9,11.04,2.64,41.49,14.11,74.55,0.59,214.4,21.58,50.49,741.84,55.73,,08-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Nov-2020 - 00:00,485.89,714.12,165.61,156.93,167.01,96.39,15.13,2.42,34.08,19.8,87.73,0.33,199.22,20.64,57.7,741.83,45.73,,09-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Nov-2020 - 00:00,553.35,738.76,156.62,108.76,171.77,102.28,11.83,4.68,32.4,18.05,97.1,0.37,203.05,20.42,61.69,741.58,45.09,,10-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Nov-2020 - 00:00,488.05,515.89,140.75,159.82,174.81,99.26,11.4,1.52,29.83,21.55,88.87,0.39,200.32,21.01,64.69,741.54,45.88,,11-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Nov-2020 - 00:00,246.58,471.52,114.38,158.39,173.74,72.56,12.8,2.43,25.71,18.16,78.86,0.44,129.38,21.28,61.54,741.9,50.57,,12-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Nov-2020 - 00:00,228.29,438.32,181.97,138.25,161.08,85.6,9.76,3.92,27.17,17.03,86.75,0.35,172.47,21.19,62.37,741.99,47.41,,13-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Nov-2020 - 00:00,283.48,474.43,242.29,148.82,239.68,118.0,9.53,3.27,54.7,14.58,101.16,0.37,189.56,21.47,59.99,741.76,48.45,,14-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Nov-2020 - 00:00,455.71,619.89,250.96,128.27,184.23,140.19,30.44,2.84,57.12,14.9,68.96,0.31,137.27,20.22,61.98,741.41,40.29,,15-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Nov-2020 - 00:00,330.4,420.11,85.29,16.17,58.68,113.64,10.74,1.54,51.55,9.19,24.37,0.67,148.72,21.46,56.0,741.54,57.12,4.0,16-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Nov-2020 - 00:00,78.69,133.05,94.68,51.06,91.87,87.15,9.1,1.46,27.57,5.24,27.67,0.4,198.79,22.25,72.52,741.9,25.07,,17-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Nov-2020 - 00:00,80.35,149.2,83.98,18.72,60.01,74.7,16.57,0.84,33.09,6.04,27.2,0.59,180.66,20.67,62.45,741.39,55.11,,18-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Nov-2020 - 00:00,121.36,205.5,99.54,18.59,68.17,71.46,28.11,1.04,51.01,6.1,35.23,0.53,188.52,19.64,57.04,741.33,55.09,,19-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Nov-2020 - 00:00,141.54,226.04,108.05,12.3,67.59,70.16,38.33,1.1,46.58,6.45,27.05,0.48,167.38,18.56,54.86,741.23,53.7,,20-Nov-2020 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
