from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,RF,WS,WD,to date,station
18-Apr-2020 - 00:00,36.74,4.47,17.45,51.9,6.06,0.23,36.71,30.59,114.84,0.19,0.24,0.01,0.03,0.03,45.73,246.43,0.01,0.91,103.32,19-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Apr-2020 - 00:00,69.42,28.89,54.62,39.47,5.62,0.23,28.75,26.61,94.56,0.38,2.35,0.06,0.09,0.17,39.43,420.01,0.0,0.6,227.62,20-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Apr-2020 - 00:00,71.35,34.73,60.31,39.77,15.21,0.4,28.24,59.06,218.56,0.84,3.2,0.08,0.09,0.2,48.0,220.38,0.0,1.14,206.75,21-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Apr-2020 - 00:00,73.57,14.6,45.32,35.36,8.12,0.22,29.56,24.91,104.13,0.59,0.71,0.05,0.04,0.08,47.9,433.92,0.0,0.54,251.69,22-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Apr-2020 - 00:00,67.26,13.99,42.34,29.76,14.18,0.25,32.99,42.54,195.05,0.14,0.42,0.01,0.01,0.01,35.1,482.93,0.0,0.51,228.49,23-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Apr-2020 - 00:00,63.19,4.13,33.07,38.54,18.71,0.39,33.79,59.42,246.33,,,,0.0,0.0,35.87,264.82,0.0,0.94,187.1,24-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Apr-2020 - 00:00,58.32,4.81,31.06,40.6,30.26,0.54,39.46,65.55,279.78,,,,0.0,0.0,37.91,402.57,0.0,0.36,121.33,25-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Apr-2020 - 00:00,66.88,11.65,40.98,55.11,17.15,0.6,30.78,69.89,321.36,,,,0.0,0.0,48.79,106.53,0.0,0.6,187.61,26-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Apr-2020 - 00:00,28.99,1.72,12.47,63.14,19.03,0.45,33.56,60.14,210.51,,,,0.0,0.0,,,0.01,0.71,83.52,27-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Apr-2020 - 00:00,15.4,0.6,4.03,50.79,5.38,0.33,38.16,29.5,102.77,,,,0.0,0.0,69.73,452.82,0.0,1.01,73.47,28-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Apr-2020 - 00:00,21.44,1.3,7.32,57.53,11.59,0.32,42.41,44.88,179.31,,,,0.0,0.0,63.99,206.47,0.0,0.41,96.52,29-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Apr-2020 - 00:00,27.83,9.75,18.37,43.77,8.67,0.79,45.23,90.3,275.58,,,,0.0,0.0,47.15,362.38,0.0,0.4,143.53,30-Apr-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-Apr-2020 - 00:00,18.84,2.47,8.19,34.95,9.56,0.62,56.75,59.1,161.43,,,,0.0,0.0,54.21,292.82,0.0,0.43,110.54,01-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-May-2020 - 00:00,68.5,8.67,33.08,71.52,8.66,0.41,69.4,60.67,217.55,,,,0.0,0.0,56.64,305.68,0.0,0.58,88.13,02-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-May-2020 - 00:00,52.9,6.8,27.39,168.58,8.2,0.57,50.92,63.55,243.72,,,,0.0,0.0,55.07,256.72,0.01,0.84,95.25,03-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-May-2020 - 00:00,28.73,3.8,11.74,75.45,4.5,0.57,50.76,43.0,125.8,,,,0.0,0.0,61.79,167.8,0.01,0.94,127.63,04-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-May-2020 - 00:00,32.05,6.32,16.44,48.15,5.02,0.32,47.11,22.43,77.24,,,,0.0,0.0,68.65,230.51,0.0,0.48,173.59,05-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-May-2020 - 00:00,31.64,30.87,36.47,22.59,5.3,0.43,47.33,43.01,190.95,,,,0.0,0.0,49.87,443.3,0.0,0.71,253.05,06-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-May-2020 - 00:00,13.05,3.77,5.06,20.14,16.85,0.44,60.85,54.97,221.44,,,,0.0,0.0,54.71,332.29,0.26,0.68,113.71,07-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-May-2020 - 00:00,12.37,32.48,27.2,11.89,8.46,0.65,70.16,55.44,134.06,,,,0.0,0.0,38.49,598.33,0.0,0.44,202.5,08-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-May-2020 - 00:00,13.44,36.15,30.78,14.55,21.31,0.61,62.42,58.74,242.4,,,,0.0,0.0,53.51,456.89,0.0,0.6,191.33,09-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-May-2020 - 00:00,7.09,3.14,1.93,11.98,18.66,0.73,66.76,75.0,271.77,,,,0.0,0.0,55.9,,0.0,0.46,91.25,10-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-May-2020 - 00:00,27.15,4.84,20.81,28.78,11.04,0.66,52.75,48.86,194.43,,,,0.0,0.0,70.03,105.15,0.22,1.01,125.87,11-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-May-2020 - 00:00,38.37,2.29,19.08,27.21,45.4,0.38,65.98,40.91,142.88,,,,0.0,0.0,53.32,411.04,0.0,0.66,92.78,12-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-May-2020 - 00:00,43.61,3.14,22.06,39.58,52.1,0.34,64.34,52.7,170.28,,,,0.0,0.0,61.66,450.51,0.01,0.48,117.63,13-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-May-2020 - 00:00,76.02,11.85,45.83,40.31,36.79,0.74,47.22,87.59,345.19,,,,0.0,0.0,58.38,173.24,0.0,0.32,193.66,14-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-May-2020 - 00:00,80.15,26.7,60.02,33.86,35.1,0.49,55.47,71.7,311.26,,,,0.0,0.0,45.7,412.1,0.0,0.46,179.29,15-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-May-2020 - 00:00,83.63,8.05,46.93,51.0,40.7,0.21,63.14,26.99,140.49,,,,0.0,0.0,38.39,412.36,0.0,1.21,309.7,16-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-May-2020 - 00:00,97.75,8.12,54.36,55.9,45.32,0.37,77.2,26.25,155.13,,,,0.0,0.0,33.26,394.86,0.0,1.19,305.65,17-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-May-2020 - 00:00,129.42,26.32,85.52,59.85,53.72,0.57,80.15,45.28,215.89,,,,0.0,0.0,28.98,418.02,0.0,0.64,285.54,18-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-May-2020 - 00:00,128.36,26.87,85.74,55.44,63.2,0.88,62.8,68.66,277.92,37.33,,,0.0,0.0,23.95,394.01,0.0,0.71,276.58,19-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-May-2020 - 00:00,91.69,37.57,74.68,20.59,70.12,0.54,59.87,90.2,260.61,,,,0.0,0.0,22.93,416.51,0.0,0.47,221.87,20-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-May-2020 - 00:00,103.36,19.55,66.44,51.43,61.38,0.47,56.45,45.85,175.59,,,,0.0,0.0,22.08,434.39,0.0,1.04,296.61,21-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-May-2020 - 00:00,113.49,16.48,69.29,61.65,70.69,0.5,52.08,44.85,204.62,,,,0.0,0.0,21.06,440.72,0.0,1.39,281.07,22-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-May-2020 - 00:00,151.16,33.31,99.44,114.86,72.47,0.74,60.72,54.96,223.82,,,,0.0,0.0,25.09,327.52,0.0,0.4,272.62,23-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-May-2020 - 00:00,73.05,18.47,44.62,112.24,74.16,0.76,72.31,111.21,311.44,,,,0.0,0.0,29.13,345.09,0.0,0.45,97.44,24-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-May-2020 - 00:00,86.96,2.64,43.53,93.64,30.72,0.6,67.4,76.45,221.83,,,,0.0,0.0,18.95,599.13,0.0,1.0,287.79,25-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-May-2020 - 00:00,81.57,4.13,41.58,35.33,16.0,0.62,43.24,80.74,179.0,,,,0.0,0.0,23.33,761.56,0.0,1.08,277.63,26-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-May-2020 - 00:00,24.74,0.51,8.9,38.53,46.39,0.22,77.17,59.32,231.12,,,,,0.0,,358.45,,0.65,77.23,28-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-May-2020 - 00:00,20.79,0.66,6.93,46.2,48.36,0.22,58.77,45.95,317.55,,,,,0.0,,259.41,,0.91,107.02,29-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-May-2020 - 00:00,28.76,1.11,11.45,37.48,52.88,0.3,54.52,24.65,85.09,1.59,,,,0.18,,168.34,,1.11,99.16,30-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-May-2020 - 00:00,29.22,1.32,11.44,72.63,60.31,0.23,63.82,38.91,108.35,1.0,,,,0.06,,235.78,,0.6,108.28,31-May-2020 - 00:00,"Sector-18, Panipat - HSPCB"
31-May-2020 - 00:00,24.25,1.57,25.98,69.3,60.93,0.16,55.34,23.84,65.97,1.0,,,,0.07,,152.26,,0.65,146.82,01-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Jun-2020 - 00:00,19.78,19.65,57.56,21.62,63.25,0.18,43.32,18.67,53.81,,,,,0.0,,,,0.32,129.04,02-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Jun-2020 - 00:00,83.95,12.53,49.05,21.28,68.18,0.39,52.07,33.58,100.97,1.0,0.83,0.92,0.71,0.06,73.59,260.17,0.0,0.56,269.4,03-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Jun-2020 - 00:00,71.77,15.08,44.72,23.14,43.94,0.37,61.81,43.96,151.81,0.99,0.82,0.92,0.92,0.07,63.37,238.83,0.0,0.35,213.33,04-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Jun-2020 - 00:00,38.65,3.44,17.09,26.68,6.88,0.55,58.73,60.38,168.34,1.0,0.81,0.92,0.87,0.07,65.32,128.71,0.0,0.62,115.92,05-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Jun-2020 - 00:00,24.67,1.48,9.21,31.25,3.93,0.38,68.19,43.66,102.44,1.0,0.82,0.92,0.91,0.07,71.17,246.51,0.0,0.51,100.19,06-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Jun-2020 - 00:00,24.2,1.84,9.27,43.47,5.35,0.33,63.11,41.3,119.26,1.0,0.82,0.92,0.91,0.07,67.48,248.39,0.0,0.43,89.03,07-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Jun-2020 - 00:00,47.94,12.7,30.34,29.33,5.55,0.46,47.84,37.74,115.54,1.0,0.82,0.92,0.92,0.07,84.05,151.02,0.0,0.48,150.67,08-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Jun-2020 - 00:00,43.87,18.09,32.59,25.55,2.66,0.4,54.99,42.53,138.72,1.0,0.81,0.92,0.91,0.07,67.17,270.29,0.0,0.33,150.94,09-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Jun-2020 - 00:00,91.97,77.15,105.12,19.2,22.64,0.82,40.27,61.62,199.8,1.01,0.82,0.92,0.91,0.07,58.56,259.98,0.0,0.42,227.12,10-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Jun-2020 - 00:00,88.52,15.67,53.98,11.39,39.14,0.46,50.64,91.08,234.66,3.29,4.55,1.27,1.12,1.17,54.16,211.2,0.0,0.46,216.98,11-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Jun-2020 - 00:00,56.93,10.62,33.45,14.52,34.25,0.56,56.9,75.51,220.45,4.3,12.38,4.89,5.28,7.16,56.41,256.64,0.0,0.31,160.27,12-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Jun-2020 - 00:00,60.74,7.58,32.98,17.86,35.48,0.64,36.32,72.11,225.44,5.75,7.18,1.7,1.82,3.59,64.12,181.76,0.0,0.48,122.14,13-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Jun-2020 - 00:00,51.12,6.22,26.89,18.38,27.01,0.56,25.85,59.44,231.81,4.89,7.51,1.88,1.85,3.9,71.32,172.15,0.0,0.49,113.55,14-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Jun-2020 - 00:00,73.69,16.55,46.95,18.45,17.44,0.57,29.59,43.93,179.14,4.88,7.49,1.89,1.82,3.83,62.67,259.54,0.0,0.31,173.09,15-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Jun-2020 - 00:00,35.62,2.62,14.56,34.37,32.53,0.44,15.08,59.73,212.0,4.9,7.54,1.91,1.61,3.34,40.41,251.09,0.0,0.34,140.91,16-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Jun-2020 - 00:00,58.14,6.27,29.87,36.05,12.26,0.41,29.96,53.99,195.75,4.87,7.46,1.88,1.68,3.58,45.98,130.45,0.0,0.47,132.21,17-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Jun-2020 - 00:00,27.34,2.18,10.44,35.4,1.39,0.56,23.71,42.33,150.69,4.87,7.49,1.88,1.71,3.63,54.83,266.31,0.0,0.58,99.27,18-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Jun-2020 - 00:00,28.91,2.23,11.84,33.46,2.38,0.43,15.74,43.27,144.24,4.88,7.52,1.89,1.76,3.72,41.46,240.52,0.0,0.44,110.31,19-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Jun-2020 - 00:00,27.32,2.69,11.61,23.14,4.71,0.46,6.14,71.78,229.53,4.88,7.48,1.88,1.85,3.92,62.82,225.33,0.0,0.56,84.36,20-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Jun-2020 - 00:00,43.3,3.66,20.74,13.84,3.81,0.31,26.27,65.64,178.05,4.89,7.48,1.89,1.86,3.92,60.36,228.03,0.0,0.88,177.35,21-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Jun-2020 - 00:00,36.04,3.1,16.5,16.68,6.27,0.2,55.42,55.03,171.08,4.88,7.47,1.89,1.84,3.92,66.88,182.7,0.0,0.46,110.0,22-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Jun-2020 - 00:00,33.8,2.84,15.12,15.28,3.18,0.45,65.04,47.52,131.87,4.89,7.5,1.89,1.85,3.93,75.16,232.6,0.0,0.4,122.04,23-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Jun-2020 - 00:00,25.36,3.0,10.84,17.76,9.7,0.33,42.0,51.64,123.32,4.88,7.48,1.89,1.84,3.92,71.84,254.3,0.0,0.58,84.12,24-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Jun-2020 - 00:00,34.66,3.41,16.03,21.92,24.03,0.34,40.89,40.66,117.79,4.88,7.46,1.89,1.85,3.92,73.01,360.62,0.0,0.47,97.29,25-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Jun-2020 - 00:00,67.77,9.6,38.3,12.94,38.8,0.34,50.35,33.1,117.58,4.88,7.47,1.89,1.84,3.93,73.71,350.5,0.0,0.54,242.62,26-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Jun-2020 - 00:00,56.04,7.38,30.38,22.27,40.49,0.19,53.98,40.5,149.69,4.89,7.46,1.89,1.85,3.93,75.42,211.42,0.0,0.73,189.75,27-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Jun-2020 - 00:00,64.95,10.93,37.89,14.14,43.34,0.24,41.15,60.41,210.76,4.89,7.5,1.89,1.85,3.94,66.86,249.03,0.0,1.15,250.72,28-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Jun-2020 - 00:00,62.88,13.53,38.89,11.68,46.2,0.27,37.69,117.95,354.89,4.89,7.45,1.88,1.85,3.92,59.89,263.23,0.0,1.19,243.93,29-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Jun-2020 - 00:00,48.47,6.44,25.41,19.68,17.95,0.35,46.05,98.19,294.86,4.87,7.43,1.89,1.79,3.8,66.83,172.38,0.0,0.5,143.0,30-Jun-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-Jun-2020 - 00:00,31.07,3.86,15.49,22.12,8.95,0.24,44.63,45.63,134.16,4.89,7.51,1.89,1.85,3.93,77.7,255.44,0.0,0.57,88.95,01-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Jul-2020 - 00:00,35.14,6.06,19.21,23.09,16.93,0.3,56.01,68.71,170.59,4.88,7.5,1.88,1.84,3.89,68.32,190.13,0.0,0.34,107.94,02-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Jul-2020 - 00:00,66.87,14.21,42.33,34.51,26.91,0.32,57.96,70.47,208.22,4.88,7.46,1.88,1.85,3.93,64.17,230.74,0.0,0.48,199.5,03-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Jul-2020 - 00:00,38.18,5.98,20.65,16.67,1.84,0.39,43.24,76.01,228.76,4.89,7.47,1.89,1.83,3.88,64.46,242.32,0.0,0.52,110.87,04-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Jul-2020 - 00:00,19.77,6.54,11.57,19.56,3.23,0.26,35.33,32.57,107.53,4.88,7.47,1.89,1.83,3.89,72.45,255.89,0.0,0.65,88.83,05-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Jul-2020 - 00:00,18.82,7.97,12.22,21.49,0.46,0.3,28.1,30.49,123.47,4.92,7.41,1.93,1.87,3.86,92.99,6.65,0.02,1.76,118.87,06-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Jul-2020 - 00:00,40.35,6.74,22.72,81.91,1.04,1.55,76.56,48.72,158.22,4.86,7.42,1.87,1.46,3.17,72.7,255.99,0.0,0.48,83.28,07-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Jul-2020 - 00:00,43.14,6.16,23.55,25.78,1.76,0.16,33.68,21.7,84.7,4.88,7.47,1.87,1.77,3.79,89.78,144.52,0.0,0.69,81.08,08-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Jul-2020 - 00:00,61.73,15.63,38.51,61.61,1.5,0.45,10.62,19.6,102.84,4.89,7.46,1.87,1.66,3.37,98.52,29.35,0.0,0.66,113.53,09-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Jul-2020 - 00:00,59.46,12.14,37.06,13.69,2.28,0.21,28.61,32.34,125.49,4.88,7.48,1.89,1.8,3.81,82.26,200.96,0.0,0.33,174.81,10-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Jul-2020 - 00:00,47.8,12.0,30.63,4.86,4.12,0.15,16.4,35.38,122.79,4.89,7.48,1.89,1.85,3.91,77.47,248.09,0.17,0.83,216.34,11-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
11-Jul-2020 - 00:00,10.16,20.31,24.03,11.64,6.42,1.19,29.86,63.78,191.95,4.88,7.48,1.84,1.49,3.28,80.95,66.09,0.29,0.71,153.27,12-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
12-Jul-2020 - 00:00,2.85,4.13,5.26,19.72,4.0,0.2,17.73,26.04,82.43,4.88,7.46,1.89,1.7,3.6,86.31,138.42,0.12,0.94,259.07,13-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
13-Jul-2020 - 00:00,32.23,6.97,30.61,7.87,7.64,0.23,13.88,37.14,124.55,4.86,7.47,1.88,1.85,3.94,80.18,251.85,0.0,0.74,276.42,14-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
14-Jul-2020 - 00:00,27.25,9.46,17.58,14.06,9.75,0.21,15.34,64.37,228.01,4.87,7.48,1.88,1.83,3.88,77.9,249.07,0.0,0.37,159.03,15-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
15-Jul-2020 - 00:00,11.43,5.43,6.31,14.39,11.63,0.31,18.72,41.71,150.72,4.88,7.48,1.89,1.85,3.93,83.57,263.56,0.0,0.67,77.92,16-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
16-Jul-2020 - 00:00,13.71,3.42,6.25,8.08,9.62,0.18,13.75,29.62,100.79,4.87,7.49,1.89,1.83,3.87,85.69,227.72,0.0,0.57,72.61,17-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
17-Jul-2020 - 00:00,19.51,6.52,10.82,13.78,8.53,0.42,16.05,29.24,115.35,4.88,7.44,1.88,1.73,3.7,92.82,118.07,0.0,0.63,77.92,18-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
18-Jul-2020 - 00:00,15.25,8.18,10.52,8.28,8.83,0.24,16.12,23.88,83.9,4.88,7.5,1.89,1.86,3.94,95.49,183.79,0.1,0.65,83.17,19-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
19-Jul-2020 - 00:00,26.0,9.35,17.07,5.31,13.79,0.22,15.14,20.23,72.89,4.87,7.48,1.89,1.86,3.92,93.37,205.35,0.02,0.77,207.7,20-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
20-Jul-2020 - 00:00,32.27,10.37,20.9,4.11,16.73,0.18,15.87,24.19,70.9,4.89,7.47,1.89,1.85,3.93,86.27,60.64,0.18,1.09,242.81,21-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
21-Jul-2020 - 00:00,25.4,9.92,15.72,16.52,5.67,0.43,15.14,24.3,55.99,4.88,7.46,1.88,1.72,3.67,98.9,115.58,0.14,0.6,138.77,22-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
22-Jul-2020 - 00:00,6.03,20.82,15.83,9.33,10.79,0.32,12.21,21.38,63.63,4.88,7.47,1.89,1.82,3.83,98.22,99.58,0.03,0.62,186.46,23-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
23-Jul-2020 - 00:00,3.54,20.38,14.18,8.3,4.64,0.31,18.14,31.85,107.29,4.89,7.5,1.89,1.85,3.92,88.19,237.45,0.0,0.65,217.15,24-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
24-Jul-2020 - 00:00,1.87,10.46,5.36,11.04,9.76,0.14,19.18,27.52,116.44,4.88,7.5,1.89,1.86,3.93,86.11,221.07,0.0,0.62,81.94,25-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
25-Jul-2020 - 00:00,1.66,10.66,5.41,10.94,15.44,0.17,14.45,21.84,81.16,4.89,7.44,1.88,1.85,3.92,90.48,243.76,0.0,0.65,76.4,26-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
26-Jul-2020 - 00:00,1.07,11.28,5.59,10.8,22.43,0.38,21.29,29.71,121.92,4.89,7.5,1.89,1.86,3.91,89.14,197.86,0.17,0.32,100.79,27-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
27-Jul-2020 - 00:00,3.16,12.19,7.72,11.25,2.85,0.73,20.8,55.35,152.82,4.88,7.45,1.86,1.71,3.72,81.11,325.1,0.0,1.05,265.08,28-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
28-Jul-2020 - 00:00,1.91,15.39,9.33,8.32,2.83,0.12,12.51,29.45,125.08,4.88,7.45,1.89,1.85,3.91,85.91,225.95,0.0,1.0,237.54,29-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
29-Jul-2020 - 00:00,1.58,11.81,6.29,10.42,6.3,0.18,18.26,26.58,115.63,4.89,7.53,1.88,1.86,3.92,88.66,179.52,0.35,0.55,117.22,30-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
30-Jul-2020 - 00:00,1.33,14.17,8.03,9.49,11.51,0.22,14.9,16.43,59.72,4.87,7.5,1.89,1.85,3.92,99.11,95.68,0.15,0.49,132.19,31-Jul-2020 - 00:00,"Sector-18, Panipat - HSPCB"
31-Jul-2020 - 00:00,1.74,11.64,6.12,12.21,10.76,0.48,22.19,37.33,117.02,4.88,7.47,1.87,1.75,3.69,94.1,119.96,0.0,0.36,110.67,01-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
01-Aug-2020 - 00:00,1.53,13.87,7.91,9.2,6.29,0.24,31.41,37.45,92.56,4.88,7.47,1.89,1.86,3.94,93.41,215.5,0.0,0.57,193.65,02-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
02-Aug-2020 - 00:00,1.11,15.13,8.68,8.63,9.3,0.21,24.86,33.68,109.26,4.89,7.46,1.88,1.85,3.93,88.37,271.69,0.0,0.59,227.62,03-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
03-Aug-2020 - 00:00,1.44,15.28,9.02,21.42,11.03,0.23,26.24,34.05,112.83,4.87,7.52,1.89,1.66,3.48,90.36,247.94,0.0,0.73,225.56,04-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
04-Aug-2020 - 00:00,0.96,12.26,6.38,11.32,32.01,0.15,34.76,28.65,77.74,4.88,7.5,1.88,1.83,3.9,80.47,206.23,0.01,0.51,181.22,05-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
05-Aug-2020 - 00:00,0.96,13.9,7.6,10.57,18.35,0.22,31.92,31.65,112.33,4.87,7.47,1.89,1.86,3.93,88.09,242.41,0.0,0.57,80.84,06-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
06-Aug-2020 - 00:00,0.82,10.98,5.21,10.83,7.84,0.09,30.76,20.3,73.95,4.88,7.48,1.88,1.86,3.92,78.46,209.06,0.0,0.71,77.15,07-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
07-Aug-2020 - 00:00,0.8,10.48,4.77,11.06,12.82,0.07,39.62,16.71,53.35,4.88,7.52,1.88,1.85,3.92,80.84,244.43,0.0,0.64,103.68,08-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
08-Aug-2020 - 00:00,0.51,12.33,6.06,10.18,18.48,0.33,45.32,26.57,109.27,4.89,7.55,1.91,1.86,3.88,82.09,209.23,0.0,0.41,196.56,09-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
09-Aug-2020 - 00:00,1.18,17.0,10.21,11.07,5.59,0.41,27.69,31.53,105.42,4.89,7.45,1.89,1.77,3.77,97.88,46.76,0.01,0.6,179.03,10-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
10-Aug-2020 - 00:00,1.17,10.01,4.68,25.33,4.41,0.3,28.42,37.1,93.66,4.87,7.51,1.88,1.72,3.63,91.72,183.76,0.02,0.38,104.6,11-Aug-2020 - 00:00,"Sector-18, Panipat - HSPCB"
