from date,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,CO,AT,WS,SO2,Benzene,Toluene,NH3,to date,station
27-Apr-2020 - 00:00,48.88,0.0,0.0,128.52,55.08,972.22,147.45,3.73,24.22,15.92,9.55,17.11,0.8,28.07,2.25,20.09,0.0,0.0,12.46,28-Apr-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
28-Apr-2020 - 00:00,55.98,0.0,0.0,128.63,56.12,972.24,135.71,4.39,23.57,16.11,7.29,21.43,0.8,27.17,1.65,16.45,0.0,0.02,12.62,29-Apr-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
29-Apr-2020 - 00:00,101.34,0.0,0.02,134.74,37.21,971.69,135.63,1.18,14.78,8.82,11.98,31.08,0.8,35.13,1.02,23.63,0.05,0.11,11.77,30-Apr-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
30-Apr-2020 - 00:00,114.01,0.0,0.0,156.03,42.45,971.92,140.57,1.64,13.27,8.39,11.73,43.95,0.8,33.62,1.17,17.77,0.02,0.08,12.66,01-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
01-May-2020 - 00:00,135.61,0.0,0.0,155.27,45.87,971.94,141.67,2.49,14.23,9.6,11.43,53.66,0.8,33.59,1.35,20.83,0.02,0.23,12.3,02-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
02-May-2020 - 00:00,105.26,0.0,0.0,125.54,46.98,971.99,139.66,1.42,15.2,9.24,11.37,26.86,0.8,32.57,2.5,21.55,0.0,0.02,11.61,03-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
03-May-2020 - 00:00,72.77,0.0,0.0,158.93,57.21,972.28,82.39,1.8,15.4,9.65,9.18,25.77,0.81,29.46,1.8,20.44,0.0,0.01,11.57,04-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
04-May-2020 - 00:00,52.72,0.0,0.0,236.52,53.26,972.16,147.54,3.06,18.86,12.52,9.2,25.56,0.93,29.32,0.97,22.8,0.0,0.03,11.23,05-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
05-May-2020 - 00:00,97.23,0.0,0.0,263.52,43.15,971.87,144.71,2.89,16.84,11.31,10.51,44.48,0.81,32.11,1.12,24.8,0.05,0.06,11.05,06-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
06-May-2020 - 00:00,158.01,0.0,0.01,219.11,41.46,971.82,129.25,3.31,18.79,12.46,8.54,59.04,0.82,30.82,1.06,21.2,0.12,0.5,10.93,07-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
07-May-2020 - 00:00,65.48,0.0,0.0,198.37,34.19,971.6,149.8,1.64,21.81,12.94,11.33,28.75,0.82,31.69,1.35,17.31,0.15,0.3,10.64,08-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
08-May-2020 - 00:00,135.69,0.0,0.0,183.16,38.63,971.74,145.97,3.61,23.21,15.29,13.29,42.83,0.85,33.82,1.06,19.02,0.43,1.16,11.67,09-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
09-May-2020 - 00:00,125.62,0.0,0.0,128.94,38.4,971.73,142.84,1.29,16.81,9.99,13.77,49.54,1.08,35.74,1.39,21.41,0.0,0.0,12.39,10-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
10-May-2020 - 00:00,84.83,0.0,0.0,144.45,51.92,972.13,92.5,2.82,21.71,13.85,21.6,39.81,0.86,28.99,1.84,16.28,0.0,0.0,12.47,11-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
11-May-2020 - 00:00,91.1,0.0,0.0,135.81,51.7,972.12,136.17,3.34,25.09,16.06,14.94,38.71,0.95,29.92,1.52,16.93,0.0,0.0,12.23,12-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
12-May-2020 - 00:00,94.56,0.0,0.0,171.71,44.36,971.9,130.13,1.99,19.55,12.02,22.25,39.4,0.92,32.81,1.08,22.04,0.01,0.03,11.99,13-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
13-May-2020 - 00:00,151.31,0.0,,235.21,49.0,972.04,107.63,2.19,17.35,11.01,21.16,59.85,1.03,31.61,0.72,23.71,0.0,0.02,12.4,14-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
14-May-2020 - 00:00,113.1,0.0,0.0,206.51,52.0,972.12,141.38,5.1,23.72,16.78,26.91,37.98,1.04,31.33,1.13,18.49,0.01,0.02,12.32,15-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
15-May-2020 - 00:00,86.68,0.0,0.0,273.56,35.26,971.63,150.8,3.67,20.89,14.1,22.54,39.69,0.84,33.4,1.85,16.56,0.01,0.02,13.34,16-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
16-May-2020 - 00:00,118.47,0.0,,267.84,28.8,971.44,151.5,2.06,20.8,12.73,43.95,67.52,1.0,34.5,1.62,17.14,0.01,0.01,12.9,17-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
17-May-2020 - 00:00,155.43,0.0,,243.86,28.74,971.43,132.68,4.97,30.05,20.02,59.09,72.74,1.09,34.31,0.95,23.27,0.02,0.22,17.84,18-May-2020 - 00:00,"Mandir Marg, Delhi - DPCC"
