from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,MP-Xylene,Eth-Benzene,AT,RH,BP,SR,WS,WD,to date,station
01-Jan-2020 - 00:00,100.03,152.38,28.96,8.7,37.65,14.15,9.05,1.15,58.78,1.51,7.07,3.95,21.63,75.73,,288.82,0.53,231.68,02-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
02-Jan-2020 - 00:00,111.68,157.48,19.63,3.11,22.74,16.33,7.2,0.9,53.0,1.03,7.25,3.0,23.14,78.49,,266.21,0.53,215.92,03-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
03-Jan-2020 - 00:00,93.86,135.42,17.04,2.66,19.7,12.57,6.56,0.74,58.69,0.36,7.8,3.64,23.01,73.8,,247.99,0.59,218.82,04-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
04-Jan-2020 - 00:00,93.57,132.19,15.25,2.77,18.01,14.5,6.3,0.97,53.39,0.79,6.62,4.81,21.81,76.17,,267.27,0.58,229.58,05-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
05-Jan-2020 - 00:00,88.07,142.57,20.11,4.19,24.3,18.44,7.53,1.09,41.0,0.63,7.48,4.92,24.35,68.87,,299.34,0.63,220.98,06-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
06-Jan-2020 - 00:00,69.7,129.51,19.09,3.07,22.16,19.57,7.98,0.98,54.0,0.65,6.93,5.15,26.52,65.73,,284.31,0.61,217.69,07-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
07-Jan-2020 - 00:00,78.39,131.09,25.33,6.11,31.44,23.51,7.75,1.1,53.9,0.9,8.39,2.85,26.25,73.04,,231.38,0.64,185.05,08-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
08-Jan-2020 - 00:00,50.32,74.74,9.32,2.45,11.77,25.08,5.02,0.75,47.91,0.66,5.82,1.79,25.38,75.34,,255.39,0.64,198.26,09-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
09-Jan-2020 - 00:00,56.01,101.95,15.58,2.53,18.11,23.46,4.16,0.79,57.07,0.27,6.5,3.29,23.78,68.53,,308.61,0.63,228.76,10-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
10-Jan-2020 - 00:00,62.66,121.75,19.67,2.94,22.61,22.59,4.68,0.78,53.16,0.47,7.16,2.68,25.79,62.67,,277.58,0.66,207.19,11-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
11-Jan-2020 - 00:00,71.57,133.13,22.37,3.62,25.99,25.56,6.49,0.83,63.77,0.42,7.33,3.24,26.79,66.21,,259.81,0.59,222.7,12-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
12-Jan-2020 - 00:00,80.06,131.52,24.68,4.49,29.17,23.15,5.46,0.96,58.75,0.76,8.89,3.09,25.89,75.05,,241.38,0.58,201.86,13-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
13-Jan-2020 - 00:00,68.62,102.9,12.31,3.16,15.47,23.6,3.26,0.74,44.02,0.83,6.21,2.2,25.56,82.21,,238.52,0.66,202.69,14-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
14-Jan-2020 - 00:00,33.21,75.35,9.96,3.58,13.54,23.55,3.89,0.5,51.87,0.21,7.12,2.77,25.05,73.09,,274.06,1.69,211.26,15-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
15-Jan-2020 - 00:00,26.78,66.24,17.62,5.34,22.96,23.46,4.04,0.5,54.86,0.5,6.15,2.92,22.25,69.31,,266.92,0.63,216.95,16-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
16-Jan-2020 - 00:00,33.83,63.45,12.74,2.5,15.23,24.52,4.28,0.47,61.06,0.18,5.75,3.35,20.94,68.06,,296.51,0.66,248.5,17-Jan-2020 - 00:00,"Powai, Mumbai - MPCB"
