from date,PM2.5,PM10,AT,VWS,RH,RF,BP,SR,Temp,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,WS,WD,to date,station
01-Jan-2020 - 00:00,64.98,103.61,19.81,0.13,74.2,0.0,763.92,78.75,30.47,8.11,2.83,26.79,16.55,11.37,1.14,70.63,4.76,5.89,1.19,2.97,186.48,02-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Jan-2020 - 00:00,51.0,92.51,19.84,0.12,72.99,0.0,765.13,65.07,30.96,8.84,3.19,30.52,18.82,11.44,1.1,59.68,4.94,8.53,1.35,2.7,189.45,03-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Jan-2020 - 00:00,52.35,90.22,21.07,0.12,78.04,0.0,759.91,94.74,30.94,7.47,3.21,22.97,14.83,11.74,1.08,61.84,4.89,8.68,1.09,2.61,144.4,04-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Jan-2020 - 00:00,21.68,48.93,19.47,0.13,79.54,0.0,758.85,84.97,30.9,9.36,3.88,21.64,14.66,10.41,0.95,44.38,4.07,7.59,0.98,2.63,156.78,05-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Jan-2020 - 00:00,16.09,43.23,21.11,0.11,75.97,0.0,752.22,110.28,30.85,9.08,3.05,18.17,12.15,10.32,0.84,52.49,2.92,5.01,0.65,2.61,143.48,06-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Jan-2020 - 00:00,49.88,89.6,20.67,0.16,71.47,0.0,730.86,117.82,30.68,9.84,2.89,22.36,14.24,12.41,0.97,64.72,3.44,5.39,0.76,2.93,144.43,07-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Jan-2020 - 00:00,54.98,103.1,19.65,0.07,71.02,0.0,761.56,114.31,31.49,9.88,3.13,27.78,17.32,13.08,0.94,69.32,3.78,7.17,1.18,2.31,156.79,08-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Jan-2020 - 00:00,49.48,92.83,20.33,0.03,69.73,0.0,760.59,122.52,31.21,8.44,3.05,27.53,17.13,12.63,0.92,71.05,3.45,7.51,1.95,1.23,148.61,09-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Jan-2020 - 00:00,73.22,209.11,20.65,0.0,76.48,0.0,759.62,116.75,31.23,6.7,37.8,56.72,60.9,13.52,1.25,46.99,8.65,15.76,7.47,1.19,182.66,10-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Jan-2020 - 00:00,49.14,86.98,21.06,0.06,79.1,0.0,755.97,85.68,31.07,8.23,2.68,23.18,14.51,10.74,1.01,57.24,3.38,7.64,1.19,2.04,126.24,11-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Jan-2020 - 00:00,86.91,140.52,19.72,0.09,77.81,0.0,752.12,107.75,30.75,9.52,3.1,27.73,17.28,12.89,1.19,74.35,4.76,8.94,1.29,2.48,150.27,12-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Jan-2020 - 00:00,73.54,126.27,18.53,0.06,71.65,0.0,760.05,121.96,30.44,10.33,2.9,33.24,20.04,11.39,1.04,82.28,4.05,8.1,1.2,2.09,146.1,13-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Jan-2020 - 00:00,102.65,237.97,18.26,0.03,73.26,0.0,757.31,127.61,30.52,12.8,23.89,72.3,57.88,14.63,1.48,72.89,6.85,11.87,4.39,1.21,164.05,14-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Jan-2020 - 00:00,176.66,312.39,18.82,0.0,76.01,0.0,758.0,119.72,30.22,18.72,36.02,78.08,70.82,21.89,2.03,45.35,9.23,15.04,7.34,1.06,175.11,15-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Jan-2020 - 00:00,88.86,178.48,19.42,0.03,74.44,0.0,759.85,127.53,30.27,6.57,20.38,49.63,42.96,11.44,1.24,35.15,5.63,9.54,3.26,1.26,155.46,16-Jan-2020 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
