from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,O Xylene,RH,BP,SR,VWS,WS,NO,CO,WD,NO2,to date,station
01-Jan-2020 - 00:00,147.07,38.98,308.26,39.38,2.4,85.49,9.9,79.4,,22.29,0.19,0.65,137.9,3.14,154.27,69.1,02-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-Jan-2020 - 00:00,67.92,38.79,161.17,20.67,2.11,71.11,3.69,77.3,,18.46,0.17,0.61,48.65,3.62,153.91,54.53,03-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-Jan-2020 - 00:00,31.15,38.21,76.04,8.74,3.22,6.07,0.11,91.12,,14.24,0.18,0.52,16.67,1.79,132.13,33.29,04-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
04-Jan-2020 - 00:00,33.1,40.61,99.61,10.24,3.16,16.49,1.76,87.32,,16.91,0.18,0.71,17.49,2.76,195.0,35.9,05-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
05-Jan-2020 - 00:00,24.05,46.05,92.33,9.03,0.94,43.18,6.5,85.62,,22.56,0.17,0.37,10.58,1.61,217.86,29.3,06-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
06-Jan-2020 - 00:00,35.93,40.4,129.12,14.13,0.28,54.49,4.91,72.63,,19.84,0.17,0.57,23.48,4.12,193.03,32.53,07-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
07-Jan-2020 - 00:00,21.58,34.57,117.22,9.62,0.0,28.54,2.47,82.81,,15.49,0.17,0.5,10.83,2.41,85.41,24.73,08-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
08-Jan-2020 - 00:00,16.09,34.52,113.41,8.75,0.0,15.89,0.05,91.15,,5.02,0.18,0.35,8.08,1.31,142.62,18.1,09-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
09-Jan-2020 - 00:00,13.0,37.66,67.61,8.02,4.87,2.62,0.06,90.68,,16.21,0.18,0.44,7.21,1.45,187.11,13.6,10-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
10-Jan-2020 - 00:00,27.83,40.71,137.08,6.1,2.86,16.66,0.32,89.56,,32.54,0.18,0.35,14.25,1.9,216.22,30.89,11-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
11-Jan-2020 - 00:00,67.29,40.68,196.15,7.9,0.57,68.45,1.45,88.89,,37.81,0.19,0.74,48.18,1.9,213.25,54.04,12-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
12-Jan-2020 - 00:00,116.82,40.38,279.72,11.23,2.53,96.68,2.85,84.51,,35.78,0.18,0.63,107.75,1.9,207.03,57.56,13-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
13-Jan-2020 - 00:00,39.08,37.18,223.36,4.74,2.7,17.05,1.24,91.15,,22.76,0.19,0.43,19.13,1.9,123.18,44.7,14-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
14-Jan-2020 - 00:00,70.84,36.53,157.27,7.95,2.34,35.11,0.14,83.09,,23.52,0.18,0.57,50.73,3.41,129.13,56.85,15-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
15-Jan-2020 - 00:00,72.43,34.25,180.08,5.97,0.25,38.13,7.58,91.15,,6.55,0.17,0.68,46.71,3.66,201.71,65.83,16-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
16-Jan-2020 - 00:00,22.54,35.9,96.77,3.64,1.24,7.4,2.53,91.15,,3.22,0.17,0.41,7.13,2.75,137.39,33.51,17-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
17-Jan-2020 - 00:00,45.49,36.16,67.86,8.1,1.76,11.06,1.62,91.15,,6.42,0.17,0.59,38.06,3.6,160.6,30.18,18-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
18-Jan-2020 - 00:00,25.76,35.34,105.07,6.91,1.62,26.4,2.18,91.15,,4.28,0.18,0.51,15.29,3.09,181.47,26.05,19-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
