from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,O Xylene,RH,BP,SR,VWS,WS,NO,CO,WD,NO2,to date,station
19-Jan-2020 - 00:00,21.3,4.98,100.86,3.97,1.2,17.18,14.8,91.15,,13.43,0.16,0.11,6.75,2.89,184.65,29.93,20-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
20-Jan-2020 - 00:00,22.08,22.64,139.9,4.36,1.79,6.49,0.57,91.15,,35.3,0.18,0.11,8.05,2.77,205.99,30.8,21-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
21-Jan-2020 - 00:00,81.02,38.64,184.96,8.19,1.11,28.22,1.47,91.15,,48.92,0.18,0.22,66.05,1.9,176.21,52.98,22-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
22-Jan-2020 - 00:00,66.55,41.01,202.52,8.91,1.7,14.84,0.59,81.13,,40.73,0.18,0.14,51.81,2.95,211.51,48.93,23-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
23-Jan-2020 - 00:00,25.39,44.97,123.58,4.7,1.95,9.68,0.04,68.59,,27.66,0.14,0.06,8.85,0.65,187.14,34.43,24-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
24-Jan-2020 - 00:00,44.09,48.12,118.29,7.09,1.76,11.3,0.22,68.25,,32.96,0.15,0.09,26.14,1.52,182.16,43.58,25-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
25-Jan-2020 - 00:00,54.27,45.29,177.3,7.61,6.91,9.98,0.79,77.33,,34.73,0.18,0.15,27.66,2.77,184.22,60.48,26-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
26-Jan-2020 - 00:00,64.94,39.19,161.36,6.96,0.43,5.0,1.0,85.33,,30.74,0.18,0.18,50.62,4.17,187.0,45.96,27-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
27-Jan-2020 - 00:00,41.07,38.43,143.72,4.11,0.0,5.0,1.0,76.55,,43.18,0.17,0.2,16.57,3.16,199.95,52.28,28-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
28-Jan-2020 - 00:00,33.23,49.94,158.54,3.54,1.4,2.64,1.0,81.01,,23.84,0.14,0.09,9.03,2.55,147.76,48.89,29-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
29-Jan-2020 - 00:00,14.97,60.45,126.78,2.14,1.37,2.58,1.0,84.79,,21.83,0.15,0.07,1.86,1.63,175.0,25.36,30-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
30-Jan-2020 - 00:00,25.07,52.49,63.5,3.43,1.39,2.55,1.0,71.5,,28.66,0.15,0.07,9.2,1.79,164.2,34.08,31-Jan-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
31-Jan-2020 - 00:00,32.73,47.69,112.89,4.6,1.37,2.56,1.0,62.38,,34.13,0.15,0.1,12.61,2.21,186.0,43.64,01-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
01-Feb-2020 - 00:00,31.21,38.35,147.59,3.95,1.39,2.62,1.0,65.9,,25.8,0.17,0.14,6.78,1.37,169.43,49.73,02-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-Feb-2020 - 00:00,26.52,38.15,149.33,5.71,1.39,2.61,1.0,68.49,,18.48,0.17,0.08,4.72,1.16,176.26,42.81,03-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-Feb-2020 - 00:00,51.95,36.77,151.8,5.98,1.38,2.64,1.0,69.39,,21.29,0.18,0.14,28.09,2.6,210.57,55.44,04-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
04-Feb-2020 - 00:00,70.65,35.43,187.56,6.25,1.39,2.58,1.0,72.06,,22.89,0.18,0.22,38.65,3.66,183.83,74.69,05-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
05-Feb-2020 - 00:00,29.29,38.7,136.76,3.95,1.39,2.59,1.0,60.97,,19.32,0.16,0.1,5.71,1.42,208.76,46.5,06-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
06-Feb-2020 - 00:00,23.21,38.33,134.96,5.67,1.39,2.6,1.0,60.78,,19.48,0.17,0.13,4.97,3.1,185.02,36.18,07-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
07-Feb-2020 - 00:00,34.62,40.06,167.53,3.89,1.39,2.6,1.0,62.15,,19.02,0.17,0.13,11.8,2.29,133.41,48.83,08-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
08-Feb-2020 - 00:00,39.03,42.67,155.94,6.12,1.39,2.61,1.0,59.29,,20.15,0.17,0.17,15.35,1.93,167.93,50.37,09-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
09-Feb-2020 - 00:00,41.25,38.93,167.81,5.09,1.38,2.6,1.0,65.64,,19.35,0.17,0.2,13.09,1.93,177.32,58.16,10-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
10-Feb-2020 - 00:00,43.48,39.04,165.06,5.42,1.4,2.63,1.0,62.05,,15.5,0.17,0.18,12.04,1.49,168.14,63.58,11-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
11-Feb-2020 - 00:00,39.89,39.27,166.25,6.02,0.73,1.18,0.59,59.41,,19.27,0.17,0.19,9.96,2.14,178.03,60.12,12-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
12-Feb-2020 - 00:00,35.61,47.87,158.05,6.78,0.0,0.04,0.0,63.26,,19.19,0.16,0.15,8.11,1.21,177.86,54.77,13-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
13-Feb-2020 - 00:00,32.48,42.3,146.27,7.6,0.0,0.0,0.02,62.7,,20.78,0.15,0.09,12.56,0.96,202.02,42.75,14-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
14-Feb-2020 - 00:00,25.56,40.09,112.89,4.73,0.0,0.0,0.0,60.43,,22.18,0.13,0.62,9.71,1.11,204.52,33.44,15-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
15-Feb-2020 - 00:00,27.51,36.11,117.0,7.48,0.0,0.0,0.0,49.46,,22.75,0.15,0.4,7.14,,267.6,40.98,16-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
16-Feb-2020 - 00:00,38.03,31.79,159.18,6.89,0.0,0.0,0.0,61.85,,21.22,0.16,0.27,9.67,,218.15,56.95,17-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
17-Feb-2020 - 00:00,33.7,36.51,187.38,5.21,0.0,0.0,0.0,68.37,,20.05,0.15,0.47,8.35,0.69,247.67,50.8,18-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
18-Feb-2020 - 00:00,30.55,43.11,127.68,6.82,0.0,0.0,0.0,49.6,,24.08,0.15,0.46,7.73,0.79,237.89,45.91,19-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
19-Feb-2020 - 00:00,68.7,40.43,142.55,9.15,0.02,0.0,0.0,52.01,,24.0,0.15,0.36,33.85,0.8,193.1,78.26,20-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
20-Feb-2020 - 00:00,23.51,44.74,122.69,5.57,0.01,0.0,0.0,56.21,,21.48,0.14,0.46,5.4,0.86,129.98,36.07,21-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
21-Feb-2020 - 00:00,16.24,44.66,85.35,4.62,0.0,0.39,0.32,77.5,,27.13,0.12,0.9,6.81,1.03,87.11,21.23,22-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
22-Feb-2020 - 00:00,24.92,34.1,58.09,5.31,0.52,7.93,0.0,81.05,,15.98,0.16,0.7,8.61,1.18,119.04,35.07,23-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
23-Feb-2020 - 00:00,32.79,37.87,172.19,7.42,0.0,54.12,0.16,77.29,,27.4,0.15,0.46,10.7,1.2,167.17,45.56,24-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
24-Feb-2020 - 00:00,32.4,34.47,124.42,5.38,0.23,49.86,0.72,82.35,,14.61,0.15,0.58,8.64,1.3,201.82,47.91,25-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
25-Feb-2020 - 00:00,17.41,40.69,48.31,2.7,0.24,14.49,0.34,80.87,,18.64,0.16,1.23,7.25,1.5,104.2,21.82,26-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
26-Feb-2020 - 00:00,28.78,36.27,65.48,3.34,1.54,6.85,0.04,75.55,,23.43,0.16,0.4,9.21,1.5,138.32,40.97,27-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
27-Feb-2020 - 00:00,33.11,37.5,70.68,4.65,0.17,25.4,0.46,76.2,,18.19,0.16,0.39,10.88,1.5,134.31,45.89,28-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
28-Feb-2020 - 00:00,39.5,36.91,89.13,4.98,4.95,8.28,2.04,73.83,,22.26,0.15,0.31,19.33,1.5,105.88,45.43,29-Feb-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
29-Feb-2020 - 00:00,37.61,42.78,99.86,4.05,12.21,2.24,0.21,69.67,,21.15,0.15,0.38,19.67,1.5,128.28,41.12,01-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
01-Mar-2020 - 00:00,29.66,37.83,113.43,4.3,19.21,9.36,3.16,72.8,,19.4,0.14,0.7,14.27,1.5,210.25,39.97,02-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-Mar-2020 - 00:00,37.49,38.94,93.12,4.1,7.18,4.63,0.98,69.43,,24.33,0.14,0.62,17.38,1.34,272.11,44.34,03-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-Mar-2020 - 00:00,32.55,38.41,107.12,5.28,22.31,28.12,9.97,62.68,,20.94,0.14,0.44,10.24,1.1,263.05,45.45,04-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
04-Mar-2020 - 00:00,38.4,40.54,112.71,6.34,84.89,81.23,14.34,56.56,,19.16,0.14,0.42,15.8,1.1,185.85,48.43,05-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
05-Mar-2020 - 00:00,26.05,40.24,86.44,2.79,15.13,14.11,4.11,74.73,,21.23,0.15,0.89,9.24,1.09,150.57,35.08,06-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
06-Mar-2020 - 00:00,19.38,40.17,48.08,2.86,16.25,7.59,2.16,78.1,,33.34,0.16,1.1,8.4,1.1,95.59,23.8,07-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
07-Mar-2020 - 00:00,20.02,36.09,31.37,2.74,11.9,9.82,2.16,83.14,,43.01,0.16,0.91,9.26,1.1,133.68,23.49,08-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
08-Mar-2020 - 00:00,15.54,47.95,140.96,0.6,29.8,18.2,4.8,74.79,,50.62,0.16,0.74,3.28,1.1,305.15,24.28,09-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
09-Mar-2020 - 00:00,20.62,26.91,65.64,4.08,25.98,61.76,8.78,58.18,,48.77,0.15,0.48,4.68,1.11,249.51,31.74,10-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
10-Mar-2020 - 00:00,18.14,8.85,134.12,4.62,33.79,26.71,6.57,61.07,,10.23,0.17,0.5,2.23,1.09,228.47,30.75,11-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
11-Mar-2020 - 00:00,16.91,11.02,87.39,4.51,51.12,21.97,4.97,73.08,,16.62,0.16,0.41,1.88,1.1,140.75,29.26,12-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
12-Mar-2020 - 00:00,39.37,27.02,73.57,5.03,11.11,21.74,6.87,66.75,,43.42,0.13,0.31,15.12,1.1,105.04,51.27,13-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
13-Mar-2020 - 00:00,16.73,30.39,51.27,4.21,8.63,4.88,1.18,84.44,,22.1,0.16,1.07,2.86,1.1,95.83,27.15,14-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
14-Mar-2020 - 00:00,17.14,25.16,77.42,4.15,8.29,17.56,6.71,85.51,,28.54,0.17,0.54,6.02,1.11,155.27,23.57,15-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
15-Mar-2020 - 00:00,44.01,30.65,58.26,3.46,5.03,3.06,0.39,80.86,,38.91,0.16,0.66,39.9,1.1,204.21,24.27,16-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
16-Mar-2020 - 00:00,56.13,19.27,66.58,4.05,19.04,27.25,3.36,65.59,,32.37,0.16,0.5,60.6,1.1,279.24,17.52,17-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
17-Mar-2020 - 00:00,63.65,13.52,94.22,4.49,38.8,21.89,3.49,56.44,,38.41,0.16,0.41,82.0,1.09,254.43,12.18,18-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
18-Mar-2020 - 00:00,83.01,11.27,98.75,4.76,21.37,59.47,13.35,52.44,,39.79,0.15,0.45,125.84,1.1,256.34,,19-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
19-Mar-2020 - 00:00,19.49,29.23,212.66,5.16,53.4,101.22,24.94,56.3,,40.98,0.14,0.36,37.18,1.1,258.3,15.56,20-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
20-Mar-2020 - 00:00,14.66,46.56,134.38,5.09,61.87,155.66,33.95,60.08,,34.39,0.14,0.3,9.88,1.11,179.83,12.69,21-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
21-Mar-2020 - 00:00,11.83,42.47,82.7,3.09,71.97,60.99,14.38,51.4,,36.84,0.13,0.51,5.83,1.1,184.02,13.48,22-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
22-Mar-2020 - 00:00,10.4,41.79,60.27,3.89,78.96,17.07,2.02,55.72,,34.2,0.14,0.38,4.18,1.1,188.38,18.2,23-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
23-Mar-2020 - 00:00,10.82,41.67,84.2,3.63,53.7,11.13,0.66,58.35,,35.61,0.14,0.56,4.18,1.1,170.36,14.06,24-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
24-Mar-2020 - 00:00,10.66,39.56,116.67,4.18,76.62,18.28,2.33,56.45,,32.93,0.14,0.36,4.05,1.1,192.13,14.12,25-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
25-Mar-2020 - 00:00,11.02,38.37,91.23,4.18,96.09,17.61,2.74,46.55,,40.25,0.12,0.75,4.55,1.11,300.15,13.88,26-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
26-Mar-2020 - 00:00,10.6,39.21,53.41,3.89,51.8,5.79,0.1,43.54,,39.19,0.12,0.91,4.8,1.11,298.42,14.13,27-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
27-Mar-2020 - 00:00,11.25,30.93,57.47,4.31,15.24,1.5,0.0,73.86,,6.49,0.15,1.04,5.09,1.1,293.89,13.49,28-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
28-Mar-2020 - 00:00,12.6,36.68,42.45,3.45,18.01,5.49,0.69,62.76,,63.58,0.14,0.91,10.67,1.1,291.18,17.03,29-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
29-Mar-2020 - 00:00,11.31,39.56,41.14,4.07,57.0,7.2,0.28,46.77,,42.62,0.13,0.73,5.49,1.1,298.47,13.9,30-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
30-Mar-2020 - 00:00,11.67,37.89,52.13,4.32,50.84,7.31,0.82,37.84,,46.61,0.12,0.81,6.79,1.1,309.05,12.01,31-Mar-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
31-Mar-2020 - 00:00,12.06,41.01,60.76,4.07,28.54,8.02,1.69,34.28,,46.18,0.13,0.68,7.84,1.1,281.07,11.65,01-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
01-Apr-2020 - 00:00,14.27,39.07,75.22,4.36,15.79,2.34,0.08,37.28,999.65,42.99,0.12,0.58,17.52,1.11,307.86,36.09,02-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-Apr-2020 - 00:00,11.36,40.27,62.07,3.81,21.1,1.8,0.02,36.57,999.93,45.6,0.12,1.02,6.56,1.1,314.46,17.48,03-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-Apr-2020 - 00:00,10.79,41.64,59.03,4.05,34.91,5.43,0.33,29.37,,48.58,0.13,0.78,3.68,1.1,303.01,14.75,04-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
04-Apr-2020 - 00:00,10.84,39.91,55.22,4.54,45.37,9.47,1.13,28.79,,48.7,0.13,0.86,3.71,1.09,288.3,14.79,05-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
05-Apr-2020 - 00:00,9.97,36.9,73.67,4.59,45.22,10.58,0.99,28.03,,48.01,0.12,0.71,1.67,1.11,278.97,16.55,06-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
06-Apr-2020 - 00:00,9.61,37.19,62.43,4.56,41.81,5.46,0.15,27.8,,46.49,0.1,0.88,1.1,1.1,309.32,16.8,07-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
07-Apr-2020 - 00:00,9.69,36.34,50.15,4.58,57.49,8.08,0.35,26.28,999.04,43.13,0.11,0.96,1.29,1.1,308.45,18.29,08-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
08-Apr-2020 - 00:00,9.52,35.82,60.96,4.4,28.41,11.78,3.27,28.73,999.62,26.87,0.12,0.87,1.13,1.1,283.74,16.98,09-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
09-Apr-2020 - 00:00,9.42,49.46,71.29,4.95,26.16,4.26,0.32,36.15,,36.4,0.13,0.76,1.14,1.1,302.7,16.19,10-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
10-Apr-2020 - 00:00,9.58,50.57,60.46,5.29,16.52,3.98,0.46,29.03,,44.29,0.12,0.45,1.15,1.1,277.14,16.85,11-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
11-Apr-2020 - 00:00,9.78,44.58,73.78,5.5,33.63,12.93,2.65,31.21,,43.26,0.11,0.59,1.2,1.1,280.07,16.75,12-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
12-Apr-2020 - 00:00,9.57,31.37,74.68,4.64,37.44,15.45,7.73,28.06,999.48,46.83,0.1,0.52,1.0,1.08,259.58,16.8,13-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
13-Apr-2020 - 00:00,17.35,11.18,46.52,4.76,45.4,20.27,16.04,30.33,998.66,43.93,0.11,0.46,9.61,1.04,234.38,21.45,14-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
14-Apr-2020 - 00:00,9.78,19.89,103.83,4.82,47.53,19.71,3.25,39.17,999.4,36.47,0.11,0.46,1.16,0.6,160.27,16.66,15-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
15-Apr-2020 - 00:00,9.67,12.28,93.38,4.77,56.09,22.8,4.35,42.42,998.9,28.64,0.11,0.56,1.19,0.6,172.74,16.68,16-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
16-Apr-2020 - 00:00,9.76,11.45,103.96,4.4,36.17,24.64,4.7,49.17,998.11,38.22,0.11,0.68,1.11,0.6,147.42,16.69,17-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
17-Apr-2020 - 00:00,9.57,6.4,121.09,5.58,44.65,34.79,7.16,42.14,998.12,25.31,0.12,0.61,1.14,0.88,231.42,16.83,18-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
18-Apr-2020 - 00:00,9.66,8.48,52.61,4.83,68.46,26.45,5.53,36.31,998.99,38.31,0.12,0.6,1.2,1.1,226.38,16.65,19-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
19-Apr-2020 - 00:00,10.4,9.96,46.56,5.04,52.27,22.4,3.57,37.87,998.27,26.78,0.12,0.89,2.68,1.1,236.11,17.17,20-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
20-Apr-2020 - 00:00,9.89,10.62,38.84,4.75,78.2,13.02,1.42,40.02,999.84,25.27,0.12,1.3,1.16,1.11,264.25,17.06,21-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
21-Apr-2020 - 00:00,9.67,12.6,30.66,4.15,72.74,9.29,1.25,45.57,999.48,34.94,0.12,0.93,1.21,1.1,162.07,17.39,22-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
22-Apr-2020 - 00:00,9.84,15.11,47.17,4.28,79.14,15.46,1.81,45.61,999.07,44.87,0.12,0.62,1.17,1.1,172.66,16.74,23-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
23-Apr-2020 - 00:00,9.48,14.29,93.94,6.25,37.34,20.91,5.95,47.16,998.73,10.87,0.14,0.4,1.12,1.1,155.06,16.97,24-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
24-Apr-2020 - 00:00,9.86,14.68,68.67,4.7,87.43,17.09,2.31,45.87,997.51,28.12,0.13,0.57,1.2,1.1,98.7,16.74,25-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
25-Apr-2020 - 00:00,9.86,16.99,73.67,3.94,58.44,12.64,1.13,57.95,997.62,27.43,0.13,0.64,1.18,1.1,65.23,16.78,26-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
26-Apr-2020 - 00:00,9.78,16.91,45.91,3.85,33.08,4.72,0.19,70.78,999.35,37.43,0.14,1.04,1.11,1.1,106.54,16.78,27-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
27-Apr-2020 - 00:00,9.71,16.28,26.98,3.57,33.02,5.26,0.27,72.79,,33.16,0.15,0.66,1.13,1.1,70.57,16.8,28-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
28-Apr-2020 - 00:00,9.33,20.81,48.57,3.95,24.3,5.76,0.42,63.82,,26.6,0.15,0.82,1.02,1.1,155.28,16.93,29-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
29-Apr-2020 - 00:00,9.47,14.76,41.21,4.06,30.75,7.14,0.61,64.89,999.69,35.96,0.15,0.56,1.12,1.1,74.62,16.78,30-Apr-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
30-Apr-2020 - 00:00,9.76,27.91,56.82,4.24,69.67,12.68,1.13,53.31,999.34,27.41,0.13,0.38,1.24,1.1,107.11,16.73,01-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
01-May-2020 - 00:00,9.52,26.04,40.91,4.05,31.25,5.23,0.4,63.53,999.47,20.91,0.14,0.81,1.12,1.1,87.59,17.85,02-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
02-May-2020 - 00:00,9.83,29.37,36.19,3.7,61.02,6.84,0.25,64.91,999.04,37.17,0.14,0.74,1.14,1.1,72.69,16.77,03-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
03-May-2020 - 00:00,9.74,24.78,39.84,3.99,19.22,4.87,0.28,56.59,998.42,35.39,0.13,0.61,1.11,1.1,109.83,16.77,04-May-2020 - 00:00,"Lalbagh, Lucknow - CPCB"
