from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,AT,RH,WS,WD,BP,SR,RF,to date,station
01-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
02-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
03-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
04-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
05-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
06-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
07-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
08-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
09-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
10-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
11-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
12-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
13-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
14-Jan-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jan-2020 - 00:00,"Govt. High School Shikarpur, Patna - BSPCB"
