from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,to date,station
15-Nov-2020 - 00:00,0.28,60.02,14.06,14.51,9.15,23.65,10.81,212.1,137.05,4.43,6.07,1.1,2.88,25.85,0.24,-0.0,207.37,47.84,,139.02,16-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Nov-2020 - 00:00,0.39,46.88,16.36,17.18,9.1,26.29,10.19,205.54,125.26,6.0,6.42,1.21,3.08,25.58,0.22,-0.01,249.39,48.92,,144.69,17-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Nov-2020 - 00:00,0.29,53.73,19.96,18.3,10.03,28.34,10.68,275.37,166.49,9.52,15.05,1.91,4.33,24.98,0.23,-0.0,212.07,57.32,,124.69,18-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Nov-2020 - 00:00,0.19,62.44,20.65,16.09,8.61,24.69,13.84,251.16,158.92,8.79,11.7,1.29,3.13,25.85,0.22,0.0,172.3,59.95,,113.1,19-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Nov-2020 - 00:00,0.23,45.36,16.41,14.91,8.97,23.82,13.71,181.34,108.5,6.61,11.42,1.35,3.31,26.17,0.39,0.0,219.15,68.44,,120.87,20-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Nov-2020 - 00:00,0.23,36.76,15.68,13.77,8.78,22.54,14.12,180.46,111.33,5.58,7.92,0.94,2.51,26.75,1.15,-0.0,237.51,73.15,,100.94,21-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Nov-2020 - 00:00,0.14,24.74,10.71,14.18,9.24,23.43,13.79,218.32,159.96,7.49,10.38,1.19,3.13,23.59,0.54,-0.02,217.1,88.42,,58.36,22-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Nov-2020 - 00:00,0.17,59.56,12.67,14.4,11.41,25.81,12.91,169.17,113.42,4.42,6.12,1.0,2.12,22.07,0.34,-0.01,179.57,54.11,,138.8,23-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Nov-2020 - 00:00,0.5,61.67,12.88,15.82,11.86,27.67,18.79,213.83,129.13,10.14,15.44,4.73,7.29,20.95,0.29,-0.01,161.7,50.3,,132.67,24-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Nov-2020 - 00:00,0.28,43.18,15.94,15.41,8.9,24.3,19.65,208.37,128.36,5.61,13.14,1.3,3.39,20.86,0.16,0.0,199.5,57.45,,104.63,25-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Nov-2020 - 00:00,0.19,32.66,15.29,15.46,10.03,25.48,17.76,204.92,121.16,7.17,13.91,1.22,3.0,21.58,0.17,-0.0,219.98,66.7,,101.22,26-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Nov-2020 - 00:00,0.18,26.8,16.64,16.2,11.93,28.14,14.29,202.57,127.54,9.36,15.87,1.64,3.94,21.65,0.14,0.01,219.17,70.45,,71.97,27-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Nov-2020 - 00:00,0.16,30.73,16.4,16.74,11.45,28.2,14.83,172.57,93.61,4.01,7.56,0.57,1.68,22.83,0.33,-0.0,252.78,63.36,,125.58,28-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Nov-2020 - 00:00,0.22,54.62,18.12,20.37,11.58,31.95,14.15,181.43,105.19,3.98,7.15,0.62,1.72,23.08,0.24,-0.0,239.12,55.36,,134.02,29-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Nov-2020 - 00:00,0.25,52.22,17.6,22.86,12.74,35.6,13.38,220.91,131.87,5.7,7.96,1.17,3.01,22.32,0.23,-0.0,218.22,54.65,,114.53,30-Nov-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Nov-2020 - 00:00,0.18,52.15,18.42,25.07,15.96,41.03,12.36,216.75,120.57,6.63,12.11,1.27,3.02,22.31,0.18,-0.01,238.08,49.79,,135.75,01-Dec-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Dec-2020 - 00:00,0.18,6.26,25.3,37.35,42.85,80.2,0.08,512.1,292.9,27.59,48.11,10.4,19.81,19.04,0.03,0.0,316.86,73.57,,16.99,02-Dec-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
