from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,to date,station
25-Feb-2020 - 00:00,0.69,22.34,11.85,65.51,30.16,95.67,66.96,168.03,106.3,8.78,13.42,1.69,3.95,20.37,0.25,0.0,169.64,79.6,,49.41,26-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Feb-2020 - 00:00,0.39,30.43,18.15,51.55,22.09,73.63,53.93,101.14,50.67,5.36,9.99,0.97,2.19,21.65,0.32,0.0,222.47,68.96,,103.11,27-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Feb-2020 - 00:00,0.57,30.61,17.3,61.03,17.16,78.18,54.55,124.24,66.09,5.69,8.83,1.35,3.0,22.11,0.36,0.0,170.36,65.92,,79.68,28-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Feb-2020 - 00:00,0.55,32.23,12.29,59.58,18.72,78.07,47.68,150.97,87.22,5.97,8.35,1.09,2.38,22.43,0.51,0.0,141.27,61.38,,132.04,29-Feb-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Feb-2020 - 00:00,0.53,35.3,13.82,57.59,16.71,74.29,52.64,143.18,85.5,6.29,8.5,1.34,3.0,23.65,0.23,0.01,152.7,51.85,,199.0,01-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Mar-2020 - 00:00,0.85,32.23,16.23,59.3,54.14,113.43,54.01,208.33,121.27,8.41,11.93,2.13,4.65,24.35,0.17,0.0,213.67,57.48,,137.44,02-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Mar-2020 - 00:00,0.75,30.2,23.06,71.16,37.08,107.9,51.17,234.39,125.81,8.73,13.29,2.28,4.8,25.56,0.24,0.0,216.49,58.87,,133.08,03-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Mar-2020 - 00:00,0.56,33.03,15.96,56.38,15.17,71.56,49.67,169.67,101.14,7.28,9.23,0.95,2.34,24.01,0.49,-0.0,157.02,69.36,,117.66,04-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Mar-2020 - 00:00,0.42,30.94,18.88,52.15,23.19,75.34,46.75,110.64,65.85,5.09,9.56,0.92,2.23,23.76,0.44,0.0,199.31,71.0,,117.05,05-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Mar-2020 - 00:00,0.45,29.59,18.58,52.73,26.79,79.48,48.94,117.43,47.68,6.89,12.15,1.15,2.72,22.89,0.38,0.0,189.07,71.57,,131.29,06-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Mar-2020 - 00:00,0.37,26.38,16.53,38.93,22.13,61.06,44.28,102.66,47.58,6.87,11.22,1.15,2.68,24.31,0.36,0.0,201.12,73.82,,107.69,07-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Mar-2020 - 00:00,0.38,29.43,15.03,34.55,14.89,49.43,46.63,61.75,37.57,3.46,5.7,0.6,1.44,23.22,0.46,0.0,123.81,83.74,,101.23,08-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Mar-2020 - 00:00,0.58,30.92,17.57,47.71,24.04,71.51,45.35,102.39,58.63,4.1,5.86,1.01,2.37,24.9,0.32,0.0,219.17,70.45,,141.07,09-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Mar-2020 - 00:00,0.43,44.05,18.6,50.53,15.9,66.43,43.44,121.76,65.24,3.49,5.23,1.24,3.15,24.57,0.3,-0.0,182.57,50.89,,158.5,10-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Mar-2020 - 00:00,0.56,41.96,18.82,56.64,12.56,69.19,35.76,125.22,75.03,4.64,6.32,1.0,2.35,24.51,0.26,-0.01,191.18,52.22,,144.0,11-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Mar-2020 - 00:00,0.4,42.68,19.72,54.82,12.67,67.5,39.14,124.83,62.46,3.86,6.67,0.57,1.53,26.33,0.31,0.0,232.67,57.9,,121.88,12-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Mar-2020 - 00:00,0.49,37.09,22.45,51.82,12.76,64.58,43.48,130.21,72.13,4.94,7.23,0.68,1.87,26.84,0.49,0.0,173.85,63.04,,130.14,13-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Mar-2020 - 00:00,0.56,38.69,21.72,59.66,13.65,73.3,45.38,132.65,73.14,6.2,12.02,1.4,2.95,28.25,0.36,0.0,170.77,60.28,,129.08,14-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Mar-2020 - 00:00,0.31,46.25,14.58,31.21,9.24,40.45,41.18,114.29,55.44,2.87,3.26,0.33,0.74,25.81,1.23,-0.01,105.01,57.54,,152.22,15-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Mar-2020 - 00:00,0.36,40.35,18.12,41.82,10.52,52.35,42.32,52.52,23.58,1.62,3.28,0.31,0.91,24.86,0.37,0.0,196.26,58.91,,154.15,16-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Mar-2020 - 00:00,0.51,40.41,23.97,47.19,13.77,60.97,44.32,113.64,63.74,3.75,6.83,0.68,1.61,26.77,0.3,0.0,202.47,58.74,,142.46,17-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Mar-2020 - 00:00,0.44,34.83,17.22,45.2,11.11,56.31,50.99,125.38,69.97,5.85,21.48,1.39,2.38,27.38,0.45,0.0,141.49,51.59,,146.27,18-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Mar-2020 - 00:00,0.6,26.82,15.09,53.58,25.54,79.11,48.01,178.21,95.39,7.01,10.97,1.61,3.31,26.73,0.56,-0.0,169.54,51.33,,134.73,19-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Mar-2020 - 00:00,0.58,31.41,17.25,59.18,16.02,75.15,37.7,162.0,91.46,7.24,10.02,1.92,3.3,27.31,0.29,-0.0,189.41,43.86,,135.5,20-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Mar-2020 - 00:00,0.37,37.47,19.06,46.06,12.76,58.83,37.93,88.36,46.2,3.91,6.94,0.83,1.73,26.14,0.53,-0.0,230.24,47.58,,146.21,21-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Mar-2020 - 00:00,0.29,37.99,14.71,44.82,16.25,61.04,38.13,113.29,57.07,5.44,8.65,1.2,2.4,27.21,0.51,-0.01,213.78,58.41,,142.76,22-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Mar-2020 - 00:00,0.13,34.28,13.42,29.56,9.44,39.01,40.95,34.56,17.07,1.1,2.12,0.25,0.56,24.19,0.52,-0.01,166.48,63.12,,130.39,23-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Mar-2020 - 00:00,0.27,39.02,13.51,30.33,10.21,40.54,39.77,62.0,36.03,2.72,3.22,0.46,0.89,26.09,0.45,-0.0,159.44,63.08,,152.89,24-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Mar-2020 - 00:00,0.31,35.96,12.95,25.2,10.5,35.7,39.06,64.57,39.18,3.03,2.62,0.43,0.81,26.72,0.45,-0.0,125.02,62.91,,143.72,25-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Mar-2020 - 00:00,0.35,31.41,13.6,27.31,11.78,39.28,38.41,103.62,68.87,5.54,4.92,0.94,1.88,27.55,0.33,0.0,208.59,60.54,,142.54,26-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Mar-2020 - 00:00,0.3,37.2,12.48,24.98,10.19,35.16,37.96,69.53,41.61,2.53,3.97,0.5,1.05,29.13,0.32,0.0,203.73,57.28,,167.85,27-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Mar-2020 - 00:00,0.27,39.83,13.63,24.42,9.09,33.52,34.26,99.86,56.53,2.86,2.47,0.39,0.8,30.47,0.35,0.0,224.51,44.48,,168.03,28-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Mar-2020 - 00:00,0.34,19.32,14.09,27.89,8.94,36.81,32.41,90.2,51.97,3.04,2.82,0.52,1.11,30.26,0.32,-0.0,230.09,49.85,,117.86,29-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Mar-2020 - 00:00,0.25,20.45,13.51,24.12,8.83,32.94,32.63,69.9,39.32,2.63,2.07,0.39,0.83,30.23,0.44,-0.0,246.7,41.6,,199.73,30-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Mar-2020 - 00:00,0.26,40.61,16.17,27.72,8.7,36.42,31.26,84.96,43.2,2.97,2.28,0.44,0.96,30.69,0.36,-0.0,218.1,37.48,,199.52,31-Mar-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
31-Mar-2020 - 00:00,0.3,32.12,15.5,27.09,8.77,35.86,31.19,86.34,48.59,3.16,2.63,0.56,1.16,29.79,0.34,0.01,222.85,41.75,,153.32,01-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Apr-2020 - 00:00,0.29,37.13,12.88,21.34,8.7,30.05,31.82,90.31,54.69,1.78,1.76,0.27,0.57,30.5,0.59,-0.0,217.15,55.64,,148.56,02-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Apr-2020 - 00:00,0.27,34.98,12.59,21.21,8.63,29.84,33.07,70.86,44.29,1.53,1.74,0.25,0.48,29.95,0.57,-0.0,221.14,60.0,999.88,144.94,03-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Apr-2020 - 00:00,0.34,33.47,12.42,21.49,8.98,30.48,34.91,85.32,49.75,2.33,2.88,0.39,0.81,31.05,0.38,0.0,192.01,56.22,,141.11,04-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Apr-2020 - 00:00,0.34,35.54,14.17,23.99,8.89,32.88,32.26,114.97,65.39,3.23,2.93,0.41,0.9,31.19,0.53,-0.0,176.38,45.44,,132.05,05-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Apr-2020 - 00:00,0.3,50.44,12.9,19.72,8.65,28.37,30.01,87.94,52.31,1.97,1.63,0.22,0.48,30.73,0.42,0.0,224.62,54.1,,135.32,06-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Apr-2020 - 00:00,0.31,51.68,13.97,28.56,8.71,37.26,29.89,92.64,55.37,2.25,2.77,0.42,0.87,31.0,0.42,-0.0,221.34,48.45,,161.09,07-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Apr-2020 - 00:00,0.25,62.56,15.25,22.25,8.59,30.85,29.83,76.52,46.82,1.56,1.5,0.2,0.43,30.95,0.75,-0.0,217.72,50.25,,148.41,08-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Apr-2020 - 00:00,0.21,57.1,14.86,23.76,8.58,32.34,31.43,48.68,23.59,1.32,1.61,0.18,0.41,29.82,0.68,-0.0,221.75,44.72,,113.14,09-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Apr-2020 - 00:00,0.19,55.92,15.77,23.52,8.4,31.92,27.16,37.33,20.06,1.11,1.36,0.14,0.3,29.6,0.48,-0.0,214.67,42.04,,153.36,10-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Apr-2020 - 00:00,0.22,43.18,13.77,18.82,8.57,27.39,30.11,36.03,18.96,1.06,1.41,0.15,0.32,29.63,0.72,-0.0,212.74,64.3,,136.43,11-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Apr-2020 - 00:00,0.2,51.44,12.6,18.31,8.6,26.91,32.27,38.87,19.51,0.87,1.28,0.13,0.26,30.07,0.84,-0.01,189.54,61.23,,143.67,12-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Apr-2020 - 00:00,0.19,46.81,12.81,16.02,8.77,24.8,29.61,49.93,25.65,1.34,1.51,0.14,0.25,28.74,0.37,-0.0,136.2,65.45,,137.38,13-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Apr-2020 - 00:00,0.22,51.66,11.57,14.72,8.38,23.1,31.56,46.03,26.17,1.29,1.46,0.13,0.25,29.71,0.42,-0.01,210.21,72.71,,139.93,14-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Apr-2020 - 00:00,0.21,45.47,11.45,13.22,8.44,21.65,30.37,42.37,23.16,1.07,1.43,0.13,0.24,30.45,0.46,-0.01,172.59,70.65,,168.55,15-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Apr-2020 - 00:00,0.21,48.53,11.69,16.14,8.47,24.61,29.36,50.02,26.01,1.2,1.63,0.16,0.33,28.85,0.86,-0.0,177.86,70.98,,130.5,16-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Apr-2020 - 00:00,0.27,43.86,11.77,19.55,8.83,28.37,30.29,52.15,30.04,2.18,2.55,0.25,0.54,27.95,0.61,-0.0,140.56,69.56,,142.69,17-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Apr-2020 - 00:00,0.21,48.08,11.92,15.94,8.47,24.41,30.24,40.04,24.48,0.8,1.81,0.13,0.27,30.25,0.91,-0.01,219.1,65.8,999.84,164.54,18-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Apr-2020 - 00:00,0.19,42.33,11.66,17.15,8.65,25.8,31.75,32.91,18.02,0.7,1.65,0.12,0.26,28.98,0.8,-0.01,219.35,69.45,,116.95,19-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Apr-2020 - 00:00,0.17,61.61,13.0,21.91,8.61,30.51,31.65,27.54,13.83,0.63,1.22,0.1,0.21,29.24,0.97,-0.01,207.92,61.65,,158.95,20-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Apr-2020 - 00:00,0.19,41.37,11.59,14.45,8.62,23.07,30.27,28.6,14.86,0.78,1.6,0.1,0.21,29.06,0.79,-0.01,183.92,72.07,,130.06,21-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Apr-2020 - 00:00,0.21,57.4,12.8,23.62,8.88,32.49,28.56,22.82,13.2,1.23,3.17,0.2,0.47,23.87,0.74,-0.02,188.24,68.72,,71.73,22-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Apr-2020 - 00:00,0.2,46.54,14.4,19.48,8.85,28.32,26.06,25.57,16.21,1.14,2.08,0.15,0.34,26.35,0.56,-0.0,165.1,71.66,,118.74,23-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Apr-2020 - 00:00,0.19,34.3,9.73,17.91,9.03,26.96,27.99,24.62,14.67,1.02,2.56,0.17,0.37,26.75,0.61,-0.0,156.7,75.8,999.5,105.22,24-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Apr-2020 - 00:00,0.18,43.46,8.7,17.46,8.73,26.19,27.04,20.55,11.09,0.79,1.52,0.12,0.27,26.14,0.62,-0.01,196.09,75.26,999.61,117.71,25-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Apr-2020 - 00:00,0.19,52.67,8.33,16.88,8.76,25.64,25.74,25.05,13.87,0.93,1.84,0.12,0.27,27.78,0.43,-0.0,211.48,69.39,,128.58,26-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Apr-2020 - 00:00,0.19,54.32,7.98,16.47,8.51,24.98,25.94,25.03,14.58,1.14,1.39,0.11,0.23,27.27,0.64,-0.02,182.35,71.75,,121.95,27-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Apr-2020 - 00:00,0.19,35.93,7.49,14.95,8.72,23.66,24.72,16.86,9.37,0.87,1.61,0.13,0.27,25.47,0.63,-0.0,102.94,80.84,,103.5,28-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Apr-2020 - 00:00,0.18,33.75,7.55,15.42,8.66,24.08,25.06,16.19,7.96,0.91,1.69,0.15,0.32,25.22,0.4,-0.0,114.47,83.78,,86.54,29-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Apr-2020 - 00:00,0.25,41.83,7.51,19.18,9.11,28.29,23.92,27.54,19.05,1.54,2.82,0.26,0.58,26.98,0.31,0.0,140.44,73.78,,136.5,30-Apr-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Apr-2020 - 00:00,0.16,44.51,8.03,16.65,8.72,25.37,23.58,23.63,14.33,0.95,2.11,0.14,0.3,28.29,0.43,-0.0,194.42,70.51,,145.29,01-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-May-2020 - 00:00,0.15,45.76,7.54,15.72,8.46,24.18,24.12,19.31,11.07,0.74,1.44,0.13,0.25,25.44,0.52,-0.01,172.47,79.15,,86.36,02-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-May-2020 - 00:00,0.21,38.86,7.57,19.49,8.73,28.21,22.74,26.18,15.82,1.37,2.31,0.17,0.38,25.75,0.33,-0.0,163.88,78.34,999.81,128.91,03-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-May-2020 - 00:00,0.2,53.66,7.44,15.61,8.56,24.16,22.52,27.02,18.05,1.27,2.13,0.19,0.4,27.65,0.29,-0.0,144.12,71.04,,149.16,04-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-May-2020 - 00:00,0.21,37.64,6.84,17.16,8.52,25.68,21.04,36.88,22.87,1.33,2.79,0.24,0.56,28.9,0.28,-0.0,195.63,73.79,,120.18,05-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-May-2020 - 00:00,0.21,35.69,6.73,15.68,8.64,24.31,21.91,32.56,17.56,1.31,2.47,0.2,0.49,29.38,0.45,-0.0,219.62,72.07,,123.26,06-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-May-2020 - 00:00,0.23,47.6,6.92,17.74,8.6,26.33,20.99,22.68,12.89,1.22,2.91,0.19,0.45,27.08,0.39,-0.0,189.62,75.95,,154.87,07-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-May-2020 - 00:00,0.17,46.44,6.94,18.61,8.45,27.05,20.44,30.51,16.34,1.29,2.5,0.26,0.67,28.33,0.45,-0.01,175.22,70.98,999.84,130.83,08-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-May-2020 - 00:00,0.19,57.39,7.11,16.08,8.47,24.56,20.24,26.11,14.41,0.82,1.97,0.12,0.27,28.83,0.56,-0.0,198.22,67.7,999.65,165.56,09-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-May-2020 - 00:00,0.18,50.72,6.33,14.54,8.33,22.87,19.11,31.57,19.29,0.94,2.51,0.14,0.33,31.52,0.39,-0.0,217.84,62.61,1000.0,179.28,10-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,11-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,12-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,13-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,14-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,15-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,16-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,17-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,18-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,19-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-May-2020 - 00:00,0.18,29.56,6.47,10.96,8.51,19.47,19.62,17.8,8.89,1.15,1.61,0.12,0.21,26.99,1.47,-0.02,70.77,75.77,995.43,44.83,20-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-May-2020 - 00:00,0.14,41.19,6.87,11.48,8.67,20.15,19.02,15.0,8.24,0.59,0.92,0.05,0.1,24.4,4.19,-0.13,91.28,93.6,982.32,45.78,21-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-May-2020 - 00:00,0.22,40.45,7.01,11.46,8.28,19.74,17.83,4.76,2.74,0.69,0.89,0.08,0.16,23.74,2.29,-0.03,225.51,94.61,988.48,56.49,22-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,23-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,24-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,25-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,26-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,27-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-May-2020 - 00:00,-0.0,38.02,9.38,5.36,8.12,13.48,1.18,41.9,16.25,2.03,16.05,0.19,0.42,28.98,1.33,0.01,218.03,73.32,960.2,41.02,28-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,29-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,30-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,31-May-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
31-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Jun-2020 - 00:00,0.23,60.92,11.76,16.12,9.55,25.67,11.96,31.92,15.87,1.99,31.12,0.75,1.8,28.45,1.04,-0.01,213.71,78.18,,124.33,02-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Jun-2020 - 00:00,0.25,69.39,11.51,21.2,21.53,30.67,12.71,34.94,14.26,2.74,28.2,0.94,1.71,29.1,0.92,-0.0,201.08,74.74,,151.16,03-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Jun-2020 - 00:00,0.3,75.88,11.39,53.16,63.49,50.14,23.43,31.91,16.97,2.42,18.37,0.5,1.41,29.91,1.1,-0.01,214.13,72.08,,185.0,04-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Jun-2020 - 00:00,0.22,64.27,11.64,,,,,35.4,18.82,1.72,24.18,0.47,1.22,30.42,1.33,-0.01,204.6,74.68,,173.37,05-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Jun-2020 - 00:00,0.2,67.51,11.75,24.33,18.63,25.72,12.92,24.54,13.52,1.54,25.14,0.49,1.23,30.14,1.41,-0.02,195.76,75.4,,183.59,06-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Jun-2020 - 00:00,0.26,81.57,11.44,51.22,53.43,45.91,19.19,40.03,17.95,1.59,22.65,0.44,1.07,31.62,1.07,-0.01,219.41,68.39,,163.5,07-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Jun-2020 - 00:00,0.29,75.14,11.37,24.95,15.79,22.17,12.22,46.44,25.6,2.34,20.07,0.55,1.29,29.6,0.52,-0.01,190.77,78.34,,104.18,08-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Jun-2020 - 00:00,0.32,70.72,45.63,22.08,14.59,23.92,12.71,38.16,23.21,3.69,24.84,0.83,2.07,29.63,0.43,-0.02,197.09,78.71,,170.5,09-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Jun-2020 - 00:00,0.23,60.48,209.87,10.53,7.74,18.28,9.49,39.7,20.84,3.58,24.12,0.86,2.09,30.75,0.61,-0.07,134.19,75.2,,172.75,10-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Jun-2020 - 00:00,0.23,130.54,138.18,8.7,6.0,15.36,5.17,32.44,9.18,1.73,11.26,0.29,0.62,30.3,0.99,-0.0,91.68,72.5,,157.24,11-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Jun-2020 - 00:00,0.26,66.86,,9.69,6.07,16.74,5.86,19.46,7.49,1.79,18.27,0.46,0.92,27.82,0.65,-0.0,68.97,88.26,,81.99,12-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Jun-2020 - 00:00,0.23,56.75,,10.4,5.59,16.94,7.42,24.07,7.17,2.92,16.9,0.53,1.19,26.95,0.71,-0.01,74.3,94.93,,61.26,13-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Jun-2020 - 00:00,0.25,63.58,,7.56,5.05,13.45,6.91,24.9,8.59,1.96,4.19,0.32,0.8,27.97,0.36,-0.0,79.77,91.94,,85.23,14-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Jun-2020 - 00:00,0.21,,,6.53,4.84,11.78,7.43,24.77,10.13,0.73,2.02,0.15,0.33,27.36,0.37,-0.01,142.31,94.88,,71.99,15-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Jun-2020 - 00:00,0.2,32.96,4.44,6.93,5.09,10.45,7.56,30.35,12.97,,,,,28.16,1.64,-0.1,194.12,89.58,,110.13,16-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Jun-2020 - 00:00,0.19,33.62,5.69,5.29,4.94,8.78,8.54,26.12,10.27,,,,,27.88,1.35,-0.01,198.46,90.82,,109.08,17-Jun-2020 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
