from date,Toluene,Benzene,AT,RH,BP,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,station
01-Jan-2020 - 00:00,22.17,14.21,14.4,88.25,,8.24,18.51,0.09,0.47,136.44,2.17,146.86,307.24,261.08,22.76,255.14,8.09,02-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
02-Jan-2020 - 00:00,12.4,6.64,17.66,86.02,,6.04,16.04,0.09,0.47,142.42,1.2,74.56,254.93,213.12,14.22,141.13,5.53,03-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
03-Jan-2020 - 00:00,3.96,1.88,17.38,99.12,,2.91,14.84,0.1,0.42,112.52,1.1,75.07,228.26,157.33,5.92,97.56,3.53,04-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
04-Jan-2020 - 00:00,6.73,0.85,17.03,93.69,,1.19,11.9,0.1,0.43,188.03,0.69,30.42,206.94,127.5,7.6,167.18,12.76,05-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
05-Jan-2020 - 00:00,1.5,0.08,17.78,85.78,,0.23,14.05,0.09,0.46,271.71,0.74,8.53,166.74,95.52,1.89,75.32,4.71,06-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
06-Jan-2020 - 00:00,5.85,1.86,18.66,75.33,,3.88,12.9,0.08,0.47,242.26,0.78,70.56,186.64,131.76,1.72,89.39,15.78,07-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
07-Jan-2020 - 00:00,1.81,0.33,17.84,90.71,,0.1,9.84,0.09,0.47,109.15,0.84,18.9,223.79,132.34,1.08,155.5,9.07,08-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
08-Jan-2020 - 00:00,1.54,0.0,16.12,99.15,,0.0,8.04,0.1,0.38,128.44,0.74,15.83,182.22,108.5,22.23,253.02,5.45,09-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
09-Jan-2020 - 00:00,1.32,0.08,16.65,98.05,,0.0,14.03,0.09,0.36,253.55,0.6,17.23,107.93,71.19,32.8,72.67,2.86,10-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
10-Jan-2020 - 00:00,1.84,0.15,12.75,96.32,,0.0,17.92,0.08,0.42,277.27,0.75,11.06,90.33,56.89,34.2,70.44,2.7,11-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
11-Jan-2020 - 00:00,7.74,3.51,12.54,96.97,,3.38,18.18,0.08,0.4,233.54,1.0,79.72,198.72,130.51,37.41,126.33,4.35,12-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
12-Jan-2020 - 00:00,14.52,7.7,13.76,94.12,,3.82,22.57,0.06,0.43,189.83,1.27,87.46,190.88,137.36,35.27,152.36,5.5,13-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
13-Jan-2020 - 00:00,0.62,0.64,11.69,99.15,,0.0,13.28,0.07,0.43,109.43,0.6,14.8,109.21,69.93,28.61,124.43,3.09,14-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
14-Jan-2020 - 00:00,12.94,3.66,15.89,91.97,,3.63,17.85,0.04,0.44,140.75,1.1,91.37,199.37,111.81,48.75,92.29,1.34,15-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
15-Jan-2020 - 00:00,30.36,6.17,17.09,99.14,,4.67,7.59,0.03,0.42,177.51,1.2,71.77,214.1,171.3,13.43,149.67,3.97,16-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
16-Jan-2020 - 00:00,0.0,0.0,16.49,99.15,,0.0,3.79,0.12,0.33,139.09,0.58,3.27,72.85,40.73,42.93,140.77,2.56,17-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
17-Jan-2020 - 00:00,7.42,2.6,16.88,99.15,,3.28,7.17,0.12,0.43,146.36,0.84,44.95,135.2,99.18,36.17,40.81,4.76,18-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
18-Jan-2020 - 00:00,5.94,0.75,15.98,99.15,,1.68,8.38,0.12,0.42,223.84,0.57,18.88,102.71,69.74,19.1,63.49,4.62,19-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
19-Jan-2020 - 00:00,7.17,1.26,15.64,99.13,,1.98,11.79,0.09,0.41,261.98,0.43,20.43,98.94,68.97,27.61,60.31,3.76,20-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
20-Jan-2020 - 00:00,2.89,0.0,13.03,99.12,,0.68,16.6,0.09,0.39,246.33,0.51,29.07,106.39,79.84,25.9,88.12,5.54,21-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
21-Jan-2020 - 00:00,14.53,4.73,13.05,97.04,,3.28,17.99,0.09,0.43,143.15,1.04,151.89,191.7,161.07,27.42,119.27,3.96,22-Jan-2020 - 00:00,"Central School, Lucknow - CPCB"
