from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
01-Jan-2020 - 00:00,17.67,21.02,10.01,0.76,10.81,1.22,50.57,26.72,59.17,0.18,26.67,77.66,716.28,0.99,166.3,02-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Jan-2020 - 00:00,18.45,20.43,10.41,0.76,10.86,1.23,45.91,18.77,59.01,0.23,26.43,69.17,717.19,1.99,208.15,03-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Jan-2020 - 00:00,17.96,21.19,10.12,0.7,10.41,1.13,50.91,28.12,71.43,0.22,26.21,67.45,715.96,2.39,225.73,04-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Jan-2020 - 00:00,20.43,23.15,11.4,0.93,11.56,1.39,52.41,57.06,112.4,0.39,26.49,64.05,714.43,3.51,305.97,05-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Jan-2020 - 00:00,14.84,23.71,8.47,0.72,11.2,1.31,66.51,58.07,102.1,0.23,26.68,65.54,714.16,1.51,161.05,06-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Jan-2020 - 00:00,18.05,20.54,10.21,0.74,10.9,1.24,44.03,19.42,53.53,0.16,26.79,73.86,716.1,1.09,71.96,07-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Jan-2020 - 00:00,19.92,20.16,11.16,0.74,10.69,1.19,44.72,15.39,53.53,0.18,26.81,66.43,715.89,1.24,100.46,08-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Jan-2020 - 00:00,20.65,21.31,11.62,0.79,10.66,1.18,71.28,29.6,79.05,0.19,26.76,61.76,715.23,1.47,124.35,09-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Jan-2020 - 00:00,22.79,22.86,12.74,0.79,10.6,1.17,70.74,37.49,89.06,0.23,26.77,60.79,715.0,1.51,143.82,10-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Jan-2020 - 00:00,23.24,24.25,12.94,0.71,10.38,1.13,66.09,35.91,85.49,0.21,26.85,60.69,715.09,1.54,52.07,11-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Jan-2020 - 00:00,17.89,22.52,10.12,0.74,10.47,1.15,62.25,27.12,67.01,0.16,26.65,53.25,716.19,1.12,51.79,12-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Jan-2020 - 00:00,17.3,22.93,9.73,0.73,10.61,1.18,54.65,39.85,80.2,0.24,26.68,54.34,715.47,1.36,43.39,13-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Jan-2020 - 00:00,23.63,24.02,13.22,0.82,9.75,0.99,69.68,55.59,108.83,0.3,26.77,52.12,714.05,1.73,49.71,14-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Jan-2020 - 00:00,27.12,24.4,15.01,0.77,10.2,1.08,72.79,61.67,118.7,0.29,26.66,49.26,713.8,1.65,114.46,15-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Jan-2020 - 00:00,16.05,23.2,9.14,0.75,10.44,1.14,74.21,43.82,81.28,0.2,26.67,47.53,714.2,1.01,95.29,16-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Jan-2020 - 00:00,24.09,22.55,13.38,0.71,10.73,1.2,82.7,41.08,93.45,0.28,26.61,50.24,714.41,1.72,112.31,17-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Jan-2020 - 00:00,24.91,21.88,13.8,0.82,10.74,1.2,61.72,33.9,91.29,0.3,26.62,48.36,714.65,2.13,100.59,18-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Jan-2020 - 00:00,16.91,21.34,9.55,0.68,10.41,1.13,43.52,21.62,54.15,0.14,26.61,59.61,714.67,0.9,54.03,19-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Jan-2020 - 00:00,12.43,20.46,7.22,0.75,10.52,1.15,52.42,16.24,40.52,0.14,26.71,52.86,715.18,0.73,74.03,20-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Jan-2020 - 00:00,20.15,21.39,11.38,0.85,11.01,1.26,66.64,30.48,72.14,0.2,26.68,49.9,715.94,1.28,64.79,21-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Jan-2020 - 00:00,20.41,21.91,11.48,0.77,10.44,1.14,65.66,28.45,69.65,0.15,26.66,45.64,717.0,1.01,103.78,22-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Jan-2020 - 00:00,19.65,22.28,11.04,0.73,10.62,1.18,53.39,27.05,62.62,0.17,26.67,57.73,717.43,1.02,163.5,23-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Jan-2020 - 00:00,18.43,22.16,10.36,0.69,10.6,1.17,53.99,31.28,74.23,0.17,26.67,65.08,716.58,1.17,163.56,24-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Jan-2020 - 00:00,25.26,22.58,14.07,0.79,10.6,1.17,52.14,43.71,96.24,0.28,26.99,55.71,716.17,1.71,163.5,25-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Jan-2020 - 00:00,32.36,22.42,17.87,0.87,11.1,1.28,56.27,32.62,88.94,0.26,26.63,44.64,715.92,1.7,183.53,26-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Jan-2020 - 00:00,28.71,22.96,15.83,0.75,11.68,1.41,68.56,39.91,91.71,0.26,26.43,46.39,714.9,1.52,168.08,27-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Jan-2020 - 00:00,26.61,23.82,14.76,0.85,11.26,1.31,71.14,44.05,103.18,0.28,26.67,50.36,714.56,2.37,108.79,28-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Jan-2020 - 00:00,19.54,23.56,11.0,0.74,11.19,1.3,75.8,46.45,93.81,0.25,26.61,57.31,715.08,2.15,129.08,29-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Jan-2020 - 00:00,23.63,22.68,13.16,0.74,9.89,1.01,74.66,42.75,98.96,0.32,26.5,52.91,715.79,2.64,119.58,30-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Jan-2020 - 00:00,30.17,22.56,16.66,0.76,10.48,1.14,63.02,43.19,108.21,0.34,26.76,50.81,715.01,2.97,125.92,31-Jan-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
31-Jan-2020 - 00:00,21.33,23.44,11.95,0.75,10.73,1.2,80.53,45.89,106.32,0.24,26.69,51.26,713.7,2.15,108.16,01-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Feb-2020 - 00:00,18.97,24.07,10.7,0.77,12.73,1.64,71.56,55.96,107.72,0.17,26.71,61.06,714.52,1.24,110.68,02-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Feb-2020 - 00:00,13.55,22.02,7.8,0.73,10.88,1.23,68.21,34.39,74.19,0.14,26.74,62.0,716.26,0.77,122.17,03-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Feb-2020 - 00:00,21.29,21.55,11.9,0.71,10.54,1.16,58.65,28.95,73.17,0.17,26.89,56.05,716.34,1.04,142.89,04-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Feb-2020 - 00:00,21.37,21.01,11.9,0.66,11.58,1.39,53.62,24.4,72.61,0.19,26.99,57.42,715.14,1.45,121.02,05-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Feb-2020 - 00:00,18.36,21.31,10.33,0.69,9.97,1.03,62.9,25.95,72.92,0.18,26.68,60.7,715.23,1.16,123.41,06-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Feb-2020 - 00:00,20.64,22.33,11.54,0.7,10.15,1.07,74.19,38.32,91.3,0.25,27.09,56.78,715.21,1.91,126.45,07-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Feb-2020 - 00:00,20.55,23.6,11.62,0.85,11.86,1.45,71.42,51.9,102.18,0.23,27.01,61.32,715.65,2.01,112.49,08-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Feb-2020 - 00:00,19.3,22.54,10.85,0.74,11.31,1.33,65.82,40.64,88.18,0.26,26.79,57.58,715.68,1.78,120.22,09-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Feb-2020 - 00:00,14.72,22.45,8.4,0.7,13.44,1.78,70.6,38.97,78.62,0.15,26.99,61.14,715.76,0.94,126.74,10-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Feb-2020 - 00:00,15.5,21.46,8.85,0.75,10.73,1.2,67.77,28.83,69.44,0.13,26.81,62.3,715.68,0.71,119.68,11-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Feb-2020 - 00:00,19.0,21.31,10.72,0.75,11.29,1.32,64.75,29.55,65.98,0.15,26.72,61.59,716.21,0.78,125.05,12-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Feb-2020 - 00:00,18.28,20.91,10.32,0.73,10.66,1.19,62.57,28.19,67.83,0.16,26.82,62.07,717.59,0.85,123.32,13-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Feb-2020 - 00:00,22.08,21.19,12.35,0.75,11.06,1.27,67.87,31.51,74.84,0.21,26.7,57.04,716.84,1.38,156.68,14-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Feb-2020 - 00:00,32.61,22.47,18.03,0.89,10.81,1.22,80.77,46.78,107.47,0.3,26.72,55.16,715.28,1.94,162.04,15-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Feb-2020 - 00:00,34.61,23.59,18.94,0.75,11.22,1.3,86.67,50.83,116.64,0.31,26.75,42.05,714.88,1.76,143.08,16-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Feb-2020 - 00:00,22.39,22.32,12.51,0.77,11.36,1.34,87.77,33.17,81.81,0.17,26.66,37.96,715.99,0.98,147.45,17-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Feb-2020 - 00:00,26.98,22.65,14.96,0.81,11.81,1.43,72.51,34.86,82.77,0.22,26.45,43.45,716.77,1.37,151.15,18-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Feb-2020 - 00:00,25.83,22.96,14.4,0.82,11.98,1.48,78.86,38.5,89.77,0.19,26.48,47.93,716.29,1.19,158.79,19-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Feb-2020 - 00:00,25.95,22.92,14.44,0.79,10.78,1.21,83.3,40.51,90.73,0.18,26.39,53.25,715.83,1.09,152.19,20-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Feb-2020 - 00:00,27.23,23.43,15.13,0.8,11.5,1.37,64.96,46.29,97.97,0.19,26.65,52.56,715.49,1.18,142.1,21-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Feb-2020 - 00:00,17.94,21.66,10.11,0.75,10.68,1.19,67.3,24.15,63.56,0.16,26.46,56.05,716.88,0.81,140.46,22-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Feb-2020 - 00:00,17.82,22.14,10.07,0.73,10.79,1.21,61.85,32.58,70.17,0.13,26.36,59.18,717.66,0.79,146.89,23-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Feb-2020 - 00:00,13.06,22.14,7.51,0.7,11.9,1.45,75.25,36.83,69.95,0.14,26.35,61.02,717.06,0.65,132.18,24-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Feb-2020 - 00:00,18.37,21.25,10.35,0.71,11.24,1.31,74.54,31.26,71.52,0.17,26.77,63.51,715.0,0.96,125.73,25-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Feb-2020 - 00:00,22.39,22.02,12.5,0.73,11.15,1.29,82.88,39.69,89.75,0.25,27.06,62.31,713.67,1.59,132.06,26-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Feb-2020 - 00:00,21.16,21.6,11.85,0.73,10.01,1.04,67.34,31.41,79.19,0.2,26.79,65.77,713.89,1.5,127.81,27-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Feb-2020 - 00:00,23.54,21.7,13.05,0.68,10.91,1.24,74.31,34.81,84.53,0.18,27.48,56.4,714.38,1.0,149.46,28-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Feb-2020 - 00:00,19.21,21.61,10.78,0.71,10.3,1.1,78.11,34.12,79.34,0.17,26.95,59.16,713.48,0.94,138.57,29-Feb-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Feb-2020 - 00:00,18.35,21.66,10.36,0.75,10.28,1.1,71.08,94.0,73.98,0.16,26.95,55.84,713.31,1.09,138.97,01-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Mar-2020 - 00:00,14.11,21.86,8.04,0.67,11.2,1.3,62.0,,,0.14,26.52,55.64,713.56,0.65,141.12,02-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Mar-2020 - 00:00,23.76,23.67,13.22,0.86,10.31,1.11,62.1,54.47,159.45,0.27,26.51,61.93,714.33,2.09,138.59,03-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Mar-2020 - 00:00,32.21,26.04,17.77,0.86,11.02,1.26,85.58,74.62,181.91,0.45,26.61,56.2,714.14,2.61,131.48,04-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Mar-2020 - 00:00,23.06,27.81,12.86,0.78,10.51,1.15,72.34,64.0,146.01,0.56,26.51,52.92,713.61,2.76,168.09,05-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Mar-2020 - 00:00,17.17,25.19,9.67,0.66,11.16,1.28,79.97,49.24,96.69,0.27,26.23,55.36,712.64,1.56,104.66,06-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Mar-2020 - 00:00,14.74,26.46,8.4,0.7,10.68,1.19,67.29,52.66,88.53,0.46,26.28,62.05,713.06,1.39,139.38,07-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Mar-2020 - 00:00,22.74,26.47,12.72,0.79,10.87,1.23,55.57,44.69,86.23,0.3,26.33,65.43,714.34,1.67,113.17,08-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Mar-2020 - 00:00,14.63,24.4,8.38,0.73,10.64,1.18,65.42,37.5,77.02,0.16,26.26,63.3,714.04,1.28,101.54,09-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Mar-2020 - 00:00,16.05,24.22,9.15,0.76,9.97,1.04,73.31,39.21,77.78,0.18,26.67,62.85,713.14,1.29,124.65,10-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Mar-2020 - 00:00,15.42,24.0,8.81,0.75,11.62,1.4,75.8,41.7,81.51,0.18,27.09,57.68,713.24,1.5,107.44,11-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Mar-2020 - 00:00,17.66,22.86,9.93,0.68,12.06,1.49,76.41,35.07,77.67,0.23,27.04,55.28,713.85,1.69,116.17,12-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Mar-2020 - 00:00,17.31,21.83,9.82,0.75,11.39,1.34,81.01,25.98,70.93,0.2,27.02,52.79,714.89,1.37,136.22,13-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Mar-2020 - 00:00,19.45,22.14,10.92,0.71,11.44,1.35,69.16,31.28,71.91,0.2,27.46,50.19,715.02,1.48,121.0,14-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Mar-2020 - 00:00,17.34,21.77,9.82,0.74,10.24,1.1,66.16,24.73,67.11,0.17,27.11,52.83,713.8,1.37,142.36,15-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Mar-2020 - 00:00,12.95,22.38,7.47,0.72,10.56,1.17,78.23,30.42,70.98,0.13,27.1,55.45,713.57,0.73,148.02,16-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Mar-2020 - 00:00,17.01,21.47,9.59,0.67,9.96,1.03,57.59,20.14,59.29,0.15,27.07,58.26,714.83,0.96,125.8,17-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Mar-2020 - 00:00,15.26,20.76,8.67,0.68,10.46,1.14,51.21,17.0,55.95,0.13,27.03,56.29,716.17,0.93,118.45,18-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Mar-2020 - 00:00,18.36,20.91,10.31,0.7,11.25,1.32,61.11,23.4,64.88,0.17,27.12,50.18,715.58,1.35,121.56,19-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Mar-2020 - 00:00,17.76,22.36,10.04,0.73,11.47,1.37,81.11,36.96,80.78,0.24,27.16,49.73,714.66,1.74,126.32,20-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Mar-2020 - 00:00,15.07,22.49,8.64,0.77,10.33,1.11,72.82,40.08,76.8,0.18,27.26,64.79,714.51,1.29,136.66,21-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Mar-2020 - 00:00,23.68,23.39,13.18,0.74,10.54,1.16,86.56,36.54,74.23,0.23,27.12,51.4,714.01,1.62,151.25,22-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Mar-2020 - 00:00,12.55,22.93,7.31,0.78,12.0,1.47,69.57,26.58,54.96,0.19,27.14,49.58,714.04,1.08,110.61,23-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Mar-2020 - 00:00,15.9,24.28,9.02,0.71,10.89,1.23,56.37,44.48,78.15,0.23,27.32,63.06,713.66,1.8,110.72,24-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Mar-2020 - 00:00,10.6,26.51,6.25,0.75,10.9,1.24,60.26,47.81,81.67,0.17,27.53,48.08,712.52,1.31,137.59,25-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Mar-2020 - 00:00,5.82,23.06,3.66,0.72,11.18,1.3,53.24,22.24,48.96,0.12,27.41,53.48,712.54,0.59,127.57,26-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Mar-2020 - 00:00,5.13,22.54,3.33,0.74,10.94,1.24,50.8,24.79,50.28,0.11,27.22,54.67,712.96,0.35,155.09,27-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Mar-2020 - 00:00,8.39,24.04,5.03,0.7,11.65,1.4,46.51,37.19,64.76,0.2,27.23,54.74,714.81,0.46,146.62,28-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Mar-2020 - 00:00,7.12,22.41,4.37,0.7,10.85,1.22,52.37,21.07,45.89,0.13,27.21,47.72,714.07,0.45,148.29,29-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Mar-2020 - 00:00,7.93,22.7,4.78,0.71,10.91,1.22,54.34,25.76,48.79,0.19,27.17,43.92,713.05,0.76,123.79,30-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Mar-2020 - 00:00,5.33,22.88,3.44,0.74,11.32,1.32,59.47,28.96,52.7,0.11,26.89,45.33,713.64,0.44,148.28,31-Mar-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
31-Mar-2020 - 00:00,6.08,22.21,3.83,0.73,11.26,1.31,62.15,25.46,49.29,0.14,26.92,45.27,714.33,0.43,139.15,01-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-Apr-2020 - 00:00,6.78,22.02,4.15,0.67,11.34,1.34,60.83,25.98,49.94,0.14,26.8,42.47,713.81,0.52,139.52,02-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-Apr-2020 - 00:00,5.32,23.15,3.43,0.74,11.71,1.4,69.08,35.22,62.57,0.12,26.88,44.08,712.77,0.58,119.27,03-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-Apr-2020 - 00:00,5.0,23.2,3.2,0.68,12.3,1.54,70.93,39.47,67.3,0.11,27.14,47.24,713.03,0.48,124.49,04-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-Apr-2020 - 00:00,5.06,22.82,3.29,0.74,11.76,1.43,65.26,37.17,64.75,0.11,27.11,53.47,713.66,0.53,127.24,05-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-Apr-2020 - 00:00,5.05,22.65,3.26,0.72,12.13,1.51,54.95,38.29,62.75,0.12,27.63,56.88,714.6,0.52,119.2,06-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Apr-2020 - 00:00,5.56,21.5,3.55,0.73,10.64,1.18,62.98,22.24,44.52,0.11,27.45,59.76,714.71,0.39,161.28,07-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Apr-2020 - 00:00,6.69,21.55,4.13,0.71,10.21,1.09,59.38,12.72,23.02,0.1,27.63,64.03,714.28,0.43,160.23,08-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Apr-2020 - 00:00,8.43,21.89,5.03,0.68,11.09,1.28,75.27,19.05,32.34,0.13,27.22,55.73,714.26,0.69,174.35,09-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Apr-2020 - 00:00,7.51,22.58,4.57,0.71,10.51,1.15,66.14,23.03,40.02,0.11,27.49,62.72,713.95,0.67,149.93,10-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Apr-2020 - 00:00,6.42,22.36,3.98,0.72,9.84,1.01,62.78,15.28,27.38,0.12,27.35,59.35,714.32,0.72,127.67,11-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Apr-2020 - 00:00,6.14,23.42,3.89,0.77,11.28,1.32,59.23,32.92,48.91,0.11,27.18,58.49,715.48,0.8,126.71,12-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Apr-2020 - 00:00,6.21,22.57,3.93,0.77,10.98,1.26,61.68,25.89,47.0,0.12,27.51,53.38,715.25,1.16,123.23,13-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Apr-2020 - 00:00,,,,,,,,,,,,,,,,20-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
20-Apr-2020 - 00:00,,,,,,,,,,,,,,,,21-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
21-Apr-2020 - 00:00,,,,,,,,,,,,,,,,22-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
22-Apr-2020 - 00:00,,,,,,,,,,,,,,,,23-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
23-Apr-2020 - 00:00,,,,,,,,,,,,,,,,24-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
24-Apr-2020 - 00:00,,,,,,,,,,,,,,,,25-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
25-Apr-2020 - 00:00,,,,,,,,,,,,,,,,26-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
26-Apr-2020 - 00:00,,,,,,,,,,,,,,,,27-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
27-Apr-2020 - 00:00,,,,,,,,,,,,,,,,28-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
28-Apr-2020 - 00:00,5.16,30.28,3.07,1.21,13.64,1.84,47.22,20.03,39.45,0.1,28.7,58.48,711.62,0.98,120.2,29-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
29-Apr-2020 - 00:00,12.33,23.38,7.1,1.05,11.25,1.31,31.1,8.56,17.25,0.13,29.27,71.91,713.52,0.66,167.57,30-Apr-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
30-Apr-2020 - 00:00,,,,,,,,,,,,,,,,01-May-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
01-May-2020 - 00:00,,,,,,,,,,,,,,,,02-May-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
02-May-2020 - 00:00,45.66,1.21,24.85,0.69,10.93,1.24,46.44,21.76,46.76,0.11,27.09,48.15,711.25,0.77,148.52,03-May-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
03-May-2020 - 00:00,45.26,1.34,24.67,0.74,10.8,1.21,40.06,26.41,52.86,0.14,26.72,53.4,711.88,0.86,151.26,04-May-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
04-May-2020 - 00:00,47.5,1.26,25.84,0.7,10.14,1.06,45.15,30.38,74.52,0.15,26.71,47.14,712.89,1.21,135.74,05-May-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
05-May-2020 - 00:00,47.42,5.39,25.78,0.69,10.35,1.12,44.12,32.95,85.49,0.16,26.93,47.17,712.3,1.39,128.98,06-May-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
