from date,NO2,NH3,NOx,NO,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,RH,BP,Toluene,WD,to date,station
05-Sep-2020 - 00:00,15.17,6.63,10.19,2.61,10.16,0.66,35.58,45.67,72.9,0.12,27.12,66.88,709.7,1.47,142.84,06-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
06-Sep-2020 - 00:00,11.44,6.28,8.1,2.48,11.18,0.43,32.03,39.84,61.92,0.11,27.78,64.55,709.41,0.87,131.69,07-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
07-Sep-2020 - 00:00,9.0,4.38,6.84,2.52,10.75,0.28,19.93,15.29,35.43,0.16,27.58,65.18,710.67,0.58,152.01,08-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
08-Sep-2020 - 00:00,10.39,4.39,7.65,2.61,11.26,0.41,20.82,11.67,23.52,0.17,27.18,63.56,710.6,0.91,158.29,09-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
09-Sep-2020 - 00:00,10.08,4.52,7.47,2.59,11.4,0.49,21.96,13.67,26.1,0.1,27.14,66.55,710.05,0.79,166.28,10-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
10-Sep-2020 - 00:00,7.11,4.03,5.81,2.49,10.66,0.5,22.17,9.12,17.04,0.1,27.43,67.21,708.83,0.44,154.23,11-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
11-Sep-2020 - 00:00,7.66,3.93,6.22,2.62,10.51,0.35,16.97,12.8,21.25,0.15,27.65,67.64,709.29,0.51,154.59,12-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
12-Sep-2020 - 00:00,8.22,3.95,6.44,2.54,10.01,0.36,14.43,10.82,20.51,0.1,27.6,67.73,711.28,0.57,155.71,13-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
13-Sep-2020 - 00:00,8.6,3.88,6.67,2.58,10.65,0.34,14.1,11.05,21.32,0.1,27.64,69.98,711.42,0.67,176.11,14-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
14-Sep-2020 - 00:00,10.59,4.13,7.71,2.56,11.24,0.54,13.23,14.65,32.49,0.11,27.49,74.07,710.43,1.0,206.39,15-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
15-Sep-2020 - 00:00,10.26,4.4,7.52,2.52,10.39,0.37,16.29,14.47,32.79,0.11,27.47,73.94,710.07,0.95,220.5,16-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
16-Sep-2020 - 00:00,10.34,4.45,7.57,2.55,10.69,0.43,17.58,13.66,28.98,0.11,27.48,73.22,710.39,0.72,219.54,17-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
17-Sep-2020 - 00:00,8.63,4.38,6.67,2.56,10.99,0.38,20.86,16.15,31.69,0.1,27.39,73.2,710.68,0.53,219.56,18-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
18-Sep-2020 - 00:00,8.67,3.93,6.66,2.51,11.67,0.36,17.86,12.0,22.44,0.1,27.44,72.38,709.51,0.63,224.57,19-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
19-Sep-2020 - 00:00,9.06,4.06,6.96,2.64,10.62,0.34,16.16,15.25,26.35,0.1,27.57,77.03,707.78,0.52,212.61,20-Sep-2020 - 00:00,"Hombegowda Nagar, Bengaluru - KSPCB"
