from date,NO,NO2,NOx,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,Xylene,RH,WD,WS,SR,RF,to date,station
06-Jul-2020 - 00:00,2.65,16.12,8.12,41.29,74.99,51.86,20.95,0.37,67.38,1.67,1.74,0.78,1.15,0.22,89.1,95.13,0.93,329.39,0.0,07-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
07-Jul-2020 - 00:00,3.24,12.43,7.47,38.0,46.48,26.15,25.66,0.2,31.67,1.69,1.84,0.89,1.24,0.23,97.3,116.01,1.27,385.78,0.0,08-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
08-Jul-2020 - 00:00,3.17,12.9,6.85,33.91,36.78,26.13,21.93,0.28,30.81,1.6,1.77,0.86,1.17,0.23,99.35,138.64,1.23,303.27,0.01,09-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
09-Jul-2020 - 00:00,3.3,13.96,8.35,32.96,37.54,23.68,21.62,0.41,49.17,1.75,1.81,0.91,1.31,0.24,88.66,180.87,0.56,351.12,0.01,10-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
10-Jul-2020 - 00:00,3.34,15.27,9.06,46.24,70.01,38.55,26.47,0.49,53.52,1.51,1.8,0.88,1.18,0.23,80.29,250.63,1.06,376.98,0.0,11-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
11-Jul-2020 - 00:00,2.99,12.41,5.63,37.46,45.6,23.02,20.09,0.61,57.24,1.72,1.92,0.84,1.14,0.24,96.41,133.01,0.93,357.59,0.14,12-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
12-Jul-2020 - 00:00,3.08,9.59,5.88,40.35,31.33,18.95,24.7,0.48,58.19,1.54,1.79,0.89,1.15,0.21,99.5,171.66,1.43,235.63,0.29,13-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
13-Jul-2020 - 00:00,5.16,14.18,10.3,37.52,100.27,35.58,31.46,0.32,46.81,1.7,1.87,0.88,1.26,0.23,90.96,216.27,0.74,453.35,0.0,14-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
14-Jul-2020 - 00:00,3.37,16.56,9.76,60.39,164.88,48.78,20.33,0.32,32.23,1.76,1.83,0.89,1.18,0.22,88.18,132.63,0.49,410.92,0.0,15-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
15-Jul-2020 - 00:00,3.19,14.24,8.4,77.98,96.47,47.28,21.6,0.36,45.62,1.66,1.82,0.91,1.17,0.22,94.1,96.22,0.81,402.36,0.01,16-Jul-2020 - 00:00,"Police Lines, Jind - HSPCB"
