from date,NO,NO2,NOx,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,Xylene,RH,WD,WS,SR,RF,to date,station
25-Sep-2020 - 00:00,2.98,17.53,9.95,63.9,129.85,70.36,34.7,1.29,17.24,1.72,3.26,1.47,1.24,1.1,79.46,245.85,0.72,340.54,0.0,26-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
26-Sep-2020 - 00:00,3.2,16.13,9.4,60.74,138.68,69.86,23.43,1.29,15.06,1.75,2.95,1.49,1.3,1.11,79.59,220.73,0.82,295.01,0.0,27-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
27-Sep-2020 - 00:00,2.92,13.8,7.88,51.69,87.43,38.56,27.7,1.36,16.23,1.43,3.05,1.35,1.25,1.08,70.15,211.62,0.85,405.23,0.0,28-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
28-Sep-2020 - 00:00,3.09,16.01,9.25,46.34,163.48,69.4,40.99,0.53,19.26,1.68,2.89,1.45,1.31,1.07,76.67,289.84,1.03,348.64,0.0,29-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
29-Sep-2020 - 00:00,3.55,17.86,10.79,58.3,176.73,76.2,41.39,1.44,17.56,1.76,2.98,1.42,1.28,1.09,81.29,286.57,0.97,427.76,0.0,30-Sep-2020 - 00:00,"Police Lines, Jind - HSPCB"
30-Sep-2020 - 00:00,3.38,17.41,10.22,51.2,155.34,68.37,43.81,1.41,19.43,1.6,3.05,1.52,1.28,1.12,75.39,291.1,1.07,355.6,0.0,01-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
01-Oct-2020 - 00:00,3.34,19.33,11.18,52.39,150.31,69.71,34.39,1.35,19.42,1.55,3.11,1.43,1.28,1.09,72.66,260.78,0.89,352.73,0.0,02-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
02-Oct-2020 - 00:00,3.38,17.7,10.37,49.04,175.36,88.31,26.89,0.79,21.38,1.59,3.31,1.42,1.32,1.12,78.9,281.69,0.81,325.83,0.0,03-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
03-Oct-2020 - 00:00,3.33,20.49,11.78,48.61,163.13,85.82,43.64,0.83,22.74,1.57,3.04,1.46,1.33,1.1,67.41,268.57,0.62,349.0,0.0,04-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
04-Oct-2020 - 00:00,3.32,19.16,11.08,49.69,167.71,82.87,35.28,0.73,25.04,1.58,3.09,1.5,1.31,1.08,96.86,272.44,0.88,,0.0,05-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
05-Oct-2020 - 00:00,3.26,19.34,11.12,48.15,177.35,83.09,44.95,1.26,26.15,1.69,3.26,1.44,1.3,1.07,63.49,296.99,1.13,362.07,0.0,06-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
06-Oct-2020 - 00:00,3.39,25.08,14.22,82.68,177.39,85.12,56.38,1.07,22.51,2.26,3.45,2.15,1.98,1.71,64.81,274.78,0.7,355.31,0.05,07-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
07-Oct-2020 - 00:00,3.86,25.83,15.0,87.78,198.82,106.88,27.58,0.5,23.17,1.55,2.75,1.5,1.28,1.1,63.15,265.08,0.81,338.84,0.0,08-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
08-Oct-2020 - 00:00,3.17,23.22,13.08,72.38,186.07,90.05,41.04,0.49,24.33,1.59,3.2,1.44,1.39,1.1,61.82,290.41,0.8,332.37,0.0,09-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
09-Oct-2020 - 00:00,3.61,24.39,14.04,66.19,184.38,95.78,50.03,0.47,26.83,1.66,2.78,1.45,1.34,1.12,59.89,271.53,0.68,332.76,0.0,10-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
10-Oct-2020 - 00:00,3.36,23.83,13.55,68.72,206.13,115.38,36.96,0.38,24.32,1.81,2.84,1.44,1.3,1.14,66.93,276.82,0.84,311.94,0.0,11-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
11-Oct-2020 - 00:00,3.2,24.1,13.17,65.65,200.44,112.88,42.94,0.45,25.71,1.69,2.76,1.39,1.26,1.13,65.44,289.53,0.86,282.58,0.0,12-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
12-Oct-2020 - 00:00,4.15,30.85,17.74,76.34,228.68,137.17,36.02,0.41,25.31,1.53,2.72,1.46,1.24,1.13,54.38,241.74,0.61,328.1,0.0,13-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
13-Oct-2020 - 00:00,3.42,29.78,16.68,82.75,234.34,153.57,31.3,0.4,27.84,1.56,3.22,1.47,1.34,1.11,64.16,99.8,0.61,334.61,0.0,14-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
14-Oct-2020 - 00:00,3.55,27.5,15.62,87.42,232.99,159.09,27.78,0.6,24.96,2.87,3.68,1.51,1.95,1.1,71.62,231.51,0.48,240.21,0.0,15-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
15-Oct-2020 - 00:00,3.76,33.15,18.74,167.73,185.57,117.49,30.29,1.38,23.71,3.38,4.8,1.5,2.29,1.09,43.29,271.11,0.61,335.62,0.0,16-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
16-Oct-2020 - 00:00,3.73,36.95,20.7,137.62,207.24,125.98,40.65,0.25,23.26,3.37,4.6,1.42,2.26,1.08,35.51,216.93,0.42,387.48,0.0,17-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
17-Oct-2020 - 00:00,3.64,34.05,19.11,113.0,224.8,137.47,52.26,0.47,25.59,3.66,4.8,1.48,2.34,1.11,51.53,257.46,0.53,296.91,0.0,18-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
18-Oct-2020 - 00:00,3.29,28.63,16.0,91.45,207.48,122.82,40.97,0.32,31.49,3.43,4.83,1.43,2.32,1.08,31.85,305.85,1.15,8.73,0.0,19-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
19-Oct-2020 - 00:00,3.82,32.92,18.67,84.78,245.11,135.64,49.61,0.1,29.47,8.15,11.21,7.1,4.59,5.35,35.8,292.83,0.94,332.48,0.0,20-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
20-Oct-2020 - 00:00,3.81,35.18,19.84,81.48,223.28,132.77,66.27,0.49,26.85,7.87,14.49,5.09,2.33,2.48,35.33,194.88,0.49,315.82,0.0,21-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
21-Oct-2020 - 00:00,3.99,37.15,21.02,80.91,193.47,111.31,38.58,0.36,23.86,10.26,14.6,4.99,2.2,2.4,26.72,147.79,0.51,367.58,0.0,22-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
22-Oct-2020 - 00:00,4.5,40.18,23.01,85.92,226.08,143.04,43.61,0.53,26.94,8.41,14.51,5.26,2.31,2.45,38.09,143.96,0.48,293.16,0.0,23-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
23-Oct-2020 - 00:00,3.94,26.7,14.76,75.86,292.5,156.45,34.58,0.33,23.81,9.52,17.58,6.36,2.86,3.12,45.53,194.97,0.34,283.67,0.0,24-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
24-Oct-2020 - 00:00,3.28,20.89,11.95,66.21,277.02,182.56,50.89,0.59,32.4,11.58,21.68,10.69,6.44,6.18,46.95,248.61,0.41,275.33,0.0,25-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
25-Oct-2020 - 00:00,3.83,21.31,12.61,61.42,275.94,194.46,49.86,2.3,30.01,15.14,18.11,2.72,1.21,3.16,70.8,179.67,0.3,73.0,0.0,26-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
26-Oct-2020 - 00:00,3.25,21.36,12.04,63.27,276.97,179.1,43.88,2.6,31.05,7.01,13.19,2.95,1.32,2.06,36.25,213.67,0.7,329.65,0.0,27-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
27-Oct-2020 - 00:00,3.68,32.59,18.38,58.01,254.49,154.99,46.71,1.24,35.01,7.55,13.76,5.05,2.25,2.14,39.4,288.32,0.95,338.7,0.0,28-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
28-Oct-2020 - 00:00,8.52,52.95,32.93,59.12,318.93,212.39,64.7,1.53,29.54,12.16,20.51,8.86,4.24,3.79,47.2,236.44,0.43,266.2,0.0,29-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
29-Oct-2020 - 00:00,14.1,67.75,45.17,68.47,407.93,274.24,85.54,1.16,27.71,18.51,31.68,15.06,8.09,6.78,55.89,201.17,0.32,251.2,0.0,30-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
30-Oct-2020 - 00:00,5.5,45.04,26.36,62.91,380.3,276.57,59.19,1.09,32.6,10.67,15.93,5.72,2.75,2.39,48.38,292.76,0.88,279.0,0.0,31-Oct-2020 - 00:00,"Police Lines, Jind - HSPCB"
31-Oct-2020 - 00:00,3.94,43.73,24.03,69.02,400.62,283.22,57.81,1.03,34.27,11.4,15.86,4.43,1.8,2.09,43.0,297.79,1.56,259.85,0.0,01-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
01-Nov-2020 - 00:00,4.61,41.91,24.0,69.26,380.54,274.3,68.14,0.92,29.36,10.71,14.0,3.45,1.22,1.49,20.69,278.37,1.04,146.12,0.0,02-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
02-Nov-2020 - 00:00,6.79,49.85,29.92,61.75,331.73,229.89,51.57,1.06,23.54,10.87,17.8,6.34,2.77,2.75,41.18,237.89,0.56,358.53,0.0,03-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
03-Nov-2020 - 00:00,14.97,57.58,40.6,59.88,258.22,164.32,50.89,1.41,20.73,11.56,20.75,8.13,3.57,3.64,38.06,194.05,0.43,275.86,0.0,04-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
04-Nov-2020 - 00:00,7.8,54.22,33.01,67.13,424.13,300.99,100.97,1.14,31.87,15.53,17.41,6.01,2.69,2.54,45.5,265.49,0.7,229.3,0.0,05-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
05-Nov-2020 - 00:00,7.3,54.93,33.04,61.86,384.11,272.43,52.69,1.15,32.02,14.1,24.13,9.55,4.57,4.9,42.62,217.58,0.59,262.97,0.0,06-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
06-Nov-2020 - 00:00,9.19,60.37,37.35,63.19,446.16,330.29,64.86,1.03,32.75,13.55,19.49,5.81,2.39,2.67,42.3,269.63,0.7,260.59,0.0,07-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
07-Nov-2020 - 00:00,4.99,50.79,28.96,60.68,471.23,355.44,79.27,1.12,40.14,14.18,17.37,5.11,2.45,2.32,40.59,285.01,0.76,354.54,0.0,08-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
08-Nov-2020 - 00:00,10.74,55.41,36.0,62.41,488.69,385.44,48.6,1.27,34.14,18.07,24.41,7.98,3.79,3.78,55.4,228.28,0.26,238.58,0.0,09-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
09-Nov-2020 - 00:00,22.13,80.2,58.16,82.76,698.53,518.95,83.5,1.47,15.61,29.91,33.07,13.0,6.97,6.08,70.75,253.65,0.41,147.78,0.0,10-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
10-Nov-2020 - 00:00,12.85,59.95,40.09,81.47,479.71,402.4,43.83,0.89,33.9,16.54,24.82,8.65,3.88,3.75,62.51,153.25,0.36,259.48,0.0,11-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
11-Nov-2020 - 00:00,12.15,59.64,39.35,69.83,259.18,194.64,32.67,1.14,29.1,11.27,20.63,7.29,3.36,4.65,59.31,116.11,0.33,254.3,0.0,12-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
12-Nov-2020 - 00:00,9.05,57.15,35.56,64.69,255.85,167.91,30.0,0.68,28.61,13.2,20.44,6.52,3.62,3.15,59.64,173.01,0.32,252.06,0.0,13-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
13-Nov-2020 - 00:00,6.76,57.86,34.07,66.84,359.55,252.11,35.87,1.32,24.84,15.1,22.07,6.98,3.32,3.2,60.02,265.35,0.42,213.73,0.0,14-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
14-Nov-2020 - 00:00,4.8,46.8,26.72,70.18,528.18,430.34,45.47,1.98,33.35,15.94,18.83,4.54,1.96,2.03,67.39,155.48,0.37,189.56,0.0,15-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
15-Nov-2020 - 00:00,3.96,30.12,17.33,60.54,391.02,322.71,41.04,1.24,65.19,9.68,11.83,1.71,0.91,0.76,56.69,133.03,1.26,216.67,0.03,16-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
16-Nov-2020 - 00:00,4.27,27.88,16.41,75.88,108.43,58.46,16.56,2.28,30.6,2.17,7.03,1.09,0.4,0.46,95.91,210.38,0.77,125.91,0.0,17-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
17-Nov-2020 - 00:00,5.16,33.01,19.8,80.47,84.25,58.6,26.56,1.06,27.28,3.45,10.04,2.16,0.85,0.84,83.73,297.63,0.93,294.93,0.0,18-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
18-Nov-2020 - 00:00,5.07,41.53,24.18,82.78,144.58,93.06,30.79,0.81,36.75,7.21,13.4,3.05,1.59,1.25,71.32,286.0,0.67,316.69,0.0,19-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
19-Nov-2020 - 00:00,5.19,46.61,26.93,92.89,190.46,130.02,30.18,1.41,36.56,7.48,15.44,4.7,1.94,1.99,64.93,250.24,0.48,255.42,0.0,20-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
20-Nov-2020 - 00:00,4.77,42.77,24.59,90.48,162.62,116.15,37.53,0.79,51.91,4.64,10.01,1.88,0.76,0.77,60.52,296.53,1.15,304.58,0.0,21-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
21-Nov-2020 - 00:00,5.88,50.66,27.59,76.59,181.96,116.97,45.5,1.37,38.26,5.04,10.6,2.25,0.83,1.0,54.44,304.59,1.34,259.68,0.0,22-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
22-Nov-2020 - 00:00,6.95,44.71,27.36,73.43,189.58,124.53,50.64,1.29,35.49,6.83,13.24,3.03,1.23,1.33,44.36,280.89,0.78,277.58,0.0,23-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
23-Nov-2020 - 00:00,8.13,53.41,32.86,65.69,198.23,144.36,31.71,1.0,29.07,11.51,17.41,5.73,2.22,2.43,44.37,189.51,0.35,382.01,0.0,24-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
24-Nov-2020 - 00:00,8.33,55.56,34.14,73.46,222.1,164.8,37.98,1.66,33.35,9.32,17.42,4.48,1.76,1.83,68.9,150.52,0.32,178.9,0.0,25-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
25-Nov-2020 - 00:00,5.42,48.34,28.02,104.77,266.28,210.5,40.06,2.94,30.86,11.57,15.2,3.12,1.36,1.3,90.75,78.49,0.65,95.19,0.02,26-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
26-Nov-2020 - 00:00,4.9,33.98,20.09,90.48,81.96,61.83,18.83,2.05,32.78,2.88,8.64,1.48,0.56,0.65,83.54,222.12,1.03,205.91,0.01,27-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
27-Nov-2020 - 00:00,4.69,38.21,22.14,91.78,97.64,60.05,28.21,0.86,36.51,3.42,9.96,2.12,0.68,0.93,71.9,298.2,1.43,319.18,0.0,28-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
28-Nov-2020 - 00:00,4.56,40.89,22.29,91.56,161.79,106.06,59.71,0.92,41.98,6.23,12.82,2.97,1.24,1.36,62.79,275.79,1.33,259.25,0.0,29-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
29-Nov-2020 - 00:00,5.42,43.12,25.29,84.83,229.25,161.77,48.95,1.43,34.54,11.56,19.76,5.91,3.33,2.61,60.14,259.42,0.52,305.6,0.0,30-Nov-2020 - 00:00,"Police Lines, Jind - HSPCB"
30-Nov-2020 - 00:00,5.21,47.28,27.29,81.17,274.72,200.79,73.39,1.41,35.62,13.93,23.58,7.66,3.44,3.46,61.48,263.19,0.47,263.12,0.0,01-Dec-2020 - 00:00,"Police Lines, Jind - HSPCB"
01-Dec-2020 - 00:00,5.54,52.55,30.32,95.18,301.4,236.85,59.06,1.33,14.62,17.47,28.02,9.77,4.0,4.67,76.25,273.21,0.43,,0.0,02-Dec-2020 - 00:00,"Police Lines, Jind - HSPCB"
