from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
27-Jan-2020 - 00:00,14.05,988.06,195.75,335.19,79.67,232.78,119.83,0.85,4.81,141.13,53.6,61.11,79.85,58.06,1.0,31.26,17.4,28-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
28-Jan-2020 - 00:00,14.66,986.85,105.5,162.94,86.19,40.88,108.27,1.45,3.18,77.38,41.76,43.56,35.75,15.36,0.71,26.31,13.01,29-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
29-Jan-2020 - 00:00,14.08,992.29,83.31,155.67,76.8,55.17,221.76,0.98,2.38,74.79,35.38,34.8,26.15,9.36,0.58,37.47,12.61,30-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
30-Jan-2020 - 00:00,13.07,992.91,93.43,158.31,78.49,70.57,283.92,1.28,2.31,24.3,31.27,30.19,23.45,9.07,0.68,32.66,11.6,31-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
31-Jan-2020 - 00:00,11.16,991.06,96.15,183.14,78.77,117.47,244.69,1.05,2.64,64.45,27.76,31.12,32.11,19.08,0.69,27.34,12.79,01-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
01-Feb-2020 - 00:00,12.0,993.73,108.24,211.19,74.45,97.82,260.03,0.99,3.58,92.33,30.3,31.99,56.36,48.26,0.83,35.79,12.61,02-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
02-Feb-2020 - 00:00,11.17,995.13,115.57,184.17,83.76,107.0,277.08,0.96,2.63,10.48,32.85,28.81,20.6,6.48,0.71,33.82,11.98,03-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
03-Feb-2020 - 00:00,12.57,993.86,152.57,297.02,70.7,171.74,251.98,0.81,3.57,64.55,35.09,43.81,70.82,56.62,1.08,43.16,14.56,04-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
04-Feb-2020 - 00:00,13.7,992.49,174.3,379.53,63.54,168.83,153.58,0.81,5.19,156.02,38.48,66.43,100.24,79.69,0.93,52.59,24.05,05-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
05-Feb-2020 - 00:00,13.47,992.24,140.49,271.98,69.2,153.46,292.93,1.34,3.36,94.43,40.17,40.14,29.64,10.16,0.75,41.0,18.48,06-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
06-Feb-2020 - 00:00,12.65,991.7,142.73,262.43,69.26,156.54,238.93,0.9,3.15,80.94,33.11,39.8,38.49,21.26,0.69,44.98,18.23,07-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
07-Feb-2020 - 00:00,12.4,994.19,156.81,270.66,70.33,143.75,238.46,0.94,4.2,81.46,31.67,47.51,83.47,71.32,0.97,36.85,16.53,08-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
08-Feb-2020 - 00:00,13.21,995.95,160.5,254.98,72.67,137.38,286.53,1.2,2.82,29.79,32.64,34.8,23.42,6.02,0.54,44.82,18.21,09-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
09-Feb-2020 - 00:00,13.47,996.48,177.4,280.03,70.83,150.74,273.99,0.86,3.36,21.74,33.51,39.82,30.97,12.01,0.78,43.47,21.02,10-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
10-Feb-2020 - 00:00,13.15,994.49,173.12,296.78,71.23,144.49,271.52,0.9,3.88,22.92,31.71,46.06,46.41,26.93,0.85,38.81,18.47,11-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
11-Feb-2020 - 00:00,14.08,994.77,164.04,279.18,70.27,150.9,277.01,0.92,3.88,45.24,31.98,49.01,42.64,20.32,0.75,41.81,17.51,12-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
12-Feb-2020 - 00:00,15.81,993.98,185.05,297.19,70.22,167.06,276.67,1.4,2.96,9.56,39.99,35.43,24.0,6.32,1.1,50.11,23.74,13-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
13-Feb-2020 - 00:00,18.33,990.89,93.34,163.99,64.48,185.92,278.51,1.71,1.6,3.47,35.45,23.52,16.41,4.78,0.94,52.48,18.97,14-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
14-Feb-2020 - 00:00,17.05,988.13,83.38,177.88,61.61,174.29,286.55,2.12,1.66,6.49,32.62,22.86,16.22,4.98,0.74,54.27,22.78,15-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
15-Feb-2020 - 00:00,16.43,988.33,105.62,195.82,53.29,192.94,282.61,1.66,1.88,4.71,30.93,32.57,21.57,5.21,0.75,53.56,23.23,16-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
16-Feb-2020 - 00:00,16.24,991.53,159.09,277.48,66.75,177.79,272.15,1.02,3.1,50.77,39.81,46.5,33.52,10.79,0.98,48.13,30.0,17-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
17-Feb-2020 - 00:00,17.34,992.6,163.25,282.45,61.13,202.56,279.39,1.15,3.05,23.89,41.41,45.32,32.31,10.07,0.88,52.29,31.85,18-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
18-Feb-2020 - 00:00,16.97,989.91,146.07,260.66,53.99,192.34,253.34,1.14,2.99,20.24,35.58,47.83,44.66,23.61,0.9,56.05,31.98,19-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
19-Feb-2020 - 00:00,17.86,989.31,182.27,396.51,59.72,200.08,91.96,1.55,5.99,54.27,34.72,75.16,131.35,112.19,1.91,59.48,27.28,20-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
20-Feb-2020 - 00:00,20.11,988.89,111.65,283.81,57.85,211.93,95.37,2.19,3.12,26.43,37.63,52.12,39.22,14.05,1.09,53.56,20.06,21-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
21-Feb-2020 - 00:00,16.06,993.24,52.44,106.56,86.52,188.07,105.48,1.98,2.22,179.53,36.08,30.11,20.82,5.91,1.2,48.93,10.75,22-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
22-Feb-2020 - 00:00,18.42,996.17,66.14,145.19,72.62,203.02,116.94,1.19,2.76,152.58,35.95,38.55,28.74,10.1,0.77,42.44,15.5,23-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
23-Feb-2020 - 00:00,19.54,993.48,106.44,213.54,71.28,222.94,259.63,1.06,3.49,140.43,47.89,45.05,37.56,16.69,0.5,42.12,22.24,24-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
24-Feb-2020 - 00:00,19.43,990.11,74.92,173.17,67.71,202.09,303.2,1.14,2.85,110.43,45.14,47.67,32.02,8.21,0.66,46.35,24.88,25-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
25-Feb-2020 - 00:00,18.55,988.88,149.9,261.29,77.06,200.96,279.47,0.97,4.37,36.96,52.73,49.39,35.78,11.66,0.64,38.96,29.34,26-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
26-Feb-2020 - 00:00,19.61,989.85,188.29,346.65,72.32,200.76,208.7,1.0,6.86,114.96,46.12,53.72,58.67,36.86,0.91,36.98,30.98,27-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
27-Feb-2020 - 00:00,19.88,990.64,127.83,272.48,76.01,193.12,65.4,1.27,7.42,147.55,41.98,56.14,51.22,26.32,0.98,44.77,19.54,28-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
28-Feb-2020 - 00:00,20.52,989.17,86.19,203.1,73.25,204.76,82.98,1.82,4.54,37.47,41.45,51.21,38.04,13.1,0.66,34.1,10.25,29-Feb-2020 - 00:00,"Narela, Delhi - DPCC"
29-Feb-2020 - 00:00,19.19,988.55,60.08,138.25,78.13,188.91,89.33,1.92,4.24,88.74,35.52,35.62,31.28,15.09,0.5,36.54,15.14,01-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
01-Mar-2020 - 00:00,20.03,989.07,50.58,118.46,71.66,204.55,131.86,0.92,3.69,111.49,31.71,47.58,38.99,16.78,0.61,47.73,15.04,02-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
02-Mar-2020 - 00:00,20.97,988.15,85.65,205.27,69.8,198.21,272.97,0.8,5.14,119.57,36.12,48.13,46.51,25.66,0.68,43.25,17.28,03-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
03-Mar-2020 - 00:00,21.63,986.72,94.28,219.77,59.93,196.17,232.81,1.0,5.31,172.91,39.0,44.74,36.9,16.03,0.58,41.23,27.25,04-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
04-Mar-2020 - 00:00,20.15,986.48,91.49,221.01,69.44,197.33,124.06,1.3,6.64,137.49,36.56,58.62,68.25,45.42,0.86,46.6,19.98,05-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
05-Mar-2020 - 00:00,18.68,986.66,31.4,74.53,76.28,217.7,94.41,1.65,2.76,77.26,35.62,44.02,34.91,14.14,0.87,30.43,10.91,06-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
06-Mar-2020 - 00:00,15.79,985.67,22.98,46.22,86.33,202.45,97.53,2.03,2.14,57.3,28.83,40.55,33.35,14.4,0.52,35.54,12.22,07-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
07-Mar-2020 - 00:00,17.05,990.08,48.79,109.69,81.8,215.55,103.57,1.28,3.61,70.76,28.74,50.38,36.87,12.31,0.61,43.43,14.59,08-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
08-Mar-2020 - 00:00,17.26,991.61,67.97,121.16,77.31,241.89,253.2,1.09,4.72,144.8,28.99,35.03,36.18,21.54,0.67,37.76,15.11,09-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
09-Mar-2020 - 00:00,17.51,988.63,59.9,134.38,67.37,269.15,290.87,1.67,2.52,63.49,29.91,28.55,18.73,4.36,0.39,42.71,16.17,10-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
10-Mar-2020 - 00:00,19.21,987.42,75.22,147.39,59.85,289.32,209.59,0.94,2.58,54.69,29.25,21.65,13.45,2.35,0.42,66.75,21.72,11-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
11-Mar-2020 - 00:00,20.99,985.3,57.07,124.51,66.62,312.32,105.99,1.85,3.03,29.12,28.63,33.05,22.93,6.57,0.58,57.82,16.11,12-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
12-Mar-2020 - 00:00,21.11,987.58,53.52,147.71,65.08,315.91,116.96,1.58,3.29,64.86,30.82,40.54,28.72,8.82,0.52,39.85,15.82,13-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
13-Mar-2020 - 00:00,20.77,989.29,89.45,268.33,57.36,325.75,176.23,0.93,4.99,73.19,33.39,45.41,49.71,31.32,0.7,43.59,24.2,14-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
14-Mar-2020 - 00:00,17.72,990.82,40.25,93.14,82.29,332.43,119.3,1.45,3.17,85.51,25.28,38.04,30.43,12.48,0.33,34.52,12.27,15-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
15-Mar-2020 - 00:00,17.38,992.27,74.54,161.28,72.87,306.73,201.34,1.02,3.85,128.9,32.01,35.22,37.63,23.11,0.58,47.04,13.47,16-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
16-Mar-2020 - 00:00,19.28,991.68,67.08,156.95,72.38,211.34,289.31,1.37,2.59,69.41,30.92,34.83,22.85,5.18,0.54,50.84,13.51,17-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
17-Mar-2020 - 00:00,20.35,991.66,79.78,174.0,68.39,203.26,282.03,1.38,3.04,20.63,33.95,36.65,23.61,5.08,0.47,49.88,18.24,18-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
18-Mar-2020 - 00:00,22.39,989.81,76.59,174.55,62.1,208.41,289.37,1.53,3.09,76.68,40.29,37.79,24.24,5.08,0.52,62.56,14.58,19-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
19-Mar-2020 - 00:00,22.78,986.91,108.41,234.09,65.76,217.84,238.74,0.92,4.73,124.87,39.38,41.03,30.8,11.02,0.64,52.63,14.96,20-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
20-Mar-2020 - 00:00,24.28,986.22,101.76,272.94,57.99,230.76,102.63,0.96,5.63,252.09,36.5,52.29,45.86,22.16,0.87,55.72,21.6,21-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
21-Mar-2020 - 00:00,23.94,986.25,131.73,300.24,62.21,224.52,241.52,1.04,6.14,178.3,43.54,50.22,45.0,22.61,0.93,60.14,29.59,22-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
22-Mar-2020 - 00:00,23.74,988.12,90.16,176.5,59.71,231.04,219.73,1.09,4.76,79.93,37.52,28.79,23.02,9.43,0.74,56.49,17.8,23-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
23-Mar-2020 - 00:00,24.23,987.66,64.07,152.99,54.71,245.17,216.53,0.79,3.53,79.17,29.95,28.22,23.89,10.89,0.61,49.71,15.46,24-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
24-Mar-2020 - 00:00,23.96,986.4,63.92,145.89,60.18,236.91,153.49,1.01,3.98,37.38,28.03,29.32,22.55,8.52,0.48,49.83,16.65,25-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
25-Mar-2020 - 00:00,24.73,986.63,44.61,102.92,63.33,225.78,230.06,1.12,2.49,43.67,30.35,17.18,13.9,5.87,0.43,44.41,8.44,26-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
26-Mar-2020 - 00:00,23.54,987.88,60.84,115.16,70.59,216.23,274.18,1.54,2.55,11.06,27.86,14.32,9.87,2.78,0.39,34.61,16.21,27-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
27-Mar-2020 - 00:00,20.73,989.88,25.57,54.01,79.56,205.5,179.51,1.5,1.24,21.82,18.45,13.78,12.47,6.31,0.62,32.1,8.61,28-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
28-Mar-2020 - 00:00,21.27,989.89,27.76,61.29,73.26,219.85,275.91,1.41,1.7,29.48,19.05,16.64,11.51,3.27,0.38,32.85,7.47,29-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
29-Mar-2020 - 00:00,22.72,987.76,32.8,84.84,61.91,225.48,295.87,1.97,1.52,23.06,18.23,12.1,8.27,2.24,0.21,49.0,8.35,30-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
30-Mar-2020 - 00:00,22.44,987.86,34.22,95.75,60.38,227.94,285.32,1.51,1.78,17.51,19.05,13.4,8.77,2.02,0.3,53.01,8.73,31-Mar-2020 - 00:00,"Narela, Delhi - DPCC"
31-Mar-2020 - 00:00,17.4,986.88,72.75,141.12,82.92,107.04,281.53,1.24,2.17,12.62,25.26,13.51,8.48,1.56,0.48,37.28,,01-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
01-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,02-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
02-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,03-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
03-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,04-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
04-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,05-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
05-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,06-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
06-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,07-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
07-Apr-2020 - 00:00,33.76,985.05,27.33,164.67,17.84,321.13,325.7,2.61,0.89,57.09,37.47,129.56,70.9,2.31,0.27,89.16,5.48,08-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
08-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,09-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
09-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,10-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
10-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,11-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
11-Apr-2020 - 00:00,31.02,988.01,33.9,124.19,36.05,87.9,,,0.99,1.2,41.38,,4.85,,,,,12-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
12-Apr-2020 - 00:00,25.65,988.58,65.41,124.81,45.09,219.9,,,2.02,1.69,50.54,,5.38,,,,,13-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
13-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,14-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
14-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,15-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
15-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,16-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
16-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,17-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
18-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,19-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
19-Apr-2020 - 00:00,30.9,982.7,69.6,189.75,25.38,183.25,209.37,1.0,2.82,45.9,39.8,49.53,30.51,5.41,0.93,62.11,16.57,20-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
20-Apr-2020 - 00:00,26.47,984.27,75.08,181.29,40.36,203.22,186.07,1.1,3.24,32.51,34.11,40.67,27.15,6.75,1.61,50.69,12.69,21-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
21-Apr-2020 - 00:00,27.07,984.49,55.88,146.58,41.38,210.25,261.44,1.14,2.18,21.21,34.0,31.29,18.12,1.8,1.67,72.6,20.61,22-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
22-Apr-2020 - 00:00,28.84,983.2,60.02,173.83,29.9,219.63,227.25,1.0,2.09,31.12,29.82,32.72,19.09,2.07,0.66,80.98,12.44,23-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
23-Apr-2020 - 00:00,28.35,982.3,75.6,183.83,31.26,225.07,187.75,1.04,4.42,29.99,34.11,38.16,23.63,4.07,0.46,65.55,19.71,24-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
24-Apr-2020 - 00:00,29.67,981.03,103.25,228.4,34.52,226.05,117.31,0.92,5.4,36.31,38.25,38.38,25.08,5.72,0.85,83.62,19.81,25-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
25-Apr-2020 - 00:00,30.4,981.3,36.04,126.27,28.77,230.87,151.44,0.9,1.65,22.1,29.08,28.57,16.63,1.76,0.34,83.37,7.11,26-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
26-Apr-2020 - 00:00,26.07,984.27,48.44,167.23,47.89,232.45,85.48,1.95,3.68,20.2,31.74,29.06,18.3,3.5,0.88,69.13,12.54,27-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
27-Apr-2020 - 00:00,26.01,987.23,37.77,83.4,60.09,206.11,79.98,2.25,3.0,18.15,33.65,26.99,16.58,2.76,0.85,73.94,8.7,28-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
28-Apr-2020 - 00:00,28.11,987.01,53.21,127.52,51.6,198.53,88.69,1.31,3.21,23.55,34.95,27.62,16.85,2.65,0.63,84.0,16.58,29-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
29-Apr-2020 - 00:00,30.26,984.12,68.88,164.79,46.93,214.99,131.43,0.98,3.8,22.29,35.69,31.08,20.61,4.97,0.77,86.35,13.26,30-Apr-2020 - 00:00,"Narela, Delhi - DPCC"
30-Apr-2020 - 00:00,31.33,983.46,63.48,148.0,43.26,198.69,112.51,0.97,3.03,20.15,41.05,31.56,18.99,2.7,0.49,86.86,13.03,01-May-2020 - 00:00,"Narela, Delhi - DPCC"
01-May-2020 - 00:00,31.27,981.75,78.99,196.16,51.96,196.6,94.16,1.42,3.79,32.07,49.2,30.44,19.31,3.81,1.09,86.98,17.25,02-May-2020 - 00:00,"Narela, Delhi - DPCC"
02-May-2020 - 00:00,30.3,981.69,39.18,133.97,49.89,207.36,83.59,2.19,1.79,10.29,44.75,26.3,16.58,3.19,0.9,82.22,10.37,03-May-2020 - 00:00,"Narela, Delhi - DPCC"
03-May-2020 - 00:00,27.69,982.75,37.73,96.42,61.97,197.37,114.69,1.97,2.04,15.4,40.45,25.99,15.86,2.5,0.77,64.66,9.52,04-May-2020 - 00:00,"Narela, Delhi - DPCC"
04-May-2020 - 00:00,27.52,984.09,36.1,91.17,57.96,217.1,174.73,1.02,1.57,56.32,39.06,24.51,14.42,1.7,0.61,75.87,10.27,05-May-2020 - 00:00,"Narela, Delhi - DPCC"
05-May-2020 - 00:00,30.46,982.41,72.71,178.67,46.13,223.61,230.33,1.09,2.81,63.87,38.04,31.89,19.52,3.12,0.69,76.59,13.69,06-May-2020 - 00:00,"Narela, Delhi - DPCC"
06-May-2020 - 00:00,29.22,982.29,86.27,234.67,41.94,235.51,126.78,1.25,3.64,48.89,39.29,28.73,17.1,2.24,0.74,80.04,14.66,07-May-2020 - 00:00,"Narela, Delhi - DPCC"
07-May-2020 - 00:00,29.44,982.76,41.79,116.12,34.98,236.43,129.51,1.35,1.68,38.88,32.89,23.65,14.64,2.63,0.53,105.12,12.98,08-May-2020 - 00:00,"Narela, Delhi - DPCC"
08-May-2020 - 00:00,31.7,981.07,74.98,182.9,37.87,233.55,148.42,1.02,3.93,49.16,36.99,25.95,15.42,1.97,1.08,106.66,16.67,09-May-2020 - 00:00,"Narela, Delhi - DPCC"
