from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
01-Jan-2020 - 00:00,10.42,997.71,308.61,503.16,76.56,220.11,111.52,0.74,7.32,148.98,54.12,63.71,131.83,120.16,1.76,20.94,10.32,02-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
02-Jan-2020 - 00:00,13.36,997.34,260.65,445.04,74.26,223.76,170.27,0.68,7.92,159.38,53.69,58.69,127.01,117.58,1.92,16.39,9.48,03-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
03-Jan-2020 - 00:00,14.64,995.24,185.42,331.37,73.87,192.43,205.24,0.65,5.48,66.63,51.86,57.76,95.31,79.19,1.28,20.38,8.84,04-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
04-Jan-2020 - 00:00,14.07,994.31,191.62,333.93,72.5,80.81,263.83,0.75,4.21,52.17,49.11,47.32,59.63,42.24,1.31,32.38,,05-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
05-Jan-2020 - 00:00,14.54,994.71,164.42,,65.24,66.97,244.44,0.99,2.91,79.64,50.97,39.42,28.16,8.8,1.02,44.48,,06-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
06-Jan-2020 - 00:00,13.43,993.6,158.88,161.78,76.66,110.44,189.08,1.11,3.57,171.69,54.27,47.16,39.63,17.72,1.04,22.74,,07-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
07-Jan-2020 - 00:00,14.1,978.71,99.41,157.3,84.62,137.2,104.28,1.24,2.98,37.15,41.29,42.12,42.95,25.14,0.83,17.81,12.65,08-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
08-Jan-2020 - 00:00,12.32,983.27,93.95,129.81,94.66,126.98,197.37,0.98,2.67,59.0,38.88,36.64,39.76,25.21,1.55,15.04,12.87,09-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
09-Jan-2020 - 00:00,8.84,944.01,84.35,137.71,88.05,104.02,315.56,1.01,1.99,27.91,30.6,31.21,25.41,10.78,2.61,23.38,11.96,10-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
10-Jan-2020 - 00:00,9.71,924.84,130.82,194.45,81.02,99.97,315.55,1.02,3.14,22.85,33.7,43.86,33.93,13.0,4.48,31.36,13.46,11-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
11-Jan-2020 - 00:00,11.55,958.09,143.79,221.64,69.79,80.65,301.27,0.95,2.92,35.22,40.07,49.02,39.26,16.22,0.0,32.71,12.18,12-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
12-Jan-2020 - 00:00,13.18,979.3,190.08,307.28,73.06,55.0,243.06,0.65,4.13,52.05,51.71,56.41,79.16,60.25,,27.24,12.53,13-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
13-Jan-2020 - 00:00,14.59,971.19,208.08,358.53,76.9,12.7,162.79,1.38,4.77,69.34,56.89,61.38,78.95,56.74,1.02,17.96,11.8,14-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
14-Jan-2020 - 00:00,12.51,961.99,108.64,174.22,85.41,52.96,308.07,1.44,2.86,109.13,48.7,26.96,19.63,6.48,1.22,22.38,12.38,15-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
15-Jan-2020 - 00:00,12.29,962.82,113.41,202.92,79.54,4.2,285.03,1.25,3.51,154.28,41.22,34.12,24.2,7.43,0.73,30.8,12.81,16-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
16-Jan-2020 - 00:00,11.2,961.14,146.65,232.1,87.93,4.5,247.98,1.05,4.09,149.36,43.66,36.71,30.62,13.6,0.68,11.35,12.85,17-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
17-Jan-2020 - 00:00,12.34,962.68,119.92,188.12,91.48,4.24,253.99,0.96,3.51,96.7,40.05,30.51,31.34,18.53,0.65,13.64,11.83,18-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
18-Jan-2020 - 00:00,11.06,964.66,111.88,176.92,87.84,4.37,234.4,0.8,4.01,62.83,35.59,38.88,32.92,15.04,0.71,23.57,11.96,19-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
19-Jan-2020 - 00:00,9.5,965.26,108.75,154.98,86.99,4.76,276.76,1.16,2.23,8.81,31.71,19.68,14.74,5.23,0.49,28.63,12.66,20-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
20-Jan-2020 - 00:00,11.1,963.18,143.46,221.08,88.04,4.56,259.76,0.81,3.4,22.22,33.47,32.41,39.56,27.31,0.76,26.2,12.17,21-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
21-Jan-2020 - 00:00,12.55,962.12,267.4,432.0,90.21,4.66,92.66,0.89,6.57,165.59,42.51,58.69,65.2,41.66,1.17,19.5,12.19,22-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
22-Jan-2020 - 00:00,10.38,972.73,149.15,211.1,90.7,13.19,266.27,0.9,5.09,35.91,36.42,33.0,41.85,29.8,0.99,21.24,12.93,23-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
23-Jan-2020 - 00:00,12.2,994.11,67.2,132.57,66.8,180.12,287.86,1.76,1.64,9.93,33.19,33.28,22.5,5.88,0.44,41.3,8.81,24-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
24-Jan-2020 - 00:00,12.51,991.62,91.07,155.29,62.29,251.45,273.21,1.35,2.15,7.16,33.95,41.19,34.44,15.34,0.77,51.16,6.64,25-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
25-Jan-2020 - 00:00,12.63,992.0,175.97,312.49,68.64,366.0,253.05,0.76,4.14,64.01,48.07,52.45,58.55,37.41,0.9,54.93,16.93,26-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
26-Jan-2020 - 00:00,13.22,990.18,196.29,304.52,74.28,367.43,261.15,0.8,5.03,35.6,52.03,41.03,41.96,24.69,0.91,50.37,13.21,27-Jan-2020 - 00:00,"Narela, Delhi - DPCC"
