from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,RH,SO2,SR,VWS,WD,WS,Toluene,to date,station
12-Mar-2020 - 00:00,24.4,2.62,739.37,1.58,30.36,23.35,69.85,56.19,34.55,155.72,56.44,59.18,13.67,103.09,0.07,121.45,0.95,23.38,13-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Mar-2020 - 00:00,23.93,2.68,739.44,0.86,26.87,19.99,66.49,51.64,58.27,199.7,61.52,53.53,11.43,112.7,0.01,114.61,0.48,21.28,14-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Mar-2020 - 00:00,21.19,1.28,739.49,0.75,28.1,7.33,56.96,36.26,23.4,74.45,29.18,71.53,7.2,93.32,0.01,136.13,0.64,9.74,15-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Mar-2020 - 00:00,23.47,1.54,739.23,0.82,27.76,1.9,67.38,37.37,60.68,128.62,56.48,57.59,28.07,110.72,0.02,98.72,0.43,17.52,16-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Mar-2020 - 00:00,22.19,2.22,739.18,0.89,38.28,7.93,60.44,38.61,19.96,137.5,63.54,64.85,9.23,97.95,0.01,86.75,0.45,21.19,17-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Mar-2020 - 00:00,23.66,2.29,739.17,0.98,34.46,14.18,59.67,43.29,19.18,147.36,69.45,62.09,4.1,106.21,0.01,95.06,0.62,16.59,18-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Mar-2020 - 00:00,24.98,2.94,739.17,0.91,29.4,13.2,64.22,44.92,23.6,140.79,65.35,59.94,7.85,107.99,0.01,97.36,0.62,26.2,19-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-Mar-2020 - 00:00,26.02,4.33,739.16,1.08,35.65,16.44,74.25,52.89,16.92,195.42,100.42,62.23,16.45,105.75,0.01,105.57,0.43,31.71,20-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-Mar-2020 - 00:00,27.46,4.87,739.19,1.38,32.17,36.97,100.61,83.65,28.31,207.24,89.3,58.46,12.3,98.3,0.0,122.85,0.34,39.22,21-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-Mar-2020 - 00:00,27.05,3.86,739.2,1.05,32.69,17.23,78.1,55.58,33.18,174.71,83.46,57.6,18.04,93.5,0.01,105.89,0.36,33.53,22-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-Mar-2020 - 00:00,27.2,1.85,739.18,0.78,30.27,6.75,53.61,34.02,16.33,129.18,69.33,55.71,5.97,104.44,0.01,102.46,0.45,10.66,23-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-Mar-2020 - 00:00,27.88,1.76,739.25,0.77,27.91,5.19,45.16,28.25,27.42,104.64,52.9,53.11,13.44,103.92,0.01,115.36,0.33,10.8,24-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-Mar-2020 - 00:00,26.84,1.66,739.25,0.79,28.06,5.77,45.37,28.84,47.77,106.74,48.58,59.5,20.94,82.9,0.03,115.24,0.55,8.96,25-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-Mar-2020 - 00:00,27.8,1.3,739.24,0.76,29.54,4.67,33.63,21.7,17.34,71.33,38.78,61.53,21.72,108.52,0.03,106.42,0.55,7.63,26-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-Mar-2020 - 00:00,26.58,1.32,739.26,0.69,28.45,3.1,28.69,17.79,16.68,91.42,52.01,62.21,14.79,86.07,0.0,61.68,0.7,4.95,27-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-Mar-2020 - 00:00,23.85,0.75,739.29,0.53,24.91,3.59,27.94,17.79,19.29,48.85,22.69,68.83,16.69,59.34,0.04,98.49,0.68,3.5,28-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-Mar-2020 - 00:00,24.52,0.74,739.29,0.59,25.02,3.95,29.87,19.11,12.51,41.0,20.7,67.48,14.95,107.87,0.03,77.56,0.67,5.64,29-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-Mar-2020 - 00:00,26.07,0.49,739.38,0.5,22.94,2.52,25.12,15.42,28.55,59.84,27.74,58.05,17.18,107.42,0.03,74.04,1.02,2.46,30-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-Mar-2020 - 00:00,26.04,0.71,739.35,0.59,22.92,2.46,27.77,16.78,22.92,71.53,38.78,55.44,17.89,108.58,0.02,65.84,0.86,3.07,31-Mar-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
31-Mar-2020 - 00:00,27.22,0.66,739.27,0.51,20.92,2.34,27.64,16.62,20.96,69.44,35.31,53.93,15.98,107.63,0.02,83.21,0.75,3.57,01-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-Apr-2020 - 00:00,28.13,0.79,739.37,0.56,22.69,2.6,27.17,16.58,31.81,79.88,39.41,53.85,13.91,105.78,0.03,88.83,0.73,3.78,02-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Apr-2020 - 00:00,27.45,0.51,739.34,0.56,21.04,2.33,24.98,15.19,21.89,60.17,28.24,52.75,10.72,102.64,0.03,76.77,1.02,2.45,03-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Apr-2020 - 00:00,26.67,0.66,739.4,0.51,19.02,2.13,26.54,15.85,28.85,65.75,32.14,46.14,14.69,105.92,0.03,72.91,0.86,2.93,04-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Apr-2020 - 00:00,27.69,0.94,739.51,0.58,19.6,2.45,32.58,19.32,26.56,79.5,39.89,47.67,13.49,102.78,0.01,107.56,0.73,5.7,05-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Apr-2020 - 00:00,29.31,1.41,739.4,1.5,22.22,2.17,36.2,21.03,29.61,105.29,54.27,47.95,22.58,99.45,0.01,126.06,0.58,8.36,06-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Apr-2020 - 00:00,31.63,1.9,739.47,0.71,23.39,2.57,35.11,20.77,26.28,124.43,63.94,45.48,9.31,100.3,0.03,113.97,0.74,8.0,07-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Apr-2020 - 00:00,29.62,0.78,739.39,0.51,22.87,2.24,27.46,16.42,18.81,97.97,36.95,47.39,14.15,102.08,0.08,77.71,1.15,4.29,08-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-Apr-2020 - 00:00,29.33,0.55,739.39,0.5,19.44,2.17,26.44,15.84,21.33,76.53,26.76,43.01,17.91,97.09,0.04,78.38,1.04,3.7,09-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-Apr-2020 - 00:00,29.11,0.92,739.36,0.62,20.68,2.14,29.74,17.56,34.75,84.88,41.24,44.56,14.21,102.56,0.01,89.17,0.7,5.99,10-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-Apr-2020 - 00:00,31.44,1.49,739.34,0.83,22.49,3.08,37.6,22.51,21.07,118.22,64.73,42.74,11.2,96.73,0.01,94.27,0.53,11.05,11-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-Apr-2020 - 00:00,33.43,1.68,739.34,0.7,22.13,2.78,34.6,20.67,36.78,110.2,49.9,41.61,22.89,96.37,0.01,105.43,0.65,6.04,12-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-Apr-2020 - 00:00,32.55,1.04,739.42,0.66,22.18,2.11,27.98,16.6,29.6,94.81,41.33,42.18,9.58,91.57,0.02,69.05,0.76,3.96,13-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-Apr-2020 - 00:00,34.17,1.76,739.43,1.13,24.38,2.46,31.99,19.03,29.3,145.22,71.95,42.5,18.44,90.13,0.0,103.21,0.71,8.43,14-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-Apr-2020 - 00:00,35.36,1.83,739.41,0.8,20.8,2.92,42.07,24.76,27.05,132.07,53.81,42.32,13.73,81.63,0.0,102.66,0.36,12.05,15-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-Apr-2020 - 00:00,35.84,1.45,739.62,0.74,21.0,2.86,36.28,21.64,30.3,186.0,63.55,36.88,15.64,94.66,0.01,123.19,0.53,6.07,16-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-Apr-2020 - 00:00,31.2,0.16,740.14,,,,,,62.19,,106.65,44.54,,84.79,0.0,77.76,0.37,1.47,17-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-Apr-2020 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-Apr-2020 - 00:00,34.12,,740.38,,,,,,83.55,,21.57,42.46,,118.99,0.01,122.87,0.61,,19-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-Apr-2020 - 00:00,31.15,0.29,740.23,,,,,,,,77.69,46.51,,87.81,0.01,72.99,0.65,1.94,20-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-Apr-2020 - 00:00,30.07,0.57,739.86,1.0,18.27,1.01,25.47,14.17,,55.75,118.43,47.01,34.23,77.35,0.06,68.18,1.07,3.1,21-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-Apr-2020 - 00:00,30.88,1.24,739.32,0.66,16.22,1.47,30.33,17.29,,86.06,39.42,45.73,108.8,86.62,0.01,83.41,0.69,5.64,22-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-Apr-2020 - 00:00,32.46,2.24,739.37,0.79,22.91,3.05,44.86,26.35,41.6,185.04,94.04,40.96,131.37,82.19,0.01,70.26,0.62,14.16,23-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-Apr-2020 - 00:00,32.37,3.25,739.38,1.1,26.11,2.5,39.71,23.16,28.28,206.35,144.78,40.82,117.88,69.49,0.04,102.1,0.67,16.31,24-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-Apr-2020 - 00:00,33.54,3.55,739.43,1.11,28.26,3.14,39.0,23.29,49.7,180.81,105.7,42.97,104.56,83.54,0.03,91.79,0.66,13.44,25-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-Apr-2020 - 00:00,34.16,1.56,739.48,0.69,24.97,1.65,29.27,16.92,18.08,139.09,104.36,40.28,109.11,84.63,0.04,100.25,0.81,6.68,26-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-Apr-2020 - 00:00,29.15,1.59,739.48,0.71,23.09,1.53,26.3,15.23,19.77,124.3,47.81,53.33,58.39,68.47,0.02,122.91,0.75,4.92,27-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-Apr-2020 - 00:00,29.46,1.05,739.45,0.7,19.56,1.76,23.9,14.14,58.07,52.25,26.44,57.67,105.49,82.66,0.0,119.65,0.85,3.67,28-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-Apr-2020 - 00:00,31.77,1.46,739.4,0.74,19.37,1.76,26.18,15.33,92.46,101.75,49.43,52.56,100.99,88.83,0.0,122.24,0.54,6.1,29-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-Apr-2020 - 00:00,34.09,1.94,739.43,0.84,19.56,1.5,27.16,15.66,,140.52,67.69,49.56,101.22,88.7,0.04,104.53,0.72,8.59,30-Apr-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-Apr-2020 - 00:00,35.12,1.54,739.48,0.78,18.74,1.7,24.7,14.51,56.7,114.66,51.3,47.75,110.19,80.94,0.01,111.68,0.49,5.81,01-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-May-2020 - 00:00,35.26,1.77,739.41,0.72,19.85,1.54,25.79,14.98,64.54,137.96,59.81,50.16,112.1,81.63,0.01,121.66,0.64,10.32,02-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-May-2020 - 00:00,30.62,1.02,739.46,0.82,18.55,2.01,21.3,12.98,26.9,80.72,29.35,58.67,67.65,69.67,0.0,126.28,1.26,2.69,03-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,04-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,05-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,06-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-May-2020 - 00:00,,,,,,,,,,,,,,,,,,,07-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-May-2020 - 00:00,32.36,,738.22,,23.31,0.58,20.93,11.63,,119.15,48.16,37.75,,354.27,,,,,08-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
08-May-2020 - 00:00,24.9,2.1,749.02,0.7,26.88,1.18,32.59,18.3,10.1,179.12,99.97,60.92,22.55,26.2,0.0,61.0,0.7,11.4,09-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
09-May-2020 - 00:00,39.05,1.65,805.74,0.8,20.86,1.73,25.87,15.18,10.58,121.6,51.71,51.57,6.88,,0.05,107.53,0.74,7.34,10-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
10-May-2020 - 00:00,31.48,1.47,735.7,0.7,19.61,1.96,25.99,15.43,17.81,99.39,47.26,59.56,8.18,,0.02,109.39,0.92,5.95,11-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
11-May-2020 - 00:00,32.08,1.72,735.69,0.8,19.1,2.19,33.85,19.78,30.83,95.34,45.75,61.03,17.38,,0.01,114.25,0.51,9.84,12-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
12-May-2020 - 00:00,34.24,1.53,735.72,0.73,18.55,1.98,30.19,17.66,20.58,92.58,40.62,56.33,14.4,,0.01,110.56,0.48,8.92,13-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
13-May-2020 - 00:00,33.69,2.26,735.63,1.02,21.52,2.01,29.78,17.48,5.53,177.77,86.45,59.17,19.74,,0.01,78.7,0.38,13.3,14-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
14-May-2020 - 00:00,33.41,1.9,735.68,0.83,19.43,4.76,32.21,21.01,20.14,151.74,73.93,62.67,17.56,,0.03,90.33,0.67,13.82,15-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
15-May-2020 - 00:00,33.56,2.12,735.58,0.97,23.9,2.63,33.13,19.77,6.82,118.49,111.32,55.84,,,0.0,70.31,0.71,14.29,16-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
16-May-2020 - 00:00,35.25,3.04,735.63,1.22,29.45,2.44,38.58,22.52,19.04,284.43,176.64,47.68,,,0.01,77.02,0.61,14.85,17-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
17-May-2020 - 00:00,36.16,4.0,735.56,1.3,37.33,4.04,40.89,25.05,55.74,369.25,238.92,46.38,23.66,294.64,0.0,101.72,0.43,20.54,18-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
18-May-2020 - 00:00,36.19,4.25,735.57,1.32,33.71,6.68,46.06,29.94,8.27,305.47,208.48,44.14,27.42,101.69,0.01,112.43,0.49,25.48,19-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
19-May-2020 - 00:00,35.73,5.1,735.63,2.03,39.18,13.76,68.0,47.39,9.72,374.09,276.72,42.21,4.29,,0.0,118.6,0.36,43.26,20-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
20-May-2020 - 00:00,36.66,1.89,735.65,1.01,25.43,2.71,46.95,27.18,7.91,167.71,73.61,37.05,,,0.04,71.77,0.66,14.58,21-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
21-May-2020 - 00:00,38.14,2.79,735.6,1.15,23.49,4.08,46.83,28.24,7.78,213.5,123.0,36.95,,,0.03,97.1,0.79,17.31,22-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
22-May-2020 - 00:00,39.6,5.5,735.67,1.67,30.98,5.94,59.35,36.41,40.39,337.64,216.17,38.24,,,0.0,115.15,0.38,30.71,23-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
23-May-2020 - 00:00,41.11,3.68,735.67,1.07,21.65,7.12,46.8,30.69,10.02,281.6,116.66,37.35,72.34,,0.0,95.85,0.54,27.34,24-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
24-May-2020 - 00:00,41.09,1.62,735.65,0.81,16.04,2.14,33.95,19.81,15.0,195.1,51.23,36.27,26.57,,0.01,73.79,0.68,11.73,25-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
25-May-2020 - 00:00,39.07,2.33,735.69,1.01,18.8,2.86,39.06,23.11,9.71,212.64,88.19,37.94,22.92,,0.01,88.48,0.7,16.62,26-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
26-May-2020 - 00:00,39.92,3.58,735.64,1.47,19.81,12.82,45.77,34.75,26.19,224.0,65.13,37.32,17.28,,0.0,111.24,0.75,36.51,27-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
27-May-2020 - 00:00,39.96,1.53,735.57,0.37,21.98,2.05,39.84,22.87,46.19,160.85,35.57,37.51,,,0.01,103.48,0.64,14.83,28-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
28-May-2020 - 00:00,34.96,0.89,735.58,0.64,24.31,2.45,28.33,17.08,30.95,212.09,33.93,53.21,,,0.03,130.83,1.31,6.18,29-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
29-May-2020 - 00:00,30.56,0.82,735.66,0.56,28.68,2.44,28.41,17.1,27.06,65.96,25.5,63.72,48.15,,0.04,123.17,1.12,8.91,30-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
30-May-2020 - 00:00,30.36,0.67,735.66,0.65,26.78,2.29,21.49,13.3,36.68,51.27,20.97,64.43,15.45,,0.09,113.39,1.17,4.98,31-May-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
31-May-2020 - 00:00,27.08,0.74,735.75,0.82,26.56,2.27,22.01,13.56,29.19,41.21,18.74,76.42,,,0.03,111.56,0.93,6.87,01-Jun-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
01-Jun-2020 - 00:00,29.84,1.89,735.68,1.02,26.63,2.58,32.2,19.23,41.6,105.54,58.89,67.94,49.49,,0.0,132.27,0.44,13.68,02-Jun-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
02-Jun-2020 - 00:00,31.94,1.38,735.64,0.76,27.39,2.44,29.75,17.81,44.29,101.69,49.32,62.04,37.37,,0.03,99.49,0.81,15.82,03-Jun-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
03-Jun-2020 - 00:00,33.29,1.83,735.72,0.91,25.58,2.45,34.15,20.16,53.47,138.93,64.95,57.38,25.89,,0.01,114.66,0.51,17.62,04-Jun-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
04-Jun-2020 - 00:00,31.29,3.75,735.67,0.75,26.86,4.36,46.9,28.51,34.6,158.51,81.46,61.67,51.13,,0.02,96.9,0.64,29.83,05-Jun-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
05-Jun-2020 - 00:00,30.67,1.68,735.67,0.75,25.23,2.63,33.15,19.78,41.34,86.67,46.75,62.42,19.59,,0.02,103.6,0.77,15.19,06-Jun-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
06-Jun-2020 - 00:00,32.17,1.22,735.69,0.64,24.55,2.46,29.2,17.54,43.21,70.66,34.83,62.8,7.04,,0.02,125.93,0.67,9.7,07-Jun-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
07-Jun-2020 - 00:00,31.46,1.44,735.63,0.72,23.25,2.53,28.62,17.29,38.45,84.39,39.07,63.47,8.52,,0.03,104.52,0.78,11.43,08-Jun-2020 - 00:00,"Punjabi Bagh, Delhi - DPCC"
